日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2013-12-09,22.5787,23.9833,22.1073,23.1914,43197268,0.0,0.0
2013-12-10,23.1349,23.7288,23.0123,23.4554,18660625,0.2644,1.14
2013-12-11,23.9833,25.6426,23.9173,24.5018,38843371,1.0461,4.46
2013-12-12,24.6998,25.1806,23.9928,23.9928,19981824,-0.5097,-2.08
2013-12-13,24.1436,24.7941,24.0588,24.7281,12192421,0.7342,3.06
2013-12-16,25.1052,25.2325,24.8412,25.0863,13190945,0.3586,1.45
2013-12-17,24.9544,25.0675,24.4641,24.6055,11413199,-0.4817,-1.92
2013-12-18,24.5018,24.7281,24.087,24.7281,9994162,0.123,0.5
2013-12-19,24.5961,24.9732,24.3425,24.6244,6916497,-0.1039,-0.42
2013-12-20,24.6621,24.9732,24.6433,24.8224,8530924,0.197,0.8
2013-12-23,24.7847,24.9732,24.5584,24.681,5403084,-0.1415,-0.57
2013-12-24,24.5113,24.7564,24.5113,24.747,2652974,0.0666,0.27
2013-12-26,24.6244,24.8507,24.4877,24.6338,4226639,-0.1138,-0.46
2013-12-27,24.4641,24.6055,23.4837,23.512,13227018,-1.1208,-4.55
2013-12-30,23.446,23.8042,23.2386,23.3611,8841369,-0.1505,-0.64
2013-12-31,23.3234,23.8042,23.2197,23.8042,7168395,0.4438,1.9
2014-01-02,23.6345,24.3416,23.6251,23.9079,8998943,0.1047,0.44
2014-01-03,24.2756,25.2183,24.0493,25.0204,13836062,1.1118,4.65
2014-01-06,25.0958,25.6426,25.0769,25.4823,11272273,0.4629,1.85
2014-01-07,25.6426,25.8302,25.1429,25.3645,11288775,-0.1121,-0.44
2014-01-08,24.8601,26.0951,24.8412,26.0479,15736891,0.6799,2.68
2014-01-09,26.623,27.9051,26.5853,27.7355,26056445,1.6879,6.48
2014-01-10,27.3866,28.122,27.1038,27.6695,12824160,-0.0666,-0.24
2014-01-13,27.5092,27.8392,26.9435,27.0095,10591701,-0.6613,-2.39
2014-01-14,27.1038,27.3772,27.0661,27.2169,10601529,0.208,0.77
2014-01-15,27.2452,27.7543,27.0567,27.1887,11192558,-0.0272,-0.1
2014-01-16,27.2829,27.7072,27.0567,27.66,7034698,0.4704,1.73
2014-01-17,27.6223,28.3011,27.5007,28.3011,18304949,0.6417,2.32
2014-01-21,28.9044,29.0364,28.4708,28.9044,10612821,0.6028,2.13
2014-01-22,28.9516,29.4512,28.895,29.4135,7583631,0.5087,1.76
2014-01-23,28.895,29.6586,28.8667,29.5549,11397447,0.1412,0.48
2014-01-24,29.2438,29.3947,28.1974,28.6593,13699981,-0.8955,-3.03
2014-01-27,28.6593,29.1024,27.0284,28.4519,16288488,-0.2063,-0.72
2014-01-28,28.5839,30.3563,28.3011,30.13,23966003,1.6786,5.9
2014-01-29,30.394,31.4876,30.262,31.0916,22726800,0.9612,3.19
2014-01-30,31.4499,32.2418,31.299,31.8647,13677012,0.7742,2.49
2014-01-31,31.5253,32.1286,31.1105,31.629,12795698,-0.2358,-0.74
2014-02-03,32.0061,32.5057,31.1576,32.0155,21743871,0.3859,1.22
2014-02-04,32.0909,32.4114,31.6573,32.1003,11241908,0.0864,0.27
