日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2020-10-22,18.0,20.8099,17.71,19.75,2473153,2.25,12.86
2020-10-23,19.0,19.69,18.67,18.9,1545125,-0.85,-4.3
2020-10-26,18.9,19.45,18.63,19.4,203032,0.5,2.65
2020-10-27,19.24,19.8,19.0,19.46,296908,0.06,0.31
2020-10-28,19.4,19.64,18.97,19.11,213640,-0.35,-1.8
2020-10-29,19.08,19.83,19.08,19.12,113540,0.01,0.05
2020-10-30,19.21,19.45,18.94,19.0,31891,-0.12,-0.63
2020-11-02,19.4,20.25,19.3398,19.95,203110,0.95,5.0
2020-11-03,19.65,20.11,19.29,20.01,268610,0.06,0.3
2020-11-04,19.96,20.87,19.94,20.37,57862,0.36,1.8
2020-11-05,19.96,20.0732,19.51,19.71,114278,-0.66,-3.24
2020-11-06,19.61,20.61,19.57,20.09,148585,0.38,1.93
2020-11-09,18.12,19.34,17.88,19.13,563546,-0.96,-4.78
2020-11-10,18.3,19.2,18.02,19.05,498957,-0.08,-0.42
2020-11-11,18.84,18.98,18.53,18.6,211424,-0.45,-2.36
2020-11-12,18.2,18.96,18.17,18.8,433795,0.2,1.0753
2020-11-13,18.57,18.84,18.51,18.73,122859,-0.07,-0.3723
2020-11-16,18.42,18.7,18.38,18.48,88801,-0.25,-1.33
2020-11-17,18.65,18.91,18.54,18.69,58356,0.21,1.1364
2020-11-18,18.46,18.52,18.2,18.2,67410,-0.49,-2.6217
2020-11-19,18.33,19.3,18.33,19.03,112872,0.83,4.5604
2020-11-20,18.73,19.37,18.6666,19.09,46736,0.06,0.3153
2020-11-23,18.7008,18.9068,18.44,18.44,41738,-0.65,-3.4049
2020-11-24,18.72,19.0601,18.69,18.84,62334,0.4,2.1692
2020-11-25,18.52,18.89,18.42,18.48,98347,-0.36,-1.9108
2020-11-27,18.58,19.08,18.58,19.03,31166,0.55,2.98
2020-11-30,19.1,19.38,19.0469,19.06,170845,0.03,0.1576
2020-12-01,19.1,19.31,18.875,19.28,61369,0.22,1.1542
2020-12-02,19.26,19.42,19.11,19.28,45581,0.0,0.0
2020-12-03,18.91,19.35,18.805,18.96,48407,-0.32,-1.66
2020-12-04,18.9,19.24,18.85,19.01,40312,0.05,0.26
2020-12-07,18.8,19.0,18.67,18.98,33979,-0.03,-0.1578
2020-12-08,18.8,19.07,18.72,19.01,29307,0.03,0.1581
2020-12-09,18.92,19.12,18.5001,18.76,84305,-0.25,-1.32
2020-12-10,18.61,18.945,18.4642,18.88,36255,0.12,0.6397
2020-12-11,18.69,19.0899,18.65,19.02,61226,0.14,0.7415
2020-12-14,19.12,19.7,19.115,19.57,31605,0.55,2.8917
2020-12-15,19.55,19.99,19.36,19.56,210581,-0.01,-0.0511
2020-12-16,19.65,19.9,19.47,19.69,75005,0.13,0.6646
2020-12-17,19.68,20.19,19.6,19.99,73557,0.3,1.5236
2020-12-18,19.57,19.92,19.32,19.64,117293,-0.35,-1.75
2020-12-21,19.17,20.05,19.17,19.84,474963,0.2,1.02
2020-12-22,19.62,20.09,19.48,19.92,865120,0.08,0.4
2020-12-23,19.93,20.29,19.93,20.16,22258,0.24,1.2
2020-12-24,20.26,20.37,20.0,20.3,14396,0.14,0.69
2020-12-28,20.42,20.9,20.42,20.7,64541,0.4,1.97
2020-12-29,20.3,20.68,20.2,20.3,410859,-0.4,-1.93
2020-12-30,20.52,23.48,20.48,22.45,372574,2.15,10.59
2020-12-31,22.03,22.03,20.7,21.55,241520,-0.9,-4.0089
2021-01-04,21.17,21.17,20.2026,20.47,99535,-1.08,-5.01
2021-01-05,20.33,20.34,19.9,20.29,78621,-0.18,-0.88
2021-01-06,20.14,20.33,19.5,20.01,1198224,-0.28,-1.38
2021-01-07,19.87,20.41,19.51,19.65,706448,-0.36,-1.8
2021-01-08,19.57,20.29,19.5482,19.64,235908,-0.01,-0.0509
2021-01-11,20.76,21.46,20.4,21.35,116981,1.71,8.71
2021-01-12,21.93,23.96,21.75,23.53,224515,2.18,10.21
2021-01-13,22.89,24.02,22.66,23.58,246911,0.05,0.2125
2021-01-14,23.42,24.69,23.25,23.34,168223,-0.24,-1.0178
2021-01-15,23.18,23.64,22.96,23.0,97831,-0.34,-1.46
2021-01-19,23.15,23.61,23.15,23.25,74035,0.25,1.087
2021-01-20,23.33,23.8,23.24,23.52,166258,0.27,1.1613
2021-01-21,23.54,23.76,23.26,23.32,91075,-0.2,-0.8503
2021-01-22,23.17,23.9,22.49,23.59,80553,0.27,1.1578
2021-01-25,23.56,23.9,23.19,23.89,243815,0.3,1.27
2021-01-26,23.48,23.68,22.09,22.38,182058,-1.51,-6.32
2021-01-27,22.96,23.34,22.41,23.08,218275,0.7,3.13
2021-01-28,22.72,23.28,22.55,23.16,26254,0.08,0.35
2021-01-29,22.92,23.35,22.65,23.13,101256,-0.03,-0.13
2021-02-01,22.88,22.88,22.48,22.65,114643,-0.48,-2.0752
2021-02-02,22.54,22.85,22.4706,22.74,104209,0.09,0.4
2021-02-03,22.52,22.52,22.08,22.08,82479,-0.66,-2.9024
2021-02-04,22.19,22.3243,21.88,22.24,101398,0.16,0.72
2021-02-05,22.2568,23.23,22.2568,22.65,41018,0.41,1.84
2021-02-08,22.9,23.22,22.8,22.92,47125,0.27,1.1921
2021-02-09,23.21,23.41,23.04,23.05,51380,0.13,0.57
2021-02-10,23.14,23.2199,22.8,23.0,54378,-0.05,-0.2169
2021-02-11,23.36,23.41,22.95,22.97,271203,-0.03,-0.13
2021-02-12,23.28,23.79,23.2,23.75,23979,0.78,3.4
2021-02-16,23.79,23.91,23.43,23.77,40451,0.02,0.08
2021-02-17,23.71,24.18,23.45,24.12,258596,0.35,1.47
2021-02-18,23.87,24.38,23.63,24.3,253737,0.18,0.75
2021-02-19,24.09,24.3265,23.78,23.8,269292,-0.5,-2.0576
2021-02-22,23.89,23.96,23.32,23.58,96383,-0.22,-0.92
2021-02-23,23.42,23.44,22.75,23.28,34762,-0.3,-1.27
2021-02-24,23.12,23.16,22.24,22.46,50057,-0.82,-3.52
2021-02-25,23.24,23.33,22.67,22.85,30521,0.39,1.74
2021-02-26,23.32,23.99,23.12,23.83,71376,0.98,4.29
2021-03-01,23.05,23.33,22.25,22.59,171537,-1.24,-5.2
2021-03-02,22.33,22.98,22.22,22.92,229314,0.33,1.46
2021-03-03,22.7,22.7,21.66,22.21,80143,-0.71,-3.1
2021-03-04,21.5,21.68,20.9591,21.13,97417,-1.08,-4.86
2021-03-05,21.15,21.28,20.79,21.11,127610,-0.02,-0.09
