日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2014-12-19,112.5,112.5,93.5,93.75,58059,,
2014-12-22,96.25,96.25,91.725,92.5,27025,,
2014-12-23,92.5,92.5,83.25,91.25,5890,,
2014-12-24,88.75,91.25,85.5,86.0,5885,,
2014-12-26,87.975,91.25,84.35,91.05,5019,,
2014-12-29,82.5,87.5,82.5,87.5,14279,,
2014-12-30,91.25,92.5,88.75,89.025,4426,,
2014-12-31,88.0,93.75,86.25,86.25,29613,,
2015-01-02,84.25,85.0,80.0,85.0,19146,,
2015-01-05,92.75,93.75,80.25,80.25,26246,,
2015-01-06,85.0,87.5,80.225,81.225,5710,,
2015-01-07,86.75,87.0,83.5,83.5,4116,,
2015-01-08,82.5,85.0,82.5,82.5,12084,,
2015-01-09,81.25,81.25,80.025,80.875,11539,,
2015-01-12,80.0,87.5,80.0,87.5,14927,,
2015-01-13,83.75,83.75,76.75,81.8,12283,,
2015-01-14,78.75,79.0,77.0,77.475,18983,,
2015-01-15,77.5,81.25,77.475,77.5,38374,,
2015-01-16,77.0,86.25,77.0,81.25,4720,,
2015-01-20,83.825,83.825,78.25,78.35,5605,,
2015-01-21,78.0,83.0,77.0,79.75,10000,,
2015-01-22,77.0,79.2,77.0,77.5,1807,,
2015-01-23,79.75,81.0,77.25,78.5,7007,,
2015-01-26,79.25,82.5,79.225,80.0,27628,,
2015-01-27,79.0,81.225,77.5,80.65,20003,,
2015-01-28,81.25,83.75,79.5,83.75,8201,,
2015-01-29,80.25,81.25,77.25,81.25,1183,,
2015-01-30,77.5,82.25,77.5,78.5,10001,,
2015-02-02,77.5,82.5,77.5,79.75,13156,,
2015-02-03,78.75,78.75,78.75,78.75,201,,
2015-02-04,78.725,78.75,77.275,77.5,4169,,
2015-02-05,77.0,78.75,77.0,77.5,1185,,
2015-02-06,77.0,85.0,76.75,77.25,19797,,
2015-02-09,77.5,77.5,74.0,75.0,4981,,
2015-02-10,74.0,77.5,72.15,75.0,9270,,
2015-02-11,76.0,80.0,75.4,78.225,25624,,
2015-02-12,77.75,77.75,72.0,77.5,2832,,
2015-02-13,77.5,78.0,72.9,77.5,19061,,
2015-02-17,73.0,77.5,73.0,77.5,4580,,
2015-02-18,75.0,82.225,75.0,77.5,11091,,
2015-02-19,75.0,80.0,75.0,77.5,21514,,
2015-02-20,77.175,77.5,77.175,77.5,8410,,
2015-02-23,77.75,79.475,75.0,77.5,12912,,
2015-02-24,76.25,80.75,76.25,78.0,9941,,
