日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2016-05-13,29.0,31.94,29.0,30.95,4191956,7.95,34.57
2016-05-16,30.99,31.25,28.01,28.12,525422,-2.83,-9.14
2016-05-17,28.0,28.88,28.0,28.45,426467,0.33,1.17
2016-05-18,28.78,29.43,27.56,28.0,251224,-0.45,-1.58
2016-05-19,27.05,28.86,27.05,28.38,288795,0.38,1.36
2016-05-20,28.67,30.1,28.411,29.38,292294,1.0,3.52
2016-05-23,29.86,33.28,29.47,32.7,1232612,3.32,11.3
2016-05-24,32.73,35.83,31.668,35.35,895325,2.65,8.1
2016-05-25,35.6,37.77,34.82,37.34,1346388,1.99,5.63
2016-05-26,36.97,38.43,36.302,36.96,886004,-0.38,-1.02
2016-05-27,36.99,38.09,36.06,38.0,280331,1.04,2.81
2016-05-31,38.12,39.43,37.59,39.28,360303,1.28,3.37
2016-06-01,39.17,43.1,38.71,39.57,992329,0.29,0.74
2016-06-02,39.4,40.46,37.37,37.54,863954,-2.03,-5.13
2016-06-03,37.35,37.79,35.11,35.24,518740,-2.3,-6.13
2016-06-06,35.37,36.85,35.33,35.9,425402,0.66,1.87
2016-06-07,36.84,41.2,36.605,38.52,896923,2.62,7.3
2016-06-08,39.49,39.62,37.54,37.6,294361,-0.92,-2.39
2016-06-09,37.6,38.302,35.68,37.75,296318,0.15,0.4
2016-06-10,37.5,39.346,37.01,38.26,291584,0.51,1.35
2016-06-13,37.2,39.28,35.71,36.26,447874,-2.0,-5.23
2016-06-14,36.03,38.65,36.03,38.55,399258,2.29,6.32
2016-06-15,39.0,42.61,38.554,41.85,914495,3.3,8.56
2016-06-16,42.38,45.75,40.0,44.32,967160,2.47,5.9
2016-06-17,45.46,45.75,43.155,43.89,646718,-0.43,-0.97
2016-06-20,44.95,45.75,40.59,41.19,901448,-2.7,-6.15
2016-06-21,41.16,41.74,38.65,38.9,1022185,-2.29,-5.56
2016-06-22,38.49,40.86,38.13,39.68,681107,0.78,2.01
2016-06-23,40.68,40.78,37.53,39.05,458232,-0.63,-1.59
2016-06-24,37.08,39.77,37.03,37.26,1059132,-1.79,-4.58
2016-06-27,37.03,37.495,32.92,34.45,1058728,-2.81,-7.54
2016-06-28,35.45,38.81,35.05,38.19,1001369,3.74,10.86
2016-06-29,39.19,39.25,37.14,37.86,397436,-0.33,-0.86
2016-06-30,37.59,40.0,36.86,39.94,537742,2.08,5.49
2016-07-01,40.0,42.34,39.29,41.08,582529,1.14,2.85
2016-07-05,42.24,42.24,40.04,41.36,344567,0.28,0.68
2016-07-06,40.76,43.0,40.1,42.89,401504,1.53,3.7
2016-07-07,43.22,47.07,43.2,44.19,1312984,1.3,3.03
2016-07-08,45.75,46.94,43.58,43.95,883600,-0.24,-0.54
2016-07-11,46.07,49.39,45.385,48.87,1922990,4.92,11.19
2016-07-12,49.32,51.87,48.31,51.36,1329487,2.49,5.1
2016-07-13,51.5,51.5,47.0,49.62,1480262,-1.74,-3.39
2016-07-14,51.13,52.63,50.27,52.43,1143412,2.81,5.66
2016-07-15,53.4,54.9,52.99,54.78,806461,2.35,4.48
2016-07-18,54.5,58.4,53.237,57.09,1228068,2.31,4.22
2016-07-19,57.22,60.9,55.88,58.73,2247351,1.64,2.87
2016-07-20,58.73,63.12,57.06,62.4,1566607,3.67,6.25
2016-07-21,62.53,63.879,56.88,57.85,1832785,-4.55,-7.29
2016-07-22,58.36,61.138,57.56,59.16,802855,1.31,2.26
2016-07-25,60.91,64.0,59.11,63.38,1044990,4.22,7.13
2016-07-26,64.89,65.5,59.52,59.65,904243,-3.73,-5.89
2016-07-27,62.38,64.91,60.031,64.9,1080855,5.25,8.8
2016-07-28,63.2,64.63,62.25,63.46,603334,-1.44,-2.22
2016-07-29,64.25,66.0,63.4,65.03,600048,1.57,2.47
2016-08-01,65.84,66.43,63.55,63.97,529003,-1.06,-1.63
2016-08-02,65.0,65.38,59.79,60.79,733801,-3.18,-4.97
