日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1997-01-02,18.7209,19.2185,18.5344,19.2185,944400,0.6283,3.38
1997-01-03,19.3429,19.7783,19.0319,19.4673,1038400,0.2365,1.23
1997-01-06,19.4673,20.2136,19.2185,20.1514,1141900,0.7077,3.64
1997-01-07,19.9027,21.1466,19.7783,20.96,1913400,0.7868,3.9
1997-01-08,21.3954,21.9551,21.0222,21.0222,2615200,0.0796,0.38
1997-01-09,21.0222,21.1466,20.2758,20.5868,1323100,-0.433,-2.06
1997-01-10,20.0271,20.338,18.9075,19.5295,3658400,-1.0604,-5.15
1997-01-13,19.7161,19.9027,19.5917,19.5917,437400,0.0781,0.4
1997-01-14,19.7783,19.7783,19.1563,19.4051,1118500,-0.196,-1.0
1997-01-15,19.2185,19.4051,18.5344,18.5344,1403800,-0.8632,-4.45
1997-01-16,18.7831,18.8453,18.1612,18.6274,1674700,0.0779,0.42
1997-01-17,18.5344,19.0319,18.41,18.5966,1292600,-0.0391,-0.21
1997-01-20,18.8453,19.1563,18.7209,18.8453,933600,0.4291,2.33
1997-01-21,18.9075,19.0941,18.41,18.4722,1050500,-0.5497,-2.89
1997-01-22,18.4722,18.9697,17.6014,18.9075,1377200,0.4323,2.34
1997-01-23,19.0319,19.0319,18.1612,18.1612,1378000,-0.7469,-3.95
1997-01-24,18.3478,18.6587,17.7258,17.9124,1008800,-0.2359,-1.3
1997-01-27,17.9746,18.0368,17.3526,17.7258,825800,-0.1972,-1.1
1997-01-28,18.1612,18.7209,17.7258,18.1612,1888100,0.4326,2.44
1997-01-29,18.2856,18.3478,17.788,17.9746,790200,-0.1578,-0.87
1997-01-30,18.2234,18.7209,17.9746,18.5966,1001000,0.5906,3.28
1997-01-31,18.6587,19.0319,18.4722,18.8453,1146300,0.2748,1.48
1997-02-03,18.9075,19.0319,18.5344,18.7209,647400,-0.1567,-0.83
1997-02-04,18.5966,18.7831,18.0368,18.1612,1029200,-0.5501,-2.94
1997-02-05,18.2856,18.2856,17.2282,17.2904,931400,-0.8642,-4.76
1997-02-06,17.6014,17.788,17.2282,17.6014,709200,0.3146,1.82
1997-02-07,17.788,18.3478,17.6014,18.1612,1079900,0.5495,3.12
1997-02-10,18.7209,19.1872,18.4722,18.7831,1628400,0.6282,3.46
1997-02-11,18.9697,19.1563,18.1612,18.192,2137200,-0.5897,-3.14
1997-02-12,18.2234,19.4051,17.9124,19.2494,1264400,1.0604,5.83
1997-02-13,19.2807,19.6847,19.1563,19.5917,1116900,0.354,1.84
1997-02-14,19.5295,19.6539,18.5966,18.6587,519700,-0.9428,-4.81
1997-02-18,18.7831,19.8405,18.6587,19.7783,1636500,1.1001,5.89
1997-02-19,19.5917,20.0271,19.1563,19.7161,944700,-0.0395,-0.2
1997-02-20,19.7161,19.7161,19.1563,19.5917,701900,-0.1183,-0.6
1997-02-21,19.5917,19.5917,18.2234,18.3478,1092000,-1.2566,-6.41
1997-02-24,18.2234,18.2234,17.6636,18.1612,1246300,-0.2355,-1.28
1997-02-25,18.1612,19.0319,18.1612,18.8453,1118400,0.0,0.0
1997-02-26,18.9697,19.0319,18.41,18.4722,938700,0.3533,1.95
1997-02-27,18.4722,18.5966,17.6636,17.6636,792400,-0.786,-4.26
1997-02-28,17.6636,18.5966,17.6636,18.1612,1090900,0.4723,2.67
1997-03-03,18.2234,18.41,17.9124,18.2856,527500,0.1181,0.65
1997-03-04,18.5344,18.7831,18.1612,18.2234,491300,-0.0402,-0.22
1997-03-05,18.3478,18.5966,17.9746,18.1612,722000,-0.0784,-0.43
1997-03-06,18.099,18.3478,17.6014,17.6014,573400,-0.55,-3.03
1997-03-07,17.9124,17.9746,16.4819,16.7615,1844900,-0.8248,-4.69
1997-03-10,16.8551,17.6014,16.2331,17.6014,1538800,-0.6934,-3.79
1997-03-11,17.5392,17.5392,16.7929,16.9481,910500,-0.4025,-2.32
1997-03-12,17.2904,17.2904,16.4197,16.5441,1685000,0.0,0.0
1997-03-13,16.4197,16.6685,16.1709,16.5441,1055200,0.0,0.0
1997-03-14,16.7307,17.0417,16.5441,16.5441,957700,0.0,0.0
1997-03-17,16.6685,17.4148,16.4197,17.2904,1305200,0.0775,0.45
1997-03-18,17.5392,17.6636,16.7929,17.3526,1232600,1.6673,10.63
1997-03-19,19.3429,19.5917,19.0319,19.2185,7075400,0.8995,4.91
1997-03-20,19.4051,20.2136,18.9075,20.1514,3625800,0.3466,1.75
1997-03-21,19.9649,20.649,19.7783,20.5246,2044000,0.0,0.0
1997-03-24,20.2758,20.5868,19.9649,20.4002,1220000,0.2339,1.16
1997-03-25,20.338,20.8978,20.338,20.649,1927000,0.6112,3.05
1997-03-26,20.649,21.7063,20.5868,21.271,1823700,-0.8173,-3.7
1997-03-27,21.271,21.3332,20.2758,20.4624,1716000,0.0,0.0
1997-03-31,20.4002,20.5246,19.9027,19.9649,1803400,-0.1185,-0.59
1997-04-01,19.5295,20.1514,19.5295,19.8405,990300,0.4233,2.18
1997-04-02,19.7783,20.4002,19.6539,20.2758,1169400,0.6097,3.1
1997-04-03,20.2758,21.1466,20.2136,20.8978,1337100,0.0,0.0
1997-04-04,20.8356,21.6441,20.649,21.3954,2258400,0.5096,2.44
1997-04-07,21.7063,22.3905,21.4576,21.582,2040700,0.1564,0.73
1997-04-08,21.5198,21.8307,21.0222,21.7063,1276300,0.1187,0.55
1997-04-09,21.776,21.8307,21.0844,21.3954,863000,-0.3545,-1.63
1997-04-10,21.3954,21.5198,20.8356,20.8665,861400,-0.4716,-2.21
1997-04-11,20.4624,20.7734,20.2758,20.5246,606500,0.4536,2.26
1997-04-14,20.5246,21.2088,20.5246,21.0222,1227500,-0.3136,-1.47
1997-04-15,21.0844,21.3332,20.7112,20.8978,1443000,-0.1177,-0.56
1997-04-16,20.8978,20.96,20.2758,20.649,940500,-0.2762,-1.32
1997-04-17,20.649,21.271,20.4002,20.649,1024600,0.0,0.0
1997-04-18,20.96,21.0222,19.9649,20.0271,1924500,-0.5896,-2.86
1997-04-21,20.0893,20.4624,19.8405,19.8405,944300,-0.1964,-0.98
1997-04-22,19.8405,19.9027,18.5344,19.7783,1651100,-0.0794,-0.4
1997-04-23,19.7783,20.649,19.7161,20.0271,1133400,0.2746,1.39
1997-04-24,20.2136,20.5246,20.0271,20.2136,908600,0.1564,0.78
1997-04-25,20.2136,20.2136,18.8453,18.8453,1063300,-1.3338,-6.61
1997-04-28,18.9075,19.9649,18.3478,19.2185,2480800,0.3528,1.87
1997-04-29,19.2807,19.7783,19.0941,19.1563,1796600,-0.0384,-0.2
1997-04-30,19.0319,19.5295,18.9075,19.4673,1011300,0.2745,1.43
1997-05-01,20.4624,21.1466,20.2758,20.7734,4477500,1.3354,6.87
1997-05-02,20.8978,21.8929,20.7112,21.8929,3578600,1.0999,5.29
1997-05-05,22.0795,23.2612,21.8929,23.1368,9749600,1.258,5.75
