日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2018-07-27,4.0,4.3995,3.95,4.05,285420,0.0,0.0
2018-07-30,4.1,4.25,3.96,4.0059,43695,-0.044,-1.09
2018-07-31,3.75,4.1639,3.75,4.0,16421,-0.006,-0.15
2018-08-01,4.2913,4.3501,4.1659,4.25,13943,0.25,6.25
2018-08-02,4.3,4.3,3.9968,3.9968,6676,-0.253,-5.95
2018-08-03,4.0336,4.18,3.9866,4.0,48069,0.003,0.08
2018-08-06,4.14,4.18,3.98,3.98,29596,-0.02,-0.5
2018-08-07,4.0,4.0,3.905,3.905,30604,-0.075,-1.88
2018-08-08,4.0,4.0,3.8,3.8,23630,-0.105,-2.69
2018-08-09,3.75,3.75,3.2401,3.3,34990,-0.5,-13.16
2018-08-10,3.4935,3.4935,3.33,3.43,486,0.13,3.94
2018-08-13,3.42,3.57,3.4,3.42,6603,-0.01,-0.29
2018-08-14,3.27,3.85,3.0,3.85,36990,0.43,12.57
2018-08-15,3.75,3.75,3.53,3.75,2090,-0.1,-2.6
2018-08-16,3.75,3.75,3.75,3.75,619,0.0,0.0
2018-08-17,3.756,3.84,3.26,3.84,19975,0.09,2.4
2018-08-20,3.8,3.84,3.5,3.515,12323,-0.325,-8.46
2018-08-21,3.65,3.85,3.6,3.7083,9257,0.193,5.49
2018-08-22,3.6466,3.6531,3.6,3.6,4065,-0.108,-2.91
2018-08-23,3.51,3.54,3.38,3.54,4034,-0.06,-1.67
2018-08-24,3.17,3.2592,2.94,3.25,7040,-0.29,-8.19
2018-08-27,3.41,3.41,2.95,3.02,15322,-0.23,-7.08
2018-08-28,3.1003,3.1003,3.02,3.0996,2958,0.08,2.65
2018-08-29,3.33,3.33,2.986,3.03,7295,-0.07,-2.26
2018-08-30,3.049,3.199,3.0,3.15,10143,0.12,3.96
2018-08-31,3.0,3.1,3.0,3.0841,14263,-0.066,-2.1
2018-09-04,3.34,3.6,2.74,3.13,15546,0.046,1.49
2018-09-05,2.8,3.46,2.75,2.9,22033,-0.23,-7.35
2018-09-06,2.99,3.58,2.9,2.9,21499,0.0,0.0
2018-09-07,3.09,3.09,2.74,2.9,1714,0.0,0.0
2018-09-10,3.0,3.0,2.77,2.8,4977,-0.1,-3.45
2018-09-11,2.76,3.0,2.75,2.85,17224,0.05,1.79
2018-09-12,3.0,3.4499,2.7648,2.89,98050,0.04,1.4
2018-09-13,3.0,3.0,2.51,2.94,24117,0.05,1.73
2018-09-14,2.9,2.95,2.73,2.75,6315,-0.19,-6.46
2018-09-17,2.85,3.36,2.76,2.92,33658,0.17,6.18
2018-09-18,2.99,3.8899,2.99,3.2,294286,0.28,9.59
2018-09-19,3.18,3.2,2.76,2.9,30857,-0.3,-9.38
2018-09-20,2.88,3.19,2.8501,2.94,11954,0.04,1.38
2018-09-21,3.16,3.2124,2.9,2.9,18635,-0.04,-1.36
2018-09-24,3.04,3.04,2.8105,2.91,1139,0.01,0.34
2018-09-25,2.89,3.1499,2.83,2.85,59848,-0.06,-2.06
2018-09-26,2.9499,2.9499,2.75,2.75,21670,-0.1,-3.51
2018-09-27,2.75,2.9863,2.75,2.87,2258,0.12,4.36
2018-09-28,2.93,3.0792,2.725,2.725,17782,-0.145,-5.05
2018-10-01,2.76,2.8644,2.72,2.72,12045,-0.005,-0.18
2018-10-02,2.76,2.76,2.56,2.6408,32351,-0.079,-2.9
2018-10-03,2.87,3.4,2.6113,2.7,24601,0.059,2.23
2018-10-04,2.71,3.0961,2.71,2.7521,4998,0.052,1.93
2018-10-05,2.72,2.9999,2.72,2.75,1823,-0.002,-0.07
2018-10-08,2.85,2.8849,2.72,2.72,3939,-0.03,-1.09
2018-10-09,2.6001,2.96,2.6001,2.96,1980,0.24,8.82
2018-10-10,2.8829,2.8829,2.6,2.6,7245,-0.36,-12.16
2018-10-11,2.74,2.86,2.56,2.64,6125,0.04,1.54
2018-10-12,2.63,2.63,2.61,2.61,3044,-0.03,-1.14
2018-10-15,2.59,2.59,2.56,2.56,3443,-0.05,-1.92
2018-10-16,2.62,2.62,2.56,2.56,7605,0.0,0.0
2018-10-17,2.56,2.5701,2.56,2.5701,1070,0.01,0.39
2018-10-18,2.57,2.59,2.17,2.19,11199,-0.38,-14.79
2018-10-19,2.5182,2.6799,2.5182,2.63,2714,0.44,20.09
2018-10-22,2.62,2.62,2.4,2.41,2580,-0.22,-8.37
2018-10-23,2.599,2.79,2.25,2.6,9304,0.19,7.88
2018-10-24,2.5125,2.5125,2.05,2.11,16046,-0.49,-18.85
2018-10-25,2.24,2.24,1.85,2.0,10565,-0.11,-5.21
2018-10-26,1.9919,2.1,1.8601,1.95,1406,-0.05,-2.5
2018-10-29,2.04,2.04,1.88,1.88,417,-0.07,-3.59
2018-10-30,2.01,2.0594,1.9,1.9,5649,0.02,1.06
2018-10-31,1.91,1.91,1.85,1.8944,11458,-0.006,-0.32
2018-11-01,1.97,1.97,1.85,1.91,19851,0.016,0.84
2018-11-02,1.88,2.115,1.8701,2.0,45580,0.09,4.71
2018-11-05,1.9,2.25,1.86,1.93,253433,-0.07,-3.5
2018-11-06,2.12,2.12,1.6973,1.7,47691,-0.23,-11.92
2018-11-07,1.68,1.68,1.23,1.4,78655,-0.3,-17.65
2018-11-08,1.5438,2.1,1.2601,1.4001,512507,0.0,0.0
2018-11-09,1.487,1.6543,1.3,1.57,139774,0.17,12.14
2018-11-12,1.623,1.642,1.4045,1.41,38234,-0.16,-10.19
2018-11-13,1.4997,1.4997,1.27,1.27,65203,-0.14,-9.93
2018-11-14,1.27,1.3936,1.11,1.21,37713,-0.06,-4.72
2018-11-15,1.27,1.4409,1.1055,1.3838,56663,0.174,14.38
2018-11-16,1.45,1.45,1.22,1.44,6868,0.056,4.05
2018-11-19,1.44,1.44,1.2851,1.38,34215,-0.06,-4.17
2018-11-20,1.26,1.5199,1.26,1.35,40664,-0.03,-2.17
2018-11-21,1.45,1.5699,1.44,1.52,34422,0.17,12.59
2018-11-23,1.54,1.5445,1.33,1.33,44013,-0.19,-12.5
2018-11-26,1.54,1.68,1.425,1.66,49360,0.33,24.81
2018-11-27,1.66,1.66,1.3334,1.35,12060,-0.31,-18.67
2018-11-28,1.47,1.47,1.3,1.32,28171,-0.03,-2.22
2018-11-29,1.42,4.26,1.42,2.8,6571852,1.48,112.12
2018-11-30,3.54,5.0,3.5374,3.84,18333982,1.04,37.14
2018-12-03,3.5,3.5,2.77,2.83,1096025,-1.01,-26.3
2018-12-04,2.8,3.39,2.67,2.8,614528,-0.03,-1.06
2018-12-06,2.8,3.14,2.5,3.0,461289,0.2,7.14
2018-12-07,3.0,3.03,2.38,2.38,226050,-0.62,-20.67
2018-12-10,2.38,2.4978,1.98,2.13,255618,-0.25,-10.5
2018-12-11,2.14,2.2404,1.8,1.96,147769,-0.17,-7.98
2018-12-12,2.02,2.25,1.85,2.03,274954,0.07,3.57
2018-12-13,2.88,4.33,2.55,4.16,29023954,2.13,104.93
2018-12-14,3.65,4.09,3.33,3.8,4458749,-0.36,-8.65
2018-12-17,3.46,3.6,2.8,2.8,718071,-1.0,-26.32
2018-12-18,2.89,3.1833,2.72,2.95,441659,0.15,5.36
2018-12-19,3.52,4.18,3.29,3.64,10434192,0.69,23.39
2018-12-20,3.57,3.57,2.86,3.07,945229,-0.57,-15.66
2018-12-21,3.2,4.3,3.0,4.3,812004,1.23,40.07
2018-12-24,3.85,5.75,3.6,4.95,4458344,0.65,15.12
2018-12-26,5.5,7.45,5.45,6.31,10023548,1.36,27.47
2018-12-27,5.7,6.67,5.45,5.78,2566056,-0.53,-8.4
2018-12-28,5.8,5.9,5.1,5.55,563512,-0.23,-3.98
2018-12-31,5.42,5.508,5.01,5.12,246863,-0.43,-7.75
2019-01-02,4.94,6.5,4.65,6.5,1003165,1.38,26.95
2019-01-03,6.29,7.18,6.05,6.75,2134476,0.25,3.85
2019-01-04,6.78,7.15,6.11,6.4,769807,-0.35,-5.19
2019-01-07,6.4,6.55,5.7,6.0,260390,-0.4,-6.25
2019-01-08,5.89,6.29,5.78,6.29,172004,0.29,4.83
2019-01-09,6.23,6.2451,6.0,6.05,66434,-0.24,-3.82
2019-01-10,6.0,7.09,6.0,6.78,843409,0.73,12.07
2019-01-11,6.83,7.49,6.5,6.97,387673,0.19,2.8
2019-01-14,7.09,7.55,6.97,7.27,295521,0.3,4.3
2019-01-15,7.48,9.44,7.35,8.33,1449236,1.06,14.58
2019-01-16,8.19,8.489,7.52,7.6,277324,-0.73,-8.76
2019-01-17,7.6,7.6807,6.9,7.1,263752,-0.5,-6.58
2019-01-18,7.1,8.0,6.31,6.7,551900,-0.4,-5.63
2019-01-22,6.44,7.14,5.78,5.8,430411,-0.9,-13.43
2019-01-23,5.66,5.8,5.0,5.4,400243,-0.4,-6.9
2019-01-24,5.71,6.389,5.35,5.95,363180,0.55,10.19
2019-01-25,5.96,6.0,5.52,5.84,103687,-0.11,-1.85
2019-01-28,5.69,5.69,5.07,5.2,300267,-0.64,-10.96
2019-01-29,5.16,5.4025,4.66,4.82,292877,-0.38,-7.31
2019-01-30,4.96,6.11,4.7,5.48,358767,0.66,13.69
2019-01-31,5.42,5.5999,5.09,5.47,117430,-0.01,-0.18
2019-02-01,5.75,7.0,5.65,6.88,1899218,1.41,25.78
2019-02-04,6.76,6.8,6.1,6.46,837424,-0.42,-6.1
2019-02-05,6.17,6.64,6.05,6.19,253005,-0.27,-4.18
2019-02-06,6.1,6.13,5.75,5.95,223025,-0.24,-3.88
2019-02-07,5.95,5.95,5.65,5.86,82694,-0.09,-1.51
2019-02-08,5.76,5.76,5.1847,5.39,172173,-0.47,-8.02
2019-02-11,5.35,5.76,5.21,5.25,166148,-0.14,-2.6
2019-02-12,4.98,5.15,4.21,4.74,1430028,-0.51,-9.71
2019-02-13,4.72,5.05,4.35,4.64,527709,-0.1,-2.11
2019-02-14,4.37,4.65,4.21,4.3,326303,-0.34,-7.33
2019-02-15,4.36,4.3799,3.941,4.2,452120,-0.1,-2.33
2019-02-19,4.07,4.15,3.52,3.59,712226,-0.61,-14.52
2019-02-20,3.8,3.9,3.2,3.37,888085,-0.22,-6.13
2019-02-21,3.35,4.6,3.29,3.97,5511641,0.6,17.8
2019-02-22,3.98,4.19,3.8,3.83,531179,-0.14,-3.53
2019-02-25,3.76,4.0,3.56,3.97,343138,0.14,3.66
2019-02-26,3.78,3.9289,3.6805,3.69,270908,-0.28,-7.05
2019-02-27,3.76,3.78,3.57,3.6,142161,-0.09,-2.44
2019-02-28,3.65,4.09,3.42,3.61,752325,0.01,0.28
2019-03-01,3.61,3.65,3.4141,3.51,181550,-0.1,-2.77
2019-03-04,3.5,3.5499,3.27,3.37,146552,-0.14,-3.99
2019-03-05,3.38,3.4,3.25,3.33,203063,-0.04,-1.19
2019-03-06,3.36,3.5798,3.268,3.45,750512,0.12,3.6
2019-03-07,3.5,3.51,3.27,3.33,203931,-0.12,-3.48
2019-03-08,3.3,3.92,3.29,3.39,1768982,0.06,1.8
2019-03-11,3.35,3.706,3.35,3.61,561036,0.22,6.49
2019-03-12,3.59,3.69,3.4207,3.45,383601,-0.16,-4.43
2019-03-13,3.47,3.67,3.43,3.63,288588,0.18,5.22
2019-03-14,3.6,3.9,3.6,3.63,724355,0.0,0.0
2019-03-15,3.6,3.73,3.3,3.31,519280,-0.32,-8.82
2019-03-18,3.35,3.39,2.99,3.01,476968,-0.3,-9.06
2019-03-19,3.01,3.1489,2.92,2.98,205421,-0.03,-1.0
2019-03-20,3.0,3.07,2.88,2.92,96022,-0.06,-2.01
2019-03-21,2.91,3.11,2.74,3.11,198303,0.19,6.51
2019-03-22,3.1,3.13,2.85,3.01,139078,-0.1,-3.22
2019-03-25,2.99,2.99,2.83,2.98,59500,-0.03,-1.0
2019-03-26,2.98,3.0254,2.8508,2.95,66337,-0.03,-1.01
2019-03-27,2.96,2.96,2.822,2.94,58093,-0.01,-0.34
2019-03-28,2.93,3.28,2.8941,3.24,227532,0.3,10.2
