日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-12-23,9.7108,10.88,9.25,9.677,57805,-0.093,-0.95
2021-12-27,9.99,9.99,8.52,8.95,125715,-0.727,-7.5127
2021-12-28,9.58,9.99,9.0363,9.72,54183,0.77,8.6
2021-12-29,9.74,9.74,9.12,9.25,45451,-0.47,-4.8354
2021-12-30,9.72,9.7499,9.11,9.32,83025,0.07,0.7568
2021-12-31,9.5,9.53,9.1,9.13,29428,-0.19,-2.04
2022-01-03,9.49,9.49,9.1,9.17,24955,0.04,0.4381
2022-01-04,9.56,9.56,9.0,9.14,21158,-0.03,-0.3272
2022-01-05,9.15,9.15,8.7071,8.86,78240,-0.28,-3.0635
2022-01-06,9.0,9.0,8.6801,8.85,26506,-0.01,-0.1129
2022-01-07,8.75,9.29,8.65,9.2,24810,0.35,3.9548
2022-01-10,9.2,9.2,8.21,8.9,53793,-0.3,-3.26
2022-01-11,8.8,9.0625,8.5187,8.57,62211,-0.33,-3.7079
2022-01-12,8.51,9.06,8.5001,8.75,44761,0.18,2.1004
2022-01-13,9.0,9.0,8.51,8.69,35923,-0.06,-0.6857
2022-01-14,9.14,9.14,8.5,8.7,35783,0.01,0.1151
2022-01-18,8.99,9.1,8.5,8.58,28938,-0.12,-1.3793
2022-01-19,8.7,9.81,8.61,9.2,142524,0.62,7.2261
2022-01-20,9.15,9.1999,8.85,8.94,77361,-0.26,-2.8261
2022-01-21,9.02,9.17,7.81,7.99,59187,-0.95,-10.63
2022-01-24,7.69,8.04,7.295,7.89,105199,-0.1,-1.2516
2022-01-25,8.36,8.85,7.92,8.63,68025,0.74,9.379
2022-01-26,8.63,8.99,8.195,8.61,67838,-0.02,-0.2317
2022-01-27,8.83,8.83,8.348,8.58,113324,-0.03,-0.3484
2022-01-28,8.57,8.79,8.15,8.62,33604,0.04,0.4662
2022-01-31,8.6,9.0,8.45,8.6982,85489,0.078,0.9
2022-02-01,8.69,9.16,8.535,8.63,15284,-0.068,-0.78
2022-02-02,8.77,8.9651,8.5,8.57,12804,-0.06,-0.7
2022-02-03,8.63,8.9,7.8,8.22,107271,-0.35,-4.084
2022-02-04,8.05,8.36,7.8,8.0,106366,-0.22,-2.6764
2022-02-07,8.0,8.21,7.84,7.99,4205,-0.01,-0.125
2022-02-08,7.93,8.13,7.36,7.86,76159,-0.13,-1.63
2022-02-09,7.86,8.29,7.86,8.28,44922,0.42,5.34
2022-02-10,8.2,8.5099,7.91,8.21,29075,-0.07,-0.85
2022-02-11,8.86,8.8699,8.2,8.46,261299,0.25,3.05
2022-02-14,8.84,8.84,8.1,8.46,242579,0.0,0.0
2022-02-15,8.75,8.99,8.41,8.99,42502,0.53,6.2648
2022-02-16,9.21,9.29,8.61,9.0,50727,0.01,0.1112
2022-02-17,9.0,9.0751,8.6,8.74,26445,-0.26,-2.8889
2022-02-18,8.75,8.82,8.37,8.5,43453,-0.24,-2.75
2022-02-22,8.78,8.85,8.06,8.43,216855,-0.07,-0.8235
2022-02-23,8.32,8.55,8.05,8.29,21894,-0.14,-1.6607
2022-02-24,8.06,8.2,7.93,8.05,40239,-0.24,-2.9
2022-02-25,8.3001,8.4999,8.05,8.05,80690,0.0,0.0
2022-02-28,8.14,8.6399,8.0601,8.48,16790,0.43,5.3416
2022-03-01,8.33,8.58,8.25,8.45,37286,-0.03,-0.35
2022-03-02,8.555,9.119,8.555,9.1,300568,0.65,7.69
2022-03-03,8.98,9.065,8.75,8.78,32644,-0.32,-3.52
2022-03-04,8.76,8.8,8.3,8.4,10799,-0.38,-4.33
2022-03-07,8.31,8.4276,8.05,8.16,22210,-0.24,-2.8571
2022-03-08,8.29,8.29,7.8,7.88,59318,-0.28,-3.43
2022-03-09,7.9,8.07,7.74,7.89,28344,0.01,0.1269
2022-03-10,8.11,8.11,7.75,7.9,26569,0.01,0.13
2022-03-11,8.64,8.64,7.8501,7.99,21935,0.09,1.14
2022-03-14,8.13,8.13,7.7,7.7,35034,-0.29,-3.63
2022-03-15,7.87,7.93,7.6924,7.93,2656,0.23,2.99
2022-03-16,7.93,8.1154,7.61,7.66,15741,-0.27,-3.4
2022-03-17,8.05,8.06,7.7,7.7,15447,0.04,0.52
2022-03-18,7.75,7.83,7.53,7.61,21085,-0.09,-1.1688
2022-03-21,7.9,8.05,7.56,7.82,33910,0.21,2.7595
2022-03-22,7.68,8.0,7.68,7.89,44824,0.07,0.8951
2022-03-23,7.77,8.0445,7.77,7.91,48653,0.02,0.25
2022-03-24,7.91,8.23,7.77,8.23,50545,0.32,4.05
2022-03-25,8.3428,8.4,7.95,8.31,23754,0.08,0.97
2022-03-28,8.3,8.365,7.77,7.93,28547,-0.38,-4.57
2022-03-29,8.2,8.42,7.945,7.98,51677,0.05,0.63
2022-03-30,8.01,8.6,8.01,8.34,46763,0.36,4.51
2022-03-31,8.19,8.85,8.19,8.62,27057,0.28,3.36
2022-04-01,8.96,8.96,8.55,8.71,35268,0.09,1.04
2022-04-04,8.92,8.92,8.24,8.24,15863,-0.47,-5.4
2022-04-05,8.24,8.24,8.06,8.06,16557,-0.18,-2.18
2022-04-06,7.8816,7.93,7.77,7.83,9236,-0.23,-2.8536
2022-04-07,7.77,8.1499,6.73,7.04,150931,-0.79,-10.09
2022-04-08,7.18,7.2,7.0,7.0,31787,-0.04,-0.57
2022-04-11,6.96,7.27,6.95,7.0,14122,0.0,0.0
2022-04-12,6.95,7.22,6.91,6.95,12740,-0.05,-0.71
2022-04-13,6.95,7.35,6.9,6.97,28537,0.02,0.2878
2022-04-14,7.07,7.4499,6.9658,7.09,23077,0.12,1.72
2022-04-18,7.5,7.5,7.18,7.47,21528,0.38,5.36
2022-04-19,7.375,7.54,7.375,7.46,15209,-0.01,-0.13
2022-04-20,7.38,7.38,7.07,7.29,16779,-0.17,-2.28
2022-04-21,7.6,7.6,6.95,6.96,7080,-0.33,-4.53
2022-04-22,7.12,7.3132,6.95,6.985,16323,0.025,0.3592
2022-04-25,7.08,7.82,6.95,7.37,47137,0.385,5.5118
2022-04-26,7.61,7.61,7.1,7.1,10022,-0.27,-3.66
2022-04-27,7.0,7.07,6.9,6.9,24524,-0.2,-2.82
2022-04-28,7.02,7.14,6.74,6.74,42790,-0.16,-2.3188
2022-04-29,6.9879,6.9879,6.71,6.77,9616,0.03,0.45
2022-05-02,6.845,6.845,6.2936,6.48,16357,-0.29,-4.28
2022-05-03,6.5,7.08,6.49,7.08,25278,0.6,9.26
2022-05-04,6.9,7.0,6.58,6.58,16267,-0.5,-7.06
2022-05-05,6.71,6.79,6.3139,6.36,10033,-0.22,-3.34
2022-05-06,6.98,6.98,6.25,6.4,55879,0.04,0.6289
2022-05-09,6.49,6.52,5.65,6.43,66160,0.03,0.47
2022-05-10,6.2751,6.4,5.77,5.85,31017,-0.58,-9.0202
2022-05-11,5.8992,6.02,5.855,5.91,28857,0.06,1.03
2022-05-12,5.77,5.905,5.53,5.53,20555,-0.38,-6.4298
2022-05-13,5.7029,5.7935,5.57,5.72,15445,0.19,3.4358
2022-05-16,5.75,6.09,5.75,5.9,15747,0.18,3.1469
2022-05-17,6.49,6.49,5.57,5.75,8043,-0.15,-2.54
2022-05-18,5.89,5.89,5.69,5.71,16732,-0.04,-0.7
2022-05-19,5.785,5.8497,5.69,5.78,5209,0.07,1.2259
2022-05-20,5.67,5.85,5.67,5.81,16830,0.03,0.519
2022-05-23,5.8,5.85,5.75,5.78,15740,-0.03,-0.52
2022-05-24,5.69,5.74,5.5,5.69,13789,-0.09,-1.5571
2022-05-25,5.69,5.69,5.44,5.52,8217,-0.17,-2.9877
2022-05-26,5.6392,5.7,5.5,5.5,33136,-0.02,-0.36
2022-05-27,5.7,5.75,5.56,5.75,8937,0.25,4.55
2022-05-31,5.85,6.38,5.82,6.15,30885,0.4,6.96
2022-06-01,6.3,6.3599,6.15,6.17,4823,0.02,0.33
2022-06-02,6.2971,6.32,6.11,6.32,9321,0.15,2.4311
2022-06-03,6.07,6.37,6.01,6.02,20969,-0.3,-4.75
2022-06-06,6.6,6.78,6.48,6.66,93235,0.64,10.63
2022-06-07,6.75,8.13,6.66,7.73,110106,1.07,16.07
2022-06-08,7.89,7.89,7.2814,7.5,37047,-0.23,-2.98
2022-06-09,7.47,7.6699,6.6714,6.91,24233,-0.59,-7.87
2022-06-10,6.62,8.0,6.55,7.1,73679,0.19,2.7496
2022-06-13,6.61,7.0499,6.02,6.52,45421,-0.58,-8.169
2022-06-14,6.71,6.9523,6.0,6.1,95547,-0.42,-6.4417
2022-06-15,6.17,6.64,5.595,6.115,48584,0.015,0.25
2022-06-16,6.05,6.05,5.52,5.8,41974,-0.315,-5.15
2022-06-17,6.1,6.1,5.48,5.75,25828,-0.05,-0.86
2022-06-21,5.59,6.485,5.59,5.94,31859,0.19,3.3
2022-06-22,5.93,5.98,4.6,4.93,107083,-1.01,-17.0
2022-06-23,4.84,5.3,4.81,4.97,30109,0.04,0.81
2022-06-24,5.14,5.2414,4.92,5.13,9932,0.16,3.22
2022-06-27,5.24,5.4207,5.04,5.3416,10496,0.212,4.13
2022-06-28,5.41,5.55,5.2801,5.49,25777,0.148,2.77
2022-06-29,5.31,5.78,5.31,5.67,23687,0.18,3.28
2022-06-30,5.77,6.88,5.6,6.64,183216,0.97,17.11
2022-07-01,6.8,7.7,6.65,7.58,182771,0.94,14.16
2022-07-05,7.56,7.66,6.6232,7.21,82802,-0.37,-4.88
2022-07-06,6.97,7.4956,6.27,7.28,68671,0.07,0.97
2022-07-07,7.27,7.285,6.78,6.78,81181,-0.5,-6.87
2022-07-08,6.63,7.01,6.53,6.99,65135,0.21,3.0973
2022-07-11,6.56,6.85,6.17,6.82,60433,-0.17,-2.43
2022-07-12,6.67,7.15,6.6,6.74,67273,-0.08,-1.17
2022-07-13,6.92,7.37,6.71,7.2,32718,0.46,6.82
2022-07-14,7.3,7.3699,6.82,6.86,18356,-0.34,-4.72
2022-07-15,7.03,7.15,6.87,7.04,9005,0.18,2.62
2022-07-18,7.2153,7.25,6.72,6.72,11676,-0.32,-4.5455
2022-07-19,6.84,7.0999,6.75,7.05,9462,0.33,4.91
2022-07-20,6.58,7.1999,6.0,6.94,34516,-0.11,-1.56
2022-07-21,6.97,7.0958,6.4253,6.8601,9463,-0.08,-1.15
2022-07-22,7.0481,7.0652,6.89,6.98,5431,0.12,1.75
2022-07-25,7.09,7.1,6.88,7.1,15745,0.12,1.72
2022-07-26,7.0,7.0,6.75,6.78,7319,-0.32,-4.51
2022-07-27,6.74,6.989,6.74,6.98,3039,0.2,2.95
2022-07-28,7.19,7.3065,6.81,7.0,22485,0.02,0.29
2022-07-29,7.0,7.33,7.0,7.28,39456,0.28,4.0
2022-08-01,7.33,7.33,6.92,6.95,7238,-0.33,-4.53
2022-08-02,7.64,7.67,7.0,7.42,24334,0.47,6.76
2022-08-03,7.3,7.605,7.03,7.41,18144,-0.01,-0.13
2022-08-04,7.112,7.3641,7.04,7.07,4836,-0.34,-4.59
2022-08-05,7.17,7.3,7.04,7.04,6711,-0.03,-0.42
2022-08-08,7.3,7.3,7.16,7.3,11762,0.26,3.6932
2022-08-09,7.3,7.3,7.1351,7.3,4963,0.0,0.0
2022-08-10,7.3,7.7,7.22,7.68,37693,0.38,5.21
2022-08-11,7.83,8.07,7.67,8.0,24463,0.32,4.17
2022-08-12,8.08,8.1,7.795,8.0,32958,0.0,0.0
2022-08-15,8.1,8.1,7.79,7.96,11790,-0.04,-0.5
2022-08-16,8.1,8.1,7.905,7.905,8142,-0.055,-0.69
2022-08-17,8.09,8.1,7.564,7.99,20225,0.085,1.08
2022-08-18,8.0,8.47,7.99,8.45,74751,0.46,5.76
2022-08-19,8.45,8.45,7.5689,8.4,25446,-0.05,-0.59
2022-08-22,8.45,8.45,8.2,8.22,6241,-0.18,-2.14
2022-08-23,8.22,8.45,8.1189,8.35,4126,0.13,1.5815
2022-08-24,8.38,8.38,8.01,8.08,9867,-0.27,-3.23
2022-08-25,8.1,8.3,7.56,8.09,33205,0.01,0.12
2022-08-26,8.07,8.07,7.7936,7.8548,5492,-0.2352,-2.9073
2022-08-29,7.8,8.3,7.52,8.29,21561,0.435,5.54
2022-08-30,8.11,8.11,7.52,8.0,26177,-0.29,-3.4982
2022-08-31,8.21,8.21,8.0,8.06,10511,0.06,0.75
2022-09-01,8.0,8.1472,7.91,7.92,3144,-0.14,-1.737
2022-09-02,8.04,8.1053,8.008,8.06,3780,0.14,1.77
2022-09-06,8.24,8.24,7.92,8.09,23164,0.03,0.37
2022-09-07,8.1,8.3899,8.08,8.27,35603,0.18,2.22
2022-09-08,8.26,8.45,8.25,8.39,15823,0.12,1.45
2022-09-09,8.39,8.4399,8.32,8.43,2469,0.04,0.48
2022-09-12,8.5,8.5,7.8153,8.1,32815,-0.33,-3.91
2022-09-13,8.05,8.05,7.5,7.81,4607,-0.29,-3.5802
2022-09-14,7.95,8.1,7.94,7.94,7076,0.13,1.66
2022-09-15,7.9,8.5,7.9,8.415,14934,0.475,5.98
2022-09-16,8.5,8.5,8.155,8.49,3214,0.075,0.89
2022-09-19,8.5,8.55,8.32,8.4,7102,-0.09,-1.0601
2022-09-20,8.47,8.47,8.0,8.25,13676,-0.15,-1.79
2022-09-21,8.17,8.71,7.8,8.6,29337,0.35,4.24
2022-09-22,8.56,8.56,7.8001,7.88,10437,-0.72,-8.37
2022-09-23,8.19,8.23,7.5,7.7,16114,-0.18,-2.2843
2022-09-26,7.61,8.2574,7.61,8.0,3568,0.3,3.9
2022-09-27,8.2526,8.2526,7.5001,7.57,9206,-0.43,-5.375
2022-09-28,8.33,8.33,7.5,7.53,11083,-0.04,-0.5284
2022-09-29,7.44,7.45,7.0,7.09,10895,-0.44,-5.8433
2022-09-30,7.05,7.45,7.01,7.44,13656,0.35,4.94
2022-10-03,7.38,7.58,7.15,7.2,9868,-0.24,-3.23
2022-10-04,7.15,7.2151,6.53,6.75,15201,-0.45,-6.25
2022-10-05,6.8,6.85,6.47,6.7562,4778,0.006,0.09
2022-10-06,6.71,6.71,6.65,6.65,2163,-0.106,-1.57
2022-10-07,6.55,6.6,6.23,6.51,7263,-0.14,-2.11
2022-10-10,6.38,6.38,6.11,6.19,2501,-0.32,-4.92
2022-10-11,6.09,6.4,5.81,5.87,17109,-0.32,-5.17
2022-10-12,5.61,6.1,5.61,5.8932,5674,0.023,0.39
2022-10-13,5.66,6.11,5.66,5.75,18247,-0.143,-2.43
2022-10-14,5.95,6.24,5.68,5.87,175693,0.12,2.09
2022-10-17,5.79,5.95,5.44,5.44,11555,-0.43,-7.33
2022-10-18,5.45,6.0,5.45,5.8,16194,0.36,6.62
2022-10-19,5.7,5.7,5.556,5.6,8392,-0.2,-3.4483
2022-10-20,5.7,5.7,5.52,5.54,2005,-0.06,-1.07
2022-10-21,5.45,5.5,5.4162,5.45,8532,-0.09,-1.62
2022-10-24,5.5544,5.56,5.5077,5.53,5250,0.08,1.47
2022-10-25,5.56,5.56,5.33,5.3538,7293,-0.176,-3.18
2022-10-26,5.33,5.8599,5.33,5.78,4180,0.426,7.96
2022-10-27,6.03,6.03,5.72,5.9,15285,0.12,2.0761
2022-10-28,5.95,5.95,5.4301,5.65,12444,-0.25,-4.2373
2022-10-31,5.78,5.78,5.5,5.55,6302,-0.1,-1.77
2022-11-01,5.4,5.56,5.2684,5.2684,5945,-0.282,-5.08
