日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2020-10-29,9.6989,9.8105,9.03,9.5,117519,0.64,7.22
2020-10-30,9.68,9.7,8.62,8.99,118195,-0.51,-5.37
2020-11-02,9.25,9.72,8.6,8.78,341589,-0.21,-2.34
2020-11-03,8.92,9.145,7.89,8.3,363959,-0.48,-5.47
2020-11-04,8.37,8.8452,8.0,8.21,233205,-0.09,-1.08
2020-11-05,8.41,8.885,8.16,8.35,261696,0.14,1.71
2020-11-06,8.34,9.01,8.16,8.74,358562,0.39,4.67
2020-11-09,8.87,10.18,8.78,8.88,440762,0.14,1.6
2020-11-10,8.84,9.71,8.63,8.7,91086,-0.18,-2.03
2020-11-11,8.76,9.135,8.735,8.79,609856,0.09,1.03
2020-11-12,8.75,9.99,8.55,9.92,752149,1.13,12.8555
2020-11-13,10.4,10.4,9.72,10.24,2308155,0.32,3.2258
2020-11-16,9.97,10.435,9.97,10.26,301052,0.02,0.1953
2020-11-17,10.49,10.49,9.775,9.97,193343,-0.29,-2.8265
2020-11-18,10.01,10.235,9.82,9.93,140715,-0.04,-0.4012
2020-11-19,9.89,10.16,9.47,9.82,80736,-0.11,-1.11
2020-11-20,9.8,10.05,9.6,9.9,289242,0.08,0.81
2020-11-23,9.9,10.14,9.685,10.13,136067,0.23,2.3232
2020-11-24,10.13,11.11,10.12,10.5,272601,0.37,3.6525
2020-11-25,10.42,10.685,10.25,10.35,109348,-0.15,-1.43
2020-11-27,10.43,10.48,10.06,10.42,111856,0.07,0.6763
2020-11-30,10.32,10.75,10.24,10.51,159472,0.09,0.86
2020-12-01,10.54,10.94,10.31,10.58,137065,0.07,0.666
2020-12-02,10.54,10.6,10.23,10.29,193737,-0.29,-2.74
2020-12-03,10.31,10.81,10.21,10.58,307676,0.29,2.8183
2020-12-04,10.66,11.03,10.4,10.95,547706,0.37,3.4972
2020-12-07,11.01,11.46,10.81,11.07,984706,0.12,1.0959
2020-12-08,10.89,11.9,10.88,11.49,799841,0.42,3.79
2020-12-09,11.5,11.91,11.16,11.53,771418,0.04,0.3481
2020-12-10,11.42,11.96,11.37,11.4,1204147,-0.13,-1.13
2020-12-11,11.77,12.16,11.39,11.48,1257794,0.08,0.7018
2020-12-14,11.56,12.57,11.37,11.66,2605399,0.18,1.57
2020-12-15,11.67,12.0605,11.365,11.69,1539772,0.03,0.26
2020-12-16,11.75,12.2,11.57,11.78,3317479,0.09,0.77
2020-12-17,11.78,12.75,10.61,12.31,3235594,0.53,4.5
2020-12-18,12.22,13.4,12.22,12.72,7745651,0.41,3.33
2020-12-21,12.7,13.49,12.36,13.46,3253026,0.74,5.82
