日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-01-03,0.8775,0.8976,0.8556,0.8556,383600,-0.0346,-3.89
1995-01-04,0.8556,0.8775,0.8556,0.8775,553600,0.0219,2.56
1995-01-05,0.8556,0.9012,0.8556,0.8775,356000,0.0,0.0
1995-01-06,0.8775,0.9012,0.8775,0.9012,606000,0.0237,2.7
1995-01-09,0.8775,0.9012,0.8775,0.8775,489600,-0.0237,-2.63
1995-01-10,0.8775,0.8903,0.8666,0.8666,284000,-0.011,-1.25
1995-01-11,0.8666,0.9012,0.8666,0.8775,351200,0.0109,1.26
1995-01-12,0.8666,0.9012,0.8666,0.883,584000,0.0054,0.62
1995-01-13,0.8666,0.8775,0.8447,0.8666,545200,-0.0164,-1.86
1995-01-16,0.8447,0.8666,0.8319,0.8319,198800,-0.0347,-4.0
1995-01-17,0.8319,0.8611,0.821,0.8447,508400,0.0128,1.54
1995-01-18,0.821,0.8447,0.81,0.821,485600,-0.0237,-2.81
1995-01-19,0.8319,0.8319,0.81,0.8264,138000,0.0055,0.67
1995-01-20,0.81,0.8319,0.81,0.81,339600,-0.0164,-1.99
1995-01-23,0.8319,0.8319,0.81,0.821,370400,0.0109,1.35
1995-01-24,0.821,0.8319,0.7991,0.821,206800,0.0,0.0
1995-01-25,0.7991,0.821,0.7991,0.8155,240000,-0.0055,-0.67
1995-01-26,0.81,0.821,0.7991,0.7991,315600,-0.0164,-2.01
1995-01-27,0.7991,0.821,0.7991,0.7991,616000,0.0,0.0
1995-01-30,0.7991,0.81,0.7863,0.7918,990000,-0.0073,-0.91
1995-01-31,0.7863,0.81,0.7863,0.7991,168000,0.0073,0.92
1995-02-01,0.7991,0.7991,0.7754,0.7754,614400,-0.0237,-2.97
1995-02-02,0.7754,0.7991,0.7407,0.7444,971600,-0.031,-4.0
1995-02-03,0.7535,0.7644,0.7298,0.7535,754000,0.0092,1.23
1995-02-06,0.7298,0.7644,0.7298,0.7644,342000,0.0109,1.45
1995-02-07,0.7407,0.7863,0.7407,0.7699,596800,0.0055,0.72
1995-02-08,0.7644,0.821,0.7644,0.821,1300400,0.0511,6.64
1995-02-09,0.821,0.821,0.7863,0.7863,315600,-0.0346,-4.22
1995-02-10,0.7863,0.7991,0.7863,0.7991,260800,0.0127,1.62
1995-02-13,0.7863,0.81,0.7754,0.7754,386800,-0.0237,-2.97
1995-02-14,0.7644,0.7863,0.7535,0.7863,487600,0.0109,1.41
1995-02-15,0.7991,0.7991,0.7644,0.7991,264000,0.0127,1.62
1995-02-16,0.7754,0.7991,0.7754,0.7991,289200,0.0,0.0
1995-02-17,0.7991,0.7991,0.7754,0.7754,276000,-0.0237,-2.97
1995-02-21,0.779,0.7991,0.7754,0.7754,122400,0.0,0.0
1995-02-22,0.7754,0.7991,0.7754,0.7991,538800,0.0237,3.06
