日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-02-06,2.2149,2.2149,2.2149,2.2149,8000,0.0,0.0
1995-03-01,1.6339,1.9562,1.6158,1.6158,91200,-0.3404,-17.4
1995-03-21,1.4206,1.4206,1.2799,1.348,4160,-0.1861,-12.13
1995-03-22,1.4206,1.4206,1.2799,1.348,4160,0.0,0.0
1995-03-23,1.2209,1.3344,1.2209,1.2209,0,-0.1271,-9.43
1995-03-26,1.2209,1.3616,1.2209,1.3072,0,0.0862,7.06
1995-03-27,1.3072,1.5023,1.3072,1.4206,0,0.1135,8.68
1995-03-28,1.4206,1.5023,1.4206,1.5023,0,0.0817,5.75
1995-03-29,1.4206,1.5341,1.4206,1.5341,0,0.0317,2.11
1995-03-30,1.4206,1.4751,1.4206,1.4751,0,-0.0591,-3.85
1995-04-03,1.4206,1.4751,1.4206,1.4206,3800,-0.0544,-3.69
1995-04-04,1.5341,1.5613,1.5341,1.5341,4600,0.1135,7.99
1995-04-05,1.5613,1.5613,1.5341,1.5613,5200,0.0273,1.78
1995-04-06,1.5613,1.5613,1.4479,1.4479,4400,-0.1135,-7.27
1995-04-07,1.4751,1.5613,1.4751,1.5023,8000,0.0544,3.76
1995-04-10,1.4751,1.5613,1.4751,1.4751,11800,-0.0272,-1.81
1995-04-11,1.4751,1.5613,1.4751,1.5613,14600,0.0863,5.85
1995-04-12,1.4751,1.5613,1.4751,1.5023,4400,-0.059,-3.78
1995-04-13,1.5023,1.5023,1.5023,1.5023,4800,0.0,0.0
1995-04-17,1.5069,1.5613,1.5023,1.5023,4800,0.0,0.0
1995-04-18,1.5023,1.5023,1.5023,1.5023,800,0.0,0.0
1995-04-19,1.5341,1.5341,1.5341,1.5341,11400,0.0317,2.11
1995-04-20,1.5341,1.5886,1.5341,1.5341,12600,0.0,0.0
1995-04-21,1.5886,1.5886,1.5341,1.5886,27400,0.0545,3.55
1995-04-24,1.5886,1.5886,1.4479,1.5023,21200,-0.0863,-5.43
1995-04-25,1.4751,1.4751,1.3616,1.3616,26400,-0.1408,-9.37
1995-04-27,5.6734,5.6734,5.4193,5.6734,800,4.3118,316.67
1995-04-28,1.3072,1.4206,1.3072,1.3072,10400,-4.3664,-76.96
1995-05-01,1.4206,1.4206,1.3072,1.3072,10600,0.0,0.0
1995-05-02,1.3889,1.3889,1.3072,1.3344,37000,0.0272,2.08
1995-05-03,1.3072,1.3344,1.2754,1.2754,10800,-0.059,-4.42
1995-05-04,1.2482,1.3344,1.2482,1.2482,3400,-0.0273,-2.14
1995-05-05,1.2482,1.3344,1.2482,1.2482,13200,0.0,0.0
1995-05-08,1.2482,1.3344,1.1937,1.2209,20200,-0.0272,-2.18
1995-05-09,1.2209,1.2209,1.2209,1.2209,4400,0.0,0.0
1995-05-10,1.2209,1.3344,1.2209,1.2209,6600,0.0,0.0
1995-05-11,1.2209,1.3344,1.2209,1.2482,20400,0.0272,2.23
1995-05-12,1.2209,1.2209,1.2209,1.2209,2200,-0.0272,-2.18
1995-05-15,1.2209,1.3344,1.2209,1.2209,1800,0.0,0.0
1995-05-16,1.2209,1.3344,1.1619,1.2482,32400,0.0272,2.23
1995-05-17,1.1937,1.3344,1.1937,1.2209,31000,-0.0272,-2.18
1995-05-18,1.2209,1.3344,1.2209,1.3344,5000,0.1134,9.29
1995-05-19,1.2345,1.3344,1.2345,1.3344,19000,0.0,0.0
1995-05-22,1.3344,1.3344,1.2482,1.2482,1600,-0.0862,-6.46
1995-05-23,1.3344,1.3344,1.2754,1.2754,3200,0.0272,2.18
1995-05-24,1.2482,1.2482,1.2482,1.2482,1400,-0.0273,-2.14
1995-05-25,1.2618,1.3344,1.2618,1.3344,15200,0.0862,6.91
1995-05-26,1.2618,1.3072,1.2618,1.3072,13400,-0.0272,-2.04
1995-05-30,1.2618,1.3344,1.2618,1.3344,2600,0.0272,2.08
1995-05-31,1.2618,1.3889,1.2618,1.3344,21600,0.0,0.0
1995-06-01,1.3889,1.3889,1.3072,1.3072,5200,-0.0272,-2.04
1995-06-02,1.3072,1.3072,1.3072,1.3072,1600,0.0,0.0
1995-06-05,1.3072,1.3889,1.3072,1.3072,2800,0.0,0.0
1995-06-06,1.3889,1.3889,1.3072,1.3072,14000,0.0,0.0
1995-06-07,1.3072,1.3889,1.3072,1.3889,7600,0.0817,6.25
1995-06-08,1.3889,1.3889,1.3072,1.3072,3800,-0.0817,-5.88
1995-06-09,1.3072,1.3072,1.3072,1.3072,2400,0.0,0.0
1995-06-12,1.3616,1.3889,1.3072,1.3889,17400,0.0817,6.25
1995-06-13,1.3889,1.3889,1.3344,1.3889,4000,0.0,0.0
1995-06-14,1.3889,1.3889,1.3344,1.3616,16400,-0.0272,-1.96
1995-06-15,1.3344,1.3616,1.3344,1.3616,9400,0.0,0.0
1995-06-16,1.3344,1.3344,1.3344,1.3344,1600,-0.0272,-2.0
1995-06-19,1.3344,1.3889,1.3344,1.3344,33400,0.0,0.0
1995-06-20,1.3344,1.3889,1.3344,1.3889,24600,0.0544,4.08
1995-06-21,1.3889,1.3889,1.3344,1.3616,73800,-0.0272,-1.96
1995-06-22,1.3344,1.3616,1.3344,1.3616,6800,0.0,0.0
1995-06-23,1.3889,1.3889,1.3616,1.3889,5000,0.0272,2.0
1995-06-26,1.3072,1.3616,1.3072,1.3072,9600,-0.0817,-5.88
1995-06-27,1.3072,1.3889,1.3072,1.3072,40000,0.0,0.0
1995-06-28,1.3072,1.3344,1.3072,1.3072,1600,0.0,0.0
1995-06-29,1.3072,1.3616,1.3072,1.3616,5800,0.0545,4.17
1995-06-30,1.3072,1.3889,1.3072,1.3072,12200,-0.0545,-4.0
1995-07-03,1.3072,1.3072,1.3072,1.3072,2400,0.0,0.0
1995-07-05,1.3072,1.3616,1.3072,1.3616,3000,0.0545,4.17
1995-07-06,1.3072,1.3889,1.3072,1.3889,21600,0.0272,2.0
1995-07-07,1.3072,1.3889,1.3072,1.3889,6600,0.0,0.0
1995-07-10,1.3889,1.3889,1.3072,1.3889,2400,0.0,0.0
