日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-08-24,10.9474,11.9406,10.9,11.05,8602,0.75,7.2816
2021-08-25,12.16,12.16,10.4,11.05,19782,0.0,0.0
2021-08-26,11.2297,12.42,11.1483,11.7,11123,0.65,5.8824
2021-08-27,12.0,12.5869,11.55,11.68,14433,-0.02,-0.1709
2021-08-30,11.7,11.98,11.48,11.98,9568,0.3,2.5685
2021-08-31,11.9035,13.0,11.5884,12.6,14434,0.62,5.1753
2021-09-01,12.4423,14.0,12.4423,13.89,6430,1.29,10.24
2021-09-02,14.0,36.13,13.7,23.53,734678,9.64,69.4
2021-09-03,20.54,22.97,16.01,16.02,719978,-7.51,-31.92
2021-09-07,19.0,19.0,13.75,13.99,185526,-2.03,-12.67
2021-09-08,13.57,16.0,12.0111,14.21,415455,0.22,1.57
2021-09-09,13.75,14.47,12.814,13.18,330556,-1.03,-7.25
2021-09-10,13.0,14.15,11.62,12.12,642848,-1.06,-8.04
2021-09-13,11.81,12.5,11.0,12.05,519993,-0.07,-0.5776
2021-09-14,11.5,13.49,11.2001,13.04,811853,0.99,8.2158
2021-09-15,12.65,13.75,11.7701,12.32,1163211,-0.72,-5.52
2021-09-16,13.6,16.48,13.4335,14.85,4206582,2.53,20.54
2021-09-17,14.21,15.79,13.03,13.06,915606,-1.79,-12.05
2021-09-20,12.6,13.47,11.62,13.02,893979,-0.04,-0.31
2021-09-21,13.5,16.25,12.35,14.32,1810550,1.3,9.9846
2021-09-22,14.46,14.67,12.66,13.44,534305,-0.88,-6.15
2021-09-23,13.38,13.6,11.79,12.32,481288,-1.12,-8.33
2021-09-24,12.07,12.34,11.6505,12.04,314262,-0.28,-2.27
2021-09-27,11.82,12.4866,11.4,12.26,524225,0.22,1.8272
2021-09-28,11.83,12.0885,11.03,11.66,472245,-0.6,-4.89
2021-09-29,11.65,11.65,9.14,9.15,519252,-2.51,-21.53
2021-09-30,9.5,10.39,9.15,9.47,359428,0.32,3.5
2021-10-01,9.47,9.85,9.39,9.53,108271,0.06,0.63
2021-10-04,9.4,9.44,8.39,8.49,139569,-1.04,-10.91
2021-10-05,8.98,9.05,8.5,8.64,177914,0.15,1.77
2021-10-06,8.59,8.79,7.87,8.1,140745,-0.54,-6.25
2021-10-07,8.01,8.45,7.88,8.14,78247,0.04,0.49
2021-10-08,8.14,8.49,7.83,7.92,66179,-0.22,-2.7
2021-10-11,7.94,7.9903,7.55,7.71,94656,-0.21,-2.65
2021-10-12,7.81,8.23,7.56,7.91,119451,0.2,2.594
2021-10-13,7.97,8.1,7.71,7.89,114091,-0.02,-0.25
2021-10-14,8.1,8.4,7.95,8.13,92689,0.24,3.04
2021-10-15,8.02,8.5,7.9543,8.4,147040,0.27,3.32
2021-10-18,8.23,8.8,8.02,8.73,62829,0.33,3.93
2021-10-19,8.64,9.115,8.63,8.81,84112,0.08,0.92
2021-10-20,8.81,8.92,8.16,8.39,76342,-0.42,-4.7673
2021-10-21,8.22,8.91,8.1701,8.36,83160,-0.03,-0.36
2021-10-22,8.17,8.25,7.65,7.78,91605,-0.58,-6.94
2021-10-25,7.85,7.97,7.24,7.56,372057,-0.22,-2.83
2021-10-26,7.5,8.27,7.38,7.65,356056,0.09,1.19
2021-10-27,7.62,7.75,7.11,7.66,105678,0.01,0.13
2021-10-28,7.66,8.25,7.62,8.08,99822,0.42,5.48
2021-10-29,8.08,8.1889,7.9,8.12,58627,0.04,0.5
2021-11-01,8.16,8.72,7.95,8.69,114387,0.57,7.02
2021-11-02,8.52,8.55,7.97,8.36,48935,-0.33,-3.7975
2021-11-03,8.41,8.8,8.3744,8.51,35562,0.15,1.79
2021-11-04,8.54,8.54,8.0682,8.22,34517,-0.29,-3.41
2021-11-05,8.32,8.73,8.12,8.53,45184,0.31,3.7713
2021-11-08,8.64,8.98,8.22,8.78,63732,0.25,2.93
2021-11-09,8.67,9.81,8.55,9.69,135052,0.91,10.36
2021-11-10,9.61,10.68,9.455,9.74,77420,0.05,0.52
2021-11-11,9.85,10.14,9.4,10.08,20041,0.34,3.49
2021-11-12,10.0,10.4,9.1107,10.29,27285,0.21,2.0833
2021-11-15,10.41,10.42,9.5895,10.42,49892,0.13,1.2634
2021-11-16,9.86,9.99,9.5,9.83,91829,-0.59,-5.66
2021-11-17,9.515,10.36,9.515,10.22,62824,0.39,3.9674
2021-11-18,10.29,10.42,9.85,10.29,62715,0.07,0.68
2021-11-19,10.29,10.57,9.94,10.43,32103,0.14,1.36
2021-11-22,10.29,10.5,10.12,10.35,46415,-0.08,-0.77
2021-11-23,10.24,10.24,9.22,9.67,15925,-0.68,-6.57
2021-11-24,9.55,10.41,9.4338,10.34,17196,0.67,6.9286
2021-11-26,9.87,10.5,9.24,10.35,67393,0.01,0.1
2021-11-29,10.35,10.5,9.63,10.41,79337,0.06,0.58
2021-11-30,10.41,11.12,9.89,11.0,86179,0.59,5.67
2021-12-01,10.9,11.12,9.6756,9.78,64969,-1.22,-11.09
2021-12-02,9.67,10.34,8.7,9.03,37553,-0.75,-7.6687
2021-12-03,9.08,10.02,9.0,9.39,40088,0.36,3.99
2021-12-06,9.5,10.0,8.2001,8.69,131853,-0.7,-7.45
2021-12-07,8.78,10.15,8.7401,9.97,68842,1.28,14.73
2021-12-08,9.85,9.9,9.5,9.79,117608,-0.18,-1.81
2021-12-09,9.58,9.82,9.18,9.46,71862,-0.33,-3.37
2021-12-10,9.505,9.87,9.427,9.69,60434,0.23,2.4313
2021-12-13,9.7,9.89,8.39,8.7,75392,-0.99,-10.22
2021-12-14,8.56,9.01,7.8001,8.05,74768,-0.65,-7.47
2021-12-15,8.315,8.86,8.0882,8.3,39441,0.25,3.1056
2021-12-16,8.44,9.76,8.14,8.49,99565,0.19,2.2892
2021-12-17,8.38,9.77,8.0198,9.59,831508,1.1,12.96
2021-12-20,8.81,9.2,8.15,8.15,47540,-1.44,-15.02
2021-12-21,8.26,9.77,8.26,9.21,87477,1.06,13.01
2021-12-22,6.9,6.9538,6.41,6.41,728710,-2.8,-30.4017
2021-12-23,6.5,6.62,5.8,5.85,290316,-0.56,-8.74
2021-12-27,6.13,6.14,5.5,5.585,180498,-0.265,-4.5299
2021-12-28,5.63,5.9,5.2001,5.33,285216,-0.255,-4.57
2021-12-29,5.25,5.33,4.8,5.18,184429,-0.15,-2.81
2021-12-30,5.29,5.39,4.91,4.97,170736,-0.21,-4.05
2021-12-31,4.98,5.07,4.66,4.72,195253,-0.25,-5.03
2022-01-03,4.8,5.31,4.6,5.3,126180,0.58,12.2881
2022-01-04,5.27,5.67,5.1,5.43,122927,0.13,2.45
2022-01-05,5.4,5.61,5.3,5.57,125639,0.14,2.58
2022-01-06,5.59,5.68,5.33,5.68,91541,0.11,1.9749
2022-01-07,5.6,5.93,5.6,5.76,102821,0.08,1.41
2022-01-10,5.74,5.79,5.34,5.52,75143,-0.24,-4.1667
2022-01-11,5.53,5.86,5.13,5.35,122986,-0.17,-3.0797
2022-01-12,5.31,5.35,4.83,4.83,65032,-0.52,-9.7196
2022-01-13,4.8,4.856,4.3001,4.35,107522,-0.48,-9.94
2022-01-14,4.3,4.69,4.06,4.69,110940,0.34,7.8161
2022-01-18,4.62,5.6,4.44,5.42,130840,0.73,15.57
2022-01-19,5.4,5.77,5.29,5.59,75554,0.17,3.1365
2022-01-20,5.51,5.6,5.21,5.42,38372,-0.17,-3.0411
2022-01-21,5.45,5.47,4.85,4.96,27950,-0.46,-8.4871
2022-01-24,4.77,5.49,4.39,5.08,35757,0.12,2.42
2022-01-25,5.0352,5.05,4.08,4.27,50806,-0.81,-15.94
2022-01-26,4.41,4.535,3.95,4.29,67438,0.02,0.47
2022-01-27,4.2,4.37,3.96,4.29,36563,0.0,0.0
2022-01-28,4.27,4.4,4.01,4.15,18626,-0.14,-3.26
2022-01-31,4.18,4.49,4.18,4.45,27720,0.3,7.23
2022-02-01,4.48,5.5,4.4486,5.34,178318,0.89,20.0
2022-02-02,5.34,5.4,4.93,5.13,87139,-0.21,-3.93
2022-02-03,4.92,5.12,4.565,4.77,21715,-0.36,-7.0175
2022-02-04,4.62,5.05,4.45,4.7,16696,-0.07,-1.4675
2022-02-07,4.86,5.12,4.65,5.08,12315,0.38,8.0851
2022-02-08,5.02,5.55,4.94,5.37,29857,0.29,5.71
2022-02-09,5.4478,5.71,5.27,5.48,38947,0.11,2.0484
2022-02-10,5.515,5.84,5.18,5.43,37532,-0.05,-0.9124
2022-02-11,5.51,5.57,4.72,5.15,30348,-0.28,-5.1565
2022-02-14,5.1,5.45,4.5,4.5,45204,-0.65,-12.6214
2022-02-15,4.88,4.9,4.6,4.84,37553,0.34,7.56
2022-02-16,4.66,4.87,4.55,4.56,11335,-0.28,-5.79
2022-02-17,4.78,4.799,4.55,4.6,6435,0.04,0.8772
2022-02-18,4.65,4.78,4.55,4.59,9549,-0.01,-0.2174
2022-02-22,4.4,4.71,4.4,4.4,13867,-0.19,-4.1394
2022-02-23,4.6,4.74,4.46,4.54,10442,0.14,3.1818
2022-02-24,4.5465,4.97,4.2901,4.92,46299,0.38,8.37
2022-02-25,4.82,5.35,4.82,5.15,27464,0.23,4.6748
2022-02-28,5.28,5.32,5.01,5.2,24208,0.05,0.97
2022-03-01,5.25,5.41,5.05,5.25,43670,0.05,0.96
2022-03-02,5.15,5.71,5.15,5.36,37911,0.11,2.0952
