日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-12-16,2.2,2.24,2.0,2.02,89626,-0.22,-9.82
2021-12-17,1.9777,2.2,1.91,2.09,150252,0.07,3.47
2021-12-20,2.02,2.1,1.94,1.94,92803,-0.15,-7.18
2021-12-21,1.9,2.19,1.9,2.18,105429,0.24,12.37
2021-12-22,2.11,2.19,2.04,2.06,67658,-0.12,-5.5046
2021-12-23,2.115,2.29,2.089,2.21,192581,0.15,7.28
2021-12-27,2.21,2.21,2.0,2.0,164333,-0.21,-9.5023
2021-12-28,2.01,2.13,1.91,1.91,170410,-0.09,-4.5
2021-12-29,2.15,2.15,1.92,2.0,132999,0.09,4.71
2021-12-30,1.95,2.07,1.85,1.85,215130,-0.15,-7.5
2021-12-31,1.86,1.87,1.64,1.64,289095,-0.21,-11.35
2022-01-03,1.76,1.82,1.68,1.73,191955,0.09,5.4878
2022-01-04,1.7,1.7893,1.7,1.76,24882,0.03,1.73
2022-01-05,1.755,1.8199,1.62,1.62,58375,-0.14,-7.95
2022-01-06,1.6214,1.69,1.5403,1.65,77572,0.03,1.8519
2022-01-07,1.62,1.66,1.48,1.48,89029,-0.17,-10.3
2022-01-10,1.52,1.7361,1.4946,1.63,143172,0.15,10.14
2022-01-11,1.6,1.69,1.59,1.59,83089,-0.04,-2.45
2022-01-12,1.74,1.74,1.58,1.58,101697,-0.01,-0.6289
2022-01-13,1.6389,1.65,1.57,1.57,45032,-0.01,-0.63
2022-01-14,1.57,1.64,1.45,1.46,56428,-0.11,-7.0064
2022-01-18,1.41,1.53,1.41,1.52,55399,0.06,4.11
2022-01-19,1.46,1.5499,1.3876,1.4,74016,-0.12,-7.8947
2022-01-20,1.47,1.56,1.37,1.5,123268,0.1,7.1429
2022-01-21,1.5,1.6,1.38,1.45,121625,-0.05,-3.33
2022-01-24,1.39,1.5,1.33,1.45,93796,0.0,0.0
2022-01-25,1.35,1.6941,1.35,1.62,296651,0.17,11.72
2022-01-26,1.6513,1.6588,1.47,1.48,76205,-0.14,-8.64
2022-01-27,1.5,1.55,1.45,1.53,47801,0.05,3.3784
2022-01-28,1.46,1.6,1.44,1.58,91576,0.05,3.27
2022-01-31,1.52,1.845,1.52,1.75,126828,0.17,10.76
2022-02-01,1.707,1.9,1.62,1.81,51550,0.06,3.43
2022-02-02,1.81,1.81,1.7,1.73,66420,-0.08,-4.42
2022-02-03,1.85,1.88,1.75,1.85,75371,0.12,6.94
2022-02-04,1.9,1.94,1.8,1.81,92682,-0.04,-2.16
2022-02-07,1.82,1.89,1.75,1.75,27516,-0.06,-3.3149
2022-02-08,1.87,1.87,1.71,1.71,40198,-0.04,-2.29
2022-02-09,1.75,1.84,1.72,1.81,24385,0.1,5.85
2022-02-10,1.81,1.8895,1.7965,1.8,21994,-0.01,-0.55
2022-02-11,1.82,1.85,1.74,1.79,24929,-0.01,-0.56
2022-02-14,1.83,1.83,1.61,1.63,69327,-0.16,-8.9385
2022-02-15,1.73,1.79,1.6,1.64,67499,0.01,0.61
2022-02-16,1.65,1.8039,1.4101,1.47,182061,-0.17,-10.37
2022-02-17,1.5,1.5761,1.47,1.51,54680,0.04,2.7211
2022-02-18,1.5,1.54,1.45,1.49,29586,-0.02,-1.3245
2022-02-22,1.46,1.55,1.45,1.45,36166,-0.04,-2.6846
2022-02-23,1.5,1.56,1.41,1.41,65552,-0.04,-2.7586
2022-02-24,1.39,1.4,1.26,1.28,78822,-0.13,-9.22
2022-02-25,1.3,1.48,1.3,1.48,28605,0.2,15.63
2022-02-28,1.36,1.55,1.36,1.41,31027,-0.07,-4.73
2022-03-01,1.4,1.5099,1.4,1.46,36807,0.05,3.55
2022-03-02,1.48,1.48,1.43,1.46,46406,0.0,0.0
2022-03-03,1.41,1.61,1.41,1.51,160335,0.05,3.4247
2022-03-04,1.41,1.47,1.4,1.4,58344,-0.11,-7.28
2022-03-07,1.37,1.47,1.36,1.41,190659,0.01,0.71
2022-03-08,1.4501,1.4828,1.31,1.33,154475,-0.08,-5.67
2022-03-09,1.4304,1.64,1.34,1.5,165702,0.17,12.78
2022-03-10,1.46,1.53,1.36,1.36,145963,-0.14,-9.33
2022-03-11,1.35,1.4299,1.33,1.35,55999,-0.01,-0.74
2022-03-14,1.31,1.39,1.25,1.26,59705,-0.09,-6.67
2022-03-15,1.25,1.45,1.25,1.34,74092,0.08,6.35
2022-03-16,1.5,1.64,1.4,1.54,215285,0.2,14.93
2022-03-17,1.58,1.67,1.53,1.55,67291,0.01,0.65
2022-03-18,1.6,2.34,1.53,1.99,1198345,0.44,28.39
2022-03-21,1.99,1.99,1.65,1.75,260838,-0.24,-12.06
2022-03-22,1.77,1.88,1.72,1.82,80115,0.07,4.0
2022-03-23,1.7349,2.09,1.7101,1.84,606730,0.02,1.1
2022-03-24,1.83,1.83,1.75,1.77,51596,-0.07,-3.8
2022-03-25,1.75,1.82,1.73,1.73,22528,-0.04,-2.2599
2022-03-28,1.71,1.78,1.7,1.75,51691,0.02,1.16
2022-03-29,1.756,1.84,1.75,1.77,20892,0.02,1.14
2022-03-30,1.66,1.78,1.66,1.73,13056,-0.04,-2.2599
2022-03-31,1.75,1.77,1.665,1.69,22569,-0.04,-2.31
2022-04-01,1.85,1.85,1.62,1.62,54314,-0.07,-4.14
2022-04-04,1.59,1.67,1.54,1.59,129525,-0.03,-1.85
2022-04-05,1.5901,1.68,1.5816,1.65,38141,0.06,3.77
2022-04-06,1.6012,1.73,1.51,1.51,48822,-0.14,-8.48
2022-04-07,1.8,1.8,1.64,1.69,55372,0.18,11.92
2022-04-08,1.69,1.77,1.6,1.66,38760,-0.03,-1.7751
2022-04-11,1.71,1.74,1.51,1.55,65886,-0.11,-6.63
2022-04-12,1.55,1.6,1.43,1.46,74299,-0.09,-5.81
2022-04-13,1.53,1.53,1.42,1.42,18649,-0.04,-2.74
2022-04-14,1.6,1.6,1.37,1.42,16434,0.0,0.0
2022-04-18,1.36,1.45,1.31,1.36,33737,-0.06,-4.23
2022-04-19,1.3351,1.4,1.3,1.36,20737,0.0,0.0
2022-04-20,1.31,1.3499,1.27,1.27,21724,-0.09,-6.62
2022-04-21,1.26,1.42,1.25,1.31,67943,0.04,3.15
2022-04-22,1.25,1.29,1.06,1.13,112037,-0.18,-13.7405
2022-04-25,1.18,1.18,0.93,1.015,38407,-0.115,-10.18
2022-04-26,1.01,1.02,0.97,0.9705,11775,-0.044,-4.33
2022-04-27,0.955,1.0,0.88,0.91,21423,-0.06,-6.18
2022-04-28,1.01,1.01,0.88,0.945,72378,0.035,3.85
2022-04-29,1.0,1.09,0.9405,0.9505,23751,0.0055,0.582
2022-05-02,0.998,0.998,0.841401,0.890101,32395,-0.06,-6.31
2022-05-03,0.84,1.0,0.84,0.9281,43007,0.038,4.27
2022-05-04,0.9399,0.97,0.88,0.88,16766,-0.048,-5.17
2022-05-05,0.92,0.9499,0.88,0.949,27112,0.069,7.84
2022-05-06,0.9,1.0,0.88,0.975,78807,0.026,2.74
2022-05-09,1.0,1.0,0.86,0.88,31875,-0.095,-9.74
2022-05-10,0.8535,0.99,0.8535,0.899,35099,0.019,2.1591
2022-05-11,0.83,0.96,0.83,0.92,5074,0.021,2.3359
2022-05-12,0.9003,0.976,0.89,0.89,10099,-0.03,-3.2609
2022-05-13,0.91,0.9555,0.91,0.9155,937,0.0255,2.8652
2022-05-16,0.9,0.96,0.87,0.92,9821,0.0045,0.4915
2022-05-17,0.92,0.95,0.9,0.95,6554,0.03,3.26
2022-05-18,0.9,0.9098,0.8899,0.9098,4213,-0.0402,-4.2316
2022-05-19,0.89,0.9,0.87,0.878,16934,-0.032,-3.52
2022-05-20,0.9,0.9249,0.8781,0.8889,20993,0.0109,1.2415
2022-05-23,0.88,0.9,0.86,0.86,15500,-0.029,-3.26
2022-05-24,0.860001,0.8601,0.75,0.8099,29557,-0.05,-5.81
2022-05-25,0.809799,1.08,0.809799,1.0,36769,0.1901,23.472
2022-05-26,0.9001,1.08,0.9001,1.08,28802,0.08,8.0
2022-05-27,1.06,1.17,1.01,1.0682,27353,-0.012,-1.11
2022-05-31,1.09,1.09,0.9809,1.0892,3812,0.021,1.97
2022-06-01,1.16,1.16,1.03,1.12,9542,0.0308,2.8278
2022-06-02,0.9809,1.14,0.9809,1.09,7417,-0.03,-2.68
