日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1999-10-29,110.0,166.0,110.0,145.187,11468900,0.0,0.0
1999-11-01,144.0,179.0,143.0,174.312,5103800,29.12,20.06
1999-11-02,178.0,199.0,175.0,192.75,3979400,16.57,9.51
1999-11-03,200.5,204.0,185.125,190.875,1545100,-17.63,-9.24
1999-11-04,191.875,191.937,171.0,173.25,1596900,1.0,0.58
1999-11-05,178.0,183.0,166.437,174.25,770600,0.0,0.0
1999-11-08,173.0,190.5,172.875,187.562,872200,13.31,7.64
1999-11-09,189.187,197.0,178.0,189.75,539900,2.19,1.17
1999-11-10,190.375,195.5,181.5,190.0,439600,0.25,0.13
1999-11-11,190.0,194.25,178.5,182.187,368200,-7.81,-4.11
1999-11-12,185.125,185.5,174.062,177.312,298900,-4.88,-2.68
1999-11-15,180.0,181.0,169.0,171.75,374100,-5.56,-3.14
1999-11-16,176.75,184.0,163.625,184.0,584700,12.25,7.13
1999-11-17,180.625,190.0,178.312,189.375,422500,5.38,2.92
1999-11-18,190.5,190.5,180.0,187.375,318200,-2.0,-1.06
1999-11-19,191.0,192.625,183.25,185.0,426400,-2.38,-1.27
1999-11-22,187.375,188.687,176.0,184.875,252000,-0.12,-0.06
1999-11-23,193.0,219.875,186.0,210.0,1596200,25.12,13.59
1999-11-24,215.937,215.937,200.25,201.0,517700,-9.0,-4.29
1999-11-26,207.5,210.5,203.5,206.5,182100,5.5,2.74
1999-11-29,213.5,236.5,210.75,227.0,751800,20.5,9.93
1999-11-30,237.5,249.5,220.5,237.0,1421400,10.0,4.41
1999-12-01,238.125,239.0,207.25,217.625,790500,-19.37,-8.17
1999-12-02,214.562,225.75,214.5,215.25,282000,-2.38,-1.09
1999-12-03,218.375,229.0,206.25,207.0,435200,-8.25,-3.83
1999-12-06,208.187,219.0,201.125,216.75,292700,9.75,4.71
1999-12-07,223.75,229.375,215.0,226.0,516200,9.25,4.27
1999-12-08,226.0,241.687,223.25,241.5,515800,15.5,6.86
1999-12-09,247.0,258.0,224.0,250.0,560300,8.5,3.52
1999-12-10,253.375,258.75,238.0,243.5,309700,-6.5,-2.6
1999-12-13,246.5,246.5,227.0,228.5,386100,-15.0,-6.16
1999-12-14,233.75,236.375,217.0,217.0,395600,-11.5,-5.03
1999-12-15,215.0,232.0,201.0,230.375,352800,13.38,6.17
1999-12-16,236.562,271.5,236.0,271.0,936400,40.62,17.63
1999-12-17,271.5,298.0,268.0,281.75,685200,10.75,3.97
1999-12-20,285.437,302.0,282.937,286.25,367100,4.5,1.6
1999-12-21,292.5,309.0,290.25,301.875,454700,15.63,5.46
1999-12-22,305.75,309.125,287.687,291.0,352500,-10.88,-3.6
1999-12-23,289.875,293.937,274.25,281.437,377100,-9.56,-3.29
1999-12-27,282.562,285.875,275.0,285.875,177600,4.44,1.58
1999-12-28,284.687,290.0,265.0,271.5,175400,-14.38,-5.03
1999-12-29,277.875,304.0,277.5,303.562,381800,32.06,11.81
1999-12-30,315.937,342.375,314.75,327.0,388100,23.44,7.72
1999-12-31,334.0,344.875,320.0,327.625,237400,0.63,0.19
2000-01-03,344.187,345.5,311.0,321.25,285600,-6.38,-1.95
2000-01-04,320.0,321.5,300.0,300.0,215900,-21.25,-6.61
2000-01-05,282.5,299.625,262.0,283.5,1183500,-16.5,-5.5
2000-01-06,272.0,278.125,235.25,236.125,797500,-47.37,-16.71
2000-01-07,238.125,254.5,238.0,248.375,729100,12.25,5.19
2000-01-10,259.125,286.25,249.562,285.5,1143300,37.12,14.94
2000-01-11,295.125,298.0,267.25,278.437,481000,-7.06,-2.47
2000-01-12,288.0,289.25,250.0,254.0,1011300,-24.44,-8.78
2000-01-13,260.375,260.5,218.375,232.812,1031300,-21.19,-8.34
2000-01-14,254.0,254.625,229.0,230.0,641500,-2.81,-1.21
2000-01-18,229.062,229.062,207.5,211.5,822200,-18.5,-8.04
2000-01-19,212.0,233.0,212.0,224.75,1367500,13.25,6.26
2000-01-20,229.5,235.75,220.0,234.0,916400,9.25,4.12
2000-01-21,235.0,275.0,229.75,269.0,1232100,35.0,14.96
2000-01-24,271.937,284.437,258.625,262.062,886600,-6.94,-2.58
2000-01-25,264.0,282.0,254.625,279.312,369800,17.25,6.58
2000-01-26,278.0,288.0,274.062,277.5,596900,-1.81,-0.65
2000-01-27,270.0,290.0,264.0,281.125,544100,3.63,1.31
2000-01-28,266.125,285.062,255.0,270.062,418300,-11.07,-3.94
2000-01-31,264.125,267.0,235.062,249.125,675900,-20.93,-7.75
2000-02-01,255.25,256.469,235.375,239.062,328100,-10.07,-4.04
2000-02-02,239.125,245.0,231.25,233.625,314400,-5.43,-2.27
2000-02-03,240.0,252.0,239.875,245.375,479800,11.75,5.03
2000-02-04,247.625,254.0,230.406,235.0,330200,-10.38,-4.23
2000-02-07,230.0,233.0,216.0,228.625,1577600,-6.37,-2.71
2000-02-08,241.125,246.0,232.062,240.937,684100,12.31,5.38
2000-02-09,241.25,244.0,233.0,234.875,672500,-6.06,-2.52
2000-02-10,236.75,236.875,227.0,229.0,422800,-5.88,-2.5
2000-02-11,229.062,241.0,226.125,233.062,393000,4.06,1.77
2000-02-14,233.562,238.75,226.812,230.375,419000,-2.68,-1.15
2000-02-15,231.75,233.0,217.0,222.5,380600,-7.88,-3.42
2000-02-16,229.75,252.0,228.187,246.125,1087700,23.63,10.62
2000-02-17,246.25,253.0,235.5,252.0,702300,5.87,2.38
2000-02-18,246.0,247.0,239.25,241.687,502700,-10.31,-4.09
2000-02-22,238.625,244.0,238.375,242.125,374400,0.44,0.18
2000-02-23,246.0,260.5,233.5,252.062,497000,9.93,4.1
2000-02-24,253.5,275.375,253.0,274.812,739600,22.75,9.03
2000-02-25,274.25,275.0,261.0,267.062,493500,-7.75,-2.82
2000-02-28,263.375,265.375,248.312,256.75,456200,-10.31,-3.86
2000-02-29,259.281,262.75,250.0,261.25,252100,4.5,1.75
2000-03-01,259.375,285.875,259.312,278.625,688000,17.38,6.65
2000-03-02,282.187,290.687,265.0,268.0,556600,-10.63,-3.82
2000-03-03,278.25,286.625,265.875,268.375,585100,0.38,0.14
2000-03-06,270.5,278.812,252.75,254.0,363500,-14.38,-5.36
2000-03-07,260.0,268.187,255.0,262.437,585900,8.44,3.32
2000-03-08,264.187,269.062,249.0,265.0,400700,2.56,0.98
2000-03-09,267.875,288.0,265.156,286.0,465200,21.0,7.92
2000-03-10,288.062,305.937,288.0,296.0,669300,10.0,3.5
2000-03-13,274.0,302.5,273.937,284.75,453300,-15.0,-5.27
2000-03-14,292.5,292.75,266.0,269.75,343600,-29.5,-10.94
2000-03-15,269.562,270.187,230.187,240.25,898700,-11.12,-4.63
2000-03-16,243.0,245.5,215.0,229.125,826100,-10.19,-4.45
2000-03-17,227.0,237.5,218.5,218.937,550800,0.0,0.0
2000-03-20,218.75,227.875,209.625,213.25,1239900,-15.75,-7.39
2000-03-21,208.875,208.875,189.0,197.5,1344400,11.0,5.57
2000-03-22,202.25,225.0,201.312,208.5,821000,-6.62,-3.18
2000-03-23,210.0,215.0,199.0,201.875,633900,9.12,4.52
2000-03-24,203.5,215.0,202.5,211.0,556700,0.0,0.0
2000-03-27,214.25,219.5,206.125,208.687,325900,-8.81,-4.22
2000-03-28,207.25,207.375,199.0,199.875,493200,-29.88,-14.95
2000-03-29,199.437,199.437,168.0,170.0,1700200,-9.94,-5.85
2000-03-30,166.0,172.062,159.5,160.062,1395700,0.75,0.47
2000-03-31,172.062,172.125,155.0,160.812,841300,0.0,0.0
2000-04-03,157.125,157.875,118.0,119.0,1812400,-41.81,-26.0
2000-04-04,127.0,127.75,105.0,115.468,2058700,-3.53,-2.97
2000-04-05,110.875,130.125,107.0,110.0,1405500,-5.47,-4.74
2000-04-06,117.5,136.0,115.0,135.125,2277000,25.13,22.85
2000-04-07,141.0,149.75,138.0,145.687,1294700,10.56,7.81
2000-04-10,149.937,151.625,127.312,133.312,1420900,-12.38,-8.5
2000-04-11,121.312,123.0,105.0,107.75,3137100,-25.56,-19.17
2000-04-12,110.875,111.562,92.75,92.75,2596400,-15.0,-13.92
2000-04-13,97.312,99.25,87.875,88.0,1588800,-4.75,-5.12
2000-04-14,84.5,84.75,64.0,64.875,2185700,-23.12,-26.27
2000-04-17,60.0,76.625,56.625,70.0,2003400,5.12,7.89
2000-04-18,74.5,95.0,67.875,91.5,1895900,21.5,30.71
2000-04-19,95.0,102.125,85.0,88.937,1564000,-2.56,-2.8
2000-04-20,93.0,93.562,81.25,86.937,948900,-2.0,-2.25
2000-04-24,78.0,82.5,74.5,75.875,943600,-11.06,-12.72
2000-04-25,82.0,82.0,70.0,73.062,2603400,-2.82,-3.72
2000-04-26,68.0,79.812,67.0,73.5,1799600,0.44,0.6
2000-04-27,68.062,83.75,68.0,83.125,1502400,9.63,13.1
2000-04-28,88.187,108.0,87.5,98.875,2801200,15.75,18.95
2000-05-01,105.5,113.375,100.125,103.312,2010700,4.43,4.48
2000-05-02,105.125,111.75,101.125,105.375,1608600,2.07,2.0
2000-05-03,101.125,103.187,87.328,91.875,2057800,-13.5,-12.81
2000-05-04,99.937,100.875,93.0,97.0,1355100,5.12,5.57
2000-05-05,94.937,103.0,94.0,97.062,846400,0.06,0.06
2000-05-08,96.75,96.875,86.375,86.625,868400,-10.43,-10.75
2000-05-09,90.656,91.375,82.75,83.25,1300800,-3.38,-3.9
2000-05-10,80.25,87.062,73.687,77.375,1342700,-5.87,-7.05
2000-05-11,82.75,83.0,72.0,73.203,1489500,-4.19,-5.41
2000-05-12,77.0,78.5,69.875,70.5,1602100,-2.69,-3.68
2000-05-15,72.0,75.0,67.75,74.75,1559300,4.25,6.03
2000-05-16,79.75,81.0,72.0,76.062,1652600,1.31,1.75
2000-05-17,74.687,82.0,74.062,77.0,1398200,0.94,1.24
2000-05-18,79.75,80.187,74.437,75.562,806100,-1.44,-1.87
2000-05-19,74.0,74.937,70.0,71.937,852300,-3.62,-4.79
2000-05-22,74.0,74.0,61.5,69.375,1275000,-2.56,-3.56
2000-05-23,67.312,71.0,65.5,67.75,1333600,-1.63,-2.35
2000-05-24,67.812,69.25,60.937,66.437,1520800,-1.31,-1.93
2000-05-25,69.562,71.562,62.0,62.437,861800,-4.0,-6.02
2000-05-26,64.0,64.0,58.875,59.937,664000,-2.5,-4.0
2000-05-30,63.25,76.0,61.75,75.0,1787300,15.06,25.13
2000-05-31,72.468,77.062,66.625,66.75,1696700,-8.25,-11.0
2000-06-01,74.625,76.0,71.5,73.875,1412700,7.13,10.68
2000-06-02,80.125,91.0,79.5,89.0,3279800,15.12,20.47
2000-06-05,85.625,99.75,85.5,95.062,2892600,6.06,6.81
2000-06-06,97.562,102.0,86.5,87.562,2229000,-7.5,-7.89
2000-06-07,89.187,92.0,83.875,85.5,1825000,-2.06,-2.35
2000-06-08,90.25,91.5,87.0,90.562,1311300,5.06,5.92
2000-06-09,96.062,100.0,93.0,98.0,1612000,7.44,8.22
2000-06-12,93.937,93.937,88.0,88.625,1715500,-9.37,-9.56
2000-06-13,88.75,98.062,81.0,98.0,3005400,9.37,10.57
2000-06-14,96.437,100.75,92.375,93.937,3123300,-4.06,-4.14
2000-06-15,93.25,95.5,91.0,91.25,1597300,-2.69,-2.86
2000-06-16,92.75,95.0,87.875,88.0,1540900,-3.25,-3.56
2000-06-19,87.875,93.625,87.875,92.75,1359200,4.75,5.4
2000-06-20,94.812,96.75,90.5,94.0,2130900,1.25,1.35
2000-06-21,98.0,115.75,97.0,115.375,9644900,21.38,22.74
2000-06-22,118.25,118.437,107.5,107.562,2988800,-7.82,-6.78
2000-06-23,107.75,109.0,100.0,102.5,1421800,-5.06,-4.7
2000-06-26,105.0,120.0,102.5,119.25,3565200,16.75,16.34
2000-06-27,116.812,119.0,114.0,116.25,1782600,-3.0,-2.52
2000-06-28,116.25,119.0,109.0,112.5,2361000,-3.75,-3.23
2000-06-29,110.0,116.218,107.0,109.125,2089200,-3.37,-3.0
2000-06-30,109.75,119.0,108.25,118.734,1769500,9.59,8.79
2000-07-03,118.75,127.812,118.75,126.468,1635700,7.75,6.53
2000-07-05,122.062,128.5,115.0,115.187,1751300,-11.28,-8.92
2000-07-06,117.5,118.0,106.5,110.687,1943000,-4.5,-3.91
2000-07-07,112.812,119.5,112.812,113.75,1226000,3.06,2.76
2000-07-10,114.0,117.5,110.375,114.875,1146900,1.13,0.99
2000-07-11,114.687,118.75,106.875,107.062,1261000,-7.82,-6.81
2000-07-12,111.937,114.25,110.125,113.5,1391400,6.44,6.02
2000-07-13,117.75,129.187,115.75,127.062,2959100,13.56,11.95
2000-07-14,129.375,132.937,122.5,126.0,1849900,-1.06,-0.83
2000-07-17,125.562,127.687,121.5,124.687,924900,-1.31,-1.04
2000-07-18,122.812,126.5,116.875,122.0,1173000,-2.69,-2.16
2000-07-19,121.687,126.625,120.437,121.0,1345100,-1.0,-0.82
2000-07-20,122.5,129.375,121.0,125.437,1099800,4.44,3.67
2000-07-21,124.875,125.5,117.0,117.0,1096900,-8.44,-6.73
2000-07-24,117.5,117.5,107.5,107.875,1978300,-9.12,-7.79
2000-07-25,98.625,98.75,84.625,85.0,6957200,-22.88,-21.21
2000-07-26,80.187,87.437,74.0,84.687,5710100,-0.31,-0.36
2000-07-27,82.5,84.625,77.375,78.125,1237000,-6.56,-7.75
2000-07-28,80.125,81.0,72.5,77.937,1332000,-0.19,-0.24
2000-07-31,80.062,83.0,74.0,78.859,1801600,0.9,1.15
2000-08-01,79.062,79.75,71.187,71.25,1497900,-7.59,-9.63
2000-08-02,71.187,73.75,66.5,68.625,1863600,-2.62,-3.68
2000-08-03,65.125,76.0,65.062,75.0,2098200,6.37,9.28
2000-08-04,78.625,80.125,75.125,77.375,1359000,2.38,3.17
2000-08-07,78.5,81.0,75.875,76.687,907500,-0.69,-0.89
2000-08-08,77.0,78.875,73.875,74.062,1236500,-2.63,-3.43
2000-08-09,77.0,77.0,71.375,71.375,890600,-2.68,-3.62
2000-08-10,71.25,72.5,66.0,66.5,1671900,-4.88,-6.84
2000-08-11,65.937,66.0,60.687,63.437,3678600,-3.06,-4.6
2000-08-14,65.125,73.437,63.625,71.375,2869800,7.94,12.52
2000-08-15,70.5,77.5,70.437,75.062,2729200,3.68,5.16
2000-08-16,75.875,78.5,75.0,75.187,1265100,0.13,0.17
2000-08-17,74.75,77.375,74.562,75.125,1007800,-0.06,-0.08
2000-08-18,76.437,79.75,76.437,78.937,1699300,3.81,5.07
2000-08-21,80.375,80.437,75.75,76.0,788400,-2.94,-3.72
2000-08-22,77.187,77.187,71.375,71.625,2001100,-4.37,-5.75
2000-08-23,70.937,71.0,68.5,69.312,1436700,-2.32,-3.24
2000-08-24,66.0,66.0,63.875,65.187,4710600,-4.12,-5.94
2000-08-25,65.375,70.875,64.875,70.062,3072500,4.87,7.47
2000-08-28,70.625,70.625,65.0,67.0,2300600,-3.06,-4.37
2000-08-29,67.25,68.875,65.5,66.312,1430000,-0.69,-1.03
2000-08-30,66.875,74.75,66.75,72.5,2762800,6.19,9.33
2000-08-31,74.0,77.312,71.0,75.562,3741400,3.06,4.22
2000-09-01,76.312,76.75,70.875,72.187,1963300,-3.37,-4.46
2000-09-05,72.125,72.187,67.312,67.875,1532700,-4.31,-5.97
2000-09-06,67.437,72.75,67.437,69.125,1929900,1.25,1.84
2000-09-07,69.75,72.25,68.0,70.0,1219300,0.87,1.26
2000-09-08,69.562,69.562,66.875,67.5,1321600,-2.5,-3.57
2000-09-11,64.437,67.5,62.687,62.687,2754300,-4.81,-7.13
2000-09-12,63.812,67.562,60.562,61.687,3879400,-1.0,-1.6
2000-09-13,60.25,65.875,60.25,63.312,3212100,1.62,2.63
2000-09-14,65.687,67.75,62.187,63.937,2696600,0.63,1.0
