日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-05-04,3.75,3.91,2.41,2.9,4573147,-1.25,-30.12
2021-05-05,3.1,3.73,2.96,3.58,3751979,0.68,23.45
2021-05-06,5.22,5.6,3.4,3.61,41259232,0.03,0.84
2021-05-07,3.22,3.79,2.875,3.7,8957473,0.09,2.49
2021-05-10,4.88,4.91,3.86,4.57,23111316,0.87,23.51
2021-05-11,3.71,4.325,3.67,4.18,2611726,-0.39,-8.53
2021-05-12,3.8936,4.35,3.75,4.14,3048931,-0.04,-0.96
2021-05-13,4.05,4.35,3.62,3.8,1342963,-0.34,-8.21
2021-05-14,3.83,3.9,3.32,3.43,1062748,-0.37,-9.74
2021-05-17,3.77,3.97,3.52,3.65,1626840,0.22,6.41
2021-05-18,3.63,3.66,3.44,3.45,619613,-0.2,-5.48
2021-05-19,3.4,3.41,3.03,3.13,897673,-0.32,-9.28
2021-05-20,3.16,3.2819,3.09,3.13,479718,0.0,0.0
2021-05-21,3.12,3.1399,2.94,3.07,585621,-0.06,-1.92
2021-05-24,3.05,3.07,2.73,2.86,651945,-0.21,-6.84
2021-05-25,2.86,3.09,2.75,3.0,700597,0.14,4.9
2021-05-26,2.97,3.24,2.88,3.19,608024,0.19,6.33
2021-05-27,3.13,3.15,2.93,3.04,311653,-0.15,-4.7
2021-05-28,2.97,2.99,2.81,2.83,617883,-0.21,-6.9079
2021-06-01,2.88,2.98,2.83,2.92,630992,0.09,3.18
2021-06-02,2.92,3.1,2.92,2.94,572118,0.02,0.68
2021-06-03,3.01,3.1,2.83,3.03,491879,0.09,3.06
2021-06-04,3.03,3.2,2.92,3.17,366790,0.14,4.62
2021-06-07,3.37,3.68,3.34,3.49,1214716,0.32,10.09
2021-06-08,3.564,3.6,3.23,3.33,651441,-0.16,-4.58
2021-06-09,3.32,3.4,3.24,3.29,358235,-0.04,-1.2
2021-06-10,3.28,3.705,3.13,3.62,1872239,0.33,10.03
2021-06-11,3.66,3.73,3.43,3.51,303952,-0.11,-3.04
2021-06-14,3.51,3.6,3.31,3.41,220852,-0.1,-2.85
2021-06-15,5.14,7.0,4.66,6.97,198807106,3.56,104.4
2021-06-16,5.87,9.22,5.65,6.69,74504248,-0.28,-4.02
2021-06-17,6.35,7.14,5.8,6.15,9817598,-0.54,-8.07
2021-06-18,6.13,8.56,6.0105,7.96,54088993,1.81,29.43
2021-06-21,8.03,8.9,7.0,7.8,20550392,-0.16,-2.01
2021-06-22,9.48,16.45,9.03,16.29,216500837,8.49,108.85
2021-06-23,14.07,14.73,11.31,12.01,45400982,-4.28,-26.27
2021-06-24,11.9,13.75,11.15,12.85,29969088,0.84,6.99
2021-06-25,12.78,20.75,12.7,17.1,89875740,4.25,33.07
2021-06-28,19.8198,22.5,17.75,18.59,38392504,1.49,8.71
2021-06-29,18.38,18.389,15.35,15.9,8080624,-2.69,-14.47
2021-06-30,14.73,17.25,13.7,14.72,9338784,-1.18,-7.42
2021-07-01,14.7681,15.59,13.7802,14.02,3937540,-0.7,-4.76
2021-07-02,14.15,16.38,14.02,14.21,9263989,0.19,1.36
2021-07-06,15.36,16.19,13.32,13.61,4037792,-0.6,-4.22
2021-07-07,14.21,17.95,13.75,14.87,27297280,1.26,9.26
2021-07-08,14.3077,15.16,13.0,13.76,5086007,-1.11,-7.46
2021-07-09,14.5939,15.93,13.75,14.06,5452676,0.3,2.18
2021-07-12,14.25,14.67,12.3,12.76,2543517,-1.3,-9.25
2021-07-13,13.02,13.05,10.2,10.2,2860529,-2.56,-20.06
2021-07-14,10.61,12.48,10.2,10.34,4637675,0.14,1.37
2021-07-15,10.64,10.9,8.65,8.7,2504297,-1.64,-15.86
2021-07-16,9.0152,10.49,7.92,9.18,8693224,0.48,5.52
2021-07-19,8.63,12.4,8.55,12.05,9846103,2.87,31.26
2021-07-20,12.0,13.8399,11.0,11.19,7233697,-0.86,-7.14
