日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2014-11-05,17.0753,17.2264,15.5749,15.6924,30912742,1.6963,12.12
2014-11-06,15.894,16.2355,15.7596,15.8156,1619222,0.1224,0.78
2014-11-07,15.8156,16.1459,15.5413,15.7148,566945,-0.1012,-0.64
2014-11-10,15.95,16.0899,15.8156,15.8436,989553,0.1289,0.82
2014-11-11,15.8268,15.9332,15.5525,15.8828,449421,0.0396,0.25
2014-11-12,16.1179,16.2355,15.7652,16.2355,255088,0.3526,2.22
2014-11-13,16.5098,16.5098,16.0004,16.0395,380318,-0.1965,-1.21
2014-11-14,16.2243,16.2299,15.8878,16.1571,291956,0.1171,0.73
2014-11-17,16.0899,16.3195,15.7932,15.7932,482604,-0.3635,-2.25
2014-11-18,15.7316,15.9612,15.5749,15.8156,246462,0.0221,0.14
2014-11-19,15.7428,15.95,15.6062,15.8212,285975,0.0063,0.04
2014-11-20,15.6757,15.8716,15.6757,15.7596,321507,-0.0617,-0.39
2014-11-21,15.9444,15.9444,15.4293,15.6812,273375,-0.0788,-0.5
2014-11-24,15.6589,15.7344,15.5693,15.6924,239841,0.011,0.07
2014-11-25,15.6645,15.7316,15.4461,15.6589,234944,-0.033,-0.21
2014-11-26,15.6141,15.7596,15.4741,15.6589,134864,0.0,0.0
2014-11-28,15.5301,15.6477,14.6343,15.5021,162206,-0.1566,-1.0
2014-12-01,15.3397,15.6477,14.7575,15.0206,399872,-0.4821,-3.11
2014-12-02,14.9423,15.7932,14.9423,15.6701,189179,0.6489,4.32
2014-12-03,15.7988,16.3867,15.5637,16.0451,319344,0.3745,2.39
2014-12-04,15.9388,16.0563,15.6309,15.6477,141161,-0.3979,-2.48
2014-12-05,15.6757,15.7596,15.4657,15.5357,101519,-0.1127,-0.72
2014-12-08,15.3565,15.4741,14.3992,14.5336,543406,-1.002,-6.45
2014-12-09,14.0241,14.4776,13.9681,14.3376,408817,-0.1962,-1.35
2014-12-10,14.2089,14.5112,13.2179,13.677,1000622,-0.661,-4.61
2014-12-11,13.5874,14.1697,13.5874,13.9961,308738,0.3187,2.33
2014-12-12,13.873,14.1473,12.938,14.0521,481624,0.056,0.4
2014-12-15,14.1641,14.248,13.4475,13.4755,110037,-0.5761,-4.1
2014-12-16,13.4083,13.9961,12.9604,13.4699,658510,-0.0054,-0.04
2014-12-17,13.7162,14.0801,13.022,13.3803,866557,-0.0903,-0.67
2014-12-18,13.5538,13.7386,13.1172,13.6378,1591529,0.2569,1.92
2014-12-19,13.6602,13.7498,13.3691,13.6154,482807,-0.0218,-0.16
2014-12-22,13.5762,13.6658,12.966,13.0612,373984,-0.5541,-4.07
2014-12-23,13.0052,13.3243,12.8708,12.966,1065867,-0.0953,-0.73
2014-12-24,12.91,13.2683,12.7645,13.2347,98999,0.2684,2.07
2014-12-26,13.2683,13.8338,13.2515,13.4867,81591,0.2515,1.9
2014-12-29,13.4027,14.6175,13.4027,14.5392,352300,1.052,7.8
2014-12-30,14.528,15.3677,14.4664,15.1214,238266,0.5816,4.0
2014-12-31,15.0766,16.2243,15.0497,15.3957,319528,0.2737,1.81
2015-01-02,14.9423,15.5357,14.9143,15.3453,537738,-0.0508,-0.33
2015-01-05,15.1102,15.4069,14.1921,14.2704,205455,-1.0741,-7.0
2015-01-06,14.2872,14.5224,13.4755,13.8618,92863,-0.4081,-2.86
2015-01-07,13.5202,13.7442,13.0948,13.4251,262371,-0.4366,-3.15
2015-01-08,13.4251,14.0068,13.3131,13.4307,186936,0.0054,0.04
2015-01-09,13.3803,13.4811,13.0668,13.0724,216712,-0.3586,-2.67
2015-01-12,12.938,12.938,12.6189,12.7477,56076,-0.3242,-2.48
2015-01-13,12.798,12.9151,12.1318,12.1598,145021,-0.5877,-4.61
2015-01-14,12.0479,12.0479,11.4768,11.6392,554757,-0.5204,-4.28
2015-01-15,11.7903,12.3782,11.7903,12.2998,379827,0.6611,5.68
2015-01-16,11.9471,12.6469,11.9471,12.5461,180238,0.246,2.0
2015-01-20,12.5965,12.5965,12.1822,12.4677,92129,-0.0778,-0.62
2015-01-21,12.2102,12.7807,12.0367,12.6637,454572,0.1957,1.57
2015-01-22,12.6861,12.8076,12.3278,12.423,124108,-0.2406,-1.9
2015-01-23,12.395,12.8372,12.2606,12.6021,110230,0.1789,1.44
2015-01-26,12.6469,13.5981,12.4649,13.1675,127293,0.5658,4.49
2015-01-27,13.0388,13.2683,12.6413,13.0052,92404,-0.162,-1.23
2015-01-28,13.0276,13.1116,12.6245,12.6749,40865,-0.3303,-2.54
2015-01-29,12.5965,12.938,12.2438,12.8988,88211,0.2243,1.77
2015-01-30,12.9156,13.1955,12.395,13.1284,67857,0.2296,1.78
2015-02-02,13.0276,13.621,12.7365,13.5202,83829,0.3925,2.99
2015-02-03,13.7834,13.8674,13.2907,13.7442,147987,0.2244,1.66
2015-02-04,13.4195,13.7722,12.8428,13.6882,252942,-0.0564,-0.41
2015-02-05,13.5762,13.705,13.2851,13.677,251266,-0.011,-0.08
2015-02-06,13.705,13.7722,13.2851,13.733,138474,0.0561,0.41
2015-02-09,13.6266,13.6266,13.2683,13.4363,52661,-0.2966,-2.16
2015-02-10,13.3691,13.4027,12.9548,13.3187,150414,-0.1182,-0.88
2015-02-11,13.1675,13.4923,12.994,13.106,101769,-0.1605,-1.21
2015-02-12,13.1396,13.4139,13.0388,13.3411,1164678,0.2346,1.79
2015-02-13,13.3859,13.9065,13.1843,13.6994,203015,0.3589,2.69
2015-02-17,13.5482,13.9961,13.5482,13.8562,128994,0.1562,1.14
2015-02-18,13.8562,13.8562,13.5986,13.7834,93732,-0.0734,-0.53
2015-02-19,13.5818,13.845,13.5818,13.7834,52146,0.0,0.0
2015-02-20,13.6938,14.1081,13.565,14.0969,438370,0.3129,2.27
2015-02-23,14.1305,14.7295,13.8674,14.3824,464809,0.2862,2.03
2015-02-24,14.2704,14.416,14.1249,14.2984,213471,-0.0834,-0.58
2015-02-25,14.0297,14.416,14.0297,14.2145,138804,-0.0844,-0.59
2015-02-26,14.0297,14.5392,14.0297,14.5,588805,0.2857,2.01
2015-02-27,14.5056,14.584,14.4216,14.556,75967,0.0565,0.39
2015-03-02,14.6735,14.6735,14.4216,14.5672,740194,0.0116,0.08
2015-03-03,14.3936,14.6959,14.3421,14.6231,227827,0.0554,0.38
