日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2011-05-19,5.9139,6.2687,5.5591,6.2687,23294,,
2011-05-20,6.2056,6.6709,5.3225,5.5196,49977,,
2011-05-23,5.9927,6.0085,5.6852,5.977,39771,0.418,7.52
2011-05-24,6.0085,6.4028,5.906,6.3555,66615,0.3784,6.33
2011-05-25,6.387,6.387,6.2293,6.3791,27764,0.0235,0.37
2011-05-26,6.458,6.8049,6.2766,6.4982,33681,0.118,1.85
2011-05-27,6.6945,6.7024,6.3397,6.5447,25007,0.0474,0.73
2011-05-31,6.5447,6.5447,6.2845,6.4816,51213,-0.0628,-0.96
2011-06-01,6.6945,6.6945,5.835,6.2293,49204,-0.2521,-3.89
2011-06-02,5.8429,6.5526,5.835,6.5526,47254,0.3233,5.19
2011-06-03,6.3082,6.3318,5.9454,6.3082,20098,-0.2444,-3.73
2011-06-06,6.387,6.8207,6.3397,6.7891,106139,0.4807,7.62
2011-06-07,6.7891,6.8522,6.3555,6.7813,41532,-0.0081,-0.12
2011-06-08,6.5211,6.8286,6.1189,6.2687,115920,-0.5127,-7.56
2011-06-09,6.111,6.1978,5.7168,5.8824,109723,-0.3861,-6.16
2011-06-10,5.8272,5.9139,5.7562,5.8981,163430,0.0159,0.27
2011-06-13,5.8035,6.3082,5.701,6.2214,199327,0.3232,5.48
2011-06-14,6.3082,6.5211,6.1426,6.3239,77897,0.1027,1.65
2011-06-15,6.2293,6.3476,6.2293,6.3476,62138,0.0234,0.37
2011-06-16,6.2924,6.6945,6.1504,6.4264,148570,0.0787,1.24
2011-06-17,6.4264,6.6236,6.0401,6.2372,114689,-0.1889,-2.94
2011-06-20,6.3318,6.3476,5.7956,6.3476,73634,0.1104,1.77
2011-06-21,6.3397,6.3397,6.1031,6.3239,50140,-0.0235,-0.37
2011-06-22,6.3476,6.5447,6.3476,6.4974,79664,0.1733,2.74
2011-06-23,6.4895,6.5053,5.9454,6.1189,74554,-0.3788,-5.83
2011-06-24,6.1662,6.6551,6.1504,6.387,2567044,0.268,4.38
2011-06-27,6.4185,6.5368,6.1189,6.2214,82972,-0.1654,-2.59
2011-06-28,6.3397,6.3397,6.0795,6.3082,87233,0.0865,1.39
2011-06-29,6.3082,6.316,6.1347,6.2687,67049,-0.0391,-0.62
2011-06-30,6.3397,6.592,6.1189,6.1426,150436,-0.126,-2.01
2011-07-01,6.2056,6.2056,5.9573,6.0716,235578,-0.0713,-1.16
2011-07-05,6.0795,6.3082,5.9218,6.0795,68762,0.0079,0.13
2011-07-06,6.0795,6.2687,5.8745,6.0085,55330,-0.0711,-1.17
2011-07-07,6.0479,6.2608,6.0164,6.2135,84001,0.2049,3.41
2011-07-08,6.2135,6.253,5.8824,6.1347,78824,-0.0789,-1.27
2011-07-11,6.0716,6.4185,5.9927,6.3003,134570,0.1656,2.7
2011-07-12,6.3003,6.3949,6.0953,6.2293,76133,-0.0712,-1.13
2011-07-13,6.2293,6.3476,6.1504,6.3082,94240,0.0791,1.27
2011-07-14,6.3082,6.3082,6.1899,6.1899,23079,-0.1186,-1.88
2011-07-15,6.1978,6.316,6.1978,6.2687,161815,0.0786,1.27
2011-07-18,6.2608,6.2608,5.9375,6.0401,37377,-0.2288,-3.65
2011-07-19,6.0322,6.111,5.7246,5.8587,89884,-0.1812,-3.0
2011-07-20,5.8272,5.8272,5.1254,5.1254,211420,-0.7335,-12.52
2011-07-21,5.8272,5.8272,5.1254,5.149,81371,0.0236,0.46
2011-07-22,5.2042,5.2121,4.5419,4.8415,200127,-0.3074,-5.97
2011-07-25,4.81,4.81,4.2265,4.3763,136581,-0.4653,-9.61
2011-07-26,4.3763,4.9598,4.1397,4.5498,143385,0.1733,3.96
2011-07-27,4.5498,4.5813,4.3605,4.3605,109720,-0.1893,-4.16
2011-07-28,4.3842,4.534,4.3369,4.3999,61412,0.0392,0.9
2011-07-29,4.3999,4.9992,4.3999,4.9834,38967,0.5834,13.26
2011-08-01,4.9756,5.0938,4.6601,4.944,46157,-0.0394,-0.79
2011-08-02,4.9519,5.0465,4.7469,4.7627,43149,-0.1815,-3.67
2011-08-03,4.8257,5.0465,4.7469,4.9992,56110,0.2367,4.97
2011-08-04,4.9756,5.0386,4.8494,4.8494,65936,-0.15,-3.0
2011-08-05,4.873,4.873,4.5261,4.5813,73681,-0.2682,-5.53
2011-08-08,4.534,4.6128,4.0845,4.0845,128056,-0.4966,-10.84
2011-08-09,4.2422,4.9748,3.1383,3.706,129334,-0.3786,-9.27
2011-08-10,3.706,4.3999,3.1698,3.4064,77177,-0.2998,-8.09
2011-08-11,3.5483,4.6759,3.5483,4.2343,88341,0.8281,24.31
2011-08-12,4.2501,4.6523,3.9663,4.0293,54619,-0.2049,-4.84
2011-08-15,4.0766,4.2501,3.7455,4.1792,74125,0.1499,3.72
2011-08-16,4.187,4.187,3.7455,3.7534,47832,-0.4259,-10.19
2011-08-17,3.7534,3.9426,3.7455,3.9032,56714,0.1498,3.99
2011-08-18,3.7928,3.9899,3.643,3.8243,90252,-0.0788,-2.02
2011-08-19,3.8164,4.0214,3.8164,3.9741,66125,0.1499,3.92
2011-08-22,4.0766,4.2343,3.9426,4.0688,66395,0.0946,2.38
2011-08-23,4.0845,5.8508,3.9978,5.5354,142938,1.4667,36.05
2011-08-24,5.9139,6.2206,5.2988,5.772,170952,0.2364,4.27
2011-08-25,6.0795,6.2206,5.7562,5.8035,103146,0.0317,0.55
2011-08-26,5.8035,5.8429,5.5275,5.7246,73856,-0.0789,-1.36
2011-08-29,5.7168,6.2056,5.7168,6.0558,71307,0.3314,5.79
2011-08-30,5.977,6.111,5.7483,5.8193,126669,-0.2368,-3.91
2011-08-31,5.8745,6.1662,5.5669,6.1662,135515,0.3468,5.96
2011-09-01,6.1347,6.1355,5.3935,5.5196,66511,-0.6469,-10.49
2011-09-02,5.3462,5.7246,5.2831,5.5354,43746,0.016,0.29
2011-09-06,5.4171,6.4737,5.4171,6.1583,210089,0.6227,11.25
2011-09-07,6.2766,6.5841,5.9454,6.4935,337883,0.3391,5.51
2011-09-08,6.4974,6.5368,6.3082,6.4974,178014,0.0,0.0
2011-09-09,6.4422,6.8207,6.316,6.7891,76478,0.2917,4.49
2011-09-12,6.5053,6.5053,6.1623,6.4659,84005,-0.3232,-4.76
2011-09-13,6.458,6.5368,6.3791,6.5368,83099,0.0711,1.1
2011-09-14,6.5447,6.9942,6.4816,6.9547,107087,0.4177,6.39
2011-09-15,7.0336,7.0967,6.4659,7.0415,103618,0.0869,1.25
2011-09-16,7.0967,7.3096,6.3082,7.2465,155983,0.2049,2.91
2011-09-19,7.1282,7.215,6.8814,6.9705,52137,-0.2761,-3.81
2011-09-20,7.1124,7.2228,6.1899,6.316,112553,-0.6545,-9.39
2011-09-21,6.387,6.4659,6.1662,6.3318,60853,0.0158,0.25
2011-09-22,6.1583,6.9942,5.9139,6.1268,99956,-0.2052,-3.24
2011-09-23,6.1268,6.5526,5.9375,6.1583,60832,0.0312,0.51
2011-09-26,6.2135,6.3791,6.0479,6.2687,64856,0.1102,1.79
2011-09-27,6.4107,6.4659,5.7483,6.1583,191801,-0.1103,-1.76
