日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2012-02-22,50.27,50.27,50.27,50.27,200,0.0,0.0
2012-02-23,50.27,50.31,50.22,50.31,840,0.04,0.08
2012-02-27,50.51,50.51,50.51,50.51,115,0.2,0.4
2012-02-29,51.4,51.4,50.98,50.98,700,0.47,0.93
2012-03-01,50.6,50.6,50.6,50.6,2500,-0.38,-0.75
2012-03-02,50.96,50.96,50.96,50.96,197,0.36,0.71
2012-03-05,50.98,51.01,50.85,50.85,495,-0.11,-0.22
2012-03-08,50.6,50.6,50.6,50.6,305,-0.25,-0.49
2012-03-09,50.38,50.38,50.38,50.38,200,-0.22,-0.43
2012-03-12,50.43,50.51,50.29,50.51,1600,0.13,0.26
2012-03-13,50.48,50.48,50.26,50.45,3500,-0.06,-0.12
2012-03-14,50.25,50.25,49.78,49.78,4700,-0.67,-1.33
2012-03-15,49.73,49.8,49.52,49.7,7300,-0.08,-0.16
2012-03-16,49.53,49.54,49.53,49.54,5200,-0.16,-0.32
2012-03-19,49.5,49.5,49.5,49.5,100,-0.04,-0.08
2012-03-20,49.24,49.54,49.24,49.54,4694,0.04,0.08
2012-03-21,49.15,49.57,49.15,49.27,1900,-0.27,-0.55
2012-03-22,49.75,49.77,49.3,49.77,2100,0.5,1.01
2012-03-26,49.73,49.73,49.45,49.6,3000,-0.17,-0.34
2012-03-27,49.45,49.65,49.45,49.5,2900,-0.1,-0.2
2012-03-28,49.45,49.85,49.45,49.6,3300,0.1,0.2
2012-03-29,49.63,49.68,49.63,49.67,1550,0.07,0.14
2012-03-30,49.78,49.9,49.75,49.75,2200,0.08,0.16
2012-04-02,49.69,49.82,49.58,49.68,59065,-0.07,-0.14
2012-04-03,49.69,50.24,49.46,49.48,54572,-0.2,-0.4
2012-04-04,49.31,49.54,49.31,49.5,11575,0.02,0.04
2012-04-05,49.54,49.6,49.38,49.56,18772,0.06,0.12
2012-04-09,49.86,49.92,49.86,49.92,903,0.36,0.73
2012-04-10,50.29,50.29,49.89,49.89,774,-0.03,-0.06
2012-04-12,50.29,50.29,50.29,50.29,197,0.4,0.8
2012-04-13,50.14,50.15,50.14,50.15,200,-0.14,-0.28
2012-04-16,50.25,50.25,49.9,49.9,5109,-0.25,-0.5
2012-04-17,50.38,50.4,50.38,50.4,480,0.5,1.0
2012-04-18,50.45,50.45,50.45,50.45,180,0.05,0.1
2012-04-20,50.33,50.33,50.33,50.33,1200,-0.12,-0.24
2012-04-23,50.43,50.43,50.43,50.43,100,0.1,0.2
2012-04-25,50.38,50.38,50.28,50.28,2500,-0.15,-0.3
2012-04-27,50.6,50.6,50.6,50.6,400,0.32,0.64
2012-04-30,50.14,50.47,50.1,50.4,1850,-0.2,-0.4
2012-05-01,50.13,50.2,47.53,50.0,15783,-0.4,-0.79
2012-05-02,50.2,50.4,50.16,50.4,1354,0.4,0.8
2012-05-03,50.45,50.52,50.4,50.52,14255,0.12,0.24
2012-05-04,50.48,50.56,50.48,50.56,200,0.04,0.08
2012-05-07,50.65,50.74,50.64,50.74,1902,0.18,0.36
