日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2014-03-17,24.9,24.96,24.8,24.87,64950,0.0,0.0
2014-03-18,24.9,25.13,24.9,25.13,44376,0.26,1.05
2014-03-19,25.11,25.21,25.03,25.08,658269,-0.05,-0.2
2014-03-20,25.09,25.09,25.02,25.03,31518,-0.05,-0.2
2014-03-21,25.05,25.05,25.01,25.03,17707,0.0,0.0
2014-03-24,25.05,25.1,25.03,25.03,27456,0.0,0.0
2014-03-25,25.1,25.1,25.0,25.01,19854,-0.02,-0.08
2014-03-26,25.09,25.09,24.96,25.04,380585,0.03,0.12
2014-03-27,25.11,25.11,25.02,25.05,13517,0.01,0.04
2014-03-28,25.12,25.13,24.93,25.04,65603,-0.01,-0.04
2014-03-31,25.09,25.12,25.03,25.12,34439,0.08,0.32
2014-04-01,25.13,25.43,25.1,25.43,20136,0.31,1.23
2014-04-02,25.38,25.43,25.36,25.36,16505,-0.07,-0.27
2014-04-03,25.29,25.35,25.1,25.11,50498,-0.25,-0.99
2014-04-04,25.17,25.22,25.05,25.15,80197,0.04,0.16
2014-04-07,25.19,25.32,25.15,25.27,40214,0.12,0.48
2014-04-08,25.25,25.3,25.15,25.25,31585,-0.02,-0.08
2014-04-09,25.27,25.52,25.23,25.41,35745,0.16,0.63
2014-04-10,25.4,25.49,25.39,25.4,40842,-0.01,-0.04
2014-04-11,25.48,25.52,25.4,25.41,5613,0.04,0.16
2014-04-15,25.45,25.58,25.41,25.51,13749,0.1,0.39
2014-04-16,25.57,25.67,25.51,25.55,14561,0.04,0.16
2014-04-17,25.66,25.66,25.25,25.25,27421,-0.3,-1.17
2014-04-21,25.41,25.45,25.34,25.36,13055,0.11,0.44
2014-04-22,25.42,25.42,25.36,25.38,21037,0.02,0.08
2014-04-23,25.52,25.63,25.41,25.55,75231,0.17,0.67
2014-04-24,25.68,25.68,25.5,25.53,23213,-0.02,-0.08
2014-04-25,25.59,25.67,25.51,25.57,13735,0.04,0.16
2014-04-28,25.68,25.71,25.48,25.57,58463,0.0,0.01
2014-04-29,25.73,25.73,25.53,25.55,41866,-0.02,-0.08
2014-04-30,25.55,25.97,25.5,25.69,134076,0.14,0.55
2014-05-01,25.6,26.04,25.55,25.65,54530,-0.04,-0.16
2014-05-02,25.74,25.75,25.64,25.75,231244,0.1,0.39
2014-05-05,25.68,25.8,25.56,25.62,112132,-0.11,-0.42
2014-05-07,25.6,25.77,25.6,25.77,18621,0.15,0.58
2014-05-08,25.7,25.78,25.7,25.7,10533,-0.07,-0.26
2014-05-09,25.66,25.75,25.64,25.65,6814,-0.05,-0.21
2014-05-12,25.65,25.8,25.65,25.73,7374,0.08,0.31
2014-05-13,25.81,25.83,25.74,25.83,28538,0.1,0.39
2014-05-14,25.87,25.92,25.65,25.74,68377,-0.09,-0.35
2014-05-15,25.74,25.78,25.56,25.66,32767,-0.08,-0.31
2014-05-16,25.68,25.68,25.56,25.57,24223,-0.09,-0.35
2014-05-19,25.62,25.66,25.57,25.59,18371,0.02,0.08
2014-05-20,25.6,25.64,25.59,25.64,10713,0.05,0.2
2014-05-21,25.66,25.75,25.65,25.73,14236,0.09,0.35
2014-05-22,25.94,25.95,25.82,25.88,32346,0.15,0.58
2014-05-23,25.97,25.97,25.67,25.73,19345,-0.15,-0.58
2014-05-27,25.78,25.8,25.7,25.76,8943,0.03,0.12
2014-05-28,25.82,25.95,25.81,25.87,11667,0.11,0.43
2014-05-29,26.1,26.19,25.97,26.19,7350,0.03,0.12
2014-06-02,26.24,26.39,26.21,26.24,10834,0.05,0.19
2014-06-03,26.29,26.29,25.99,26.1,16858,-0.14,-0.53
2014-06-04,26.01,26.12,25.72,26.12,85318,0.02,0.09
2014-06-05,26.5,26.5,26.33,26.47,6974,0.11,0.42
2014-06-10,26.49,26.52,26.27,26.27,12999,-0.2,-0.76
2014-06-11,25.93,25.93,25.74,25.75,27181,-0.1,-0.38
2014-06-12,25.79,25.8,25.46,25.46,31922,-0.29,-1.13
2014-06-13,25.47,25.49,25.37,25.39,39244,-0.07,-0.27
2014-06-16,25.5,25.5,25.33,25.33,17976,-0.06,-0.24
2014-06-17,25.39,25.44,25.34,25.42,38014,0.09,0.36
2014-06-18,25.51,25.73,25.5,25.73,21037,0.31,1.22
2014-06-19,25.69,25.99,25.69,25.94,14871,0.21,0.82
2014-06-20,25.94,26.02,25.92,25.98,15546,0.04,0.15
2014-06-23,26.05,26.07,25.93,25.99,34995,0.01,0.04
2014-06-24,26.1,26.49,26.03,26.33,62307,0.34,1.31
2014-06-25,26.39,26.44,26.28,26.28,14192,-0.05,-0.19
2014-06-26,26.37,26.47,26.37,26.45,19362,0.17,0.65
2014-06-27,26.4,26.45,26.35,26.41,8264,-0.04,-0.15
2014-06-30,26.45,26.6,26.37,26.37,23617,-0.04,-0.15
2014-07-01,26.37,26.43,26.31,26.34,13549,-0.03,-0.11
2014-07-02,26.3,26.36,26.21,26.27,21598,-0.07,-0.27
2014-07-03,26.25,26.25,26.06,26.06,13704,-0.21,-0.8
2014-07-07,26.01,26.08,25.91,25.92,15202,-0.14,-0.54
2014-07-08,26.03,26.23,26.02,26.23,14254,0.31,1.2
2014-07-09,26.18,26.66,26.18,26.59,35207,0.36,1.37
2014-07-10,26.52,26.7,26.37,26.37,35501,-0.22,-0.83
2014-07-11,26.37,26.66,26.37,26.58,25618,0.21,0.8
2014-07-14,26.53,26.78,26.53,26.69,9463,0.11,0.41
2014-07-15,26.59,26.75,26.59,26.66,18950,-0.03,-0.12
2014-07-16,26.74,26.74,26.42,26.44,18940,-0.21,-0.79
2014-07-18,26.52,26.76,26.32,26.76,21468,0.32,1.21
2014-07-21,26.59,26.78,26.59,26.7,11275,-0.06,-0.22
2014-07-22,26.79,26.82,26.58,26.73,20581,0.03,0.11
2014-07-23,26.78,27.1,26.73,27.02,34598,0.29,1.08
2014-07-24,26.99,27.32,26.82,27.03,83337,0.01,0.04
2014-07-25,27.12,27.13,27.05,27.07,3958,0.02,0.07
2014-07-29,27.01,27.2,26.97,27.13,29723,0.06,0.22
2014-07-30,27.24,27.24,27.0,27.0,20326,-0.13,-0.48
2014-07-31,26.91,27.12,26.91,27.0,52465,0.0,0.0
2014-08-01,26.97,27.06,26.77,26.98,48047,-0.02,-0.07
2014-08-04,26.98,27.09,26.85,26.9,80554,-0.08,-0.3
2014-08-06,26.45,26.67,26.28,26.39,15081,-0.08,-0.3
2014-08-07,26.39,26.72,26.39,26.72,39847,0.33,1.25
2014-08-08,26.38,26.54,26.38,26.43,3605,0.01,0.03
2014-08-13,26.33,26.66,26.33,26.66,6524,0.23,0.87
2014-08-14,26.52,26.8,26.52,26.75,126569,0.09,0.34
2014-08-15,27.0,27.0,26.86,26.89,8118,-0.1,-0.36
2014-08-20,26.95,26.95,26.73,26.85,7871,-0.04,-0.16
2014-08-21,26.96,26.96,26.84,26.9,6359,0.05,0.19
2014-08-22,26.76,26.8,26.71,26.71,15458,-0.14,-0.51
2014-08-27,26.76,26.76,26.65,26.74,16700,0.03,0.11
2014-08-28,26.65,26.84,26.65,26.84,11922,0.1,0.37
2014-08-29,26.79,26.89,26.74,26.89,14168,0.05,0.19
2014-09-02,26.83,26.87,26.7,26.7,15920,-0.19,-0.71
2014-09-03,26.65,26.65,26.34,26.42,20928,-0.28,-1.05
2014-09-04,26.37,26.38,26.08,26.1,37402,-0.32,-1.21
2014-09-05,26.15,26.19,25.9,26.01,19195,-0.09,-0.34
2014-09-08,26.06,26.14,26.0,26.03,26392,0.02,0.06
2014-09-09,26.04,26.21,26.04,26.13,55524,0.1,0.4
2014-09-10,26.08,26.29,26.08,26.28,23054,0.15,0.57
2014-09-11,25.73,25.87,25.73,25.81,14441,-0.05,-0.19
2014-09-12,25.77,25.83,25.64,25.8,100016,-0.01,-0.03
2014-09-15,25.75,25.96,25.74,25.96,26164,0.16,0.61
2014-09-16,26.09,26.33,25.95,26.33,12949,0.33,1.27
2014-09-18,26.26,26.47,26.17,26.28,18577,-0.06,-0.23
2014-09-22,26.18,26.33,26.09,26.12,5670,-0.16,-0.61
2014-09-23,26.18,26.31,26.15,26.3,10675,0.18,0.69
2014-09-24,26.12,26.31,26.08,26.29,8904,0.09,0.34
2014-09-29,26.64,26.84,26.49,26.84,19143,0.33,1.24
2014-10-01,26.91,26.91,26.47,26.47,10929,-0.37,-1.38
2014-10-02,26.47,26.58,26.37,26.37,12198,-0.1,-0.38
2014-10-03,26.37,26.4,26.17,26.17,11951,-0.2,-0.76
2014-10-06,26.17,26.22,25.88,25.94,19935,-0.23,-0.88
2014-10-07,25.9,26.06,25.9,25.95,5337,0.01,0.04
2014-10-08,25.88,26.04,25.88,25.95,18327,0.0,0.0
2014-10-09,25.97,26.03,25.8,25.83,24882,-0.12,-0.46
2014-10-10,25.8,25.84,25.69,25.75,5715,-0.08,-0.31
2014-10-13,25.71,25.76,25.46,25.51,14289,-0.24,-0.93
2014-10-14,25.44,25.76,25.43,25.61,31533,0.1,0.39
2014-10-15,25.57,25.71,25.54,25.69,20466,0.08,0.31
2014-10-16,25.54,25.8,25.54,25.79,8750,0.1,0.39
2014-10-17,25.73,25.83,25.54,25.54,37710,-0.25,-0.97
2014-10-20,25.61,25.81,25.61,25.8,19857,0.26,1.02
2014-10-21,25.81,26.09,25.81,26.04,16319,0.24,0.93
2014-10-22,26.01,26.32,26.01,26.32,17739,0.28,1.06
2014-10-23,26.36,26.52,26.25,26.31,15886,-0.01,-0.03
2014-10-24,26.26,26.4,26.26,26.4,5828,0.09,0.34
2014-10-27,26.33,26.4,26.31,26.36,2832,-0.04,-0.15
2014-10-28,26.39,26.54,26.39,26.54,10158,0.18,0.68
2014-10-29,26.46,26.49,26.25,26.34,12155,-0.2,-0.75
2014-10-30,26.3,26.43,26.3,26.37,5054,0.03,0.11
2014-10-31,26.35,26.74,26.12,26.74,30119,0.37,1.4
2014-11-03,26.62,26.73,26.43,26.72,17114,-0.02,-0.07
2014-11-04,26.61,26.89,26.51,26.84,25829,0.12,0.45
2014-11-05,26.8,26.8,26.58,26.79,13335,-0.05,-0.19
2014-11-06,26.66,26.7,26.53,26.53,16306,-0.26,-0.97
2014-11-07,26.48,26.48,26.3,26.43,21674,-0.1,-0.38
2014-11-10,26.41,26.41,26.25,26.38,14332,-0.05,-0.19
2014-11-11,26.32,26.49,26.31,26.49,9796,0.11,0.42
2014-11-12,26.41,26.46,26.28,26.44,16549,-0.05,-0.19
2014-11-13,26.46,26.46,26.37,26.44,10122,0.0,0.0
2014-11-14,26.38,26.72,26.38,26.69,21220,0.25,0.95
2014-11-17,26.7,26.8,26.68,26.74,16778,0.05,0.19
2014-11-18,26.82,26.83,26.74,26.74,18858,0.0,0.0
