日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2020-10-15,29.5,37.35,29.05,36.45,33963407,14.45,65.68
2020-10-16,37.45,41.94,36.64,38.95,12257931,2.5,6.86
2020-10-19,38.85,40.5,38.48,38.95,3539564,0.0,0.0
2020-10-20,39.28,40.73,37.25,38.5,2853178,-0.45,-1.16
2020-10-21,38.12,42.1,37.36,39.34,8694243,0.84,2.18
2020-10-22,38.98,44.44,38.03,43.94,3239954,4.6,11.69
2020-10-23,43.58,44.01,38.837,42.0,3298250,-1.94,-4.42
2020-10-26,41.05,41.73,38.4,39.5,1965400,-2.5,-5.95
2020-10-27,39.5,39.52,37.29,38.0,1637187,-1.5,-3.8
2020-10-28,36.6699,38.75,35.55,37.46,1858854,-0.54,-1.42
2020-10-29,37.61,38.2,36.53,37.81,899113,0.35,0.93
2020-10-30,36.96,37.25,34.5,36.85,1181031,-0.96,-2.54
2020-11-02,37.74,38.5,36.46,36.78,993068,-0.07,-0.19
2020-11-03,37.14,38.5,36.52,37.57,2321886,0.79,2.15
2020-11-04,36.63,37.49,34.13,35.94,2016444,-1.63,-4.34
2020-11-05,37.33,42.49,36.67,39.34,2281591,3.4,9.46
2020-11-06,38.6668,48.88,38.1,44.81,3274749,5.47,13.9
2020-11-09,44.248,45.7,38.39,42.0,2445184,-2.81,-6.27
2020-11-10,41.25,41.8315,35.71,39.7,2271495,-2.3,-5.48
2020-11-11,40.16,41.19,38.85,39.16,588473,-0.54,-1.36
2020-11-12,39.15,39.63,37.07,37.63,693945,-1.53,-3.91
2020-11-13,38.55,40.59,37.6687,38.47,813876,0.84,2.23
2020-11-16,39.0,39.9999,38.56,39.32,789384,0.85,2.21
2020-11-17,39.5,40.3585,38.71,40.05,854282,0.73,1.86
2020-11-18,40.34,44.27,40.25,41.97,1853162,1.92,4.79
2020-11-19,41.5,43.96,41.2,42.7,498723,0.73,1.74
2020-11-20,42.97,45.9,42.575,45.1,813764,2.4,5.62
2020-11-23,45.6,46.89,42.33,45.1,1083143,0.0,0.0
2020-11-24,45.67,50.99,43.2701,46.2,1604001,1.1,2.44
2020-11-25,46.05,48.54,45.29,47.43,695016,1.23,2.66
2020-11-27,48.4653,49.69,46.61,47.11,590007,-0.32,-0.67
2020-11-30,48.15,48.15,43.65,45.58,1008327,-1.53,-3.25
2020-12-01,42.5646,43.35,40.27,40.6,2218971,-4.98,-10.93
2020-12-02,40.4,40.4,37.195,37.6,3028650,-3.0,-7.39
2020-12-03,37.5,38.45,35.65,35.85,12618849,-1.75,-4.65
2020-12-04,36.17,36.9,33.83,34.09,4500638,-1.76,-4.91
2020-12-07,35.0,35.939,33.46,35.18,3078922,1.09,3.2
2020-12-08,36.03,36.79,35.3,36.57,3813703,1.39,3.95
2020-12-09,37.75,38.24,35.68,36.12,3931858,-0.45,-1.23
2020-12-10,35.348,36.88,35.3,36.1,1867183,-0.02,-0.06
2020-12-11,36.25,37.0,35.27,36.47,1598002,0.37,1.0249
2020-12-14,36.8,37.37,36.5,36.95,2398408,0.48,1.32
2020-12-15,37.05,38.88,36.04,38.64,2508178,1.69,4.57
2020-12-16,38.85,40.89,38.15,40.49,2643815,1.85,4.79
2020-12-17,40.9,42.09,39.69,41.91,2126885,1.42,3.51
2020-12-18,41.92,43.35,41.25,42.0,9525697,0.09,0.21
2020-12-21,41.016,43.74,40.05,43.08,1772643,1.08,2.57
2020-12-22,43.73,44.9,42.5,44.27,2446529,1.19,2.76
2020-12-23,44.95,46.3,44.77,45.1,2852828,0.83,1.87
2020-12-24,44.0,45.15,43.54,44.18,1311965,-0.92,-2.04
2020-12-28,44.31,46.87,42.95,43.41,2053148,-0.77,-1.74
2020-12-29,42.94,43.29,40.34,42.44,1880042,-0.97,-2.23
2020-12-30,42.27,43.61,42.07,43.47,2848064,1.03,2.43
2020-12-31,43.09,43.73,42.78,43.14,961321,-0.33,-0.76
2021-01-04,43.5,43.89,41.17,42.42,1564089,-0.72,-1.67
2021-01-05,42.09,43.9,41.06,41.91,1579870,-0.51,-1.2023
2021-01-06,45.1655,48.37,44.35,47.04,3490057,5.13,12.24
2021-01-07,48.65,51.47,48.65,49.7,2378583,2.66,5.65
2021-01-08,52.99,54.78,49.83,50.76,2550819,1.06,2.13
2021-01-11,47.64,52.03,46.78,51.0,1468671,0.24,0.47
2021-01-12,51.7,52.2347,49.28,51.01,1530857,0.01,0.02
2021-01-13,50.78,51.28,49.405,49.5,1107334,-1.51,-2.96
2021-01-14,49.7,51.36,48.25,48.46,1579640,-1.04,-2.1
2021-01-15,48.42,48.6,45.02,45.93,1411741,-2.53,-5.22
2021-01-19,46.6,48.39,46.175,48.36,1339000,2.43,5.29
2021-01-20,49.88,50.466,47.62,48.2,1086424,-0.16,-0.3309
2021-01-21,47.62,49.7,47.45,49.7,1102689,1.5,3.11
2021-01-22,49.32,51.05,48.42,51.05,1261321,1.35,2.7163
2021-01-25,51.4,52.7647,47.73,48.36,1664120,-2.69,-5.27
2021-01-26,48.64,48.99,45.73,45.91,1141895,-2.45,-5.07
