日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2018-08-15,29.2,32.32,27.88,32.16,732786,2.9608,10.14
2018-08-16,31.4,31.4,28.92,29.12,931813,-3.039,-9.45
2018-08-17,29.12,30.08,28.58,29.96,442847,0.8387,2.88
2018-08-20,29.44,30.4,28.5396,30.2,516523,0.2397,0.8
2018-08-21,30.2,30.24,29.04,29.56,570422,-0.6402,-2.12
2018-08-22,29.6,29.84,28.9,28.96,425423,-0.6001,-2.03
2018-08-23,28.96,28.96,27.8,27.84,1381544,-1.1208,-3.87
2018-08-24,28.0,28.96,27.998,28.52,475256,0.6793,2.44
2018-08-27,28.8,29.44,28.4,29.32,425017,0.8014,2.81
2018-08-28,29.24,29.72,29.04,29.28,308697,-0.041,-0.14
2018-08-29,24.44,26.32,23.84,26.06,3915355,-3.2209,-11.0
2018-08-30,26.12,26.6,25.92,26.18,1202353,0.1199,0.46
2018-08-31,26.2,26.2,24.84,25.52,767749,-0.6597,-2.52
2018-09-04,25.88,25.88,24.4,25.2,755513,-0.319,-1.25
2018-09-05,25.28,26.26,24.92,26.12,936330,0.9198,3.65
2018-09-06,26.2,26.2,25.24,25.28,687530,-0.8411,-3.22
2018-09-07,25.16,25.34,24.72,24.8,776192,-0.4803,-1.9
2018-09-10,24.8,25.1,24.28,24.36,921973,-0.4389,-1.77
2018-09-11,24.36,24.36,23.56,23.84,521081,-0.5188,-2.13
2018-09-12,24.04,24.48,23.68,23.96,406551,0.1192,0.5
2018-09-13,24.0,24.0,23.24,23.64,870782,-0.3211,-1.34
2018-09-14,23.6,23.88,22.88,23.36,724833,-0.2789,-1.18
2018-09-17,23.36,23.44,22.88,23.28,554822,-0.0794,-0.34
2018-09-18,23.24,24.2,23.24,23.56,598007,0.2794,1.2
2018-09-19,23.68,24.28,23.64,23.84,420444,0.2804,1.19
2018-09-20,24.08,24.8,24.0,24.76,409435,0.9202,3.86
2018-09-21,24.64,24.92,24.24,24.56,784043,-0.2006,-0.81
2018-09-24,24.64,24.96,24.0,24.56,459308,0.0,0.0
2018-09-25,24.56,24.64,23.72,23.92,342352,-0.641,-2.61
2018-09-26,23.8,23.84,23.14,23.24,431141,-0.6793,-2.84
2018-09-27,23.36,24.2,23.28,23.84,478594,0.5996,2.58
2018-09-28,23.76,23.92,23.28,23.52,500610,-0.3194,-1.34
2018-10-01,23.68,24.24,22.92,23.0,512736,-0.5198,-2.21
2018-10-02,23.0,23.36,22.12,22.2,458580,-0.8004,-3.48
2018-10-03,22.2,22.84,22.16,22.6,572922,0.3996,1.8
2018-10-04,22.68,23.0568,22.28,22.84,386419,0.2396,1.06
2018-10-05,22.96,23.16,22.32,22.72,286428,-0.1211,-0.53
2018-10-08,22.68,23.28,22.404,23.12,274315,0.3999,1.76
2018-10-09,23.08,23.2,22.24,22.64,398436,-0.4809,-2.08
2018-10-10,22.48,23.2,22.2,22.2,530003,-0.4392,-1.94
2018-10-11,22.0,22.44,21.4,21.56,770197,-0.6393,-2.88
2018-10-12,21.84,22.52,21.68,22.08,346169,0.5196,2.41
2018-10-15,22.12,22.54,21.84,22.28,209443,0.2009,0.91
2018-10-16,22.52,23.56,22.52,23.4,469948,1.1207,5.03
2018-10-17,23.16,23.48,22.36,23.0,344945,-0.4001,-1.71
2018-10-18,22.84,23.68,22.64,23.68,459387,0.6808,2.96
2018-10-19,23.72,24.28,22.88,23.04,345113,-0.6393,-2.7
2018-10-22,22.92,23.24,22.4,22.84,382167,-0.2005,-0.87
2018-10-23,22.56,22.84,22.2,22.36,438402,-0.4796,-2.1
2018-10-24,22.4,22.76,20.88,21.0,385676,-1.3595,-6.08
2018-10-25,21.12,22.16,20.8,21.84,703327,0.84,4.0
2018-10-26,21.48,21.86,20.84,21.68,407253,-0.1594,-0.73
2018-10-29,21.84,22.24,21.04,21.32,275977,-0.3599,-1.66
2018-10-30,20.0,21.44,19.16,20.5,909049,-0.8209,-3.85
2018-10-31,20.32,20.88,18.76,19.42,653787,-1.0804,-5.27
2018-11-01,19.48,21.48,19.48,20.6,686125,1.1807,6.08
2018-11-02,20.72,21.2,20.08,20.16,394763,-0.4409,-2.14
2018-11-05,20.36,20.56,19.72,20.2,748770,0.0403,0.2
2018-11-06,20.24,20.78,19.88,20.44,402460,0.2404,1.19
2018-11-07,20.48,20.48,19.8,20.4,1012146,-0.0409,-0.2
