日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-01-03,5.7502,5.791,5.6207,5.7502,5600,-0.0411,-0.71
1995-01-04,5.7502,5.791,5.7059,5.7502,1400,0.0,0.0
1995-01-05,5.7502,5.791,5.6207,5.665,2900,-0.0851,-1.48
1995-01-06,5.7059,5.7502,5.665,5.665,700,0.0,0.0
1995-01-09,5.665,5.665,5.5356,5.5356,6700,-0.1297,-2.29
1995-01-10,5.5356,5.7059,5.5356,5.7059,14200,0.1705,3.08
1995-01-11,5.7059,5.7059,5.5356,5.6207,7500,-0.085,-1.49
1995-01-12,5.6207,5.665,5.5798,5.6207,7000,0.0,0.0
1995-01-13,5.7059,5.7059,5.5798,5.5798,6400,-0.041,-0.73
1995-01-16,5.6207,5.6207,5.5798,5.6207,2500,0.0407,0.73
1995-01-17,5.6207,5.665,5.5798,5.665,3700,0.0444,0.79
1995-01-18,5.5798,5.6207,5.5798,5.5798,2500,-0.085,-1.5
1995-01-19,5.665,5.665,5.6207,5.665,7100,0.0854,1.53
1995-01-20,5.6207,5.665,5.5798,5.665,11800,0.0,0.0
1995-01-23,5.7059,5.7059,5.6207,5.6207,6200,-0.0442,-0.78
1995-01-24,5.5798,5.6207,5.5798,5.6207,9300,0.0,0.0
1995-01-25,5.5798,5.665,5.5356,5.6207,21100,0.0,0.0
1995-01-26,5.665,5.7502,5.6207,5.7502,2500,0.1293,2.3
1995-01-27,5.7502,5.791,5.6207,5.7059,9400,-0.0443,-0.77
1995-01-30,5.665,5.7502,5.6207,5.665,9600,-0.0411,-0.72
1995-01-31,5.665,5.7059,5.5798,5.5798,2800,-0.085,-1.5
1995-02-01,5.6207,5.665,5.4947,5.4947,6800,-0.0854,-1.53
1995-02-02,5.6207,5.665,5.5798,5.6207,6300,0.1258,2.29
1995-02-03,5.665,5.7502,5.6207,5.665,12000,0.0444,0.79
1995-02-06,5.665,5.791,5.665,5.791,19300,0.1258,2.22
1995-02-07,5.7502,5.7502,5.7059,5.7059,3200,-0.0851,-1.47
1995-02-08,5.7502,5.9205,5.7059,5.9205,6000,0.2145,3.76
1995-02-09,5.8762,5.8762,5.791,5.791,2200,-0.1297,-2.19
1995-02-10,5.8353,5.8762,5.791,5.8762,5600,0.0851,1.47
1995-02-13,5.8353,5.9614,5.8353,5.9205,15900,0.0441,0.75
1995-02-14,5.9614,5.9614,5.8762,5.9614,9900,0.0409,0.69
1995-02-15,6.0056,6.2169,5.9614,6.2169,16800,0.2557,4.29
1995-02-16,6.176,6.2611,6.0908,6.0908,12600,-0.1262,-2.03
1995-02-17,6.0465,6.1317,6.0465,6.0465,4600,-0.0445,-0.73
1995-02-21,5.9205,6.0056,5.8762,6.0056,5600,-0.0411,-0.68
1995-02-22,5.9614,6.0465,5.9614,6.0056,2800,0.0,0.0
1995-02-23,6.0056,6.176,6.0056,6.176,3100,0.1706,2.84
1995-02-24,6.0465,6.176,6.0465,6.176,8300,0.0,0.0
1995-02-27,6.0908,6.1317,6.0908,6.1317,9800,-0.0445,-0.72
1995-02-28,6.176,6.176,6.1317,6.176,6500,0.0441,0.72
1995-03-01,6.1317,6.2169,6.1317,6.2169,5200,0.0408,0.66
1995-03-02,6.2169,6.2169,6.0056,6.0908,11000,-0.1262,-2.03
1995-03-03,6.176,6.2169,6.0056,6.0056,6300,-0.0853,-1.4
1995-03-06,6.0465,6.0465,5.9205,6.0465,5100,0.0408,0.68
1995-03-07,6.0056,6.2169,6.0056,6.176,11100,0.1294,2.14
1995-03-08,6.1317,6.2169,5.9614,6.0465,3800,-0.1297,-2.1
1995-03-09,5.9614,5.9614,5.8353,5.9614,14500,-0.0853,-1.41
1995-03-10,6.0056,6.0056,5.9614,6.0056,1900,0.0441,0.74
1995-03-13,5.9614,6.0056,5.9614,5.9614,4200,-0.0444,-0.74
1995-03-14,6.0465,6.0908,6.0465,6.0908,23700,0.1294,2.17
1995-03-15,6.0908,6.1317,6.0465,6.0908,12500,0.0,0.0
1995-03-16,6.0908,6.1317,6.0908,6.1317,4900,0.0408,0.67
1995-03-17,6.0465,6.0908,6.0056,6.0056,11400,-0.1263,-2.06
1995-03-20,6.0056,6.0908,6.0056,6.0465,4900,0.0408,0.68
1995-03-21,6.1317,6.176,6.0908,6.1317,16100,0.0853,1.41
1995-03-22,6.1317,6.176,6.1317,6.1317,3600,0.0,0.0
1995-03-23,6.1317,6.2169,6.1317,6.176,4700,0.0441,0.72
1995-03-24,6.2169,6.2611,6.176,6.2169,6500,0.0408,0.66
1995-03-27,6.176,6.2611,6.176,6.2611,16600,0.0441,0.71
1995-03-28,6.2611,6.2611,6.2169,6.2611,4800,0.0,0.0
1995-03-29,6.2611,6.2611,6.2169,6.2169,4900,-0.0445,-0.71
1995-03-30,6.2611,6.2611,6.176,6.176,8200,-0.041,-0.66
1995-03-31,6.176,6.302,6.176,6.302,17000,0.126,2.04
1995-04-03,6.2169,6.2169,6.2169,6.2169,1600,-0.0851,-1.35
1995-04-04,6.2611,6.302,6.2169,6.2169,5600,0.0,0.0
1995-04-05,6.2169,6.2169,6.176,6.2169,11500,0.0,0.0
1995-04-06,6.2611,6.2611,6.176,6.176,16300,-0.041,-0.66
1995-04-07,6.1317,6.1317,6.0465,6.0908,11000,-0.0852,-1.38
1995-04-10,6.176,6.176,6.0465,6.0465,5300,-0.0445,-0.73
1995-04-11,6.0465,6.1317,6.0465,6.1317,3500,0.0853,1.41
1995-04-12,6.0908,6.176,6.0056,6.0908,10900,-0.0411,-0.67
1995-04-13,6.0465,6.176,6.0465,6.1317,10500,0.0408,0.67
1995-04-17,6.1317,6.176,5.9614,6.0908,8200,-0.0411,-0.67
1995-04-18,6.176,6.2169,6.1317,6.176,7400,0.0853,1.4
1995-04-19,6.176,6.302,6.176,6.2611,12700,0.0852,1.38
1995-04-20,6.3463,6.3872,6.2169,6.2169,12800,-0.0445,-0.71
1995-04-21,6.2611,6.3872,6.2611,6.302,11200,0.0852,1.37
1995-04-24,6.3872,6.4315,6.302,6.3872,9000,0.0851,1.35
1995-04-25,6.4315,6.4723,6.3872,6.4723,19900,0.085,1.33
1995-04-26,6.4315,6.4723,6.4315,6.4723,5000,0.0,0.0
1995-04-27,6.4723,6.4723,6.3872,6.4723,9300,0.0,0.0
1995-04-28,6.4315,6.4315,6.3463,6.3872,2100,-0.0854,-1.32
1995-05-01,6.3872,6.4315,6.302,6.302,12500,-0.0849,-1.33
1995-05-02,6.3872,6.3872,6.302,6.3872,4600,0.0851,1.35
1995-05-03,6.3872,6.3872,6.302,6.302,7500,-0.0849,-1.33
1995-05-04,6.3872,6.3872,6.302,6.302,8600,0.0,0.0
1995-05-05,6.302,6.302,6.176,6.302,3400,0.0,0.0
1995-05-08,6.2169,6.2169,6.0908,6.1317,2200,-0.1701,-2.7
1995-05-09,6.176,6.2169,6.0908,6.1317,29100,0.0,0.0
1995-05-10,6.176,6.2169,6.0465,6.0465,12100,-0.0852,-1.39
1995-05-11,6.1317,6.176,6.0056,6.0465,9800,0.0,0.0
1995-05-12,6.0908,6.176,6.0908,6.176,22700,0.1294,2.14
1995-05-15,6.176,6.3872,6.176,6.302,13700,0.126,2.04
1995-05-16,6.3463,6.4723,6.3463,6.4315,12300,0.1292,2.05
1995-05-17,6.4315,6.5166,6.4315,6.5166,51000,0.0849,1.32
1995-05-18,6.5166,6.5166,6.4315,6.4723,7100,-0.0443,-0.68
1995-05-19,6.4315,6.4723,6.3463,6.4723,4400,0.0,0.0
1995-05-22,6.4315,6.5166,6.3872,6.5166,15700,0.044,0.68
1995-05-23,6.5166,6.5575,6.5166,6.5575,10000,0.0411,0.63
1995-05-24,6.5575,6.5575,6.4723,6.4723,6900,-0.0852,-1.3
1995-05-25,6.5166,6.5166,6.3872,6.4723,6600,0.0,0.0
1995-05-26,6.4723,6.4723,6.3463,6.3872,10400,-0.0854,-1.32
1995-05-30,6.4315,6.5166,6.3463,6.5166,33500,0.1297,2.03
1995-05-31,6.5166,6.5575,6.4723,6.5575,21000,0.0411,0.63
1995-06-01,6.5575,6.5575,6.4723,6.5166,12200,-0.0407,-0.62
1995-06-02,6.5575,6.5575,6.5166,6.5575,900,0.0411,0.63
1995-06-05,6.5575,6.6427,6.4723,6.6018,50400,0.0446,0.68
1995-06-06,6.6427,6.8573,6.6427,6.813,11200,0.2113,3.2
1995-06-07,6.8573,6.8981,6.813,6.8573,12000,0.0443,0.65
1995-06-08,6.8573,6.8573,6.7721,6.813,7300,-0.0446,-0.65
1995-06-09,6.8573,6.8573,6.7721,6.7721,3300,-0.0409,-0.6
1995-06-12,6.7278,6.8573,6.6869,6.813,12500,0.0406,0.6
1995-06-13,6.8573,6.8981,6.7721,6.813,5400,0.0,0.0
1995-06-14,6.813,6.8981,6.813,6.8981,9700,0.0852,1.25
1995-06-15,6.813,6.8573,6.813,6.8573,11200,-0.0407,-0.59
1995-06-16,6.8981,6.8981,6.813,6.8981,5500,0.0411,0.6
1995-06-19,6.813,6.8981,6.813,6.813,26600,-0.0848,-1.23
1995-06-20,6.7278,6.813,6.7278,6.7721,11300,-0.0409,-0.6
1995-06-21,6.813,6.813,6.7278,6.813,2800,0.0406,0.6
1995-06-22,6.6869,6.813,6.6869,6.7721,8700,-0.0409,-0.6
1995-06-23,6.7721,6.813,6.7278,6.813,8000,0.0406,0.6
1995-06-26,6.813,6.8573,6.813,6.813,4100,0.0,0.0
1995-06-27,6.813,6.8573,6.813,6.813,18800,0.0,0.0
1995-06-28,6.813,6.8573,6.813,6.8573,4000,0.0443,0.65
1995-06-29,6.8573,6.8981,6.813,6.813,13200,-0.0446,-0.65
1995-06-30,6.8573,6.8981,6.813,6.8981,12200,0.0852,1.25
1995-07-03,6.8573,6.8981,6.8573,6.8981,2500,0.0,0.0
1995-07-05,6.813,6.8981,6.813,6.8573,25700,-0.0407,-0.59
1995-07-06,6.8573,6.8981,6.813,6.8981,22400,0.0411,0.6
1995-07-07,6.8981,6.8981,6.8573,6.8981,13600,0.0,0.0
1995-07-10,6.8573,6.8981,6.8573,6.8981,11000,0.0,0.0
1995-07-11,6.8981,6.8981,6.8573,6.8981,5500,0.0,0.0
1995-07-12,6.8981,6.8981,6.8573,6.8573,6100,-0.0407,-0.59
1995-07-13,6.813,6.813,6.7278,6.7278,10600,-0.1296,-1.89
1995-07-14,6.6869,6.6869,6.5575,6.5575,4600,-0.1702,-2.53
1995-07-17,6.5575,6.6018,6.5166,6.5166,7900,-0.0407,-0.62
1995-07-18,6.5166,6.6018,6.5166,6.6018,3300,0.0854,1.31
1995-07-19,6.5575,6.6869,6.5575,6.6427,4900,0.0409,0.62
