日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-06-10,11.1,11.47,10.21,10.21,1132081,0.06,0.59
2021-06-11,10.75,12.1,10.5,11.62,1677712,1.41,13.81
2021-06-14,11.73,11.76,10.58,10.76,666382,-0.86,-7.4
2021-06-15,10.95,10.95,9.7,9.81,842770,-0.95,-8.83
2021-06-16,9.89,10.13,9.45,9.59,294744,-0.22,-2.24
2021-06-17,9.46,9.7555,9.23,9.49,314381,-0.1,-1.04
2021-06-18,9.28,9.96,9.21,9.96,272252,0.47,4.95
2021-06-21,10.11,10.11,9.46,9.55,221319,-0.41,-4.12
2021-06-22,9.68,10.42,9.64,10.34,306613,0.79,8.27
2021-06-23,10.34,10.41,10.02,10.27,299497,-0.07,-0.68
2021-06-24,10.27,11.4822,10.23,10.88,580880,0.61,5.94
2021-06-25,10.75,10.88,10.55,10.59,393066,-0.29,-2.67
2021-06-28,10.62,10.93,10.33,10.66,307595,0.07,0.66
2021-06-29,10.61,10.7425,9.9,9.94,237401,-0.72,-6.75
2021-06-30,10.0,10.1816,9.85,9.95,133577,0.01,0.1
2021-07-01,9.88,10.0572,9.8203,9.85,108666,-0.1,-1.01
2021-07-02,9.91,10.18,9.55,9.99,193778,0.14,1.42
2021-07-06,10.28,10.44,9.69,9.73,196512,-0.26,-2.6
2021-07-07,10.07,10.08,9.32,9.42,222655,-0.31,-3.19
2021-07-08,9.2032,9.21,8.8266,9.01,288931,-0.41,-4.35
2021-07-09,9.25,9.2762,8.89,8.91,237397,-0.1,-1.11
2021-07-12,9.1,9.1432,8.7,9.04,291912,0.13,1.46
2021-07-13,9.15,9.15,8.65,8.77,185666,-0.27,-2.99
2021-07-14,8.74,9.0846,8.29,8.43,310212,-0.34,-3.88
2021-07-15,8.47,9.1399,8.22,8.38,312035,-0.05,-0.59
2021-07-16,8.24,8.38,7.72,7.8,394847,-0.58,-6.92
