日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-10-13,24.14,25.0,23.35,24.94,13805755,-0.06,-0.24
2021-10-14,24.6893,25.02,24.0,24.34,3395384,-0.6,-2.41
2021-10-15,24.25,24.25,23.3,23.36,2442709,-0.98,-4.03
2021-10-18,23.35,25.1,23.32,24.25,1934425,0.89,3.81
2021-10-19,24.54,24.63,23.11,23.6,4962724,-0.65,-2.68
2021-10-20,23.55,23.88,23.49,23.5,824943,-0.1,-0.4237
2021-10-21,23.38,24.0,22.98,23.15,829644,-0.35,-1.49
2021-10-22,23.0,23.27,22.0,22.01,1489134,-1.14,-4.92
2021-10-25,22.0,22.148,20.39,20.98,2078094,-1.03,-4.68
2021-10-26,20.84,21.95,20.56,21.48,1114880,0.5,2.38
2021-10-27,21.29,22.34,21.192,21.75,689282,0.27,1.26
2021-10-28,21.75,22.7,21.63,22.18,669025,0.43,1.98
2021-10-29,22.0,22.9,21.8902,22.23,590999,0.05,0.23
2021-11-01,22.04,23.115,22.04,22.69,459340,0.46,2.07
2021-11-02,22.49,23.795,22.47,23.33,440598,0.64,2.8206
2021-11-03,23.14,24.8,23.0,24.69,930512,1.36,5.83
2021-11-04,24.67,25.02,24.5,24.93,713443,0.24,0.97
2021-11-05,25.0,25.41,23.64,23.81,708304,-1.12,-4.4926
2021-11-08,24.83,25.17,24.22,24.91,834846,1.1,4.62
2021-11-09,24.93,25.065,24.245,24.61,540698,-0.3,-1.2
2021-11-10,24.32,24.93,24.2489,24.68,564085,0.07,0.28
2021-11-11,24.68,25.23,24.68,25.0,1519800,0.32,1.3
2021-11-12,25.04,26.1898,24.3139,25.95,1095542,0.95,3.8
2021-11-15,25.88,25.9829,25.1,25.32,1555481,-0.63,-2.4277
2021-11-16,24.98,25.2,23.7,23.71,1854879,-1.61,-6.36
2021-11-17,22.0,26.745,21.84,25.42,2278672,1.71,7.2121
2021-11-18,25.45,25.55,23.46,23.48,1535919,-1.94,-7.63
2021-11-19,24.42,27.435,23.51,26.57,1713337,3.09,13.16
2021-11-22,26.54,26.81,23.25,23.79,887616,-2.78,-10.46
2021-11-23,23.76,24.14,20.44,21.44,1538900,-2.35,-9.8781
2021-11-24,21.39,22.4,20.745,21.65,857730,0.21,0.98
2021-11-26,21.5,22.69,21.0,22.09,772880,0.44,2.03
2021-11-29,22.28,22.74,21.42,21.62,701598,-0.47,-2.13
2021-11-30,21.5,21.74,20.83,21.36,781684,-0.26,-1.2
2021-12-01,21.53,22.73,20.685,20.8,1302191,-0.56,-2.62
2021-12-02,20.77,20.8,19.08,20.31,758265,-0.49,-2.36
2021-12-03,20.3,20.3,16.9,17.7,1627005,-2.61,-12.85
2021-12-06,17.78,18.33,17.34,17.84,690233,0.14,0.79
2021-12-07,18.2,19.12,17.75,19.02,1313749,1.18,6.61
2021-12-08,19.19,19.69,18.51,19.65,458154,0.63,3.31
2021-12-09,19.6,20.06,17.6,17.685,1030208,-1.965,-10.0
2021-12-10,17.74,18.14,16.76,16.935,657322,-0.75,-4.2409
2021-12-13,16.84,17.25,16.0322,16.47,1080997,-0.465,-2.75
2021-12-14,16.25,17.27,15.9,16.46,992641,-0.01,-0.06
2021-12-15,16.36,16.67,15.37,16.5,730419,0.04,0.24
2021-12-16,16.55,17.25,15.76,16.2,1131904,-0.3,-1.82
2021-12-17,15.93,17.09,15.83,16.0,5737717,-0.2,-1.23
2021-12-20,15.81,16.57,14.58,15.21,1113087,-0.79,-4.94
2021-12-21,15.2,16.05,14.92,15.41,1075068,0.2,1.31
