日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2015-04-09,25.3,25.44,25.28,25.28,179181,0.06,0.24
2015-04-10,25.34,25.42,25.3,25.34,139238,0.06,0.24
2015-04-13,25.36,25.39,25.23,25.27,185568,-0.07,-0.28
2015-04-14,25.3,25.42,25.3,25.41,87777,0.14,0.55
2015-04-16,25.49,25.55,25.45,25.53,136019,0.11,0.43
2015-04-17,25.5,25.54,25.46,25.54,39235,0.01,0.04
2015-04-20,25.55,25.56,25.5,25.56,37699,0.02,0.08
2015-04-21,25.55,25.69,25.46,25.53,125648,-0.03,-0.12
2015-04-22,25.53,25.6,25.42,25.45,57695,-0.08,-0.31
2015-04-23,25.45,25.5,25.43,25.44,47082,-0.01,-0.04
2015-04-24,25.48,25.6,25.46,25.57,26504,0.13,0.51
2015-04-27,25.6,25.7,25.6,25.69,46257,0.12,0.47
2015-04-28,25.68,25.68,25.6,25.65,31134,-0.04,-0.16
2015-04-29,25.65,25.65,25.52,25.53,51700,-0.12,-0.47
2015-04-30,25.61,25.61,25.45,25.46,111265,-0.07,-0.27
2015-05-01,25.46,25.55,25.33,25.4,40444,-0.06,-0.24
2015-05-04,25.5,25.57,25.45,25.54,53935,0.14,0.55
2015-05-05,25.6,25.67,25.43,25.43,112477,-0.11,-0.43
2015-05-06,25.5,25.54,24.9,25.1,183295,-0.33,-1.3
2015-05-07,25.25,25.39,25.07,25.15,104803,0.05,0.2
2015-05-08,25.39,25.48,25.25,25.34,35960,0.19,0.76
2015-05-11,25.45,25.47,25.25,25.26,37809,-0.08,-0.32
2015-05-12,25.38,25.62,25.33,25.59,32995,0.33,1.31
2015-05-13,25.59,25.86,25.5,25.73,39545,0.14,0.55
2015-05-14,25.84,25.93,25.73,25.86,17240,0.13,0.51
2015-05-15,25.93,25.97,25.72,25.9,31343,0.04,0.15
2015-05-18,25.85,25.96,25.71,25.77,49242,-0.13,-0.5
2015-05-19,25.89,25.89,25.75,25.84,22337,0.06,0.25
2015-05-20,25.85,25.85,25.7,25.85,26223,0.02,0.06
2015-05-21,25.85,25.98,25.82,25.86,52125,0.01,0.04
2015-05-22,25.9,25.93,25.86,25.88,12985,0.02,0.07
2015-05-26,25.9,26.0,25.86,25.91,26257,0.03,0.13
2015-05-27,25.91,26.03,25.91,26.03,17210,0.12,0.46
2015-05-28,25.92,26.09,25.6,25.8,56855,0.08,0.31
2015-05-29,25.78,25.95,25.6,25.65,129034,-0.15,-0.58
2015-06-01,25.78,25.92,25.66,25.71,38798,0.06,0.23
2015-06-02,25.65,25.79,25.6,25.6,12330,-0.11,-0.43
2015-06-03,25.6,25.7,25.55,25.6,25399,0.0,0.0
2015-06-04,25.68,25.7,25.57,25.59,10380,-0.01,-0.04
2015-06-05,25.55,25.68,25.5,25.67,13885,0.08,0.31
2015-06-08,25.7,25.7,25.61,25.7,21818,0.03,0.12
2015-06-09,25.61,25.75,25.52,25.6,26023,-0.1,-0.39
2015-06-10,25.63,25.72,25.55,25.64,14180,0.04,0.16
