日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2020-12-16,30.55,32.44,27.15,31.02,4067535,13.02,72.33
2020-12-17,31.1722,43.86,31.16,35.16,1156695,4.14,13.35
2020-12-18,35.31,37.1,31.62,35.0,686227,-0.16,-0.46
2020-12-21,33.43,34.39,31.08,32.18,261641,-2.82,-8.06
2020-12-22,32.63,33.49,31.0,33.4,224140,1.22,3.79
2020-12-23,33.5,33.5016,31.01,32.3,248272,-1.1,-3.29
2020-12-24,32.37,32.99,31.82,31.82,97162,-0.48,-1.49
2020-12-28,32.16,34.9868,30.25,34.27,212177,2.45,7.7
2020-12-29,34.54,34.88,32.99,33.79,82726,-0.48,-1.4006
2020-12-30,33.91,35.72,32.1,34.79,124757,1.0,2.9595
2020-12-31,35.48,35.74,33.17,34.01,52767,-0.78,-2.242
2021-01-04,33.67,34.76,33.2001,33.77,131182,-0.24,-0.71
2021-01-05,33.99,33.99,31.61,32.41,65392,-1.36,-4.0272
2021-01-06,32.0,36.46,32.0,36.44,810538,4.03,12.43
2021-01-07,36.01,38.43,35.805,37.83,329628,1.39,3.81
2021-01-08,38.28,38.28,37.56,38.25,197648,0.42,1.11
2021-01-11,37.58,40.3299,37.54,40.2,390307,1.95,5.1
2021-01-12,40.5,41.47,39.87,40.84,182769,0.64,1.59
2021-01-13,41.45,46.8692,41.39,44.83,188880,3.99,9.77
2021-01-14,44.83,49.49,43.52,46.52,161623,1.69,3.7698
2021-01-15,46.76,48.1515,44.97,45.38,122260,-1.14,-2.4506
2021-01-19,45.92,48.49,41.94,42.96,176417,-2.42,-5.33
2021-01-20,43.42,47.5611,42.125,44.77,461836,1.81,4.2132
2021-01-21,44.66,45.3375,41.655,43.6,172129,-1.17,-2.6134
2021-01-22,43.5,45.98,42.93,45.82,96567,2.22,5.0917
2021-01-25,46.58,47.22,45.29,47.18,187584,1.36,2.9681
2021-01-26,46.27,47.84,45.72,46.35,129338,-0.83,-1.76
2021-01-27,45.93,46.24,43.67,43.95,187377,-2.4,-5.18
2021-01-28,43.76,45.75,43.34,43.47,83743,-0.48,-1.09
2021-01-29,44.97,45.04,43.5,43.97,97085,0.5,1.15
2021-02-01,44.93,45.32,43.01,44.51,261177,0.54,1.23
2021-02-02,43.75,46.13,43.75,45.62,163660,1.11,2.49
2021-02-03,46.07,46.99,45.77,46.39,146805,0.77,1.6879
2021-02-04,46.84,48.24,46.49,47.51,125279,1.12,2.41
2021-02-05,47.83,47.9,46.45,47.85,664413,0.34,0.72
2021-02-08,48.25,51.98,48.25,49.8,167792,1.95,4.08
2021-02-09,50.25,50.625,49.29,50.21,118946,0.41,0.8233
2021-02-10,50.2,51.64,49.83,51.43,149743,1.22,2.43
2021-02-11,51.92,54.46,50.16,53.19,192026,1.76,3.4221
2021-02-12,55.0,55.68,50.41,50.51,139038,-2.68,-5.04
2021-02-16,51.0,53.93,50.83,52.6,407134,2.09,4.14
2021-02-17,52.7,58.19,52.26,55.58,357359,2.98,5.67
2021-02-18,55.53,57.73,52.99,56.04,354066,0.46,0.83
2021-02-19,55.62,57.14,54.79,55.21,95249,-0.83,-1.4811
2021-02-22,55.63,55.69,52.36,52.99,81268,-2.22,-4.021
2021-02-23,53.02,54.86,45.81,49.74,315601,-3.25,-6.13
2021-02-24,50.57,56.07,49.81,54.03,232803,4.29,8.6248
2021-02-25,54.09,58.4,50.58,54.03,413522,0.0,0.0
2021-02-26,54.05,55.82,51.735,53.1,339655,-0.93,-1.72
2021-03-01,54.87,56.99,51.33,52.3,440463,-0.8,-1.51
2021-03-02,53.26,53.69,50.02,51.85,148442,-0.45,-0.8604
2021-03-03,53.43,53.43,48.5233,50.19,279724,-1.66,-3.2
2021-03-04,49.22,52.44,48.31,50.88,392126,0.69,1.37
2021-03-05,52.48,52.98,45.81,48.39,391142,-2.49,-4.89
2021-03-08,49.05,54.99,47.93,53.0,295618,4.61,9.53
2021-03-09,54.85,57.4,53.49,56.08,365695,3.08,5.81
2021-03-10,56.52,61.96,53.14,60.69,427934,4.61,8.22
2021-03-11,61.0,63.935,59.68,62.14,362913,1.45,2.39
2021-03-12,63.44,68.49,61.575,66.41,306705,4.27,6.8716
2021-03-15,66.31,67.85,62.94,64.22,311934,-2.19,-3.3
2021-03-16,64.12,69.49,59.7346,66.53,309672,2.31,3.597
2021-03-17,65.64,70.63,63.27,66.96,503905,0.43,0.65
2021-03-18,65.8,73.8,65.04,70.91,467959,3.95,5.9
2021-03-19,74.71,76.63,67.17,68.0,2239526,-2.91,-4.1
2021-03-22,63.31,69.24,63.31,67.47,358115,-0.53,-0.78
2021-03-23,65.73,68.23,64.23,66.55,494802,-0.92,-1.36
2021-03-24,66.83,67.63,63.61,64.18,277531,-2.37,-3.56
2021-03-25,63.72,64.985,60.01,60.73,104679,-3.45,-5.38
2021-03-26,60.76,62.3,55.14,57.37,133186,-3.36,-5.53
2021-03-29,56.77,59.19,51.44,52.21,147675,-5.16,-8.9942
2021-03-30,52.63,54.38,49.83,50.35,128339,-1.86,-3.5625
2021-03-31,50.43,52.82,48.31,50.84,195806,0.49,0.97
2021-04-01,51.27,53.725,50.545,51.09,200867,0.25,0.49
2021-04-05,53.35,53.35,49.03,50.77,120484,-0.32,-0.63
2021-04-06,50.68,51.67,47.1,47.1,108577,-3.67,-7.23
2021-04-07,47.36,50.61,46.14,48.87,103109,1.77,3.76
2021-04-08,49.09,50.66,47.0,47.66,78210,-1.21,-2.48
2021-04-09,47.87,48.63,46.475,47.35,289710,-0.31,-0.6504
2021-04-12,47.79,51.035,46.6,48.23,295621,0.88,1.86
2021-04-13,48.07,49.15,45.57,46.0,464091,-2.23,-4.62
2021-04-14,45.95,46.96,44.5775,46.04,83107,0.04,0.087
2021-04-15,46.19,48.0,45.71,47.56,85303,1.52,3.3
2021-04-16,47.94,47.94,45.25,47.74,98634,0.18,0.3785
2021-04-19,48.0,48.55,46.22,47.93,100024,0.19,0.4
2021-04-20,48.14,49.42,46.25,47.08,122727,-0.85,-1.77
2021-04-21,46.93,48.63,45.7,48.52,106788,1.44,3.06
2021-04-22,48.66,50.5,47.62,48.33,79452,-0.19,-0.39
2021-04-23,50.92,51.48,49.26,50.44,101494,2.11,4.37
2021-04-26,50.98,55.42,50.64,54.14,111605,3.7,7.34
2021-04-27,54.15,55.125,52.84,53.75,67538,-0.39,-0.72
2021-04-28,53.83,56.6,52.87,56.17,50481,2.42,4.5
2021-04-29,55.98,57.46,50.025,51.21,82691,-4.96,-8.83
2021-04-30,50.59,51.69,48.5,49.59,61006,-1.62,-3.16
2021-05-03,49.6,49.6,45.45,46.85,110489,-2.74,-5.53
2021-05-04,47.36,48.275,43.87,45.89,171228,-0.96,-2.05
2021-05-05,45.84,46.5,44.5,45.44,99221,-0.45,-0.98
2021-05-06,44.98,46.64,44.445,45.5,82587,0.06,0.13
2021-05-07,45.73,47.66,44.535,46.81,404594,1.31,2.88
2021-05-10,45.65,46.68,43.92,46.0,87544,-0.81,-1.73
2021-05-11,45.01,48.4,44.64,46.69,122246,0.69,1.5
2021-05-12,46.31,48.755,45.02,48.0,141535,1.31,2.81
2021-05-13,47.54,48.32,43.64,45.58,162234,-2.42,-5.04
2021-05-14,44.49,47.73,43.3,45.33,102860,-0.25,-0.55
2021-05-17,45.44,48.01,44.95,45.8,124737,0.47,1.04
2021-05-18,46.2,46.97,44.49,45.27,112010,-0.53,-1.16
2021-05-19,43.7,45.04,40.64,41.53,116285,-3.74,-8.2615
2021-05-20,42.3,44.0,41.325,43.24,80594,1.71,4.1175
2021-05-21,43.74,44.2,41.96,42.47,91457,-0.77,-1.78
2021-05-24,42.64,42.955,39.88,40.57,70431,-1.9,-4.47
2021-05-25,40.69,42.155,39.09,39.1,85250,-1.47,-3.62
2021-05-26,39.46,40.14,38.52,39.97,65082,0.87,2.23
2021-05-27,40.42,42.25,39.83,41.88,127517,1.91,4.78
2021-05-28,42.02,44.11,42.0,43.05,56063,1.17,2.7937
2021-06-01,43.3,44.0,41.53,42.13,45027,-0.92,-2.14
2021-06-02,42.03,42.5,39.285,40.64,65722,-1.49,-3.54
2021-06-03,40.45,41.41,39.735,40.6,67387,-0.04,-0.1
2021-06-04,40.79,43.63,39.4,41.7,79045,1.1,2.71
2021-06-07,41.9,43.37,41.1,42.43,80661,0.73,1.75
2021-06-08,42.72,44.56,42.72,44.36,56049,1.93,4.55
2021-06-09,44.53,47.4,44.5,45.67,68625,1.31,2.95
2021-06-10,46.02,51.68,45.01,51.0,163308,5.33,11.67
2021-06-11,50.99,51.8299,49.42,49.75,177256,-1.25,-2.45
2021-06-14,50.16,50.16,39.0,39.92,829138,-9.83,-19.76
2021-06-15,40.01,41.15,38.935,39.64,462200,-0.28,-0.7
2021-06-16,39.04,40.26,38.51,39.09,489770,-0.55,-1.39
2021-06-17,39.27,39.69,37.715,38.38,1164457,-0.71,-1.82
2021-06-18,37.99,39.96,37.01,39.55,1211144,1.17,3.05
2021-06-21,39.5,40.32,37.83,38.07,510789,-1.48,-3.74
2021-06-22,38.22,39.53,37.5,38.54,286220,0.47,1.23
2021-06-23,38.73,39.75,37.86,39.23,233767,0.69,1.79
2021-06-24,39.65,41.57,39.5743,41.11,215634,1.88,4.79
2021-06-25,41.02,42.85,40.64,42.75,697895,1.64,3.99
2021-06-28,43.36,46.29,43.185,43.66,239624,0.91,2.13
2021-06-29,43.63,47.859,43.14,45.43,408731,1.77,4.05
2021-06-30,45.04,45.2579,42.12,42.38,147470,-3.05,-6.71
2021-07-01,42.59,43.93,41.85,43.74,160586,1.36,3.21
2021-07-02,44.02,44.02,41.64,43.66,123270,-0.08,-0.18
2021-07-06,43.56,44.0,42.46,43.04,116890,-0.62,-1.42
2021-07-07,42.88,43.33,40.71,41.35,135993,-1.69,-3.93
2021-07-08,40.68,42.02,40.09,41.38,115373,0.03,0.07
2021-07-09,41.63,42.08,41.11,42.0,78362,0.62,1.5
2021-07-12,41.82,42.1,40.86,41.28,52951,-0.72,-1.71
2021-07-13,40.97,41.39,38.93,39.57,106630,-1.71,-4.14
2021-07-14,39.86,39.86,38.39,38.75,107756,-0.82,-2.07
2021-07-15,38.29,39.29,37.29,37.79,140378,-0.96,-2.48
2021-07-16,38.04,40.82,37.66,39.08,84187,1.29,3.41
2021-07-19,38.43,41.02,38.4001,39.96,179036,0.88,2.25
2021-07-20,39.9,42.83,39.9,41.76,301772,1.8,4.5
2021-07-21,41.94,42.0,39.55,39.96,96241,-1.8,-4.3103
2021-07-22,39.8,41.52,38.88,40.01,161194,0.05,0.13
2021-07-23,40.4,42.01,40.085,41.27,154508,1.26,3.15
2021-07-26,41.81,42.3,40.82,41.47,119337,0.2,0.48
2021-07-27,41.5,41.85,38.97,39.14,114068,-2.33,-5.62
2021-07-28,39.18,40.655,39.18,40.36,89109,1.22,3.12
2021-07-29,40.68,42.3,40.18,40.4,248222,0.04,0.1
2021-07-30,40.63,41.97,39.965,40.99,321623,0.59,1.46
2021-08-02,41.02,41.85,39.81,40.04,148989,-0.95,-2.32
2021-08-03,40.06,40.38,39.31,40.0,114277,-0.04,-0.1
2021-08-04,39.74,40.43,39.45,39.72,166064,-0.28,-0.7
2021-08-05,39.73,41.06,38.93,40.23,207184,0.51,1.28
2021-08-06,40.44,41.35,39.87,41.23,257346,1.0,2.49
2021-08-09,41.44,43.73,38.4363,42.39,428339,1.16,2.81
2021-08-10,42.18,43.61,41.87,41.89,207430,-0.5,-1.18
2021-08-11,42.15,42.765,40.815,41.37,143877,-0.52,-1.24
2021-08-12,41.56,42.27,40.66,41.84,125088,0.47,1.14
2021-08-13,41.69,42.11,40.94,41.21,193890,-0.63,-1.5057
2021-08-16,40.6,41.045,38.38,40.0,164560,-1.21,-2.94
2021-08-17,39.61,41.695,39.4101,41.65,179737,1.65,4.13
2021-08-18,41.86,42.7575,40.47,40.69,152650,-0.96,-2.3049
2021-08-19,40.16,40.99,39.23,39.62,178692,-1.07,-2.63
2021-08-20,39.51,41.16,39.51,40.99,231878,1.37,3.46
2021-08-23,41.57,43.24,41.16,42.0,215161,1.01,2.464
2021-08-24,41.6,42.525,40.99,42.0,252098,0.0,0.0
2021-08-25,42.09,42.09,40.23,40.8,171493,-1.2,-2.86
2021-08-26,41.01,41.47,38.49,38.5,326537,-2.3,-5.64
2021-08-27,38.75,41.4289,37.48,40.86,317764,2.36,6.1299
2021-08-30,41.1,41.97,40.045,40.47,171268,-0.39,-0.95
2021-08-31,40.62,41.31,39.96,41.09,361700,0.62,1.53
2021-09-01,41.29,42.28,40.605,41.6,221871,0.51,1.24
2021-09-02,41.92,42.09,41.6,41.98,144150,0.38,0.91
2021-09-03,42.07,42.165,40.94,41.12,208146,-0.86,-2.05
2021-09-07,41.22,42.11,38.0,38.47,522071,-2.65,-6.44
2021-09-08,38.46,39.02,37.15,37.73,241421,-0.74,-1.92
2021-09-09,37.94,39.94,37.59,37.91,317343,0.18,0.48
2021-09-10,38.3,38.95,37.45,37.91,288526,0.0,0.0
2021-09-13,38.05,38.11,36.6,37.39,234961,-0.52,-1.37
2021-09-14,37.26,39.24,37.021,37.18,240055,-0.21,-0.5616
2021-09-15,36.82,38.2,36.56,36.86,449993,-0.32,-0.86
2021-09-16,37.02,38.31,36.62,36.67,442722,-0.19,-0.52
2021-09-17,36.56,37.1,34.51,34.55,1310762,-2.12,-5.78
2021-09-20,34.29,34.29,32.12,32.26,560297,-2.29,-6.63
2021-09-21,32.53,33.865,30.825,30.89,436044,-1.37,-4.2467
2021-09-22,31.1,31.1,29.54,30.39,222874,-0.5,-1.62
2021-09-23,30.38,31.63,29.1,31.25,317885,0.86,2.83
2021-09-24,30.84,31.275,30.21,30.51,152584,-0.74,-2.37
2021-09-27,30.6,32.37,30.6,31.8,165321,1.29,4.2281
2021-09-28,31.6,32.05,31.12,31.23,144401,-0.57,-1.79
