日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-08-03,7.4168,7.4168,7.4168,7.4168,763217,0.0,0.0
1996-01-23,9.6238,9.7815,9.5187,9.6764,407468,0.0529,0.55
1996-01-24,9.7815,10.0892,9.7815,10.0367,506117,0.36,3.72
1996-01-25,9.9917,10.2469,9.9316,10.0367,384438,0.0,0.0
1996-01-26,9.9316,9.9316,9.5187,9.834,389878,-0.2027,-2.02
1996-01-29,9.834,9.834,9.6238,9.834,640307,0.0,0.0
1996-01-30,9.8866,10.5547,9.8866,10.2469,566140,0.413,4.2
1996-01-31,10.2469,10.352,10.1943,10.352,578108,0.1055,1.03
1996-02-01,10.2994,10.4496,10.1943,10.1943,268381,-0.1573,-1.52
1996-02-02,10.2469,10.2994,10.0892,10.1418,167013,-0.053,-0.52
1996-02-05,10.1418,10.1418,9.9842,10.1418,88675,0.0,0.0
1996-02-06,10.1418,10.5547,10.0892,10.5021,366486,0.36,3.55
1996-02-07,10.1418,10.1418,9.5713,9.834,483268,-0.6679,-6.36
1996-02-08,9.9316,10.0892,9.9316,10.0892,195121,0.2557,2.6
1996-02-09,10.0892,10.1943,9.9842,10.0892,134372,0.0,0.0
1996-02-12,10.1418,10.1943,9.8866,9.8866,11243,-0.2028,-2.01
1996-02-13,10.0556,10.0556,9.9052,9.9052,126756,0.0,0.0
1996-02-14,10.1082,10.2662,9.9503,10.0556,187686,0.1506,1.52
1996-02-15,10.1082,10.2662,10.1082,10.2135,167376,0.1579,1.57
1996-02-16,10.0556,10.2662,10.0556,10.1609,83416,-0.0531,-0.52
1996-02-20,10.0105,10.0556,9.9503,9.9503,188048,-0.2103,-2.07
1996-02-21,10.0556,10.1609,10.0556,10.1609,293769,0.2109,2.12
1996-02-22,10.1609,10.2135,10.0556,10.1082,289961,-0.0528,-0.52
1996-02-23,10.1082,10.1609,10.0029,10.1609,135097,0.0526,0.52
1996-02-26,10.1082,10.1082,9.5366,9.6419,351435,-0.5192,-5.11
1996-02-27,9.6419,9.6946,9.484,9.484,263123,-0.1581,-1.64
1996-02-28,9.6419,9.6419,9.2809,9.5366,654089,0.0531,0.56
1996-02-29,9.3862,9.7472,9.3862,9.6946,296852,0.1583,1.66
1996-03-01,9.6419,10.0556,9.5893,10.0556,456248,0.3607,3.72
1996-03-04,10.2662,10.2662,10.2662,10.2662,0,0.2102,2.09
1996-03-05,10.2135,10.5745,10.2135,10.5219,557254,0.2556,2.49
1996-03-06,10.6272,10.7325,10.6272,10.6798,272371,0.1578,1.5
1996-03-07,10.6798,10.7851,10.6798,10.6798,146522,0.0,0.0
1996-03-08,10.5745,10.8378,10.3715,10.5745,398401,-0.1057,-0.99
1996-03-11,10.4692,11.1988,10.4241,11.1461,228668,0.5721,5.41
1996-03-12,11.1988,11.1988,10.8378,10.9882,266568,-0.1583,-1.42
1996-03-13,10.8904,11.5071,10.8904,11.3567,114787,0.3681,3.35
1996-03-14,11.3041,11.4545,11.2514,11.3567,149786,0.0,0.0
