日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1997-01-02,4.1382,4.2,4.0995,4.1536,250400,-0.0779,-1.84
1997-01-03,4.1459,4.2232,4.1459,4.2155,181300,0.0611,1.47
1997-01-06,4.2155,4.2232,4.2,4.2078,98400,-0.0055,-0.13
1997-01-07,4.1923,4.2155,4.1149,4.2155,168000,0.0055,0.13
1997-01-08,4.2078,4.3006,4.2078,4.2929,148300,0.078,1.85
1997-01-09,4.3083,4.3393,4.2774,4.3161,84000,0.0223,0.52
1997-01-10,4.2696,4.3625,4.2696,4.3547,148300,0.0388,0.9
1997-01-13,4.3238,4.3702,4.3238,4.3547,69800,0.0,0.0
1997-01-14,4.3625,4.463,4.3625,4.4475,145300,0.0945,2.17
1997-01-15,4.4089,4.5365,4.4089,4.5249,310800,0.0778,1.75
1997-01-16,4.5249,4.6061,4.5249,4.5945,347800,0.067,1.48
1997-01-17,4.5829,4.6757,4.5713,4.6757,239500,0.0836,1.82
1997-01-20,4.6757,4.8962,4.6641,4.8266,654600,0.1501,3.21
1997-01-21,4.8498,4.8846,4.8498,4.8846,150600,0.0555,1.15
1997-01-22,4.873,4.9426,4.8498,4.931,140400,0.0445,0.91
1997-01-23,5.0122,5.105,4.989,5.0586,681500,0.1282,2.6
1997-01-24,5.0934,5.163,4.989,5.0006,517900,-0.0556,-1.1
1997-01-27,5.0006,5.0122,4.931,4.9658,436300,-0.0335,-0.67
1997-01-28,4.9774,5.0122,4.931,4.9426,222400,-0.0223,-0.45
1997-01-29,4.9542,4.9658,4.873,4.931,378000,-0.0168,-0.34
1997-01-30,4.9542,5.0586,4.9542,5.047,236100,0.1168,2.37
1997-01-31,5.0934,5.0934,5.0586,5.0586,275800,0.0111,0.22
1997-02-03,5.0934,5.221,5.0818,5.1862,132400,0.128,2.53
1997-02-04,5.1862,5.1862,5.1398,5.1862,265700,0.0,0.0
1997-02-05,5.221,5.2558,5.1398,5.1746,202000,-0.0109,-0.21
1997-02-06,5.1978,5.2558,5.1978,5.2442,174400,0.0724,1.4
1997-02-07,5.3139,5.4415,5.2674,5.4299,463100,0.1836,3.5
1997-02-10,5.4415,5.4531,5.2906,5.3139,233200,-0.1168,-2.15
1997-02-11,5.3719,5.4067,5.3487,5.3603,133800,0.0499,0.94
1997-02-12,5.3719,5.4415,5.3371,5.4415,175600,0.0778,1.45
1997-02-13,5.4763,5.836,5.4763,5.8011,468200,0.3617,6.65
1997-02-14,5.8708,5.894,5.8244,5.8708,279700,0.0667,1.15
1997-02-18,5.8708,5.9636,5.8592,5.9288,272000,0.061,1.04
1997-02-19,5.9056,6.0216,5.9056,5.9752,136900,0.0445,0.75
1997-02-20,5.952,5.9984,5.7431,5.7779,396100,-0.1947,-3.26
1997-02-21,5.7663,5.8128,5.6967,5.8128,213200,0.0335,0.58
1997-02-24,5.8244,5.836,5.6271,5.6619,235900,-0.0216,-0.38
1997-02-25,5.6851,5.7315,5.6271,5.6271,270500,0.0,0.0
1997-02-26,5.6503,5.7315,5.5923,5.6619,631500,-0.128,-2.21
1997-02-27,5.6851,5.6851,5.5227,5.5227,265500,-0.1393,-2.46
1997-02-28,5.4995,5.5227,5.3023,5.4299,430600,-0.0945,-1.71
1997-03-03,5.4183,5.4995,5.3719,5.4879,215600,0.0,0.0
1997-03-04,5.4995,5.4995,5.4067,5.4415,188500,-0.0444,-0.81
1997-03-05,5.4415,5.5575,5.4299,5.5343,101900,0.0946,1.74
1997-03-06,5.4763,5.7895,5.4763,5.7895,342800,0.2562,4.63
1997-03-07,5.7663,5.9752,5.7663,5.9404,340000,0.1505,2.6
1997-03-10,5.952,6.0448,5.952,6.0216,305100,0.0,0.0
1997-03-11,6.01,6.01,5.8708,5.8708,124100,-0.1505,-2.5
1997-03-12,5.8476,5.8708,5.6387,5.6619,185900,-0.206,-3.51
1997-03-13,5.6619,5.6619,5.5459,5.5459,183700,-0.1166,-2.06
1997-03-14,5.5691,5.6619,5.5343,5.6619,266000,0.117,2.11
1997-03-17,5.6503,5.6503,5.4415,5.4879,118100,0.0,0.0
1997-03-18,5.4763,5.5459,5.4067,5.4067,112000,-0.0779,-1.42
1997-03-19,5.3951,5.5575,5.3951,5.5575,379900,0.1503,2.78
1997-03-20,5.5575,5.5575,5.4763,5.5575,92100,0.0,0.0
1997-03-21,5.5807,5.6271,5.5575,5.5691,256900,0.0111,0.2
1997-03-24,5.5227,5.5343,5.2906,5.3603,492000,0.0,0.0
1997-03-25,5.3835,5.4067,5.3487,5.3719,324000,0.0113,0.21
1997-03-26,5.3677,5.3793,5.205,5.2399,162400,-0.1393,-2.59
1997-03-27,5.259,5.2939,5.003,5.0495,216800,-0.2011,-3.83
1997-03-31,5.0379,5.0379,4.747,4.747,532300,0.0,0.0
