日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2015-06-17,22.75,22.75,22.75,22.75,100,,
2015-06-24,25.9,25.9,25.9,25.9,299,,
2015-06-29,25.94,26.01,25.9,26.0,2778,,
2015-06-30,26.95,30.4,26.6,29.0,5558808,,
2015-07-01,27.95,29.22,26.667,27.0,5140174,-2.0,-6.9
2015-07-02,27.9,28.41,27.48,27.81,1957744,0.81,3.0
2015-07-06,27.75,28.99,27.5,28.99,1297827,1.18,4.24
2015-07-07,28.41,29.02,27.76,28.14,1289548,-0.85,-2.93
2015-07-08,27.13,27.89,26.92,27.1,1620324,-1.04,-3.7
2015-07-09,27.0,27.45,26.86,26.95,2155818,-0.15,-0.55
2015-07-10,27.02,29.12,27.0,28.79,1641754,1.84,6.83
2015-07-13,28.5,29.97,28.11,29.57,1772083,0.78,2.71
2015-07-14,29.04,30.28,29.0,30.1,1225739,0.53,1.79
2015-07-15,29.92,29.99,28.64,29.19,1427115,-0.91,-3.02
2015-07-16,29.01,29.58,28.96,29.34,1721045,0.15,0.51
2015-07-17,29.04,31.43,28.77,31.11,1401898,1.77,6.03
2015-07-20,31.67,33.0,30.93,31.44,1514339,0.33,1.06
2015-07-21,30.74,31.53,29.88,31.13,1284810,-0.31,-0.99
2015-07-22,31.12,31.52,30.12,30.88,1007701,-0.25,-0.8
2015-07-23,31.0,31.0,30.25,30.61,456300,-0.27,-0.87
2015-07-24,30.53,30.64,29.8,30.33,435457,-0.28,-0.91
2015-07-27,30.36,30.86,30.14,30.23,462466,-0.1,-0.33
2015-07-28,29.91,30.85,28.81,30.0,933802,-0.23,-0.76
2015-07-29,30.14,30.22,29.13,29.3,538892,-0.7,-2.33
2015-07-30,29.3,29.3,28.79,29.09,642963,-0.21,-0.72
2015-07-31,28.94,29.08,28.56,28.76,691848,-0.33,-1.13
2015-08-03,28.21,29.35,28.21,29.25,697541,0.49,1.7
2015-08-04,28.97,29.44,28.3,28.83,501634,-0.42,-1.44
2015-08-05,28.5,29.51,28.5,28.7,753491,-0.13,-0.45
