日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2011-04-21,50.56,50.69,50.56,50.66,3000,0.0,0.0
2011-04-25,50.89,51.17,50.57,51.03,3900,0.37,0.73
2011-04-26,50.37,50.37,50.11,50.2,6200,-0.83,-1.63
2011-04-27,51.16,51.53,50.38,51.53,9100,1.33,2.65
2011-04-28,52.1,52.22,52.1,52.22,1000,0.69,1.34
2011-04-29,52.08,52.76,52.08,52.48,4130,0.26,0.5
2011-05-03,50.59,50.59,49.8,49.8,2100,-2.68,-5.11
2011-05-05,47.68,47.68,47.0,47.0,1100,-2.8,-5.62
2011-05-06,47.8,47.8,47.8,47.8,115,0.8,1.7
2011-05-12,46.99,46.99,46.94,46.94,300,-0.86,-1.8
2011-05-13,47.94,48.1,47.08,47.33,4600,0.39,0.83
2011-05-24,48.49,48.73,48.49,48.73,300,1.4,2.96
2011-05-26,48.65,48.76,48.65,48.76,300,0.03,0.06
2011-06-01,49.28,49.28,49.28,49.28,500,0.52,1.07
2011-06-02,48.63,48.63,48.63,48.63,500,-0.65,-1.32
2011-06-06,49.46,49.46,49.46,49.46,240,0.83,1.71
2011-06-07,49.25,49.25,49.02,49.23,900,-0.23,-0.47
2011-06-09,49.19,49.51,49.16,49.46,12300,0.23,0.47
2011-06-10,48.62,48.62,48.62,48.62,100,-0.84,-1.7
2011-06-13,48.34,48.34,48.11,48.12,5604,-0.5,-1.03
2011-06-14,48.08,48.33,48.08,48.22,5200,0.1,0.21
2011-06-15,48.34,48.34,48.34,48.34,500,0.12,0.25
2011-06-16,48.48,48.48,48.37,48.37,300,0.03,0.06
2011-06-17,48.77,48.84,48.67,48.73,6000,0.36,0.74
2011-06-21,49.13,49.13,49.13,49.13,102,0.4,0.82
2011-06-22,49.37,49.37,49.35,49.35,1165,0.22,0.45
2011-06-24,47.72,47.72,47.68,47.68,1000,-1.67,-3.38
2011-06-28,47.26,47.26,47.26,47.26,267,-0.42,-0.88
2011-06-29,47.39,47.62,47.39,47.62,950,0.36,0.76
2011-06-30,49.19,49.19,49.14,49.14,410,1.52,3.19
2011-07-01,46.97,47.19,46.92,46.94,10235,-2.2,-4.48
2011-07-05,47.73,47.73,47.73,47.73,240,0.79,1.68
2011-07-07,48.47,48.47,48.47,48.47,500,0.74,1.55
2011-07-08,49.09,49.09,49.09,49.09,385,0.62,1.28
2011-07-11,49.61,54.02,49.61,54.02,510,4.93,10.04
2011-07-12,48.79,49.53,48.79,49.53,1800,-4.49,-8.31
2011-07-13,50.15,50.15,50.15,50.15,100,0.62,1.25
2011-07-19,51.49,51.49,51.49,51.49,400,1.34,2.67
2011-07-20,51.27,51.27,51.27,51.27,500,-0.22,-0.43
2011-07-21,51.31,51.31,51.31,51.31,620,0.04,0.08
2011-07-22,51.42,51.42,51.41,51.41,8278,0.1,0.19
2011-07-28,51.6,52.0,51.6,52.0,1372,0.59,1.15
2011-07-29,52.21,52.21,51.96,51.96,665,-0.04,-0.08
2011-08-03,53.65,53.85,53.42,53.42,1200,1.46,2.81
2011-08-04,53.83,53.83,52.37,52.63,1020,-0.79,-1.48
2011-08-09,54.35,54.35,51.44,51.44,200,-1.19,-2.26
2011-08-16,56.03,56.03,56.03,56.03,100,4.59,8.92
2011-08-18,57.23,57.23,57.03,57.03,960,1.0,1.78
2011-08-19,58.44,58.44,58.3,58.32,1575,1.29,2.26
2011-08-22,59.17,59.81,59.17,59.81,1940,1.49,2.55
2011-08-23,59.26,59.26,57.74,57.74,900,-2.07,-3.46
2011-08-24,55.99,55.99,55.99,55.99,175,-1.75,-3.03
2011-08-25,52.78,55.6,52.77,55.6,800,-0.39,-0.7
2011-08-31,57.5,57.57,57.5,57.57,734,1.97,3.54
2011-09-02,59.41,59.49,59.37,59.49,881,1.92,3.34
2011-09-08,58.91,58.91,58.58,58.68,2000,-0.81,-1.36
2011-09-09,58.34,58.52,57.99,58.16,1925,-0.52,-0.89
2011-09-12,57.23,57.24,57.14,57.14,734,-1.02,-1.75
2011-09-16,56.84,57.12,56.8,56.8,300,-0.34,-0.6
2011-09-19,56.78,56.78,55.66,55.76,4400,-1.04,-1.83
2011-09-20,56.22,56.22,56.22,56.22,100,0.46,0.82
2011-09-21,55.86,55.86,55.86,55.86,100,-0.36,-0.64
2011-09-23,51.73,51.73,49.69,50.26,3065,-5.6,-10.03
2011-09-26,49.01,49.41,48.46,49.41,1710,-0.85,-1.69
2011-09-27,50.89,51.05,50.31,50.31,600,0.9,1.82
2011-09-28,50.21,50.21,48.63,48.87,969,-1.44,-2.86
2011-09-29,49.06,49.06,49.06,49.06,100,0.19,0.39
2011-10-03,50.12,50.13,50.12,50.13,600,1.07,2.18
2011-10-04,49.4,49.4,49.4,49.4,100,-0.73,-1.46
2011-10-07,50.21,50.21,49.64,49.83,2379,0.43,0.87
2011-10-10,50.68,50.68,50.68,50.68,100,0.85,1.71
2011-10-12,51.55,51.59,51.49,51.59,6200,0.91,1.8
2011-10-17,51.04,51.04,51.04,51.04,100,-0.55,-1.07
2011-10-18,50.67,50.67,50.67,50.67,100,-0.37,-0.72
2011-10-20,49.51,49.55,49.51,49.55,200,-1.12,-2.21
2011-10-24,50.37,50.4,50.37,50.4,285,0.85,1.72
2011-10-25,50.34,50.75,50.34,50.75,11200,0.35,0.69
2011-10-26,52.67,52.72,52.66,52.66,1814,1.91,3.76
2011-10-31,52.85,52.85,52.85,52.85,1700,0.19,0.36
2011-11-01,51.57,51.57,51.57,51.57,100,-1.28,-2.42
2011-11-03,53.45,53.45,53.45,53.45,100,1.88,3.65
2011-11-07,55.0,55.0,54.88,54.88,200,1.43,2.68
2011-11-08,55.0,55.11,54.44,54.54,2400,-0.34,-0.62
2011-11-09,54.62,54.68,53.86,53.86,2900,-0.68,-1.25
2011-11-10,53.96,53.96,53.96,53.96,100,0.1,0.19
2011-11-14,54.33,54.33,54.33,54.33,200,0.37,0.69
2011-11-22,51.36,51.68,51.36,51.68,420,-2.65,-4.88
2011-11-28,52.15,52.15,52.15,52.15,300,0.47,0.91
