日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-01-03,3.5003,3.5739,3.462,3.5739,75800,0.0382,1.08
1995-01-04,3.5739,3.5739,3.5356,3.5739,20200,0.0,0.0
1995-01-05,3.5533,3.5533,3.5003,3.5356,40200,-0.0382,-1.07
1995-01-06,3.5356,3.5533,3.462,3.5356,138600,0.0,0.0
1995-01-09,3.5003,3.5179,3.4443,3.5179,66600,-0.0177,-0.5
1995-01-10,3.5003,3.5739,3.5003,3.5003,56800,-0.0176,-0.5
1995-01-11,3.5003,3.5003,3.3883,3.4443,100200,-0.056,-1.6
1995-01-12,3.4443,3.462,3.4266,3.4443,79800,0.0,0.0
1995-01-13,3.4826,3.5356,3.4443,3.5356,132600,0.0913,2.65
1995-01-16,3.5179,3.5356,3.5003,3.5003,48600,-0.0354,-1.0
1995-01-17,3.5003,3.5739,3.5003,3.5533,230600,0.0532,1.52
1995-01-18,3.5356,3.5533,3.5003,3.5356,235600,-0.0178,-0.5
1995-01-19,3.5356,3.5916,3.5356,3.5916,453000,0.0559,1.58
1995-01-20,3.5916,3.5916,3.5356,3.5356,359400,-0.056,-1.56
1995-01-23,3.5003,3.6476,3.5003,3.6269,460400,0.0912,2.58
1995-01-24,3.6299,3.6652,3.5739,3.5916,105200,-0.0352,-0.97
1995-01-25,3.6093,3.6269,3.5916,3.6093,74000,0.0176,0.49
1995-01-26,3.6093,3.6652,3.5739,3.6652,192200,0.0559,1.55
1995-01-27,3.6829,3.7006,3.6093,3.6093,76400,-0.0561,-1.53
1995-01-30,3.6299,3.7006,3.6269,3.6829,129600,0.0736,2.04
1995-01-31,3.6829,3.7212,3.6829,3.7006,80000,0.0177,0.48
1995-02-01,3.7036,3.7212,3.6093,3.6476,72600,-0.0529,-1.43
1995-02-02,3.6829,3.7949,3.6829,3.7949,100800,0.1474,4.04
1995-02-03,3.7566,3.8479,3.7006,3.8126,162600,0.0178,0.47
1995-02-06,3.8302,3.8302,3.7949,3.8302,47400,0.0175,0.46
1995-02-07,3.8302,3.8685,3.7743,3.8685,64600,0.0383,1.0
1995-02-08,3.8302,3.8479,3.7566,3.7566,182200,-0.1118,-2.89
1995-02-09,3.7949,3.8685,3.7743,3.8479,50800,0.0913,2.43
1995-02-10,3.8509,3.8862,3.7949,3.8479,185200,0.0,0.0
1995-02-13,3.8685,3.9422,3.8302,3.8479,76200,0.0,0.0
1995-02-14,3.9039,3.9599,3.9039,3.9216,133800,0.0735,1.91
1995-02-15,3.9216,3.9216,3.8862,3.9039,132200,-0.0176,-0.45
1995-02-16,3.9245,3.9599,3.8862,3.9599,198200,0.0558,1.43
1995-02-17,3.9776,4.0335,3.9776,4.0159,203200,0.0558,1.41
1995-02-21,3.9952,3.9952,3.9216,3.9422,125400,-0.0735,-1.83
1995-02-22,3.9422,4.0335,3.9422,3.9776,205400,0.0355,0.9
1995-02-23,3.9952,3.9952,3.9599,3.9952,242800,0.0175,0.44
1995-02-24,3.9982,4.0159,3.9952,4.0159,219400,0.0208,0.52
1995-02-27,4.0159,4.0159,3.9599,3.9952,232200,-0.0205,-0.51
1995-02-28,3.9599,4.0159,3.9599,3.9952,255000,0.0,0.0
1995-03-01,3.9982,4.0512,3.9776,4.0512,270800,0.0559,1.4
1995-03-02,4.0512,4.0512,3.9776,3.9952,64200,-0.0559,-1.38
1995-03-03,3.9776,3.9952,3.9216,3.9952,67600,0.0,0.0
1995-03-06,3.9952,3.9952,3.9039,3.9599,62200,-0.0352,-0.88
1995-03-07,3.9216,3.9216,3.8302,3.8862,72600,-0.0737,-1.86
1995-03-08,3.9039,3.9216,3.8302,3.9039,132400,0.0175,0.45
1995-03-09,3.8862,4.0159,3.8862,4.0159,369600,0.112,2.87
1995-03-10,4.0512,4.1249,4.0512,4.0895,84400,0.0735,1.83
1995-03-12,4.0895,4.1072,4.0335,4.1072,155000,0.0176,0.43
1995-03-13,4.1072,4.2368,4.1072,4.1985,151200,0.0912,2.22
1995-03-14,4.1985,4.2545,4.1249,4.2368,132600,0.0382,0.91
1995-03-15,4.2545,4.2899,4.2368,4.2899,147200,0.053,1.25
1995-03-16,4.2899,4.2899,4.1249,4.1809,319600,-0.109,-2.54
1995-03-17,4.2899,4.2899,4.1249,4.1809,319600,0.0,0.0
1995-03-19,4.1632,4.2368,4.1632,4.2368,273400,0.056,1.34
1995-03-20,4.2192,4.3282,4.1985,4.2162,110000,-0.0208,-0.49
1995-03-21,4.2368,4.3105,4.2368,4.2899,185200,0.0738,1.75
1995-03-22,4.2722,4.3282,4.2722,4.2899,96400,0.0,0.0
1995-03-23,4.2722,4.3459,4.2722,4.3459,154800,0.0558,1.3
1995-03-24,4.2722,4.3459,4.2722,4.3459,154800,0.0,0.0
1995-03-26,4.3459,4.3842,4.2722,4.3105,87400,-0.0352,-0.81
1995-03-27,4.3105,4.3105,4.2722,4.2722,100600,-0.0384,-0.89
1995-03-28,4.2928,4.3459,4.2722,4.3282,138000,0.056,1.31
1995-03-29,4.3459,4.3635,4.2899,4.3282,63400,0.0,0.0
1995-03-30,4.3459,4.3459,4.2899,4.3282,59400,0.0,0.0
1995-03-31,4.3459,4.3459,4.2899,4.3282,59400,0.0,0.0
1995-04-03,4.3105,4.3282,4.2722,4.2722,69000,-0.0558,-1.29
1995-04-04,4.3105,4.3282,4.2722,4.3282,155800,0.056,1.31
1995-04-05,4.3105,4.3282,4.2722,4.3105,44000,-0.0177,-0.41
1995-04-06,4.3105,4.3105,4.2722,4.2899,49800,-0.0207,-0.48
1995-04-07,4.2899,4.2899,4.1985,4.2722,223800,-0.0176,-0.41
1995-04-10,4.2545,4.2722,4.2368,4.2545,60800,-0.0175,-0.41
1995-04-11,4.2368,4.2722,4.1985,4.2162,93400,-0.0383,-0.9
1995-04-12,4.1809,4.1985,4.0895,4.1985,290200,-0.0177,-0.42
1995-04-13,4.1985,4.1985,4.1632,4.1985,55400,0.0,0.0
1995-04-17,4.1985,4.1985,4.1426,4.1632,59200,-0.0353,-0.84
1995-04-18,4.1632,4.1809,4.1249,4.1632,97200,0.0,0.0
1995-04-19,4.1809,4.1985,4.1249,4.1809,48000,0.0175,0.42
1995-04-20,4.1632,4.1809,4.1072,4.1426,84000,-0.0385,-0.92
1995-04-21,4.1426,4.1426,4.0159,4.0335,267600,-0.1089,-2.63
1995-04-24,4.0689,4.0689,3.9776,4.0159,262800,-0.0177,-0.44
1995-04-25,4.0512,4.1072,4.0335,4.0689,120200,0.053,1.32
1995-04-26,4.0512,4.0512,3.9039,4.0512,187000,-0.0175,-0.43
1995-04-27,4.0159,4.0512,3.9422,4.0512,234600,0.0,0.0
1995-04-28,4.0335,4.1249,3.9776,4.0895,95600,0.0385,0.95
1995-05-01,4.0895,4.1426,4.0335,4.1426,186400,0.0532,1.3
1995-05-02,4.1426,4.1426,4.1072,4.1072,181400,-0.0352,-0.85
1995-05-03,4.1249,4.2162,4.1249,4.1426,114000,0.0353,0.86
1995-05-04,4.0895,4.2162,4.0895,4.1426,97600,0.0,0.0
1995-05-05,4.1809,4.1809,4.0895,4.1072,278200,-0.0352,-0.85
1995-05-08,4.0718,4.1426,4.0335,4.1072,207200,0.0,0.0
1995-05-09,4.1072,4.1072,4.0159,4.0512,89600,-0.0559,-1.36
1995-05-10,4.0159,4.0512,3.9952,4.0512,133000,0.0,0.0
1995-05-11,4.0512,4.0512,3.9776,4.0335,71800,-0.0178,-0.44
1995-05-12,4.0159,4.0689,4.0159,4.0689,107000,0.0355,0.88
1995-05-15,4.0895,4.1249,4.0689,4.0895,190800,0.0208,0.51
1995-05-16,4.0895,4.1072,4.0689,4.0895,108800,0.0,0.0
1995-05-17,4.0895,4.1072,4.0895,4.0895,20000,0.0,0.0
1995-05-18,4.0895,4.1072,4.0895,4.0895,128200,0.0,0.0
1995-05-19,4.0895,4.1072,4.0335,4.0689,302000,-0.0204,-0.5
1995-05-22,4.0895,4.1249,4.0895,4.1249,105400,0.0561,1.38
1995-05-23,4.1249,4.2899,4.1072,4.2899,185800,0.165,4.0
1995-05-24,4.2545,4.3282,4.0895,4.1249,167200,-0.1652,-3.85
1995-05-25,4.1072,4.1072,4.0159,4.0159,78400,-0.1089,-2.64
1995-05-26,4.0335,4.0895,3.9216,4.0895,103800,0.0735,1.83
1995-05-30,4.0895,4.0895,4.0335,4.0335,67200,-0.056,-1.37
1995-05-31,4.0159,4.1985,3.9952,4.1985,117600,0.165,4.09
1995-06-01,4.1632,4.1985,4.0895,4.1072,68400,-0.0915,-2.18
1995-06-02,4.0895,4.1072,3.9776,3.9952,94400,-0.1121,-2.73
1995-06-05,4.0159,4.1809,3.9599,4.1072,263600,0.1119,2.8
1995-06-06,4.1249,4.1249,4.0895,4.1072,73400,0.0,0.0
1995-06-07,4.1249,4.1249,4.0335,4.0512,622800,-0.0559,-1.36
1995-06-08,4.0512,4.1072,4.0335,4.0512,69600,0.0,0.0
1995-06-09,4.0159,4.0335,3.9776,3.9776,66600,-0.0737,-1.82
1995-06-12,3.9982,4.0159,3.9599,3.9599,156200,-0.0175,-0.44
1995-06-13,3.9776,3.9952,3.9599,3.9952,102800,0.0352,0.89
1995-06-14,4.0159,4.0689,3.9952,4.0512,53600,0.0559,1.4
1995-06-15,4.0159,4.0512,3.9422,3.9776,62800,-0.0737,-1.82
1995-06-16,4.0512,4.0689,3.9599,3.9776,211800,0.0,0.0
1995-06-19,3.9245,3.9776,3.9216,3.9776,30400,0.0,0.0
1995-06-20,3.9599,4.0159,3.9216,4.0159,204800,0.0382,0.96
1995-06-21,4.0159,4.0895,4.0159,4.0335,104400,0.0177,0.44
1995-06-22,4.0159,4.0335,4.0159,4.0335,214000,0.0,0.0
1995-06-23,4.0335,4.0335,3.9599,3.9952,60400,-0.0383,-0.95
1995-06-26,3.9776,4.0159,3.9216,3.9422,148600,-0.0531,-1.33
1995-06-27,3.9422,3.9776,3.9422,3.9776,180200,0.0355,0.9
1995-06-28,3.9776,3.9776,3.8862,3.8862,285000,-0.0915,-2.3
1995-06-29,3.9216,3.9216,3.8479,3.9039,93600,0.0175,0.45
1995-06-30,3.9216,3.9216,3.8126,3.8302,230400,-0.0738,-1.89
1995-07-03,3.8302,3.8479,3.8126,3.8479,89800,0.0176,0.46
1995-07-05,3.8302,3.8479,3.7949,3.8302,298000,-0.0177,-0.46
1995-07-06,3.8302,3.9952,3.8126,3.9776,408600,0.1475,3.85
1995-07-07,3.9599,4.0335,3.9422,4.0335,203000,0.0561,1.41
1995-07-10,4.0335,4.0895,4.0159,4.0335,202200,0.0,0.0
1995-07-11,3.9982,4.0335,3.9776,3.9952,322800,-0.0383,-0.95
1995-07-12,4.0335,4.1249,4.0335,4.1072,373400,0.1119,2.8
1995-07-13,4.1072,4.1072,4.0512,4.0895,128600,-0.0177,-0.43
1995-07-14,4.0512,4.0895,4.0512,4.0689,91200,-0.0204,-0.5
1995-07-17,4.1072,4.1249,4.0512,4.1072,156800,0.0382,0.94
1995-07-18,4.1072,4.1072,3.9599,4.0159,686800,-0.0912,-2.22
1995-07-19,4.0159,4.0159,3.9422,3.9776,405600,-0.0381,-0.95
1995-07-20,3.9776,4.0159,3.9422,4.0159,129400,0.0382,0.96
1995-07-21,4.0159,4.0159,3.9216,3.9599,139400,-0.0558,-1.39
1995-07-24,3.9599,3.9599,3.9039,3.9599,97400,0.0,0.0
1995-07-25,3.9776,4.0512,3.9422,4.0159,185200,0.0558,1.41
1995-07-26,4.0159,4.0512,3.9776,4.0512,313600,0.0353,0.88
1995-07-27,4.0512,4.1426,4.0512,4.1249,157800,0.0737,1.82
1995-07-28,4.1249,4.1985,4.1072,4.1985,151200,0.0738,1.79
1995-07-31,4.1455,4.1809,4.1072,4.1809,166200,-0.0176,-0.42
1995-08-01,4.1632,4.1985,4.1426,4.1809,290800,0.0,0.0
1995-08-02,4.1809,4.1809,4.1426,4.1426,63400,-0.0385,-0.92
1995-08-03,4.1249,4.1809,4.1249,4.1809,57000,0.0381,0.92
1995-08-04,4.1809,4.1809,4.1072,4.1249,72600,-0.056,-1.34
1995-08-07,4.1632,4.1809,4.1249,4.1249,58600,0.0,0.0
1995-08-08,4.1249,4.1985,4.1249,4.1809,182000,0.0561,1.36
1995-08-09,4.1809,4.1809,4.1632,4.1809,27200,0.0,0.0
1995-08-10,4.1809,4.1809,4.0689,4.0895,98600,-0.0911,-2.18
1995-08-11,4.0895,4.1426,4.0689,4.1249,38800,0.0352,0.86
1995-08-14,4.0895,4.1632,4.0895,4.0895,63000,-0.0355,-0.86
1995-08-15,4.0718,4.0895,3.9952,4.0895,60800,0.0,0.0
1995-08-16,4.0895,4.1072,4.0159,4.0689,92000,-0.0204,-0.5
1995-08-17,4.0512,4.0689,3.9952,4.0512,75200,-0.0175,-0.43
1995-08-18,4.0895,4.1426,4.0689,4.0689,119000,0.0178,0.44
1995-08-21,4.1249,4.1632,4.0689,4.1072,152400,0.0382,0.94
1995-08-22,4.1072,4.1426,4.0895,4.1072,173200,0.0,0.0
1995-08-23,4.1249,4.1632,4.1072,4.1632,86600,0.0559,1.36
1995-08-24,4.1632,4.1632,4.1072,4.1632,25400,0.0,0.0
1995-08-25,4.1632,4.1632,4.1426,4.1426,107800,-0.0208,-0.5
1995-08-28,4.1809,4.1809,4.1426,4.1632,54400,0.0207,0.5
1995-08-29,4.1632,4.1632,4.1249,4.1632,56600,0.0,0.0
1995-08-30,4.1632,4.1809,4.1426,4.1632,74400,0.0,0.0
1995-08-31,4.1809,4.2722,4.1632,4.2722,118800,0.1091,2.62
1995-09-01,4.2545,4.2722,4.1809,4.2368,56200,-0.0355,-0.83
1995-09-05,4.2722,4.3459,4.2545,4.3459,68600,0.1089,2.57
1995-09-06,4.3282,4.4195,4.3282,4.3842,138800,0.0382,0.88
1995-09-07,4.3842,4.4018,4.2722,4.2899,60400,-0.0943,-2.15
1995-09-08,4.2722,4.3105,4.2545,4.2722,49000,-0.0176,-0.41
1995-09-11,4.2722,4.2899,4.2545,4.2722,129400,0.0,0.0
1995-09-12,4.2899,4.2899,4.2545,4.2722,25800,0.0,0.0
1995-09-13,4.2722,4.2722,4.1809,4.1809,252000,-0.0914,-2.14
1995-09-14,4.1985,4.2162,4.1809,4.2162,365800,0.0355,0.85
1995-09-15,4.2162,4.2162,4.1809,4.1809,307400,-0.0354,-0.84
1995-09-18,4.1985,4.2368,4.1809,4.2368,86400,0.056,1.34
1995-09-19,4.2192,4.2368,4.1426,4.1632,177400,-0.0737,-1.74
1995-09-20,4.1809,4.2162,4.0689,4.1072,124800,-0.0558,-1.34
1995-09-21,4.1072,4.1632,4.0689,4.1072,590000,0.0,0.0
1995-09-22,4.0718,4.0895,4.0689,4.0689,65400,-0.0382,-0.93
1995-09-25,4.0895,4.0895,4.0512,4.0895,75800,0.0208,0.51
1995-09-26,4.1072,4.1072,4.0159,4.0512,319000,-0.0384,-0.94
1995-09-27,4.0689,4.0689,4.0159,4.0512,129400,0.0,0.0
1995-09-28,4.0512,4.0895,4.0512,4.0895,283400,0.0385,0.95
1995-09-29,4.0895,4.0895,4.0512,4.0689,148000,-0.0204,-0.5
1995-10-02,4.0512,4.0689,3.9776,4.0159,152400,-0.0529,-1.3
1995-10-03,4.0335,4.0335,3.9952,4.0159,59400,0.0,0.0
1995-10-04,4.0159,4.0159,3.9599,3.9952,76600,-0.0205,-0.51
1995-10-05,4.0159,4.0159,3.9216,3.9422,37000,-0.0531,-1.33
1995-10-06,3.9245,3.9776,3.9216,3.9776,199200,0.0355,0.9
1995-10-09,3.9599,3.9776,3.8685,3.9422,78400,-0.0354,-0.89
1995-10-10,3.9422,4.0159,3.9039,3.9952,336400,0.0532,1.35
1995-10-11,4.0335,4.0895,4.0159,4.0895,424000,0.0943,2.36
1995-10-12,4.1072,4.1249,4.0689,4.0895,120200,0.0,0.0
1995-10-13,4.0895,4.0895,3.9952,3.9952,171600,-0.0945,-2.31
1995-10-16,4.0159,4.0159,3.9422,3.9776,96000,-0.0176,-0.44
1995-10-17,3.9776,3.9776,3.9216,3.9599,38800,-0.0175,-0.44
1995-10-18,3.9422,3.9776,3.9216,3.9216,63800,-0.0384,-0.97
1995-10-19,3.9422,3.9422,3.8302,3.8685,203400,-0.0529,-1.35
1995-10-20,3.8479,3.8479,3.6476,3.8302,439400,-0.0383,-0.99
1995-10-23,3.8126,3.8685,3.7743,3.8479,323200,0.0176,0.46
1995-10-24,3.8685,3.9039,3.8302,3.8862,225200,0.0385,1.0
1995-10-25,3.8862,3.9039,3.8126,3.8302,227000,-0.056,-1.44
1995-10-26,3.8126,3.8302,3.7212,3.8302,69400,0.0,0.0
1995-10-27,3.7949,3.8126,3.7212,3.7949,101600,-0.0352,-0.92
1995-10-29,3.7389,3.8685,3.7212,3.8479,148400,0.0531,1.4
1995-10-30,3.8302,3.8685,3.7949,3.8302,84400,-0.0177,-0.46
1995-10-31,3.8479,3.8479,3.7389,3.7389,81800,-0.0912,-2.38
1995-11-01,3.7772,3.8302,3.7566,3.8126,97400,0.0737,1.97
1995-11-02,3.8302,3.8302,3.7566,3.8302,63400,0.0175,0.46
1995-11-03,3.8302,3.8302,3.7566,3.8302,63400,0.0,0.0
1995-11-06,3.7949,3.8302,3.7566,3.8126,325200,-0.0176,-0.46
1995-11-07,3.8126,3.8685,3.7949,3.7949,191000,-0.0175,-0.46
1995-11-08,3.8126,3.9039,3.7566,3.8685,102000,0.0736,1.94
1995-11-09,3.8862,3.8862,3.8126,3.8126,87600,-0.0561,-1.45
1995-11-10,3.7772,3.8479,3.7743,3.8126,67400,0.0,0.0
1995-11-13,3.7949,3.8479,3.7949,3.8302,135000,0.0175,0.46
1995-11-14,3.8479,3.8479,3.8126,3.8126,99600,-0.0176,-0.46
1995-11-15,3.8126,3.8479,3.7949,3.8302,106800,0.0175,0.46
1995-11-16,3.8302,3.8479,3.8126,3.8302,90000,0.0,0.0
1995-11-17,3.8302,3.8302,3.7949,3.8126,99600,-0.0176,-0.46
1995-11-20,3.8126,3.8302,3.7743,3.7949,92800,-0.0175,-0.46
1995-11-21,3.8126,3.9039,3.8126,3.9039,146200,0.1089,2.87
