日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-01-04,1.9355,1.9355,1.9355,1.9355,1000,0.0874,4.73
1995-01-09,1.9355,1.9355,1.8481,1.8481,2700,-0.0873,-4.51
1995-01-10,1.8481,1.8481,1.8481,1.8481,4000,0.0,0.0
1995-01-11,1.9355,1.9355,1.9355,1.9355,600,0.0874,4.73
1995-01-17,1.8481,1.9355,1.7608,1.7608,17600,-0.1748,-9.03
1995-01-18,1.7608,1.7608,1.7608,1.7608,1000,0.0,0.0
1995-01-19,1.8481,2.0161,1.8481,2.0161,8500,0.2553,14.5
1995-01-20,1.9355,1.9355,1.9355,1.9355,1900,-0.0806,-4.0
1995-01-24,2.0161,2.0161,2.0161,2.0161,300,0.0807,4.17
1995-01-25,2.0161,2.0161,1.9355,1.9355,1100,-0.0806,-4.0
1995-01-26,1.9355,2.0161,1.9355,1.9355,0,0.0,0.0
1995-01-27,1.9355,1.9355,1.7608,1.9355,2000,0.0,0.0
1995-01-30,1.9355,1.9355,1.7608,1.9355,0,0.0,0.0
1995-01-31,1.7675,1.8481,1.7608,1.7608,8000,-0.1748,-9.03
1995-02-01,1.8481,1.8481,1.8481,1.8481,20800,0.0873,4.96
1995-02-02,1.6801,1.6801,1.6801,1.6801,2000,-0.168,-9.09
1995-02-06,1.8078,1.8481,1.7608,1.7608,2900,0.0806,4.8
1995-02-07,1.7608,1.8481,1.7608,1.7608,0,0.0,0.0
1995-02-08,1.8481,1.8481,1.8481,1.8481,1200,0.0873,4.96
1995-02-09,1.8481,2.0161,1.7608,1.9355,10000,0.0874,4.73
1995-02-10,1.9355,2.0161,1.7608,1.9355,0,0.0,0.0
1995-02-13,2.0161,2.0161,2.0161,2.0161,3000,0.0807,4.17
1995-02-14,2.0161,2.0161,1.7608,2.0161,6300,0.0,0.0
1995-02-15,2.0161,2.0161,1.7608,1.7608,4600,-0.2555,-12.67
1995-02-16,1.7608,2.0161,1.7608,1.7608,0,0.0,0.0
1995-02-17,1.7608,2.0161,1.7608,1.7608,0,0.0,0.0
1995-02-21,1.8481,2.0161,1.8481,2.0161,7500,0.2553,14.5
1995-02-22,1.9355,1.9355,1.9355,1.9355,1000,-0.0806,-4.0
1995-02-24,2.0161,2.0161,2.0161,2.0161,500,0.0807,4.17
1995-02-27,2.0161,2.0161,1.9355,2.0161,25000,0.0,0.0
1995-02-28,2.0161,2.0161,1.9758,1.9758,20000,-0.0403,-2.0
1995-03-01,1.9355,1.9355,1.9355,1.9355,6000,-0.0403,-2.04
1995-03-07,2.0161,2.0161,2.0161,2.0161,1000,0.0807,4.17
1995-03-09,1.8481,1.8481,1.8481,1.8481,1700,-0.1679,-8.33
1995-03-13,1.8481,2.0161,1.8481,2.0161,8000,0.168,9.09
1995-03-14,2.0161,2.0161,1.8884,1.8884,4000,-0.1276,-6.33
1995-03-15,2.0161,2.0161,1.8884,1.8884,4000,0.0,0.0
1995-03-16,1.8481,1.8481,1.8481,1.8481,1000,-0.0404,-2.14
1995-03-17,1.8481,1.8481,1.8481,1.8481,1000,0.0,0.0
1995-03-22,1.9758,1.9758,1.8481,1.8481,20000,0.0,0.0
1995-03-23,1.9758,1.9758,1.8481,1.8481,20000,0.0,0.0
1995-03-24,1.8481,1.9758,1.8481,1.8481,0,0.0,0.0
1995-03-27,1.8481,1.9758,1.8481,1.8481,0,0.0,0.0
1995-03-28,1.8481,2.0161,1.8481,1.8481,17000,0.0,0.0
1995-03-29,1.8481,1.9355,1.8481,1.9355,17500,0.0874,4.73
1995-03-30,1.8481,1.8481,1.8481,1.8481,1000,-0.0873,-4.51
1995-03-31,1.8481,1.8481,1.8481,1.8481,1000,0.0,0.0
1995-04-03,1.8481,1.8481,1.8481,1.8481,1000,0.0,0.0
1995-04-04,2.0161,2.0161,2.0161,2.0161,300,0.168,9.09
1995-04-05,1.8481,1.9758,1.8481,1.8481,21500,-0.1679,-8.33
1995-04-06,1.8481,1.9758,1.8481,1.8481,0,0.0,0.0
1995-04-07,1.8481,1.9758,1.8481,1.8481,0,0.0,0.0
1995-04-10,1.8481,1.8481,1.8481,1.8481,5800,0.0,0.0
1995-04-12,1.8481,2.0161,1.8481,1.9355,18600,0.0874,4.73
1995-04-13,2.0161,2.0161,2.0161,2.0161,1000,0.0807,4.17
1995-04-17,1.9355,1.9355,1.8481,1.9355,11000,-0.0806,-4.0
1995-04-18,1.9355,1.9355,1.8481,1.9355,0,0.0,0.0
1995-04-19,1.9355,1.9355,1.8481,1.8481,6500,-0.0873,-4.51
