日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2018-08-28,18.6092,18.751,18.0864,18.432,13771192,0.0,0.0
2018-08-29,18.432,18.5481,18.2282,18.2902,3667436,-0.1419,-0.77
2018-08-30,18.3127,18.5197,18.0697,18.2227,5911648,-0.351,-1.89
2018-08-31,17.9978,18.3757,17.9078,18.0158,10581807,-0.2077,-1.14
2018-09-04,17.9528,17.9528,17.4488,17.5118,4864157,-0.5045,-2.8
2018-09-05,17.3588,17.5838,17.2958,17.3318,7986639,-0.1804,-1.03
2018-09-06,17.2778,17.5298,17.2778,17.5028,13394805,0.1716,0.99
2018-09-07,17.5388,17.5568,17.2688,17.5388,7475545,0.0368,0.21
2018-09-10,17.7458,17.7998,17.4488,17.6738,3825080,0.135,0.77
2018-09-11,17.6648,17.9078,17.6108,17.6468,5843883,-0.0265,-0.15
2018-09-12,17.6738,17.8178,17.6018,17.7728,3338772,0.1253,0.71
2018-09-13,17.7818,17.8538,17.6108,17.6918,4501146,-0.0818,-0.46
2018-09-14,17.6378,17.9978,17.5838,17.9978,4257780,0.3061,1.73
2018-09-17,17.8178,18.1777,17.8178,18.1417,3113334,0.144,0.8
2018-09-18,18.0787,18.2497,17.8358,18.1777,1788095,0.0363,0.2
2018-09-19,18.2137,18.2677,18.0787,18.1417,1485629,-0.0364,-0.2
2018-09-20,18.1507,18.4927,18.1507,18.4567,3677510,0.3157,1.74
2018-09-21,18.4027,18.9786,18.4027,18.7537,5134404,0.2972,1.61
2018-09-24,18.6727,18.8886,18.3667,18.5287,1991054,-0.225,-1.2
2018-09-25,18.5017,18.8976,18.4477,18.7267,2122740,0.1983,1.07
2018-09-26,18.7267,18.8167,18.3937,18.4027,2061763,-0.324,-1.73
2018-09-27,18.4387,18.7357,18.3487,18.5827,1199403,0.1803,0.98
2018-09-28,18.5557,18.8347,18.5287,18.8347,2338818,0.2527,1.36
2018-10-01,18.8526,18.8886,18.5647,18.5647,1628491,-0.2693,-1.43
2018-10-02,18.5827,18.6997,18.5197,18.6097,2649107,0.0446,0.24
2018-10-03,18.5557,18.8077,18.3217,18.4117,2391940,-0.1973,-1.06
2018-10-04,18.3937,18.5917,18.1147,18.1327,2528758,-0.2799,-1.52
2018-10-05,18.1417,18.3037,17.8988,17.9168,1843616,-0.2158,-1.19
2018-10-08,17.9618,18.3937,17.9618,18.3037,1780747,0.387,2.16
2018-10-09,18.3217,18.3667,18.0877,18.2137,1082837,-0.0897,-0.49
2018-10-10,18.1687,18.3307,17.9618,17.9798,1456959,-0.2331,-1.28
2018-10-11,18.0248,18.1597,17.4578,17.5028,2141218,-0.4765,-2.65
2018-10-12,17.6828,17.7188,17.4308,17.5748,1935541,0.0718,0.41
2018-10-15,17.6648,17.9528,17.6108,17.7998,1492350,0.225,1.28
2018-10-16,17.8628,18.1327,17.7638,18.0427,1401430,0.2438,1.37
2018-10-17,18.0158,18.0697,17.7998,17.8988,764197,-0.1443,-0.8
2018-10-18,17.8898,17.8988,17.6378,17.7098,419252,-0.1897,-1.06
2018-10-19,17.7638,17.8988,17.6648,17.7278,395101,0.0177,0.1
2018-10-22,17.7368,17.8178,17.5658,17.5748,478405,-0.1525,-0.86
2018-10-23,17.5028,17.5028,17.2508,17.4218,657202,-0.1529,-0.87
2018-10-24,17.4938,17.5568,17.3048,17.3048,726379,-0.1167,-0.67
2018-10-25,17.3408,17.5568,17.2688,17.3768,703169,0.0727,0.42
2018-10-26,17.3048,17.3138,16.8459,16.9809,1182826,-0.3962,-2.28
2018-10-29,17.0799,17.2383,16.9629,17.0439,1171199,0.0628,0.37
2018-10-30,17.0529,17.2778,17.0259,17.2508,569220,0.2062,1.21
2018-10-31,17.3228,17.4308,17.2688,17.3588,900363,0.1087,0.63
2018-11-01,17.2688,17.4218,16.8099,16.8639,1075801,-0.4947,-2.85
2018-11-02,16.9269,16.9269,16.5399,16.6479,767213,-0.2159,-1.28
2018-11-05,16.7739,16.9179,16.7289,16.8819,593693,0.2347,1.41
2018-11-06,16.9179,16.9449,16.8009,16.8819,451618,0.0,0.0
2018-11-07,16.8729,17.1429,16.8729,17.0349,791091,0.1536,0.91
2018-11-08,17.0529,17.2769,17.0529,17.1969,697728,0.1618,0.95
2018-11-09,17.1969,17.5298,17.1519,17.3318,834127,0.1341,0.78
2018-11-12,17.3138,17.4398,17.2059,17.2418,757399,-0.0901,-0.52
