日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1999-05-27,6.4291,7.9257,6.109,6.8244,5217600,0.2352,3.57
1999-05-28,6.6738,8.1704,6.6738,7.5868,3225600,0.7623,11.17
1999-06-01,7.681,7.7375,6.7679,7.3233,4180000,-0.2633,-3.47
1999-06-02,7.2386,7.3421,6.7679,6.7962,2723200,-0.5273,-7.2
1999-06-03,6.7397,6.9844,6.0055,6.1373,3772800,-0.6593,-9.7
1999-06-04,6.2408,7.7375,6.2408,6.8244,3731200,0.6873,11.2
1999-06-07,7.2574,7.2574,6.8809,7.1633,912000,0.3392,4.97
1999-06-08,7.2668,7.2668,7.0032,7.0315,443200,-0.1318,-1.84
1999-06-09,7.1915,7.5021,6.9844,7.3421,841600,0.3108,4.42
1999-06-10,7.3421,7.3986,7.1162,7.2856,740000,-0.0565,-0.77
1999-06-11,7.2856,7.5304,6.5891,7.0597,777600,-0.2259,-3.1
1999-06-14,6.9468,7.0597,6.2314,6.2408,1223200,-0.8189,-11.6
1999-06-15,6.0714,6.6173,6.0714,6.6079,1789600,0.367,5.88
1999-06-16,6.815,7.135,6.6644,6.8244,631200,0.2167,3.28
1999-06-17,6.7962,7.4457,6.5326,7.4457,1149600,0.621,9.1
1999-06-18,7.4174,9.9683,7.295,9.9683,3816800,2.5226,33.88
1999-06-21,9.4412,11.5309,9.0647,9.9401,7348000,-0.0279,-0.28
1999-06-22,9.7707,10.9096,9.413,9.9118,3420000,-0.0278,-0.28
1999-06-23,10.006,10.439,9.5918,9.6389,2168800,-0.2726,-2.75
1999-06-24,9.6295,9.6483,8.8294,9.2812,1158400,-0.3576,-3.71
1999-06-25,9.3,9.9683,9.3,9.7707,1175200,0.4891,5.27
1999-06-28,9.8554,10.8249,9.8271,10.7214,2040800,0.9507,9.73
1999-06-29,10.7967,13.2252,10.4766,12.5945,4682400,1.873,17.47
1999-06-30,12.6228,13.6488,11.1638,11.352,4408000,-1.2431,-9.87
1999-07-01,11.6909,13.7053,10.9849,13.3005,3320000,1.9481,17.16
1999-07-02,12.2933,13.3005,12.0204,12.2086,2549600,-1.092,-8.21
1999-07-06,12.1615,13.4135,11.6815,11.6815,2011200,-0.5274,-4.32
1999-07-07,12.2368,12.3875,11.5215,11.5497,1470400,-0.132,-1.13
1999-07-08,11.6532,12.2933,11.3709,11.945,1463200,0.395,3.42
1999-07-09,12.0298,12.4722,11.5309,12.2839,1171200,0.3392,2.84
1999-07-12,12.4628,12.7075,11.738,11.7662,459200,-0.5171,-4.21
1999-07-13,11.7097,12.2557,11.5591,12.0204,762400,0.2542,2.16
1999-07-14,12.1145,13.1687,12.0015,13.0464,1140000,1.0265,8.54
1999-07-15,13.1781,15.1831,12.2839,15.1831,3300800,2.137,16.38
