日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2017-07-20,52.85,52.98,52.85,52.98,450000,52.98,0.0
2017-07-21,53.05,53.3,53.05,53.2,330000,0.22,0.42
2017-08-18,62.0,62.0,60.0,60.0,200,-3.79,-5.94
2017-08-22,60.0,60.0,60.0,60.0,100,0.0,0.0
2017-08-28,60.0,60.0,60.0,60.0,200,0.0,0.0
2017-09-22,57.25,57.75,57.25,57.75,100000,-2.25,-3.75
2017-10-04,57.0,57.25,57.0,57.25,87510,-0.5,-0.87
2017-10-06,57.13,57.38,57.13,57.38,50104,0.13,0.22
2017-10-12,55.93,56.25,55.93,56.25,3357,-1.13,-1.96
2017-10-13,61.88,61.88,59.52,59.52,200,3.27,5.81
2017-10-17,56.54,56.55,56.54,56.55,1405,-2.97,-4.99
2017-10-23,57.25,57.25,57.15,57.25,50000,0.7,1.24
2017-11-29,61.05,61.5,60.6,61.05,35824,3.55,6.17
2017-11-30,62.15,62.15,61.3,61.8,146428,0.75,1.23
2017-12-06,67.45,67.45,67.45,67.45,210,5.65,9.14
2017-12-12,74.18,74.18,66.82,66.82,212,-0.63,-0.93
2017-12-14,67.25,67.25,67.25,67.25,100,0.43,0.64
2017-12-15,67.25,67.25,67.25,67.25,3,,
2017-12-18,67.38,67.38,67.38,67.38,100,,
2017-12-28,74.11,74.11,74.11,74.11,100,6.73,9.99
2018-01-03,75.0,75.0,75.0,75.0,400,0.89,1.2
2018-01-11,74.25,74.75,74.25,74.75,40274,-0.25,-0.33
