日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2019-01-11,25.33,25.3865,25.33,25.36,43803,-0.02,-0.08
2019-01-14,25.36,25.38,25.36,25.37,65973,0.01,0.04
2019-01-15,25.37,25.38,25.37,25.38,56028,0.01,0.04
2019-01-16,25.37,25.38,25.37,25.37,66082,-0.01,-0.04
2019-01-17,25.38,25.39,25.37,25.3764,61729,0.0064,0.03
2019-01-18,25.38,25.41,25.38,25.41,31633,0.0336,0.13
2019-01-22,25.41,25.41,25.38,25.39,648796,-0.02,-0.08
2019-01-23,25.38,25.41,25.38,25.39,41987,0.0,0.0
2019-01-24,25.39,25.4,25.38,25.39,289246,0.0,0.0
2019-01-25,25.39,25.395,25.39,25.3941,327568,0.0041,0.02
2019-01-28,25.41,25.41,25.39,25.4,66657,0.0059,0.02
2019-01-29,25.3963,25.41,25.3963,25.405,29043,0.005,0.02
2019-01-30,25.41,25.41,25.4,25.41,76714,0.005,0.02
2019-01-31,24.99,25.0,24.97,25.0,422282,0.019688,0.08
2019-02-01,25.0,25.0,24.97,24.9827,168905,-0.0173,-0.07
2019-02-04,24.98,25.0,24.98,24.98,53367,-0.0027,-0.01
2019-02-05,24.983,24.99,24.98,24.98,18505,0.0,0.0
2019-02-06,24.98,24.99,24.98,24.98,46953,0.0,0.0
2019-02-07,24.98,24.99,24.98,24.99,21926,0.01,0.04
2019-02-08,24.99,25.0,24.99,24.99,17920,0.0,0.0
2019-02-11,25.0,25.01,24.99,25.01,16059,0.02,0.08
