日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2018-02-01,17.3,17.31,16.38,16.43,10207510,-0.57,-3.35
2018-02-02,16.27,16.9495,16.26,16.57,1494435,0.17,1.04
2018-02-05,16.6,16.88,16.425,16.47,1095336,-0.13,-0.78
2018-02-06,16.5,16.7,16.44,16.49,814942,0.0,0.0
2018-02-07,16.49,16.64,16.32,16.49,473928,-0.01,-0.06
2018-02-08,16.49,16.52,15.01,15.805,776131,-0.685,-4.15
2018-02-09,15.82,16.06,15.16,15.98,446586,0.16,1.01
2018-02-12,16.0,16.19,15.92,16.12,89315,0.12,0.75
2018-02-13,16.15,16.22,15.911,16.2,227741,0.05,0.31
2018-02-14,16.19,16.66,16.15,16.42,291381,0.22,1.36
2018-02-15,16.4,16.5018,16.295,16.33,507196,-0.12,-0.73
2018-02-16,16.4,16.7,16.405,16.54,484588,0.14,0.85
2018-02-20,16.6,16.6,16.27,16.34,210956,-0.21,-1.27
2018-02-21,16.38,16.5,16.01,16.18,135347,-0.2,-1.22
2018-02-22,16.19,16.205,15.7,15.8,194579,-0.4,-2.47
2018-02-23,15.79,15.905,15.35,15.56,118931,-0.25,-1.58
2018-02-26,15.58,15.89,15.53,15.79,121105,0.24,1.54
2018-02-27,16.01,16.34,15.44,15.58,285268,-0.24,-1.52
2018-02-28,15.62,16.16,15.62,15.84,275727,0.28,1.8
2018-03-01,15.91,15.91,15.34,15.34,121196,-0.57,-3.58
2018-03-02,15.63,15.63,15.12,15.3,35037,-0.04,-0.26
2018-03-05,15.29,15.29,14.96,14.96,78328,-0.34,-2.22
2018-03-06,15.15,15.2,14.6201,14.68,681157,-0.28,-1.87
2018-03-07,14.51,14.6562,14.05,14.1533,296487,-0.5167,-3.52
2018-03-08,14.14,14.14,13.48,13.805,295289,-0.375,-2.64
2018-03-09,13.77,14.57,13.7,14.415,1743219,0.605,4.38
2018-03-12,14.37,15.11,14.36,14.7,308485,0.28,1.94
2018-03-13,14.75,15.0,14.4577,14.85,96758,0.14,0.95
2018-03-14,14.76,14.8,14.1,14.2,301680,-0.65,-4.38
2018-03-15,14.14,14.36,13.69,14.2,315902,-0.05,-0.35
2018-03-16,14.09,14.49,14.0,14.185,112627,-0.015,-0.11
2018-03-19,14.15,14.38,13.65,13.76,137412,-0.38,-2.69
2018-03-20,13.77,13.84,13.65,13.7789,211057,0.0089,0.06
2018-03-21,13.72,13.91,13.0,13.0337,711469,-0.7463,-5.42
2018-03-22,13.03,13.12,12.45,12.8,300032,-0.22,-1.69
2018-03-23,12.76,13.0,12.64,12.72,356419,-0.12,-0.93
2018-03-26,12.73,12.785,12.44,12.52,539419,-0.18,-1.42
2018-03-27,12.6,12.6,12.32,12.4,71881,-0.11,-0.88
2018-03-28,12.37,12.37,11.9,11.94,112678,-0.44,-3.55
2018-03-29,12.0,12.45,11.87,12.34,374533,0.4,3.35
2018-04-02,12.24,12.3247,11.84,11.96,134879,-0.38,-3.08
2018-04-03,12.0,12.26,11.9371,12.14,104185,0.15,1.25
2018-04-04,12.14,12.75,12.02,12.54,137125,0.4,3.29
2018-04-05,12.66,12.98,12.63,12.83,127945,0.3,2.39
2018-04-06,12.64,13.02,12.64,12.85,264803,0.02,0.16
2018-04-09,13.03,13.03,11.96,12.37,296602,-0.51,-3.96
