日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1996-03-18,14787.3862,15056.2419,13735.3706,14263.6541,2215,-528.0643,-3.57
1996-03-19,14259.4278,14263.6541,13735.3706,13735.3706,1901,-527.7349,-3.7
1996-03-20,13735.3706,14263.6541,13735.3706,14263.6541,815,528.7922,3.85
1996-03-21,14259.4278,14263.6541,13603.381,13735.3706,791,-527.7349,-3.7
1996-03-22,13868.6606,14263.6541,13471.3914,13999.6749,4812,263.7301,1.92
1996-03-25,13995.4486,14263.6541,13735.3706,13735.3706,714,-264.5994,-1.89
1996-03-26,13467.1651,13735.3706,13207.0871,13471.3914,1470,-263.714,-1.92
1996-03-27,13340.3771,13735.3706,13339.0767,13339.0767,1000,-132.0167,-0.98
1996-03-28,13603.381,13603.381,12678.8036,12810.7932,4486,-528.2251,-3.96
1996-03-29,12674.9025,13207.0871,12414.8244,12678.8036,2471,-131.9508,-1.03
1996-04-01,12410.9233,12678.8036,10037.3862,11093.9532,6686,-1584.8505,-12.5
1996-04-02,10826.723,11490.2471,9509.1027,9509.1027,2397,-1585.4052,-14.29
1996-04-03,9770.156,9773.407,8980.8192,9112.8088,5710,-396.5398,-4.17
1996-04-04,9115.4096,10301.6905,9112.8088,9509.1027,2551,396.4025,4.35
1996-04-08,10034.4603,10037.3862,9245.1235,10037.3862,474,528.6839,5.56
1996-04-09,10034.4603,10037.3862,9245.1235,9822.8218,787,-214.8052,-2.14
1996-04-10,9509.1027,10037.3862,9509.1027,9509.1027,901,-313.3358,-3.19
1996-04-11,9506.1769,9773.407,8980.8192,9773.407,384,264.3517,2.78
1996-04-12,9770.156,9773.407,8980.8192,8980.8192,723,-792.6264,-8.11
1996-04-15,8980.8192,9773.407,8980.8192,8980.8192,1040,0.0,0.0
1996-04-16,9506.1769,9509.1027,8980.8192,9112.8088,1905,132.0176,1.47
1996-04-17,9377.1131,9377.1131,8980.8192,9245.1235,1674,132.1383,1.45
1996-04-18,9506.1769,11886.541,9112.8088,11093.9532,8012,1848.9922,20.0
1996-04-19,11618.6606,11886.541,10301.6905,11225.9428,3277,132.0177,1.19
1996-04-22,11354.6814,12678.8036,10829.974,12678.8036,5163,1452.6626,12.94
1996-04-23,12674.9025,14263.6541,12414.8244,13867.3602,6135,1188.0512,9.37
1996-04-24,14259.4278,14263.6541,12810.7932,12810.7932,3012,-1056.7032,-7.62
1996-04-25,13203.186,13207.0871,11886.541,12150.5202,1834,-659.7278,-5.15
1996-04-26,12548.1144,12678.8036,11754.2263,11754.2263,1468,-396.1007,-3.26
1996-04-29,11882.9649,11886.541,10037.3862,11225.9428,3209,-527.7404,-4.49
1996-04-30,11354.6814,12150.5202,10565.6697,12150.5202,2489,924.9842,8.24
1996-05-01,12020.156,12546.814,11490.2471,11490.2471,2458,-659.7445,-5.43
1996-05-02,11882.9649,12414.8244,11358.2575,11754.2263,1745,264.269,2.3
1996-05-03,11756.1769,12018.5306,11358.2575,11886.541,2483,132.8171,1.13
1996-05-06,11882.9649,11886.541,11093.9532,11622.2367,1191,-263.8716,-2.22
1996-05-07,11618.6606,11622.2367,11093.9532,11358.2575,409,-263.8212,-2.27
1996-05-08,11618.6606,11622.2367,10697.6593,10829.974,1369,-528.1529,-4.65
1996-05-09,11618.6606,12678.8036,10829.974,12282.5098,4215,1452.3275,13.41
1996-05-10,12410.9233,12810.7932,11886.541,11886.541,1350,-395.4811,-3.22
1996-05-13,12410.9233,12414.8244,10565.6697,11358.2575,3018,-527.7382,-4.44
1996-05-14,11354.6814,11622.2367,11093.9532,11622.2367,538,263.5222,2.32
1996-05-15,11090.7022,11622.2367,10961.9636,11358.2575,683,-263.8212,-2.27
1996-05-16,10699.935,11358.2575,10565.6697,10829.974,1350,-528.1529,-4.65
1996-05-17,10829.974,11358.2575,10829.974,10961.9636,1009,132.124,1.22
1996-05-20,11354.6814,12150.5202,11093.9532,11886.541,1781,924.1312,8.43
