日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2017-10-18,60.3263,60.3263,60.3263,60.3263,400,0.2164,0.36
2017-10-19,62.8916,62.8916,62.8916,62.8916,6,,
2017-10-20,61.6081,61.6081,61.6081,61.6081,2,,
2017-10-23,60.7524,61.609,60.7524,61.609,673,1.2849,2.13
2017-10-24,60.7815,60.7815,60.7815,60.7815,545,-0.8255,-1.34
2017-10-25,62.8916,62.8916,62.8916,60.761,83,,
2017-10-26,60.7524,62.7701,60.7524,62.7701,1045,1.9876,3.27
2017-10-27,62.8916,62.8916,62.8916,60.9749,64,,
2017-10-30,62.7632,62.7632,60.7952,60.7952,250,-1.9773,-3.15
2017-10-31,61.6081,63.3194,61.0091,63.3194,5974,2.523,4.15
2017-11-01,62.1741,63.2936,62.1741,63.2936,977,-0.0253,-0.04
2017-11-02,61.356,61.356,61.356,61.356,103,-1.9368,-3.06
2017-11-03,62.0019,62.0019,62.0019,62.0019,163,0.6443,1.05
2017-11-06,60.2796,62.0019,60.2796,62.0019,3654,0.0,0.0
2017-11-07,63.2936,63.2936,63.2936,62.863,6,,
2017-11-08,63.2936,63.2936,63.2936,63.2936,272,1.2897,2.08
2017-11-09,61.5713,61.5972,61.5713,61.5972,316,-1.6963,-2.68
2017-11-10,62.9733,62.9733,62.9733,62.9733,100,1.3737,2.23
2017-11-13,62.4325,62.863,62.4325,62.6477,600,-0.3275,-0.52
2017-11-14,62.4325,62.4325,62.4325,62.4325,500,-0.213,-0.34
2017-11-15,61.7711,61.7711,61.7711,61.7711,423,-0.6618,-1.06
2017-11-16,61.7539,61.7539,61.6635,61.7005,2842,-0.0679,-0.11
2017-11-17,62.2172,63.2936,62.2172,63.2075,837,1.5055,2.44
2017-11-20,62.5401,62.5401,62.5401,62.5401,324,-0.67,-1.06
2017-11-21,62.6047,62.6047,62.6047,62.6047,410,0.0625,0.1
2017-11-22,63.2936,63.2936,63.2936,62.6047,2,0.0,0.0
2017-11-24,62.0105,62.0105,62.0105,62.0105,101,-0.5947,-0.95
2017-11-27,63.2936,63.7242,62.6693,62.6822,2361,0.6697,1.08
2017-11-29,62.9922,62.9922,62.9922,62.9922,300,0.3072,0.49
2017-11-30,62.4325,63.5132,62.417,63.5132,13071,0.5228,0.83
2017-12-01,63.5433,63.5433,63.4572,63.4589,434,-0.0572,-0.09
2017-12-04,63.4589,63.4589,63.4589,63.4589,57,0.0,0.0
2017-12-05,63.2936,63.2936,63.1438,63.1438,6522,-0.3173,-0.5
2017-12-06,62.398,63.0783,62.398,63.0783,1535,-0.0631,-0.1
2017-12-07,62.7769,63.0249,62.7769,63.0249,2022,-0.0505,-0.08
2017-12-08,63.1214,64.327,62.4445,64.327,5546,1.3046,2.07
2017-12-11,66.3076,70.0966,66.2645,70.0966,18212,5.7701,8.97
2017-12-12,73.1536,74.23,66.8923,73.412,12621,3.3156,4.73
2017-12-13,73.3259,74.0148,73.0245,73.0589,10241,-0.3524,-0.48
2017-12-14,73.0245,75.0481,71.5261,73.9286,13567,0.8694,1.19
