日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1997-03-27,4.1371,4.1658,4.1371,4.1371,3576100,0.0,0.0
1997-03-31,4.1371,4.1658,4.0509,4.0796,312900,-0.055,-1.33
1997-04-01,4.0796,4.1084,4.0509,4.0796,44600,0.0,0.0
1997-04-02,4.1084,4.1371,4.1084,4.1371,115600,0.0551,1.35
1997-04-03,4.1084,4.1084,4.0796,4.1084,17200,-0.0277,-0.67
1997-04-04,4.0509,4.1371,4.0222,4.1371,59500,,
1997-04-07,4.1084,4.1658,4.0796,4.1658,82700,0.0551,1.34
1997-04-08,4.1371,4.1371,4.0796,4.0796,7800,-0.0828,-1.99
1997-04-09,4.1371,4.1371,4.1084,4.1084,11200,0.0547,1.35
1997-04-10,4.1371,4.1371,4.0509,4.0796,15900,0.0,0.0
1997-04-11,3.9934,4.0222,3.9647,4.0222,106400,-0.1103,-2.67
1997-04-14,3.9934,4.0222,3.9647,3.9647,53300,-0.0645,-1.6
1997-04-15,3.9647,3.9647,3.8785,3.9073,49800,-0.0551,-1.39
1997-04-16,3.9073,3.936,3.8211,3.8785,17700,-0.0277,-0.71
1997-04-17,3.8211,3.936,3.8211,3.9073,34400,0.0275,0.71
1997-04-18,3.9073,3.9647,3.9073,3.9647,17500,0.0,0.0
1997-04-21,3.9073,3.936,3.8785,3.8785,39500,-0.0277,-0.71
1997-04-22,3.8785,3.8785,3.7061,3.8211,73200,-0.055,-1.42
1997-04-23,3.7923,3.8785,3.7923,3.8785,57500,0.0551,1.44
1997-04-24,3.9073,3.9073,3.8785,3.9073,52700,0.0275,0.71
1997-04-25,3.9073,3.9073,3.8785,3.8785,43800,-0.0277,-0.71
1997-04-28,3.8211,3.9073,3.8211,3.8785,79300,0.0,0.0
1997-04-29,3.9073,3.9073,3.8211,3.8498,15200,-0.0275,-0.71
1997-04-30,3.8211,3.936,3.8211,3.936,22400,0.0828,2.15
1997-05-01,3.8785,3.9073,3.7923,3.7923,80900,,
1997-05-02,3.7923,3.9073,3.7923,3.8785,197500,-0.0551,-1.4
1997-05-05,3.8785,3.9934,3.8785,3.9934,32600,,
1997-05-06,4.0509,4.2233,3.936,4.0796,54600,0.202,5.21
1997-05-07,4.0796,4.1371,3.9073,3.9647,28900,-0.1197,-2.93
1997-05-08,3.936,3.936,3.8785,3.8785,26000,-0.0828,-2.09
1997-05-09,3.8785,3.9073,3.8785,3.9073,24800,0.0275,0.71
1997-05-12,3.8498,3.9073,3.8498,3.9073,18200,0.0,0.0
1997-05-13,3.8785,3.9073,3.8498,3.9073,330100,0.0,0.0
1997-05-14,3.8498,3.9934,3.8498,3.936,59200,0.0277,0.71
1997-05-15,3.936,4.3095,3.936,4.2807,276300,0.3491,8.88
1997-05-16,4.2807,4.3957,4.1658,4.3957,59800,0.1106,2.58
1997-05-19,4.3382,4.4244,4.3095,4.3669,118600,-0.0277,-0.63
1997-05-20,4.3382,4.3382,4.2807,4.3382,189100,-0.0275,-0.63
1997-05-21,4.3095,4.4244,4.3095,4.3669,62700,0.0278,0.64
1997-05-22,4.3669,4.3957,4.3095,4.3957,69500,0.0275,0.63
1997-05-23,4.3957,4.4819,4.3957,4.4819,13400,0.0918,2.09
1997-05-27,4.4531,4.568,4.4244,4.4819,36900,0.0,0.0
1997-05-28,4.5106,4.6255,4.4819,4.568,135400,0.0825,1.84
1997-05-29,4.8841,5.315,4.7692,4.8266,240400,0.2573,5.63
1997-05-30,4.7692,4.8266,4.7404,4.7692,81200,-0.055,-1.14
1997-06-02,4.7692,4.7979,4.6255,4.7404,49800,-0.0277,-0.58
1997-06-03,4.7692,4.8553,4.7404,4.7979,69100,0.055,1.16
1997-06-04,4.7692,4.8266,4.7404,4.7692,24700,-0.0273,-0.57
1997-06-05,4.8266,4.8553,4.7979,4.8266,96300,0.0553,1.16
1997-06-06,4.7979,4.8445,4.7117,4.8266,109000,,
1997-06-09,4.8266,4.8841,4.7692,4.8266,30700,,
1997-06-10,4.8266,4.9415,4.7979,4.8841,14600,0.0551,1.14
1997-06-11,4.8266,5.0564,4.8266,5.0564,41200,0.1748,3.58
1997-06-12,4.999,5.0277,4.9703,4.999,19100,-0.0551,-1.09
1997-06-13,4.999,5.0564,4.999,4.999,79100,0.0,0.0
1997-06-16,4.9703,5.0277,4.9703,4.9703,8300,-0.0275,-0.55
1997-06-17,5.0277,5.1139,4.999,5.0564,66200,0.0826,1.66
1997-06-18,5.0564,5.0564,4.999,5.0277,3300,-0.0278,-0.55
1997-06-19,4.9703,5.0277,4.9703,4.9703,18100,-0.0553,-1.1
1997-06-20,4.999,4.999,4.9415,4.9415,156900,-0.0273,-0.55
1997-06-23,4.9415,4.9703,4.9415,4.9415,10700,0.0,0.0
1997-06-24,4.9128,4.9703,4.9128,4.9415,19900,0.0,0.0
1997-06-25,4.9128,4.9703,4.8841,4.9128,18500,-0.0366,-0.74
1997-06-26,4.8841,4.9415,4.8266,4.9415,14900,0.0368,0.75
1997-06-27,4.9415,5.0564,4.9415,5.0564,123900,0.1103,2.23
1997-06-30,5.1139,5.1139,5.0852,5.0852,26000,0.0278,0.55
1997-07-01,5.0994,5.1426,5.0277,5.0852,37900,0.0,0.0
1997-07-02,5.0852,5.2001,5.0564,5.2001,35400,0.1194,2.35
1997-07-03,5.2576,5.3437,5.2576,5.3293,14200,0.1285,2.47
1997-07-07,5.358,5.4299,5.2576,5.2576,28800,-0.0736,-1.38
1997-07-08,5.2576,5.3725,5.2576,5.3437,20700,0.0826,1.57
1997-07-09,5.2863,5.2863,5.2288,5.2863,8600,-0.055,-1.03
1997-07-10,5.2576,5.2863,5.2288,5.2576,37300,-0.0275,-0.52
1997-07-11,5.2863,5.3437,5.2863,5.3437,12300,0.0826,1.57
1997-07-14,5.3293,5.3437,5.2863,5.2863,10400,-0.055,-1.03
1997-07-15,5.315,5.315,5.2001,5.2431,21000,-0.046,-0.87
1997-07-16,5.2288,5.358,5.2288,5.2718,25000,0.0366,0.7
1997-07-17,5.315,5.358,5.2863,5.2863,31300,0.009,0.17
1997-07-18,5.2576,5.2863,5.1714,5.2143,11600,-0.0735,-1.39
1997-07-21,5.2431,5.2718,5.2001,5.2001,8900,-0.0094,-0.18
1997-07-22,5.2143,5.2288,5.2001,5.2001,5300,,
1997-07-23,5.2001,5.2718,5.0994,5.0994,8300,-0.1009,-1.94
1997-07-24,5.1569,5.2143,5.1569,5.2001,8200,0.101,1.98
1997-07-25,5.2288,5.2718,5.2143,5.2718,31600,0.0733,1.41
1997-07-28,5.2718,5.2863,5.2288,5.2863,22600,0.009,0.17
1997-07-29,5.2718,5.3005,5.2576,5.2863,41700,0.0,0.0
1997-07-30,5.2863,5.3005,5.2576,5.2576,37500,-0.0275,-0.52
1997-07-31,5.2576,5.2863,5.2576,5.2863,50800,0.0273,0.52
1997-08-01,5.2431,5.2718,5.2288,5.2718,7000,-0.009,-0.17
1997-08-04,5.2718,5.2863,5.2576,5.2863,51700,0.009,0.17
1997-08-05,5.2863,5.2863,5.2718,5.2718,79200,-0.009,-0.17
1997-08-06,5.2863,5.2863,5.0852,5.1714,167200,-0.1012,-1.92
1997-08-07,5.1714,5.1856,5.1714,5.1714,34900,0.0,0.0
1997-08-08,5.1139,5.1139,5.0564,5.0564,30700,-0.1196,-2.31
1997-08-11,5.0564,5.0564,5.0564,5.0564,4200,0.0,0.0
1997-08-12,4.9703,4.9703,4.8121,4.8121,110300,-0.2389,-4.73
1997-08-13,4.8409,4.8553,4.8266,4.8553,2300,0.0366,0.76
1997-08-14,4.8409,4.9271,4.8409,4.9271,124400,0.0738,1.52
1997-08-15,4.8983,4.9703,4.8983,4.9128,10400,-0.0182,-0.37
1997-08-18,4.9415,4.9415,4.9128,4.9128,35100,0.0,0.0
1997-08-19,4.9128,4.9128,4.8266,4.8553,83800,-0.055,-1.12
1997-08-20,4.8553,4.8696,4.7979,4.7979,91400,-0.0553,-1.14
1997-08-21,4.7979,4.8841,4.7979,4.8841,6100,0.0826,1.72
1997-08-22,4.8266,4.8841,4.7979,4.8409,9400,-0.0366,-0.75
1997-08-25,4.8696,4.9271,4.8696,4.9271,11000,0.0828,1.71
1997-08-26,4.9271,4.9415,4.8841,4.9128,85800,-0.0182,-0.37
1997-08-27,4.8841,4.9271,4.8553,4.8841,141500,-0.0275,-0.56
1997-08-28,4.8983,4.8983,4.8266,4.8696,90400,-0.0093,-0.19
1997-08-29,4.8553,4.8841,4.8266,4.8553,28200,-0.0185,-0.38
1997-09-02,4.8696,4.9271,4.8696,4.9128,27700,0.0554,1.14
1997-09-03,4.9128,4.9271,4.9128,4.9271,19100,0.0182,0.37
1997-09-04,4.7979,4.7979,4.7117,4.7404,51300,-0.1837,-3.73
1997-09-05,4.6542,4.6542,4.568,4.6542,37100,-0.0921,-1.94
1997-09-08,4.6255,4.6685,4.5968,4.6542,37400,0.0,0.0
1997-09-09,4.683,4.7692,4.683,4.7692,34600,,
1997-09-10,4.7692,4.8841,4.7404,4.8841,50300,0.2299,4.94
1997-09-11,4.8696,4.9128,4.8696,4.8696,16300,-0.0093,-0.19
1997-09-12,4.8983,4.9415,4.7979,4.7979,61400,-0.0736,-1.51
1997-09-15,4.8121,4.8121,4.7692,4.7979,12300,0.0,0.0
1997-09-16,4.7692,4.7692,4.7117,4.7404,10200,-0.0551,-1.15
1997-09-17,4.683,4.7979,4.683,4.7692,25300,0.0275,0.58
1997-09-18,4.7692,4.7692,4.683,4.683,11400,-0.0922,-1.93
1997-09-19,4.6542,4.683,4.6398,4.6542,15900,-0.0276,-0.59
1997-09-22,4.6542,4.7692,4.6542,4.7692,73400,0.1195,2.57
1997-09-23,4.7979,4.7979,4.7692,4.7692,48500,0.0,0.0
1997-09-24,4.7404,4.7979,4.7404,4.7404,3700,-0.0277,-0.58
1997-09-25,4.7692,4.8266,4.7692,4.8266,6500,0.0825,1.74
1997-09-26,4.7834,4.7834,4.7547,4.7547,11900,-0.0734,-1.52
1997-09-29,4.7547,4.8121,4.7547,4.7979,25500,0.0461,0.97
1997-09-30,4.7979,4.8121,4.7547,4.7692,16300,-0.0273,-0.57
1997-10-01,4.7404,4.7404,4.5823,4.6542,13400,-0.1193,-2.5
1997-10-02,4.6542,4.6685,4.5823,4.5823,13900,-0.0641,-1.38
1997-10-03,4.5536,4.5536,4.252,4.5106,575400,-0.0733,-1.6
1997-10-06,4.5106,4.5968,4.4674,4.5968,74100,0.0826,1.83
1997-10-07,4.611,4.8841,4.611,4.7834,108600,0.184,4.0
1997-10-08,4.7692,4.9128,4.7404,4.8266,54200,0.0459,0.96
1997-10-09,4.7834,4.8409,4.7547,4.8409,12000,0.0183,0.38
1997-10-10,4.8409,4.8409,4.8266,4.8266,22600,-0.0184,-0.38
1997-10-13,4.8553,4.9703,4.8553,4.9415,8300,0.1196,2.48
1997-10-14,4.9128,4.999,4.9128,4.999,39000,0.0554,1.12
1997-10-15,5.0564,5.1139,5.0564,5.0994,52000,0.101,2.02
1997-10-16,5.1139,5.2863,5.1139,5.1426,33400,0.0459,0.9
1997-10-17,5.1426,5.1569,5.0852,5.0852,24300,-0.0644,-1.25
1997-10-20,5.0852,5.1856,5.0852,5.1426,6900,0.0645,1.27
1997-10-21,5.1426,5.1856,5.1282,5.1569,17200,0.0093,0.18
