日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2006-08-04,7.21,7.25,6.99,7.06,91100,-0.15,-2.08
2006-08-07,7.02,7.24,6.99,7.22,173000,0.16,2.27
2006-08-08,7.26,7.32,7.04,7.05,437800,-0.17,-2.35
2006-08-09,7.13,7.24,7.06,7.07,283500,0.02,0.28
2006-08-10,7.02,7.07,6.98,7.04,301800,-0.03,-0.42
2006-08-11,7.04,7.08,6.99,6.99,79000,-0.05,-0.71
2006-08-14,7.03,7.28,7.02,7.19,369700,0.2,2.86
2006-08-15,7.24,7.27,7.09,7.19,109900,0.0,0.0
2006-08-16,7.21,7.28,7.16,7.24,100300,0.05,0.7
2006-08-17,7.25,7.29,7.06,7.16,185100,-0.08,-1.1
2006-08-18,7.17,7.28,7.09,7.26,115100,0.1,1.4
2006-08-21,7.23,7.24,7.09,7.19,235000,-0.07,-0.96
2006-08-22,7.15,7.5,7.15,7.45,275500,0.26,3.62
2006-08-23,7.48,7.49,7.25,7.28,323900,-0.17,-2.28
2006-08-24,7.28,7.36,7.18,7.23,131800,-0.05,-0.69
2006-08-25,7.19,7.3,7.13,7.17,91300,-0.06,-0.83
2006-08-28,7.15,7.54,7.15,7.54,298000,0.37,5.16
2006-08-29,7.54,7.54,7.33,7.38,320400,-0.16,-2.12
2006-08-30,7.41,7.54,7.36,7.48,179900,0.1,1.36
2006-08-31,7.44,7.81,7.44,7.8,599000,0.32,4.28
2006-09-01,7.8,7.86,7.75,7.76,215800,-0.04,-0.51
2006-09-05,7.79,7.88,7.77,7.87,93600,0.11,1.42
2006-09-06,7.83,7.83,7.67,7.7,204300,-0.17,-2.16
2006-09-07,7.7,7.75,7.63,7.67,291800,-0.03,-0.39
2006-09-08,7.69,7.71,7.62,7.65,270300,-0.02,-0.26
2006-09-11,7.61,7.81,7.59,7.81,183000,0.16,2.09
2006-09-12,7.81,7.81,7.55,7.74,282900,-0.07,-0.9
2006-09-13,7.72,7.91,7.69,7.91,480700,0.17,2.2
2006-09-14,7.92,7.92,7.63,7.68,205000,-0.23,-2.91
2006-09-15,7.74,7.8,7.72,7.78,856600,0.1,1.3
2006-09-18,7.74,7.85,7.69,7.81,412400,0.03,0.39
2006-09-19,7.85,7.85,7.5,7.7,360900,-0.11,-1.41
2006-09-20,7.71,7.82,7.66,7.81,227400,0.11,1.43
2006-09-21,7.75,7.83,7.61,7.66,125100,-0.15,-1.92
2006-09-22,7.63,7.7,7.29,7.38,302200,-0.28,-3.66
2006-09-25,7.34,7.5,7.28,7.46,273200,0.08,1.08
2006-09-26,7.47,7.51,7.36,7.46,300100,0.0,0.0
2006-09-27,7.42,7.51,7.4,7.51,154700,0.05,0.67
2006-09-28,7.54,7.54,7.45,7.51,120300,0.0,0.0
2006-09-29,7.53,7.53,7.3,7.3,213000,-0.21,-2.8
2006-10-02,7.27,7.33,7.18,7.3,267700,0.0,0.0
2006-10-03,7.25,7.26,7.14,7.16,130600,-0.14,-1.92
2006-10-04,7.16,7.32,6.9,7.29,481800,0.13,1.82
2006-10-05,7.27,7.54,7.27,7.53,195800,0.24,3.29
2006-10-06,7.5,7.54,7.3,7.4,161300,-0.13,-1.73
2006-10-09,7.37,7.5,7.3,7.49,103600,0.09,1.22
2006-10-10,7.5,7.5,7.38,7.46,86400,-0.03,-0.4
2006-10-11,7.4,7.44,7.14,7.23,425400,-0.23,-3.08
2006-10-12,7.23,7.49,7.23,7.49,528600,0.26,3.6
2006-10-13,7.5,7.69,7.49,7.67,204900,0.18,2.4
2006-10-16,7.65,7.73,7.62,7.67,145200,0.0,0.0
2006-10-17,7.61,7.66,7.55,7.56,100200,-0.11,-1.43
2006-10-18,7.62,7.71,7.6,7.62,541900,0.06,0.79
2006-10-19,7.58,7.74,7.57,7.69,140400,0.07,0.92
2006-10-20,7.73,7.73,7.52,7.56,246200,-0.13,-1.69
2006-10-23,7.51,7.72,7.46,7.69,177600,0.13,1.72
2006-10-24,7.68,7.69,7.32,7.59,225000,-0.1,-1.3
2006-10-25,7.54,7.54,7.12,7.2,593000,-0.39,-5.14
2006-10-26,7.2,7.28,7.1,7.26,238400,0.06,0.83
2006-10-27,7.26,7.26,7.1,7.12,207500,-0.14,-1.93
2006-10-30,7.03,7.18,6.92,7.16,268600,0.04,0.56
2006-10-31,7.16,7.16,6.98,7.04,254700,-0.12,-1.68
2006-11-01,7.05,7.11,6.84,6.84,337100,-0.2,-2.84
2006-11-02,6.79,6.99,6.79,6.84,327600,0.0,0.0
2006-11-03,6.86,6.99,6.84,6.9,229200,0.06,0.88
2006-11-06,6.9,7.06,6.819,7.03,317200,0.13,1.88
2006-11-07,7.03,7.11,6.94,6.95,190100,-0.08,-1.14
2006-11-08,6.9,7.08,6.9,6.98,175100,0.03,0.43
2006-11-09,6.97,6.979,6.8,6.85,950800,0.0,0.0
2006-11-10,6.8,6.93,6.8,6.85,389100,-0.13,-1.86
2006-11-13,6.82,6.85,6.75,6.81,413300,-0.04,-0.58
2006-11-14,6.8,7.19,6.78,7.19,389700,0.38,5.58
2006-11-15,7.18,7.25,7.16,7.24,211700,0.05,0.7
2006-11-16,7.25,7.27,7.16,7.19,182900,-0.05,-0.69
2006-11-17,7.18,7.21,7.08,7.1,144600,-0.09,-1.25
2006-11-20,7.06,7.12,6.98,7.01,365800,-0.09,-1.27
2006-11-21,7.0,7.05,6.98,7.0,163600,-0.01,-0.14
2006-11-22,7.0,7.05,6.99,7.01,71200,0.01,0.14
2006-11-24,6.99,7.06,6.98,6.98,122200,-0.03,-0.43
2006-11-27,6.97,6.98,6.84,6.86,267300,-0.12,-1.72
2006-11-28,6.83,6.91,6.78,6.87,435100,0.01,0.15
2006-11-29,6.91,7.04,6.91,6.97,214800,0.1,1.46
2006-11-30,6.94,7.02,6.94,7.0,393400,0.03,0.43
2006-12-01,6.96,7.03,6.72,6.75,330900,-0.25,-3.57
2006-12-04,6.78,7.06,6.78,7.03,238300,0.28,4.15
2006-12-05,7.04,7.11,6.99,6.99,379400,-0.04,-0.57
2006-12-06,6.94,7.04,6.94,6.98,129700,-0.01,-0.14
2006-12-07,6.98,7.03,6.5,6.97,83400,-0.01,-0.14
2006-12-08,6.95,7.06,6.91,6.99,357500,0.02,0.29
2006-12-11,6.99,7.04,6.99,7.01,201500,0.02,0.29
2006-12-12,7.01,7.05,6.95,6.96,411300,-0.05,-0.71
2006-12-13,6.99,7.04,6.98,6.99,149800,0.03,0.43
2006-12-14,7.0,7.05,6.99,7.0,216400,0.01,0.14
2006-12-15,7.0,7.05,6.99,7.02,265900,0.02,0.29
2006-12-18,7.01,7.05,6.85,6.87,130500,-0.15,-2.14
2006-12-19,6.86,7.02,6.83,7.0,176900,0.13,1.89
2006-12-20,7.0,7.05,6.99,7.0,114200,0.0,0.0
2006-12-21,7.0,7.03,6.96,6.99,129600,-0.01,-0.14
2006-12-22,6.99,7.02,6.94,6.99,126700,0.0,0.0
2006-12-26,6.95,7.11,6.94,7.1,136000,0.11,1.57
2006-12-27,7.15,7.15,7.1,7.14,86300,0.04,0.56
2006-12-28,7.12,7.17,7.0,7.08,127000,-0.06,-0.84
2006-12-29,7.06,7.12,6.97,6.97,163800,-0.11,-1.55
2007-01-03,6.97,7.02,6.71,6.89,320600,-0.08,-1.15
2007-01-04,6.89,6.94,6.83,6.89,270700,0.0,0.0
2007-01-05,6.85,6.93,6.8,6.8,233900,-0.09,-1.31
2007-01-08,6.8,6.91,6.67,6.87,254300,0.07,1.03
2007-01-09,6.86,6.86,6.69,6.8,182800,-0.07,-1.02
2007-01-10,6.72,6.76,6.67,6.73,164300,-0.07,-1.03
2007-01-11,6.71,6.83,6.7,6.81,182700,0.08,1.19
2007-01-12,6.8,7.09,6.78,7.06,284500,0.25,3.67
2007-01-16,7.08,7.08,6.89,6.91,177300,-0.15,-2.12
2007-01-17,6.88,6.94,6.83,6.83,277100,-0.08,-1.16
2007-01-18,6.81,6.9,6.77,6.77,166000,-0.06,-0.88
2007-01-19,6.77,6.92,6.76,6.88,152200,0.11,1.62
2007-01-22,6.88,6.97,6.84,6.9,164600,0.02,0.29
2007-01-23,6.9,6.99,6.89,6.92,131700,0.02,0.29
2007-01-24,6.92,6.98,6.86,6.89,111300,-0.03,-0.43
2007-01-25,6.9,6.9,6.737,6.75,150000,0.01,0.15
2007-01-26,6.75,6.79,6.69,6.79,116100,-0.11,-1.59
2007-01-29,6.31,6.81,6.31,6.65,253000,-0.14,-2.06
2007-01-30,6.65,6.73,6.61,6.71,232700,0.06,0.9
2007-01-31,6.68,6.77,6.63,6.7,281200,-0.01,-0.15
