日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2010-10-01,27.0,30.698,26.31,27.15,7039211,0.0,0.0
2010-10-04,27.01,27.55,26.0,27.35,1269921,0.2,0.74
2010-10-05,28.25,28.6,27.23,27.36,963996,0.01,0.04
2010-10-06,28.0,28.0,25.56,26.15,510186,-1.21,-4.42
2010-10-07,25.68,25.74,23.55,24.12,684132,-2.03,-7.76
2010-10-08,23.11,24.15,22.27,23.53,979065,-0.59,-2.45
2010-10-11,23.93,24.24,22.71,23.95,117072,0.42,1.78
2010-10-12,24.23,24.94,23.5,24.63,171518,0.68,2.84
2010-10-13,25.47,27.0,25.11,26.98,561860,2.35,9.54
2010-10-14,27.03,27.58,26.27,27.165,319187,0.19,0.7
2010-10-15,27.63,28.19,26.535,27.83,376233,0.66,2.43
2010-10-18,28.08,28.08,26.94,27.52,137842,-0.31,-1.11
2010-10-19,26.83,27.328,25.58,26.04,185571,-1.48,-5.38
2010-10-20,26.05,26.36,24.5,24.91,143060,-1.13,-4.34
2010-10-21,24.99,25.189,23.15,23.51,157263,-1.4,-5.62
2010-10-22,23.69,23.9,22.55,23.55,262978,0.04,0.17
2010-10-25,24.0,25.25,24.0,25.02,239671,1.47,6.24
2010-10-26,25.2,26.37,24.3,25.835,240215,0.82,3.28
2010-10-27,25.97,26.3,24.54,24.78,202379,-1.06,-4.1
2010-10-28,25.22,25.8,23.65,24.93,107741,0.15,0.61
2010-10-29,24.44,24.97,24.01,24.123,119037,-0.81,-3.25
2010-11-01,23.99,24.98,23.2,23.71,269468,-0.41,-1.7
2010-11-02,24.22,24.25,22.58,23.26,274869,-0.45,-1.9
2010-11-03,23.5,24.19,23.13,23.8,157257,0.54,2.32
2010-11-04,24.0,24.43,23.38,24.43,168511,0.63,2.65
2010-11-05,23.55,26.41,23.25,25.89,549942,1.46,5.98
2010-11-08,26.16,28.25,25.535,27.65,386343,1.76,6.8
2010-11-09,27.97,29.51,27.25,29.3,403401,1.65,5.97
2010-11-10,29.58,30.13,27.86,29.69,298722,0.39,1.33
2010-11-11,30.35,33.3,28.61,32.8,353904,3.11,10.47
2010-11-12,31.95,35.0,29.8,30.17,323015,-2.63,-8.02
2010-11-15,29.99,30.99,27.81,28.1,105725,-2.07,-6.86
2010-11-16,27.48,27.5,25.3,25.98,323537,-2.12,-7.54
2010-11-17,26.0,27.7,25.95,26.95,383490,0.97,3.73
2010-11-18,27.78,28.845,26.725,28.56,114380,1.61,5.97
2010-11-19,29.08,32.05,27.02,30.88,160402,2.32,8.12
2010-11-22,30.65,32.0,29.62,31.34,112601,0.46,1.49
2010-11-23,29.75,30.989,29.5,30.21,98037,-1.13,-3.61
2010-11-24,30.5,32.48,29.26,30.58,114894,0.37,1.22
2010-11-26,31.0,31.0,30.25,30.54,18071,-0.04,-0.13
