日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1997-01-03,242.5996,242.5996,229.3065,235.9531,7900,,
1997-01-06,239.2763,239.2763,239.2763,239.2763,10800,,
1997-01-07,225.9832,242.5996,225.9832,230.1307,9100,,
1997-01-08,235.9531,235.9531,225.9832,225.9832,3700,,
1997-01-09,235.9531,239.2763,225.9832,225.9832,9000,,
1997-01-10,239.2763,239.2763,239.2763,239.2763,1200,,
1997-01-13,239.2763,239.2763,239.2763,239.2763,2000,,
1997-01-14,229.3065,239.2763,229.3065,237.6014,11200,,
1997-01-15,232.6298,237.6014,229.3065,234.2781,7400,,
1997-01-16,225.9832,235.9531,225.9832,225.9832,10500,,
1997-01-17,225.9832,225.9832,225.9832,225.9832,4600,,
1997-01-20,239.2763,239.2763,225.9832,237.6014,5300,,
1997-01-21,242.5996,242.5996,225.9832,225.9832,19500,,
1997-01-22,235.9531,235.9531,212.6901,232.6298,144200,,
1997-01-23,229.3065,245.9229,225.9832,232.6298,21600,,
1997-01-24,229.3065,242.5996,225.9832,225.9832,4600,,
1997-01-27,239.2763,239.2763,239.2763,239.2763,100,,
1997-01-28,239.2763,239.2763,229.3065,239.2763,15600,,
1997-01-29,225.9832,239.2763,225.9832,227.6316,7700,,
1997-01-30,225.9832,225.9832,225.9832,225.9832,900,,
1997-02-03,239.2763,252.5695,232.6298,239.2763,37800,,
1997-02-04,252.5695,252.5695,239.2763,245.9229,24000,,
1997-02-05,239.2763,252.5695,239.2763,252.5695,3200,,
1997-02-06,252.5695,252.5695,239.2763,239.2763,7700,,
1997-02-07,239.2763,252.5695,239.2763,242.5996,12000,,
1997-02-10,252.5695,252.5695,252.5695,252.5695,1000,,
1997-02-11,252.5695,252.5695,239.2763,252.5695,2700,,
1997-02-12,252.5695,252.5695,239.2763,239.2763,1000,,
1997-02-13,242.5996,259.216,242.5996,259.216,7500,,
1997-02-14,245.9229,259.216,245.9229,259.216,6200,,
1997-02-18,259.216,259.216,259.216,259.216,300,,
1997-02-19,259.216,259.216,245.9229,259.216,6000,,
1997-02-20,259.216,259.216,245.9229,245.9229,800,,
1997-02-21,252.5695,259.216,252.5695,259.216,5000,,
1997-02-24,245.9229,259.216,245.9229,252.5695,3700,,
1997-02-25,245.9229,259.216,245.9229,259.216,16800,,
1997-02-26,259.216,272.5092,252.5695,272.5092,10700,,
1997-02-27,272.5092,272.5092,265.8626,272.5092,2800,,
1997-03-05,272.5092,272.5092,255.8928,272.5092,9000,,
1997-03-06,255.8928,255.8928,255.8928,255.8928,600,,
1997-03-10,272.5092,272.5092,259.216,259.216,4300,,
1997-03-11,272.5092,272.5092,259.216,265.8626,5200,,
1997-03-12,272.5092,272.5092,259.216,259.216,3200,,
1997-03-13,272.5092,272.5092,259.216,272.5092,600,,
1997-03-14,259.216,272.5092,259.216,272.5092,1700,,
1997-03-17,272.5092,272.5092,259.216,264.1877,2700,,
1997-03-18,275.8324,275.8324,259.216,259.216,4500,,
1997-03-20,259.216,279.1557,259.216,279.1557,1500,,
1997-03-21,270.8342,270.8342,270.8342,270.8342,1500,,
1997-03-24,272.5092,272.5092,255.8928,270.8342,14800,,
1997-03-25,265.8626,270.8342,255.8928,265.8626,9800,,
1997-03-26,255.8928,272.5092,255.8928,272.5092,4300,,
1997-03-27,255.8928,272.5092,255.8928,259.216,15200,,
1997-03-31,269.1859,269.1859,269.1859,269.1859,100,,
1997-04-01,252.5695,259.216,252.5695,259.216,4000,,
1997-04-02,272.5092,272.5092,272.5092,272.5092,100,,
1997-04-03,240.9247,252.5695,239.2763,252.5695,21500,,
1997-04-04,252.5695,252.5695,252.5695,252.5695,300,,
1997-04-07,239.2763,239.2763,239.2763,239.2763,500,,
