日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2007-02-06,14.5,15.4,14.5,15.05,2874034,0.0,0.0
2007-02-07,15.03,15.14,14.88,15.05,1256787,0.0,0.0
2007-02-08,11.9,14.82,11.88,13.37,4381177,-1.68,-11.16
2007-02-09,13.34,13.45,12.76,12.85,1263688,-0.52,-3.89
2007-02-12,12.89,13.13,12.45,12.7,928246,-0.15,-1.17
2007-02-13,12.75,12.87,12.38,12.5,1673937,-0.2,-1.57
2007-02-14,12.46,12.71,12.21,12.32,1570304,-0.18,-1.44
2007-02-15,12.35,12.97,12.34,12.82,1297104,0.5,4.06
2007-02-16,12.83,13.15,12.82,13.01,899785,0.19,1.48
2007-02-20,12.92,13.64,12.9,13.64,276711,0.63,4.84
2007-02-21,13.65,14.0,13.58,13.8,875849,0.16,1.17
2007-02-22,13.88,14.14,13.73,14.06,597581,0.26,1.88
2007-02-23,14.09,14.41,13.86,14.2,544442,0.14,1.0
2007-02-26,14.16,14.44,13.99,14.1,274766,-0.1,-0.7
2007-02-27,14.03,14.13,13.77,13.91,676246,-0.19,-1.35
2007-02-28,13.69,14.2,13.67,14.02,661769,0.29,2.08
2007-03-01,13.68,14.31,13.68,14.22,457396,0.02,0.14
2007-03-02,14.18,14.38,13.64,14.13,353859,-0.09,-0.63
2007-03-05,13.92,14.25,13.6,13.64,469662,0.12,0.85
2007-03-06,13.71,13.95,13.58,13.75,234455,-0.5,-3.51
2007-03-07,13.71,13.99,13.3,13.39,395920,0.24,1.75
2007-03-08,13.47,14.29,13.18,13.3,283377,0.3,2.14
2007-03-09,13.43,13.77,13.25,13.34,314110,-0.95,-6.65
2007-03-12,13.38,13.9,13.13,13.16,132655,-0.18,-1.35
2007-03-13,13.07,13.6,12.98,13.05,453825,-0.11,-0.84
2007-03-14,12.82,13.47,12.82,13.42,356495,0.37,2.84
2007-03-15,13.44,13.77,13.43,13.74,178767,0.32,2.38
2007-03-16,13.73,14.21,13.73,13.95,669814,0.21,1.53
2007-03-19,14.11,14.43,14.09,14.32,456320,0.37,2.65
2007-03-20,14.26,14.46,14.13,14.43,174882,0.11,0.77
2007-03-21,14.42,14.75,14.32,14.69,226974,0.26,1.8
2007-03-22,14.75,14.86,14.55,14.75,190079,0.06,0.41
2007-03-23,14.71,15.23,14.71,15.17,188563,0.42,2.85
2007-03-26,15.08,15.35,14.81,14.95,161325,-0.22,-1.45
2007-03-27,14.84,14.9,14.47,14.7,262503,-0.25,-1.67
2007-03-28,14.57,14.94,14.49,14.69,95747,-0.01,-0.07
2007-03-29,14.85,14.87,14.3,14.66,177669,-0.03,-0.2
2007-03-30,14.7,14.81,14.47,14.7,198254,0.04,0.27
2007-04-02,14.82,14.82,14.33,14.7,242531,0.0,0.0
2007-04-03,14.79,15.01,14.46,14.89,179800,0.19,1.29
2007-04-04,14.83,15.09,14.71,14.9,248010,0.01,0.07
2007-04-05,14.93,14.93,14.65,14.76,103826,-0.14,-0.94
2007-04-09,14.72,15.1,14.68,14.98,209961,0.22,1.49
2007-04-10,14.9,15.17,14.79,15.13,69008,0.15,1.0
2007-04-11,15.17,15.17,14.848,14.95,121082,-0.18,-1.19
2007-04-12,14.86,14.96,14.65,14.92,142464,-0.03,-0.2
2007-04-13,14.88,14.95,14.78,14.95,89758,0.03,0.2
2007-04-16,15.0,15.058,14.81,14.9,88138,-0.05,-0.33
2007-04-17,14.88,15.03,14.73,14.95,210642,0.13,0.87
2007-04-18,14.9,15.002,14.76,14.77,118508,-0.26,-1.73
2007-04-19,14.46,14.83,14.45,14.52,187220,-0.25,-1.69
2007-04-20,14.82,14.82,14.528,14.67,154783,0.15,1.03
2007-04-23,14.57,14.8,14.462,14.73,131598,0.06,0.41
2007-04-24,14.75,15.08,14.696,14.79,199948,0.06,0.41
2007-04-25,14.85,14.895,14.5,14.6,240156,-0.19,-1.28
2007-04-26,14.4,14.87,14.4,14.79,157135,0.27,1.85
2007-04-27,14.6,14.78,14.4,14.44,162044,-0.43,-2.89
2007-04-30,14.97,14.97,14.25,14.32,227335,-0.12,-0.83
2007-05-01,14.32,14.75,14.24,14.74,199569,0.42,2.93
2007-05-02,14.72,15.05,14.49,14.82,176857,0.31,2.1
2007-05-03,14.85,15.01,14.43,14.56,360283,-0.49,-3.26
2007-05-04,14.65,14.95,14.416,14.72,185106,0.16,1.1
2007-05-07,14.75,15.37,14.67,14.78,235600,0.65,4.42
2007-05-08,14.61,14.78,13.9,14.07,663447,-1.3,-8.46
2007-05-09,13.92,14.5,13.92,13.98,389694,-0.09,-0.64
2007-05-10,13.86,14.01,13.43,13.46,462233,-0.52,-3.72
2007-05-11,13.83,13.83,13.49,13.74,162816,0.28,2.08
2007-05-14,13.68,14.09,13.56,13.81,259472,0.07,0.51
2007-05-15,13.43,13.88,13.43,13.75,323951,-0.06,-0.43
2007-05-16,13.82,14.0,13.63,13.76,245802,0.01,0.07
2007-05-17,13.7,13.78,12.964,13.33,365377,-0.43,-3.12
2007-05-18,13.31,13.4,13.095,13.2,393375,0.07,0.53
2007-05-21,13.08,13.65,13.0,13.52,266536,0.12,0.9
2007-05-22,13.31,13.9,13.31,13.88,212816,0.36,2.66
2007-05-23,13.95,14.16,13.5,13.8,269699,-0.08,-0.58
2007-05-24,13.72,13.96,13.16,13.28,216495,0.16,1.16
2007-05-25,13.31,13.63,13.14,13.29,200731,-0.67,-4.8
2007-05-29,13.37,13.69,13.3,13.43,189986,0.14,1.05
2007-05-30,13.09,13.54,13.09,13.21,259906,-0.22,-1.64
2007-05-31,13.29,13.54,13.16,13.32,293060,0.33,2.5
2007-06-01,13.42,13.48,12.96,13.01,617813,-0.53,-3.91
2007-06-04,12.94,13.1,12.45,12.57,630406,-0.44,-3.38
2007-06-05,12.47,13.06,12.4,12.58,451540,0.01,0.08
2007-06-06,12.36,12.47,11.8,12.47,802735,-0.11,-0.87
2007-06-07,12.35,12.35,12.04,12.27,589870,-0.2,-1.6
2007-06-08,12.2,12.26,12.05,12.22,545191,-0.05,-0.41
2007-06-11,12.15,12.41,11.94,12.35,729008,0.13,1.06
2007-06-12,12.24,12.56,11.99,12.43,628645,0.08,0.65
2007-06-13,12.35,12.56,12.33,12.52,368753,0.13,1.05
2007-06-14,12.52,12.77,12.43,12.72,234714,0.16,1.27
2007-06-15,13.02,13.02,12.6,12.65,523121,-0.07,-0.55
2007-06-18,12.57,12.77,12.35,12.7,435856,0.05,0.4
2007-06-19,12.62,12.75,12.35,12.65,458788,-0.05,-0.39
2007-06-20,12.62,12.76,12.37,12.66,447933,0.01,0.08
2007-06-21,12.58,12.83,12.55,12.61,339655,-0.06,-0.47
2007-06-22,12.53,12.7,12.28,12.4,744935,-0.2,-1.59
2007-06-25,12.35,12.44,11.88,12.13,308600,-0.27,-2.18
2007-06-26,12.16,12.25,11.887,12.04,442461,0.12,0.99
2007-06-27,11.94,12.17,11.79,12.02,230913,-0.23,-1.88
2007-06-28,12.05,12.06,11.83,11.86,169322,0.04,0.33
2007-06-29,11.93,11.95,11.73,11.73,284617,-0.33,-2.74
2007-07-02,11.8,11.87,11.51,11.54,282208,-0.19,-1.62
2007-07-03,11.57,11.81,11.57,11.76,172617,0.22,1.91
2007-07-05,11.75,12.242,11.75,12.19,250476,0.43,3.66
2007-07-06,12.14,12.4,12.14,12.36,269685,0.17,1.39
2007-07-09,12.36,12.73,12.09,12.2,693754,-0.16,-1.29
2007-07-10,12.11,12.11,11.51,11.8,388241,-0.4,-3.28
2007-07-11,11.77,12.11,11.73,12.04,460316,0.31,2.63
2007-07-12,12.13,12.23,12.01,12.23,207305,0.12,0.99
2007-07-13,12.17,12.69,12.16,12.57,286511,0.34,2.78
2007-07-16,12.56,12.81,12.46,12.78,368016,0.21,1.67
2007-07-17,12.76,13.02,12.7,12.83,670311,0.05,0.39
2007-07-18,12.75,12.83,12.44,12.69,334150,-0.14,-1.09
2007-07-19,12.79,13.15,12.71,12.86,347874,0.17,1.34
2007-07-20,12.83,12.95,12.31,12.57,424655,0.09,0.7
2007-07-23,12.59,12.72,12.54,12.59,243690,-0.36,-2.78
2007-07-24,12.43,12.7,12.1,12.19,300329,-0.4,-3.18
2007-07-25,12.26,13.09,12.1,12.32,249475,0.13,1.07
2007-07-26,12.14,13.02,11.9,12.26,355055,0.7,5.68
2007-07-27,12.19,12.33,11.88,11.88,293185,-1.14,-8.76
2007-07-30,11.84,12.19,11.454,11.85,260697,-0.03,-0.25
2007-07-31,11.95,12.42,11.69,12.24,325627,0.39,3.29
2007-08-01,12.16,12.54,11.94,12.36,338103,0.3,2.45
2007-08-02,12.41,12.93,11.5,12.71,325890,0.15,1.2
2007-08-03,12.73,13.27,11.89,12.14,343931,0.58,4.57
2007-08-06,12.17,12.75,12.1,12.63,340441,-0.64,-4.82
2007-08-07,12.52,13.28,12.52,13.02,235304,0.39,3.09
2007-08-08,13.18,14.04,12.8,13.85,748741,0.83,6.37
2007-08-09,13.01,13.54,12.08,13.0,1142775,-0.85,-6.14
