日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2009-03-09,37.8151,38.961,35.5233,37.8151,3907,0.5735,1.54
2009-03-10,37.3568,37.8151,37.3568,37.8151,2043,0.0,0.0
2009-03-11,37.5859,37.8151,37.3568,37.3568,5062,-0.4576,-1.21
2009-03-12,37.3568,37.8151,36.6692,37.8151,14696,0.4595,1.23
2009-03-13,38.8464,38.961,37.8151,37.8151,6114,0.0,0.0
2009-03-16,38.8464,38.961,37.9297,38.8464,7453,1.0323,2.73
2009-03-17,38.961,38.961,37.9297,38.961,19370,0.1127,0.29
2009-03-18,37.8151,38.961,37.8151,38.8464,5700,-0.113,-0.29
2009-03-19,38.961,39.534,37.7005,38.9496,13466,0.1126,0.29
2009-03-20,40.107,40.107,37.8151,38.7319,6563,-0.2299,-0.59
2009-03-23,40.107,40.107,37.2422,38.7319,11676,0.0,0.0
2009-03-24,38.1589,38.961,38.1589,38.961,5525,0.2285,0.59
2009-03-25,38.961,38.961,37.8151,38.835,15563,-0.1129,-0.29
2009-03-26,37.9297,44.6906,37.8151,38.8464,14600,0.0,0.0
2009-03-27,38.8464,38.8464,37.8151,38.4912,4450,-0.3417,-0.88
2009-03-30,38.0443,41.3675,37.9297,38.3881,2900,-0.1155,-0.3
2009-03-31,38.3881,38.5027,38.3766,38.3881,2950,0.0,0.0
2009-04-01,38.3881,38.3881,37.9297,38.1589,8334,-0.2303,-0.6
2009-04-02,37.8151,39.1902,37.5859,37.9297,53020,-0.229,-0.6
2009-04-03,38.7319,38.8464,37.9297,38.8464,17500,0.9179,2.42
2009-04-06,39.9924,45.6875,38.0443,40.6799,60600,1.8335,4.72
2009-04-07,43.4301,50.4202,40.4278,42.8571,80878,2.1764,5.35
2009-04-08,42.3988,45.1146,42.3988,43.7968,69270,0.9176,2.14
2009-04-09,48.1283,48.1283,44.1062,45.8365,657664,2.0618,4.71
2009-04-13,47.5554,48.8159,45.9511,48.8159,82056,2.9794,6.5
2009-04-14,48.2429,56.1497,48.2429,56.0351,168653,7.2198,14.79
2009-04-15,56.7227,57.2956,54.4309,56.1383,119794,0.1121,0.2
2009-04-16,56.1497,56.4935,54.5455,55.5768,65407,-0.5727,-1.02
2009-04-17,56.1497,56.1497,54.5455,54.5455,52456,-1.0338,-1.86
2009-04-20,55.9206,57.2956,49.2743,49.3888,84815,-5.1543,-9.45
2009-04-21,49.8472,49.8472,45.8365,49.618,106681,0.2272,0.46
2009-04-22,50.191,56.7227,49.8472,54.4309,57181,4.8129,9.7
2009-04-23,56.0351,56.1497,52.2536,53.8579,42810,-0.5715,-1.05
2009-04-24,49.1597,56.0351,49.1597,54.66,33380,0.8025,1.49
2009-04-27,53.285,56.1497,52.139,54.4309,78030,-0.2296,-0.42
2009-04-28,55.9206,55.9206,52.712,53.8579,60582,-0.5715,-1.05
2009-04-29,55.0038,56.1383,52.9412,53.8579,48514,0.0,0.0
2009-04-30,56.2643,57.8686,53.3995,56.7227,63597,2.8652,5.32
2009-05-01,58.2124,65.89,57.0665,62.4408,207119,5.728,10.1
2009-05-04,68.2964,71.0466,62.4523,68.7433,302577,6.3005,10.09
2009-05-05,71.3904,75.5157,65.89,68.7548,119964,0.0,0.0
2009-05-06,74.026,74.026,68.7548,71.3904,127068,2.6334,3.83
2009-05-07,73.6822,73.6822,62.5668,66.8067,130017,-4.5832,-6.42
2009-05-08,66.4629,73.3384,66.4629,73.3384,88382,6.5335,9.78
