日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2014-03-17,90.01,90.75,90.01,90.75,3882,0.0,0.0
2014-03-19,90.73,90.73,89.55,89.55,8624,-1.2,-1.32
2014-03-20,89.5,90.53,89.5,90.5,7980,0.95,1.06
2014-03-21,90.51,90.55,90.35,90.55,9101,0.05,0.06
2014-03-25,91.0,91.45,90.55,91.25,7501,0.7,0.77
2014-03-26,91.5,91.69,91.35,91.35,8053,0.1,0.11
2014-03-27,91.46,91.92,91.41,91.58,6015,0.23,0.25
2014-03-28,91.31,92.15,91.27,91.78,2902,0.2,0.22
2014-04-02,92.01,92.71,91.61,91.96,3798,0.18,0.2
2014-04-07,91.7,92.36,91.7,91.91,2322,-0.05,-0.05
2014-04-08,91.86,92.31,91.0,91.75,3194,-0.16,-0.17
2014-04-10,92.05,92.34,92.05,92.27,3541,0.52,0.57
2014-04-14,91.99,92.79,91.99,92.25,5614,-0.02,-0.02
2014-04-15,92.95,93.28,92.79,93.0,2308,0.75,0.81
2014-04-16,92.96,93.66,92.93,93.5,9642,0.5,0.54
2014-04-17,93.52,94.41,93.51,94.03,4265,0.53,0.57
2014-04-21,93.82,94.61,93.82,94.32,2796,0.29,0.31
2014-04-22,94.74,94.74,93.88,94.5,6446,0.18,0.19
2014-04-23,94.05,95.38,94.05,95.25,14335,0.75,0.79
2014-04-24,95.3,95.82,94.81,95.5,5295,0.25,0.26
2014-04-25,95.63,95.63,95.2,95.39,2705,-0.11,-0.12
2014-04-29,95.7,96.0,95.35,95.4,4542,0.01,0.01
2014-04-30,95.25,95.6,95.25,95.26,1321,-0.14,-0.15
2014-05-01,95.9,95.99,95.41,95.51,4996,0.25,0.26
2014-05-02,95.63,95.7,95.6,95.6,1735,0.09,0.09
2014-05-05,95.86,95.86,95.06,95.06,2756,-0.54,-0.56
2014-05-06,95.3,95.67,95.25,95.67,2862,0.61,0.64
2014-05-07,95.25,96.39,95.25,95.7,2035,0.03,0.03
2014-05-08,96.44,96.79,95.9,96.08,3097,0.38,0.4
2014-05-09,96.32,96.32,96.32,96.32,0,0.24,0.25
2014-05-12,96.75,97.0,96.27,96.55,3759,0.23,0.24
2014-05-13,96.76,96.99,96.23,96.272,3056,-0.28,-0.29
2014-05-14,96.2,96.4,95.6,95.78,2083,-0.49,-0.51
2014-05-15,95.5,95.68,95.5,95.68,2951,-0.1,-0.1
2014-05-16,95.0,95.79,94.85,94.85,16511,-0.83,-0.87
2014-05-19,94.3,95.0,94.3,94.98,24015,0.13,0.14
2014-05-20,94.86,95.47,94.85,94.86,3688,-0.12,-0.13
2014-05-21,94.86,95.49,94.86,95.0,1234,0.14,0.15
2014-05-22,95.25,95.36,94.75,94.9,28775,-0.1,-0.11
2014-05-23,94.9,95.19,94.66,94.7,1975,-0.2,-0.21
2014-05-27,95.16,95.78,95.0,95.67,1604,0.97,1.02
2014-05-28,95.34,95.98,95.25,95.9,2073,0.23,0.24
2014-05-29,95.15,96.23,95.1,96.23,16741,0.33,0.34
2014-05-30,95.81,96.42,95.3,96.42,5131,0.19,0.2
2014-06-02,95.65,96.55,95.5,95.5,10092,-0.92,-0.95
2014-06-03,95.56,95.89,95.51,95.6,18159,0.3,0.31
2014-06-04,96.16,96.16,95.6,95.8,3315,,
2014-06-05,95.32,96.39,95.32,96.2,3616,0.4,0.42
2014-06-06,95.91,96.76,95.83,95.9,1534,0.51,0.53
2014-06-09,95.58,96.7,95.58,96.67,3961,,
2014-06-10,95.76,96.49,95.75,95.75,4103,,
2014-06-11,95.32,96.111,95.32,96.111,1486,,
2014-06-12,96.98,97.23,96.49,96.71,4484,,
2014-06-13,97.1,97.1,96.28,97.098,1080,-0.02,-0.02
2014-06-16,97.08,97.23,96.7,97.02,926,0.15,0.16
2014-06-17,97.2,97.2,96.37,96.81,1423,-0.03,-0.03
2014-06-18,96.79,97.18,96.5,97.0,1947,0.19,0.2
2014-06-19,96.9,97.02,96.9,97.0,2053,0.0,0.0
2014-06-20,96.45,98.0,96.45,96.82,9783,-0.18,-0.19
2014-06-23,97.5,97.75,97.5,97.75,4062,0.93,0.96
2014-06-24,97.85,97.85,97.7,97.73,11096,-0.01,-0.01
2014-06-25,97.37,98.48,97.37,97.78,3630,,
2014-06-26,97.6,97.6,97.34,97.34,2381,,
2014-06-27,97.66,98.1,97.45,97.74,1196,,
2014-06-30,97.0,97.5,96.85,97.5,1462,-0.24,-0.25
2014-07-01,95.55,96.86,95.34,96.76,10416,-0.74,-0.76
2014-07-02,96.41,97.4,96.41,97.31,4726,0.55,0.57
2014-07-03,96.61,96.95,96.56,96.95,4214,-0.36,-0.37
2014-07-07,97.0,97.29,96.15,96.56,6371,-0.39,-0.4
2014-07-08,96.13,97.01,96.13,97.01,4214,-1.57,-1.63
2014-07-09,97.0,97.6,97.0,97.34,905,,
2014-07-10,97.0,97.44,97.0,97.44,2596,,
2014-07-11,97.0,97.39,96.02,96.02,2813,,
2014-07-14,97.24,97.24,96.21,96.52,1667,,
2014-07-15,96.02,96.02,95.32,95.68,3424,,
2014-07-16,95.87,96.15,95.8,95.8,1346,,
2014-07-17,94.47,96.51,94.47,96.51,47382,,
2014-07-18,94.77,96.51,94.77,95.11,2166,,
2014-07-21,94.84,95.11,94.48,95.11,3848,,
2014-07-22,94.79,95.01,94.75,94.86,2752,,
2014-07-23,95.0,95.01,94.52,94.99,4079,,
2014-07-24,95.1,95.65,94.75,95.1,6575,0.11,0.12
2014-07-25,95.01,95.19,94.96,95.0,6505,-0.24,-0.25
2014-07-28,95.0,95.21,94.93,95.0,6295,,
2014-07-29,95.14,95.65,95.14,95.21,1423,,
2014-07-30,95.26,95.9,95.25,95.38,2375,,
2014-07-31,94.95,95.52,94.81,95.52,2735,,
2014-08-01,94.75,95.26,94.6,94.71,3801,-0.15,-0.16
2014-08-04,94.75,95.04,94.71,94.75,1047,0.33,0.35
2014-08-05,95.11,95.11,94.85,94.85,3352,,
2014-08-06,95.2,95.3,94.85,95.127,4214,0.09,0.09
2014-08-07,95.65,95.65,94.85,95.0,1016,-0.13,-0.14
2014-08-08,95.86,96.25,95.0,95.0,4177,1.25,1.32
2014-08-11,94.6,96.25,94.6,95.77,1462,-0.5,-0.52
2014-08-12,95.25,96.0,95.25,95.75,3347,1.25,1.31
2014-08-13,95.83,95.85,95.4,95.85,3464,,
2014-08-14,95.99,96.0,95.57,95.85,1747,,
2014-08-15,95.81,96.4,95.75,95.75,2211,,
2014-08-18,96.48,96.49,95.75,96.49,2274,,
2014-08-19,95.75,97.0,95.75,97.0,1832,,
2014-08-20,97.0,97.93,96.55,97.54,1703,0.93,0.96
2014-08-21,97.55,97.6,96.53,97.05,1410,-1.38,-1.41
2014-08-22,95.86,96.55,95.86,96.55,1300,,
2014-08-25,96.52,97.0,96.52,96.87,1377,0.32,0.33
2014-08-26,97.59,97.59,96.14,97.41,4077,0.54,0.56
2014-08-27,96.755,97.499,96.4,96.664,3402,-0.94,-0.96
2014-08-28,96.31,96.75,96.31,96.5,1478,,
2014-08-29,96.75,96.75,96.0,96.2,1237,,
2014-09-02,95.87,96.66,95.75,95.755,2708,,
2014-09-03,96.015,97.85,96.015,97.85,509,,
2014-09-04,95.82,96.05,95.81,96.05,3974,0.14,0.15
2014-09-05,95.85,96.22,95.85,96.22,936,,
2014-09-08,96.189,96.189,95.9,96.039,3867,,
2014-09-09,95.945,96.266,95.945,96.182,1326,,
2014-09-10,95.9,95.989,95.5,95.76,6152,,
2014-09-11,96.0,96.11,95.5,95.9,2019,,
2014-09-12,95.51,95.51,95.0,95.33,7524,-0.57,-0.59
2014-09-15,95.0,95.3,93.5,95.0,28681,-0.62,-0.65
2014-09-16,94.26,96.05,94.25,94.99,4596,-1.05,-1.09
2014-09-17,94.75,95.0,94.75,95.0,2960,,
2014-09-18,95.005,95.382,94.96,95.0,2155,0.0,0.0
2014-09-19,95.249,95.249,94.5,94.5,1629,-0.9,-0.95
2014-09-22,94.66,94.98,94.45,94.98,10335,,
2014-09-23,95.25,95.25,94.04,94.04,4187,,
2014-09-24,94.16,94.49,93.748,93.748,3685,-0.29,-0.31
2014-09-25,95.3,96.32,95.05,96.319,14134,-0.58,-0.61
2014-09-26,95.05,96.32,95.0,95.0,2468,,
2014-09-29,94.6,96.0,94.5,94.67,4543,,
2014-09-30,96.19,96.19,94.25,95.99,2969,1.32,1.39
2014-10-01,95.0,95.73,94.15,94.45,9087,-3.56,-3.7
2014-10-02,94.2,94.2,92.55,93.25,2602,,
2014-10-03,93.01,94.49,93.0,93.5,2338,,
2014-10-06,93.5,93.52,93.0,93.01,4478,,
2014-10-07,93.24,96.16,92.51,96.16,6785,,
2014-10-08,95.48,95.49,92.6,92.6,3377,,
2014-10-09,93.0,93.0,90.5,91.25,7855,-1.35,-1.46
2014-10-10,90.439,91.23,88.66,90.0,6190,0.19,0.21
2014-10-13,89.5,91.24,88.55,91.19,3778,,
2014-10-14,89.55,91.67,88.5,88.857,4567,-2.33,-2.56
2014-10-15,88.509,88.624,85.16,86.449,21857,-2.41,-2.71
2014-10-16,88.931,91.0,87.73,90.718,7197,4.27,4.94
2014-10-17,89.82,92.5,89.82,90.25,6143,-0.47,-0.52
2014-10-20,90.489,90.489,90.15,90.23,2297,-0.02,-0.02
2014-10-21,90.3,92.99,90.3,92.416,4750,2.19,2.42
2014-10-22,91.84,93.143,91.84,92.127,4619,0.58,0.63
2014-10-23,93.25,93.25,90.05,91.27,1131,-1.73,-1.86
2014-10-24,93.5,93.5,92.5,92.51,2235,1.24,1.36
2014-10-27,91.989,92.05,91.989,92.0,1882,-0.51,-0.55
2014-10-28,92.73,92.99,91.75,92.6,2431,0.6,0.65
2014-10-29,92.51,93.0,92.5,92.5,3191,-0.1,-0.11
2014-10-30,92.5,93.5,92.5,92.5,1762,0.0,0.0
2014-10-31,92.56,93.0,92.56,92.75,837,0.5,0.54
2014-11-03,92.77,93.0,92.75,92.76,3432,-0.24,-0.26
2014-11-04,92.9,92.9,92.75,92.75,2759,-0.01,-0.01
2014-11-05,92.81,93.5,92.75,93.45,2201,0.7,0.75
2014-11-06,93.25,93.993,93.25,93.965,1216,0.52,0.55
2014-11-07,94.0,95.25,93.97,94.192,2313,0.23,0.24
2014-11-10,95.648,95.65,94.5,95.0,1835,0.81,0.86
2014-11-11,95.0,95.01,94.5,95.005,942,0.23,0.24
2014-11-12,94.5,95.5,94.5,95.5,719,,
2014-11-13,95.45,95.45,94.5,94.5,1779,,
2014-11-14,94.5,95.79,94.5,95.104,1815,,
2014-11-17,94.5,95.19,94.5,95.126,1265,,
2014-11-18,94.97,94.97,94.5,94.6,1175,,
2014-11-19,95.99,96.0,94.5,95.975,2546,,
2014-11-20,95.0,95.0,94.51,94.95,1635,,
2014-11-21,95.1,95.207,95.0,95.0,2305,,
2014-11-24,95.095,95.095,95.0,95.0,937,,
2014-11-25,94.899,94.899,94.899,94.899,239,,
2014-11-26,94.44,94.44,94.0,94.01,755,,
2014-11-28,93.25,93.25,91.5,91.55,8001,-2.45,-2.61
2014-12-01,91.5,92.57,91.27,91.35,5205,0.15,0.16
2014-12-02,92.0,92.0,91.5,91.51,3435,,
2014-12-03,91.55,91.71,91.38,91.38,3032,,
2014-12-04,91.5,91.502,91.25,91.35,4874,,
2014-12-05,91.5,91.5,91.5,91.5,460,,
2014-12-08,91.25,91.4,91.1,91.25,6300,-0.25,-0.27
2014-12-09,91.0,91.191,90.501,90.751,3593,-0.5,-0.55
2014-12-10,90.29,90.31,89.5,89.51,4522,-0.45,-0.51
2014-12-11,89.75,90.974,89.5,89.5,2759,,
2014-12-12,91.13,91.13,88.59,89.0,2958,,
2014-12-15,90.75,90.75,88.55,88.55,3262,,
2014-12-16,88.0,90.735,88.0,88.59,2872,0.04,0.05
2014-12-17,88.51,90.299,88.51,89.0,2593,0.77,0.87
2014-12-18,90.8,90.8,89.71,90.51,3033,-0.15,-0.17
2014-12-19,90.51,91.5,90.51,90.672,2379,,
2014-12-22,91.5,91.5,90.5,90.52,3526,,
2014-12-23,90.52,91.51,90.52,91.5,5558,0.99,1.09
2014-12-24,92.327,92.327,90.511,91.179,2150,1.06,1.17
2014-12-26,91.199,91.25,90.56,91.05,5982,,
2014-12-29,91.251,92.32,91.109,91.109,2407,,
2014-12-30,92.29,92.29,90.51,90.8,1939,,
2014-12-31,90.51,91.99,90.51,90.95,2775,,
2015-01-05,91.991,92.0,90.5,90.74,2119,-1.22,-1.33
2015-01-06,90.51,91.276,90.5,91.01,6532,0.65,0.72
2015-01-07,90.55,90.886,90.51,90.566,2519,,
2015-01-08,90.57,90.89,90.53,90.89,1194,,
2015-01-09,90.6,91.224,90.6,91.224,1038,,
2015-01-12,90.53,90.746,90.0,90.4,8167,,
2015-01-13,90.25,91.23,90.25,90.308,1971,,
2015-01-14,89.9,91.2,89.9,90.466,3402,,
2015-01-15,90.5,90.8,90.5,90.8,2649,,
2015-01-16,90.859,90.859,90.26,90.26,385,,
2015-01-20,91.791,91.791,90.0,90.05,1309,,
2015-01-21,90.0,91.999,90.0,90.16,2026,,
2015-01-22,91.4,91.4,90.31,90.36,1930,,
2015-01-23,90.79,91.01,90.79,91.01,935,,
2015-01-26,91.88,93.412,91.36,91.36,1594,0.35,0.38
2015-01-27,92.3,93.5,91.61,92.0,3685,0.64,0.7
2015-01-28,91.5,93.15,91.0,91.0,1590,,
2015-01-29,92.706,92.98,91.002,91.002,1127,-0.5,-0.54
2015-01-30,90.261,90.364,90.261,90.364,536,-0.64,-0.7
2015-02-02,91.46,93.45,91.46,93.45,3103,3.09,3.41
2015-02-03,93.219,93.3,92.17,92.806,2251,-0.56,-0.61
2015-02-04,93.0,93.0,91.78,92.601,1836,,
2015-02-05,92.499,92.95,92.04,92.04,1127,,
2015-02-06,92.495,92.495,91.31,91.75,2962,-0.29,-0.32
2015-02-09,91.59,91.85,91.57,91.85,1028,0.1,0.11
2015-02-10,91.3,92.0,91.0,91.0,1395,-0.25,-0.27
2015-02-11,91.12,91.421,90.8,90.8,2179,0.56,0.62
2015-02-12,91.95,91.95,91.02,91.363,2518,,
2015-02-13,90.51,91.8,90.51,91.4,2992,0.03,0.03
2015-02-17,91.03,91.75,91.01,91.25,3954,-0.14,-0.15
2015-02-18,91.03,91.989,91.0,91.0,2562,-0.25,-0.27
2015-02-19,90.75,91.95,90.2,90.2,1740,0.6,0.67
2015-02-20,90.5,91.75,90.5,90.8,1326,,
2015-02-23,91.56,91.63,91.25,91.25,750,0.45,0.5
2015-02-24,91.66,91.66,91.372,91.372,845,0.12,0.13
2015-02-25,89.37,90.03,86.0,89.05,19683,-1.2,-1.33
2015-02-26,88.07,88.75,88.05,88.4,5272,-0.65,-0.73
2015-02-27,88.35,88.64,88.0,88.64,7998,0.24,0.27
2015-03-02,88.5,88.509,88.0,88.28,2416,-0.36,-0.41
2015-03-03,89.04,89.04,88.05,88.1,2257,-0.18,-0.2
2015-03-04,88.25,88.25,87.75,87.75,7228,-0.35,-0.4
2015-03-05,87.85,88.45,87.85,88.441,3031,0.69,0.79
2015-03-06,88.15,88.95,87.85,87.859,4252,-0.58,-0.66
2015-03-09,87.71,88.19,87.0,87.65,2577,-0.21,-0.24
2015-03-10,87.05,87.302,85.92,85.92,5931,-1.73,-1.97
2015-03-11,86.06,86.555,86.06,86.2,1127,0.28,0.33
2015-03-12,86.13,86.628,86.13,86.22,592,-0.3,-0.35
2015-03-13,86.23,86.23,85.541,85.9,3453,,
2015-03-16,87.5,87.5,85.5,85.6,1988,,
2015-03-17,86.288,86.9,85.7,86.03,2601,0.43,0.5
2015-03-18,85.7,86.8,85.6,86.75,3021,0.72,0.84
2015-03-19,86.1,86.85,85.6,86.55,3266,-0.2,-0.23
2015-03-20,86.7,86.7,85.67,86.26,3036,-0.29,-0.34
2015-03-23,86.26,86.6,86.26,86.4,1797,0.14,0.16
2015-03-24,87.6,88.93,86.505,86.972,6588,0.57,0.66
2015-03-25,86.97,88.325,86.848,87.94,2986,0.97,1.11
2015-03-26,87.93,87.99,86.4,87.25,2831,-0.69,-0.78
2015-03-27,86.7,86.7,86.4,86.6,2167,-0.65,-0.74
2015-03-30,86.61,87.5,86.45,86.62,3014,0.02,0.02
2015-03-31,87.97,87.97,86.75,87.604,1085,0.98,1.14
2015-04-01,87.75,88.0,87.75,88.0,1654,0.4,0.45
2015-04-02,88.0,88.075,87.66,87.962,4067,-0.04,-0.04
2015-04-06,88.07,89.63,87.51,88.69,7532,0.73,0.83
2015-04-07,88.9,88.9,87.501,88.0,2883,-0.69,-0.78
2015-04-08,87.5,87.51,86.46,86.48,10249,,
2015-04-09,86.468,86.468,85.16,85.56,12974,-0.93,-1.08
2015-04-10,85.22,85.787,82.975,83.33,17635,-1.67,-1.95
2015-04-13,83.13,83.556,82.56,83.0,7586,,
2015-04-14,82.97,84.61,82.97,84.4,9142,1.55,1.87
2015-04-15,87.0,87.0,85.0,86.4,7377,1.31,1.55
2015-04-16,85.61,86.03,82.03,83.095,39818,-2.71,-3.16
2015-04-17,83.03,88.95,83.03,86.98,39614,3.98,4.8
2015-04-20,89.8,90.55,89.0,89.749,17574,2.77,3.18
2015-04-21,90.39,90.39,87.5,87.52,8296,-2.23,-2.48
2015-04-22,89.0,89.73,87.521,87.53,3592,0.01,0.01
2015-04-23,88.869,89.0,88.39,88.5,3394,0.96,1.1
2015-04-24,88.5,89.69,87.57,87.75,2823,0.58,0.65
2015-04-27,88.01,89.06,88.01,89.02,3416,-0.05,-0.06
2015-04-28,88.012,88.7,88.01,88.01,853,-1.01,-1.13
2015-04-29,88.94,88.995,88.35,88.98,1696,0.97,1.1
2015-04-30,88.64,90.78,88.6,88.6,3643,1.02,1.15
2015-05-01,90.5,91.699,89.6,91.0,2171,0.95,1.06
2015-05-04,90.49,91.69,90.15,91.4,2003,0.45,0.49
2015-05-05,90.25,90.962,90.15,90.2,1845,-1.2,-1.31
2015-05-06,90.2,90.905,88.66,88.66,6313,-1.54,-1.71
2015-05-07,88.52,89.98,88.5,88.5,1788,0.33,0.37
2015-05-08,88.887,89.21,88.887,89.21,512,0.22,0.25
2015-05-11,89.31,90.49,89.26,89.26,1216,0.05,0.06
2015-05-12,90.42,90.42,89.245,89.311,1376,0.05,0.06
2015-05-13,89.31,89.536,89.22,89.536,957,0.23,0.25
2015-05-14,89.52,89.55,89.52,89.52,721,0.01,0.02
2015-05-15,89.61,90.53,89.61,90.4,4365,0.85,0.95
2015-05-18,89.2,90.0,89.2,89.835,1162,-0.57,-0.63
2015-05-19,89.209,89.28,89.2,89.209,567,-0.56,-0.62
2015-05-20,89.0,89.0,88.0,88.0,2180,-1.28,-1.43
2015-05-21,88.0,88.0,87.5,87.75,6139,-0.28,-0.32
2015-05-22,87.95,87.95,86.98,87.3,1034,-0.22,-0.25
2015-05-26,87.5,87.89,86.7,87.89,1634,0.39,0.45
2015-05-27,87.97,88.69,87.037,88.69,1577,0.8,0.91
2015-05-28,87.02,87.25,87.02,87.06,1064,-0.51,-0.58
2015-05-29,87.051,87.51,87.051,87.26,1719,0.2,0.23
2015-06-01,87.46,89.45,87.31,89.45,1101,2.19,2.51
2015-06-02,87.5,89.48,87.5,89.48,2776,0.03,0.03
2015-06-03,88.5,88.5,86.65,87.136,4028,-2.34,-2.62
2015-06-04,86.75,86.75,85.017,85.2,2218,-1.94,-2.22
2015-06-05,85.01,85.482,85.01,85.275,1891,0.08,0.09
2015-06-08,85.3,86.458,85.0,86.4,2066,1.12,1.31
2015-06-09,86.29,86.29,86.083,86.083,844,-0.32,-0.37
2015-06-10,86.016,86.05,85.07,86.0,1981,-1.01,-1.17
2015-06-11,85.1,85.1,83.143,84.88,5805,-1.82,-2.14
2015-06-12,83.053,84.7,82.1,82.1,5421,-0.45,-0.54
2015-06-15,84.49,84.49,82.1,83.6,2785,0.8,0.97
2015-06-16,82.6,83.701,79.63,79.78,25746,-3.82,-4.57
2015-06-17,78.1,79.95,77.4,78.01,17197,-1.77,-2.22
2015-06-18,77.4,77.789,76.057,76.27,12696,-1.74,-2.23
2015-06-19,75.6,75.67,72.51,74.75,15705,-1.52,-1.99
2015-06-22,74.52,77.39,74.52,76.0,10275,1.25,1.67
2015-06-23,77.0,77.73,75.08,75.25,7628,-0.75,-0.99
2015-06-24,75.3,75.46,74.1,74.945,3971,-0.31,-0.41
2015-06-25,73.85,73.85,72.28,72.28,7175,-2.66,-3.55
2015-06-26,71.11,72.0,70.08,71.5,11789,-0.78,-1.08
2015-06-29,71.98,71.99,70.77,71.95,12860,0.45,0.63
2015-06-30,72.0,74.88,71.0,74.18,7596,2.23,3.1
2015-07-01,73.0,73.4,72.03,72.03,2948,-2.15,-2.9
2015-07-02,71.26,73.076,71.26,71.91,1928,-0.12,-0.17
2015-07-06,70.76,72.0,70.76,71.75,2685,-0.16,-0.22
2015-07-07,70.8,72.0,69.181,72.0,5502,0.25,0.35
2015-07-08,70.0,72.922,70.0,72.0,3816,0.0,0.0
2015-07-09,72.62,72.69,69.5,70.0,7022,-2.0,-2.78
2015-07-10,70.717,71.269,70.0,70.77,6013,0.77,1.1
2015-07-13,70.0,72.5,70.0,72.2,4479,1.43,2.02
2015-07-14,71.45,72.997,70.51,71.4,6239,-0.8,-1.11
2015-07-15,73.24,73.24,70.52,71.3,2200,-0.1,-0.14
2015-07-16,71.25,72.86,71.25,72.85,1942,1.55,2.17
2015-07-17,71.44,71.537,70.0,71.2,5477,-1.65,-2.26
2015-07-20,71.27,71.27,70.0,70.75,2422,-0.45,-0.63
2015-07-21,70.0,70.0,67.178,68.16,20510,-2.25,-3.18
