日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2020-06-04,10.5618,10.9073,10.1989,10.8184,34339865,0.6124,6.0
2020-06-05,10.9764,12.5853,10.9764,11.9437,16229025,1.1251,10.4
2020-06-08,12.1313,13.7698,11.8055,13.5724,23326162,1.6291,13.64
2020-06-09,12.9802,13.2467,12.2497,12.6347,10094534,-0.9379,-6.91
2020-06-10,12.5458,12.5458,11.46,11.5785,10179004,-1.0563,-8.36
2020-06-11,10.4434,11.1343,10.2361,10.3249,5581132,-1.254,-10.83
2020-06-12,10.8283,10.9172,9.8807,10.2854,4987122,-0.0392,-0.38
2020-06-15,10.1374,10.4187,9.6142,10.1571,5246199,-0.1286,-1.25
2020-06-16,10.8974,11.1837,10.0683,10.2163,3463371,0.0589,0.58
2020-06-17,10.2262,10.2805,9.861,9.9202,2668449,-0.2963,-2.9
2020-06-18,9.8017,10.0535,9.4464,9.6339,3253001,-0.2867,-2.89
2020-06-19,9.861,10.1077,9.5352,9.6537,5094616,0.0193,0.2
2020-06-22,9.6932,10.0979,9.4661,9.9893,3612208,0.3359,3.48
2020-06-23,10.1867,10.4434,10.0584,10.2065,2643253,0.2168,2.17
2020-06-24,9.8906,10.088,9.1799,9.3773,3484627,-0.8287,-8.12
2020-06-25,9.3674,9.9301,9.3279,9.7524,3235147,0.3751,4.0
2020-06-26,9.7228,9.7228,9.0121,9.2292,22819966,-0.5227,-5.36
2020-06-29,9.4267,9.7129,9.1898,9.5254,3063455,0.2963,3.21
2020-06-30,9.3082,9.782,9.1503,9.6339,2500527,0.1086,1.14
2020-07-01,9.6142,9.9399,9.2687,9.2885,2704199,-0.3459,-3.59
2020-07-02,9.6339,9.8314,9.3676,9.5648,2221091,0.2768,2.98
2020-07-06,9.7623,10.0683,9.1898,9.5846,5364478,0.0201,0.21
2020-07-07,9.4464,9.6833,9.091,9.3181,2339855,-0.2665,-2.78
2020-07-08,9.249,9.5254,8.9627,9.2687,2119368,-0.0494,-0.53
2020-07-09,9.1898,9.2095,8.4198,8.4494,3161632,-0.8194,-8.84
2020-07-10,8.4297,8.9035,8.1829,8.8344,2081987,0.3853,4.56
2020-07-13,8.9726,8.9726,8.2422,8.3803,3472748,-0.4541,-5.14
2020-07-14,8.3014,8.7554,8.1731,8.7357,1910767,0.3553,4.24
2020-07-15,9.022,9.4267,8.9232,9.3477,2132665,0.6123,7.01
2020-07-16,9.4168,9.4168,8.943,9.0121,1773213,-0.3356,-3.59
2020-07-17,9.0417,9.2095,8.7011,8.7357,1534667,-0.2767,-3.07
2020-07-20,8.5876,8.9825,8.3655,8.6863,2091176,-0.0489,-0.56
2020-07-21,8.8344,9.6932,8.7357,9.4563,3212530,0.7696,8.86
2020-07-22,9.3576,9.3773,9.0269,9.1404,1382271,-0.3158,-3.34
2020-07-23,8.943,9.5451,8.8838,9.5254,1577969,0.3848,4.21
2020-07-24,9.3872,9.5747,9.2292,9.555,2537534,0.0295,0.31
2020-07-27,9.4859,9.6537,9.2786,9.6142,1005873,0.0592,0.62
2020-07-28,9.4365,9.6537,9.1996,9.3872,2190925,-0.2269,-2.36
2020-07-29,9.3674,9.9498,9.3477,9.8116,4128147,0.4243,4.52
2020-07-30,9.5155,9.9103,9.2786,9.6537,2509221,-0.158,-1.61
2020-07-31,9.4267,9.6734,9.3378,9.3872,1973920,-0.2664,-2.76
2020-08-03,9.397,9.8511,9.1009,9.6142,1628124,0.2272,2.42
2020-08-04,9.5254,10.0041,9.4168,9.8807,2408184,0.2663,2.77
2020-08-05,10.1966,10.4434,9.9498,10.2163,2210536,0.3359,3.4
2020-08-06,10.4434,10.8382,10.009,10.2262,4275135,0.0102,0.1
2020-08-07,10.3052,10.473,9.9794,10.4631,2645842,0.2372,2.32
2020-08-10,10.6704,11.3169,10.5618,11.1047,3816255,0.6414,6.13
2020-08-11,11.539,11.9931,10.9369,11.0455,3166806,-0.0589,-0.53
2020-08-12,11.2133,11.3317,10.7642,11.0455,1925904,0.0,0.0
2020-08-13,11.0257,11.1146,10.6605,10.9764,1488433,-0.0696,-0.63
2020-08-14,10.7493,11.0356,10.5618,10.9566,1324161,-0.0198,-0.18
2020-08-17,10.927,11.0455,10.473,10.6309,2138568,-0.3254,-2.97
2020-08-18,10.621,10.621,10.1719,10.3841,1700110,-0.2466,-2.32
2020-08-19,10.3841,10.5124,10.2163,10.2755,1304419,-0.109,-1.05
2020-08-20,10.1176,10.1768,9.8511,9.8906,1512752,-0.3853,-3.75
2020-08-21,9.6833,9.8017,9.3674,9.7327,2360497,-0.1583,-1.6
2020-08-24,9.8807,10.3891,9.703,10.3743,2120633,0.6414,6.59
2020-08-25,10.4236,10.5618,10.0929,10.3743,1478600,0.0,0.0
2020-08-26,10.3644,10.3644,9.8856,9.9696,1590319,-0.4046,-3.9
2020-08-27,10.0485,10.241,9.8412,10.167,1537099,0.1974,1.98
2020-08-28,10.2558,10.4828,10.0781,10.4335,1437613,0.2664,2.62
2020-08-31,10.3743,10.4828,10.0426,10.1077,1823853,-0.3255,-3.12
2020-09-01,9.9399,10.1768,9.7499,10.167,1262245,0.0596,0.59
2020-09-02,10.1077,10.2262,9.8511,9.8708,1712301,-0.2958,-2.91
2020-09-03,9.9103,10.1768,9.8116,9.8708,1148521,0.0,0.0
2020-09-04,10.0781,10.1472,9.6636,9.9794,1380784,0.1086,1.1
2020-09-08,10.0189,10.0189,9.3477,9.6734,1989257,-0.3064,-3.07
2020-09-09,9.7721,9.7721,9.3279,9.4365,1832506,-0.237,-2.45
2020-09-10,9.4267,9.5055,8.6863,8.7258,2487944,-0.7106,-7.53
2020-09-11,9.0318,9.0368,8.5778,8.7357,1527551,0.0096,0.11
2020-09-14,8.8344,8.9923,8.5975,8.9035,1166509,0.1677,1.92
2020-09-15,8.9331,9.2292,8.8936,9.0121,864039,0.1086,1.22
2020-09-16,9.1601,9.9103,9.0516,9.7425,1934570,0.7308,8.11
2020-09-17,9.4859,9.6487,9.2195,9.5155,1300701,-0.227,-2.33
2020-09-18,9.5747,9.593,8.9627,9.0417,2926242,-0.4739,-4.98
2020-09-21,8.7357,8.8344,8.1533,8.7061,2969153,-0.3354,-3.71
2020-09-22,8.7752,9.0022,8.6863,8.7258,2151090,0.02,0.23
2020-09-23,8.6863,8.8443,8.0941,8.104,1777301,-0.6222,-7.13
2020-09-24,8.0447,8.331,7.6055,8.0842,2081332,-0.0194,-0.24
2020-09-25,8.025,8.0447,7.7486,7.9756,1627220,-0.1083,-1.34
2020-09-28,8.1632,8.4554,8.0892,8.1533,1749538,0.1779,2.23
2020-09-29,8.0447,8.1236,7.5068,7.8671,2267462,-0.2862,-3.51
2020-09-30,7.9065,8.2816,7.8078,7.8868,1949132,0.0197,0.25
2020-10-01,7.7289,7.9164,7.6252,7.8473,2692092,-0.0394,-0.5
2020-10-02,7.6302,8.252,7.4722,8.1336,1735477,0.2864,3.65
2020-10-05,8.3409,8.558,8.1434,8.4396,1394784,0.3058,3.76
2020-10-06,8.6765,8.716,7.9954,8.1336,2891264,-0.3064,-3.63
2020-10-07,8.104,8.2027,7.719,7.8967,1883750,-0.2367,-2.91
2020-10-08,8.0743,8.5383,7.8967,8.4988,3407970,0.6025,7.63
2020-10-09,8.6271,8.7357,8.2619,8.5185,1172568,0.0195,0.23
2020-10-12,8.4198,8.5482,8.2619,8.4396,1311919,-0.0792,-0.93
2020-10-13,8.2718,8.4988,8.104,8.2027,2359938,-0.2372,-2.81
2020-10-14,8.2224,8.5284,8.1829,8.2125,1248022,0.0098,0.12
2020-10-15,7.9855,8.4001,7.8572,8.3409,1090316,0.1281,1.56
2020-10-16,8.0053,8.2471,7.7881,7.8473,1381336,-0.4938,-5.92
2020-10-19,7.9065,8.1533,7.7832,7.8177,1421121,-0.0298,-0.38
2020-10-20,7.9559,8.2915,7.6894,8.1533,1790868,0.3354,4.29
2020-10-21,8.0546,8.2915,7.8572,8.0842,1204287,-0.0693,-0.85
2020-10-22,8.1533,8.3803,7.946,8.3507,1226692,0.2668,3.3
2020-10-23,8.4593,8.637,8.3409,8.4001,1278083,0.0493,0.59
2020-10-26,8.2224,8.2964,7.6499,7.719,1632454,-0.6813,-8.11
2020-10-27,7.6598,7.7653,7.3587,7.4821,1476330,-0.237,-3.07
2020-10-28,7.1564,7.2008,6.7813,7.0577,1741709,-0.4242,-5.67
2020-10-29,7.1366,7.9904,6.8208,7.8967,2808017,0.8391,11.89
2020-10-30,8.025,8.6567,7.956,8.6172,2467050,0.7209,9.13
2020-11-02,8.7357,9.1898,8.558,9.1898,2754242,0.5722,6.64
2020-11-03,9.4661,9.5648,8.8936,9.0516,2040045,-0.1378,-1.5
2020-11-04,8.8344,9.0713,8.4494,8.8147,1637094,-0.2372,-2.62
2020-11-05,8.8245,9.0812,8.6962,8.8048,2120916,-0.0097,-0.11
2020-11-06,8.8147,8.8838,8.1731,8.2619,1566050,-0.5433,-6.17
2020-11-09,9.4661,10.7493,9.4661,10.2953,4151990,2.0333,24.61
2020-11-10,10.5717,10.621,10.1867,10.2854,2001424,-0.0103,-0.1
2020-11-11,10.4039,10.473,9.7933,10.088,1406709,-0.1975,-1.92
2020-11-12,9.7524,10.0979,9.7129,9.9992,1215164,-0.0888,-0.8806
2020-11-13,10.1374,10.3644,10.0189,10.2558,1225201,0.257,2.57
2020-11-16,10.9468,11.4304,10.7197,11.3515,1707547,1.0954,10.68
2020-11-17,11.006,11.9733,10.858,11.9536,1812470,0.6017,5.3
2020-11-18,12.1707,12.3188,11.4699,11.4798,2001531,-0.4733,-3.96
2020-11-19,11.312,11.7463,11.1442,11.6772,1339799,0.1975,1.72
2020-11-20,11.5686,11.7907,11.5045,11.6377,1131833,-0.0397,-0.34
2020-11-23,11.9536,12.9209,11.8697,12.842,1209212,1.2045,10.35
2020-11-24,13.3059,14.0758,13.1973,13.4638,3398825,0.6216,4.84
2020-11-25,13.1874,13.3158,12.763,12.9604,1682448,-0.5034,-3.739
2020-11-27,12.8518,13.0493,12.4866,12.6544,457686,-0.3059,-2.36
2020-11-30,12.3484,12.5853,11.6969,11.7266,1643799,-0.9275,-7.33
2020-12-01,12.1609,12.684,12.1461,12.4471,1625720,0.72,6.14
2020-12-02,12.2695,13.296,12.2695,12.7433,1170293,0.2962,2.38
2020-12-03,12.7729,13.1381,12.5557,12.9111,1044683,0.1682,1.32
2020-12-04,13.3256,14.1844,13.1973,14.0857,1825336,1.1749,9.1
2020-12-07,13.8784,13.9574,13.1381,13.2664,1654508,-0.8198,-5.82
2020-12-08,12.9802,13.7106,12.9802,13.6218,1728627,0.3555,2.68
2020-12-09,13.7994,13.8587,12.99,13.296,2018631,-0.3257,-2.3913
2020-12-10,13.0493,14.1153,13.0394,13.7698,3096293,0.4734,3.56
2020-12-11,13.5527,13.6909,13.1776,13.681,1776272,-0.0888,-0.6452
2020-12-14,13.908,14.1153,13.6218,13.8291,3164828,0.1478,1.08
2020-12-15,13.9376,14.5791,13.8192,14.3621,2595909,0.5324,3.85
2020-12-16,14.3818,14.6385,13.9376,14.5595,3340801,0.1974,1.3746
2020-12-17,14.7076,14.7372,14.3029,14.4312,2057239,-0.1283,-0.8814
2020-12-18,14.5101,14.8754,13.8093,13.8883,4114895,-0.5426,-3.76
