日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2020-02-13,0.95,0.95,0.95,0.95,150000,0.0,0.0
2020-02-14,0.96,1.0,0.78,1.0,11600,0.05,5.26
2020-02-19,1.05,1.05,0.95,0.95,6000,-0.05,-5.0
2020-02-21,0.95,0.95,0.95,0.95,50000,0.0,0.0
2020-03-11,0.9,0.9,0.9,0.9,5000,-0.05,-5.26
2020-03-18,0.63,0.63,0.63,0.63,100,-0.27,-30.0
2020-03-20,0.7,0.7,0.7,0.7,15000,0.07,11.11
2020-04-02,0.7,0.7,0.7,0.7,108480,0.0,0.0
2020-04-06,0.6,0.6,0.6,0.6,87303,-0.1,-14.29
2020-04-08,0.65,0.7,0.65,0.7,34342,0.1,16.67
2020-04-15,0.65,0.65,0.65,0.65,10000,-0.05,-7.14
2020-04-16,0.51,0.6,0.5,0.6,20550,-0.05,-7.69
2020-04-21,0.6,0.6,0.59,0.6,2150,0.0,0.0
2020-05-01,0.35,0.6,0.35,0.6,675,0.0,0.0
2020-05-11,0.5982,0.6,0.5982,0.5999,4500,-0.0001,-0.02
2020-05-20,0.6,0.6,0.6,0.6,25000,0.0001,0.02
2020-05-28,0.5999,0.6,0.5999,0.6,201,0.0,0.0
2020-05-29,0.562737,0.562737,0.55,0.55,31536,-0.05,-8.33
2020-06-02,0.55,0.55,0.55,0.55,333,0.0,0.0
2020-06-04,0.6,0.6,0.6,0.6,250,0.05,9.09
2020-06-05,0.6,0.6,0.6,0.6,40111,0.0,0.0
2020-06-09,0.6,0.6,0.558,0.586601,55005,-0.013399,-2.23
2020-06-10,0.55,0.7,0.5499,0.6999,22922,0.113299,19.31
2020-06-11,0.7,0.7,0.67858,0.67858,7260,-0.02132,-3.05
2020-06-12,0.6,0.6,0.55,0.6,21500,-0.07858,-11.58
2020-06-15,0.63,0.63,0.593301,0.593301,2562,-0.006699,-1.12
2020-06-17,0.6,0.65,0.6,0.65,130811,0.056699,9.56
2020-06-18,0.7711,0.7711,0.7682,0.7682,2719,0.1182,18.18
2020-06-19,0.9,0.91,0.7,0.7,34402,-0.0682,-8.88
2020-06-23,0.7,0.71,0.7,0.7,63804,0.0,0.0
2020-06-24,0.735341,0.735341,0.7,0.7,4000,0.0,0.0
2020-06-25,0.75,0.89,0.75,0.89,13701,0.19,27.14
2020-06-29,0.875,1.01,0.875,1.01,5800,0.12,13.48
2020-06-30,0.9,0.95,0.89999,0.95,8373,-0.06,-5.94
2020-07-01,0.9,1.2,0.85,0.85,80101,-0.1,-10.53
2020-07-02,0.85,1.1,0.85,1.066,17930,0.216,25.41
2020-07-06,1.0,1.0,0.935,0.935,1007,-0.131,-12.29
2020-07-08,0.94,1.0,0.94,1.0,20708,0.065,6.95
2020-07-09,1.0,1.0,1.0,1.0,4577,0.0,0.0
2020-07-10,0.9999,1.15,0.951,1.13,39910,0.13,13.0
2020-07-13,1.15,1.25,1.1,1.1,51504,-0.03,-2.65
2020-07-14,1.05,1.05,0.85,1.0,48296,-0.1,-9.09
2020-07-15,1.0,1.05,1.0,1.05,252,0.05,5.0
2020-07-16,1.05,1.05,1.05,1.05,3102,0.0,0.0
2020-07-17,1.14,1.15,1.14,1.15,1086,0.1,9.52
2020-07-21,1.1,1.15,1.05,1.05,9091,-0.1,-8.7
2020-07-22,1.05,1.05,1.05,1.05,5102,0.0,0.0
2020-07-23,1.04,1.04,1.0,1.01,22626,-0.04,-3.81
2020-07-24,1.01,1.01,1.0,1.01,24602,0.0,0.0
2020-07-27,1.01,1.1,1.0099,1.1,35998,0.09,8.91
2020-07-28,1.1,1.1,1.0,1.0,13916,-0.1,-9.09
2020-07-29,0.96,1.08,0.8999,1.05,32601,0.05,5.0
