日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-09-22,1.1982,1.2103,1.1458,1.1982,2237600,-0.0121,-1.0
1995-09-25,1.1982,1.2103,1.1861,1.1861,152400,-0.0121,-1.01
1995-09-26,1.2103,1.2103,1.1861,1.1861,788400,0.0,0.0
1995-09-27,1.1861,1.2103,1.1861,1.1861,263600,0.0,0.0
1995-09-28,1.1861,1.2103,1.1861,1.1861,755200,0.0,0.0
1995-09-29,1.1861,1.2345,1.1861,1.2103,177200,0.0242,2.04
1995-10-02,1.2103,1.2103,1.2022,1.2103,206800,0.0,0.0
1995-10-03,1.2103,1.2345,1.2103,1.2103,272800,0.0,0.0
1995-10-04,1.2264,1.2345,1.2103,1.2103,84800,0.0,0.0
1995-10-05,1.2103,1.2345,1.2103,1.2103,2372400,0.0,0.0
1995-10-06,1.2184,1.2224,1.2103,1.2103,138400,0.0,0.0
1995-10-09,1.2103,1.2345,1.2103,1.2103,1060400,0.0,0.0
1995-10-10,1.2103,1.2184,1.2103,1.2103,110800,0.0,0.0
1995-10-11,1.2264,1.2345,1.2224,1.2224,169600,0.0121,1.0
1995-10-12,1.2224,1.2224,1.2184,1.2184,62400,-0.004,-0.33
1995-10-13,1.2224,1.2224,1.2022,1.2103,500400,-0.008,-0.66
1995-10-16,1.2103,1.2103,1.2103,1.2103,12400,0.0,0.0
1995-10-17,1.2264,1.2466,1.2103,1.2103,51600,0.0,0.0
1995-10-18,1.2103,1.2103,1.2103,1.2103,48400,0.0,0.0
1995-10-19,1.2103,1.2748,1.1094,1.1094,116400,-0.1008,-8.33
1995-10-20,1.1094,1.1215,1.1094,1.1094,79600,0.0,0.0
1995-10-23,1.1094,1.1094,1.1094,1.1094,27600,0.0,0.0
1995-10-24,1.1094,1.1094,1.1094,1.1094,7200,0.0,0.0
1995-10-25,1.1094,1.1619,1.1094,1.1619,113600,0.0525,4.73
1995-10-26,1.1094,1.1619,1.1094,1.1094,82800,-0.0524,-4.51
1995-10-27,1.1094,1.1094,1.061,1.061,40800,-0.0484,-4.36
1995-10-30,1.061,1.061,1.0328,1.0328,40000,-0.0282,-2.66
1995-10-31,1.0328,1.0328,1.0328,1.0328,5600,0.0,0.0
1995-11-01,1.0368,1.0973,1.0086,1.0086,84400,-0.0242,-2.34
1995-11-02,1.0086,1.061,1.0086,1.061,4800,0.0524,5.2
1995-11-03,1.0086,1.0086,0.9602,0.9602,36800,-0.1009,-9.51
1995-11-06,0.9723,1.0086,0.9602,1.0086,26000,0.0484,5.04
1995-11-07,1.0207,1.0207,0.9602,0.9723,10400,-0.0363,-3.6
1995-11-08,0.9602,0.9602,0.9602,0.9602,1200,-0.0121,-1.24
1995-11-10,0.9602,1.0207,0.9602,1.0207,605600,0.0605,6.3
1995-11-13,1.0207,1.0207,0.9602,0.9602,5600,-0.0605,-5.93
1995-11-14,0.9602,1.0207,0.9602,0.9844,1767200,0.0242,2.52
1995-11-15,1.0207,1.0207,0.9844,1.0207,1110000,0.0363,3.69
1995-11-16,1.0086,1.0207,0.9723,1.0207,83600,0.0,0.0
1995-11-17,0.9844,0.9844,0.9844,0.9844,2000,-0.0363,-3.56
1995-11-20,1.0328,1.0328,1.0086,1.0086,44400,0.0242,2.46
1995-11-21,1.0086,1.0328,1.0086,1.0328,28400,0.0242,2.4
1995-11-22,1.0086,1.0328,0.9844,1.0207,222400,-0.0121,-1.17
1995-11-24,1.0086,1.0207,1.0086,1.0207,140000,0.0,0.0
1995-11-27,1.0086,1.0207,0.9844,1.0207,614800,0.0,0.0
1995-11-28,0.9844,1.0086,0.9844,1.0086,203200,-0.0121,-1.19
1995-11-29,0.9965,1.0328,0.9844,0.9844,232400,-0.0242,-2.4
1995-11-30,0.9844,1.0328,0.9844,1.0328,28000,0.0484,4.92
1995-12-01,1.0368,1.061,1.0086,1.0086,70400,-0.0242,-2.34
1995-12-04,1.0086,1.0207,1.0086,1.0207,120400,0.0121,1.2
1995-12-05,1.0086,1.0852,1.0086,1.0731,160400,0.0525,5.14
1995-12-06,1.061,1.061,1.0086,1.0086,26800,-0.0646,-6.02
1995-12-07,1.0852,1.0852,1.0086,1.0731,424800,0.0645,6.4
1995-12-08,1.0086,1.0328,1.0086,1.0328,800,-0.0404,-3.76
1995-12-11,1.0852,1.1094,1.0852,1.0973,36000,0.0645,6.25
1995-12-12,1.0852,1.1336,1.0852,1.1336,1600,0.0363,3.31
1995-12-13,1.1336,1.1336,1.1336,1.1336,42000,0.0,0.0
1995-12-14,1.1377,1.1861,1.1336,1.1336,103200,0.0,0.0
1995-12-15,1.1377,1.1619,1.1336,1.1458,36000,0.0121,1.07
1995-12-18,1.1377,1.1619,1.1336,1.1336,107200,-0.0121,-1.06
1995-12-19,1.1498,1.1619,1.1094,1.1094,235200,-0.0243,-2.14
1995-12-20,1.1094,1.1094,1.1094,1.1094,1600,0.0,0.0
1995-12-21,1.1377,1.1619,1.1094,1.1094,28400,0.0,0.0
1995-12-22,1.1094,1.1094,1.1094,1.1094,1200,0.0,0.0
1995-12-26,1.1619,1.1861,1.1336,1.1861,145200,0.0767,6.91
1995-12-27,1.1377,1.1861,1.1336,1.1336,7200,-0.0524,-4.42
1995-12-28,1.2103,1.287,1.2103,1.287,30400,0.1533,13.52
1995-12-29,1.2103,1.287,1.2103,1.2103,8800,-0.0767,-5.96
1996-01-02,1.2103,1.2627,1.2103,1.2627,83200,0.0524,4.33
1996-01-03,1.287,1.287,1.287,1.287,400,0.0242,1.92
1996-01-04,1.2103,1.287,1.2103,1.287,2800,0.0,0.0
1996-01-05,1.2748,1.287,1.2103,1.287,94800,0.0,0.0
1996-01-08,1.287,1.287,1.2345,1.2345,9600,-0.0525,-4.08
1996-01-09,1.287,1.287,1.2345,1.2345,2000,0.0,0.0
1996-01-10,1.2345,1.2345,1.2345,1.2345,35600,0.0,0.0
1996-01-11,1.287,1.287,1.2345,1.2345,41600,0.0,0.0
1996-01-12,1.2345,1.2345,1.2103,1.2345,13200,0.0,0.0
1996-01-15,1.2345,1.2345,1.2345,1.2345,4000,0.0,0.0
1996-01-16,1.2345,1.2345,1.2345,1.2345,2000,0.0,0.0
1996-01-17,1.2627,1.2627,1.2345,1.2345,59200,0.0,0.0
1996-01-18,1.2385,1.3112,1.2224,1.2345,320800,0.0,0.0
1996-01-19,1.2385,1.3112,1.2345,1.287,12800,0.0525,4.25
1996-01-22,1.2345,1.2345,1.2345,1.2345,12400,-0.0525,-4.08
1996-01-23,1.2385,1.2627,1.061,1.1094,523600,-0.125,-10.13
1996-01-24,1.1619,1.1861,1.1619,1.1861,4000,0.0767,6.91
1996-01-25,1.1094,1.1094,1.1094,1.1094,800,-0.0766,-6.46
1996-01-29,1.1458,1.1458,1.1094,1.1094,91600,0.0,0.0
1996-01-30,1.1861,1.1861,1.1094,1.1094,108800,0.0,0.0
1996-02-01,1.1094,1.1094,1.1094,1.1094,2400,0.0,0.0
1996-02-05,1.1094,1.1861,1.1094,1.1861,14000,0.0767,6.91
1996-02-06,1.1861,1.1861,1.1094,1.1094,2400,-0.0766,-6.46
1996-02-07,1.1094,1.1215,1.1094,1.1215,2800,0.0121,1.09
1996-02-08,1.1861,1.1861,1.1861,1.1861,2000,0.0646,5.76
1996-02-09,1.1094,1.1861,1.1094,1.1094,2800,-0.0766,-6.46
1996-02-14,1.1094,1.1094,1.1094,1.1094,4400,0.0,0.0
1996-02-15,1.1094,1.1094,1.1094,1.1094,4800,0.0,0.0
1996-02-16,1.0852,1.0852,1.0852,1.0852,16000,-0.0242,-2.18
1996-02-20,1.0852,1.0852,1.061,1.061,18000,-0.0242,-2.23
1996-02-21,1.0167,1.0852,0.9844,1.0731,1038400,0.0121,1.14
1996-02-22,1.0207,1.0207,1.0207,1.0207,60000,-0.0525,-4.89
1996-02-23,1.0167,1.061,1.0167,1.0449,174000,0.0242,2.37
1996-02-26,1.0086,1.0086,1.0086,1.0086,800,-0.0363,-3.47
1996-02-27,1.061,1.0852,1.0086,1.0449,73600,0.0363,3.6
1996-02-28,1.0086,1.0167,1.0086,1.0167,8000,-0.0282,-2.7
1996-03-01,1.0086,1.0086,1.0086,1.0086,9600,-0.008,-0.79
1996-03-05,1.0207,1.0207,1.0086,1.0207,172400,0.0121,1.2
1996-03-06,1.0449,1.0449,1.0328,1.0328,16000,0.0121,1.19
1996-03-07,1.0086,1.0852,1.0086,1.0852,103200,0.0525,5.08
1996-03-08,1.0086,1.0852,1.0086,1.0852,1055600,0.0,0.0
1996-03-11,1.0368,1.1094,1.0328,1.1094,12400,0.0242,2.23
1996-03-12,1.0973,1.1094,1.0973,1.1094,18000,0.0,0.0
1996-03-13,1.1094,1.1336,1.061,1.1336,30000,0.0242,2.18
1996-03-14,1.061,1.1336,1.061,1.1336,22400,0.0,0.0
1996-03-15,1.1619,1.1861,1.1619,1.1861,32000,0.0525,4.63
1996-03-18,1.1377,1.2103,1.1336,1.1336,196800,-0.0524,-4.42
1996-03-19,1.1377,1.174,1.1336,1.174,166400,0.0404,3.56
1996-03-22,1.1377,1.174,1.1336,1.174,44400,0.0,0.0
1996-03-25,1.1336,1.1336,1.1336,1.1336,1600,-0.0404,-3.44
1996-03-27,1.1377,1.2103,1.1336,1.2103,2000,0.0766,6.76
1996-03-28,1.1377,1.2103,1.1336,1.2103,28400,0.0,0.0
1996-03-29,1.1377,1.2345,1.1336,1.2345,65600,0.0242,2.0
1996-04-01,1.2103,1.2103,1.1861,1.2103,8000,-0.0242,-1.96
1996-04-02,1.1861,1.2426,1.1861,1.2103,154800,0.0,0.0
1996-04-03,1.2103,1.2103,1.2103,1.2103,7200,0.0,0.0
1996-04-04,1.2103,1.2748,1.2103,1.2345,206800,0.0242,2.0
1996-04-08,1.2385,1.2466,1.2345,1.2345,63200,0.0,0.0
1996-04-10,1.287,1.287,1.2345,1.287,21200,0.0525,4.25
1996-04-11,1.2345,1.2345,1.2345,1.2345,800,-0.0525,-4.08
1996-04-12,1.2385,1.287,1.2345,1.2345,50400,0.0,0.0
1996-04-15,1.2345,1.2345,1.2345,1.2345,8800,0.0,0.0
1996-04-16,1.2385,1.2627,1.2345,1.2627,6800,0.0283,2.29
1996-04-17,1.287,1.287,1.2345,1.287,86000,0.0242,1.92
1996-04-18,1.287,1.287,1.2345,1.2345,16400,-0.0525,-4.08
1996-04-19,1.2385,1.2627,1.2345,1.2345,44800,0.0,0.0
1996-04-22,1.2466,1.2466,1.2345,1.2345,10400,0.0,0.0
1996-04-23,1.2345,1.2345,1.2345,1.2345,4800,0.0,0.0
1996-04-24,1.2627,1.287,1.2627,1.287,200800,0.0525,4.25
1996-04-25,1.2385,1.3354,1.2345,1.2627,14800,-0.0242,-1.88
1996-04-26,1.3354,1.3354,1.2627,1.3354,60000,0.0726,5.75
1996-04-29,1.3354,1.3354,1.2627,1.2627,10400,-0.0726,-5.44
1996-04-30,1.2991,1.2991,1.2991,1.2991,400,0.0364,2.88
1996-05-01,1.3394,1.3636,1.2627,1.3636,296800,0.0646,4.97
1996-05-02,1.3112,1.3878,1.3112,1.3878,185200,0.0243,1.78
1996-05-03,1.3878,1.3878,1.3112,1.3112,48000,-0.0766,-5.52
1996-05-06,1.3878,1.3878,1.3112,1.3354,60000,0.0243,1.85
1996-05-07,1.3112,1.3878,1.3112,1.3475,289200,0.0122,0.91
1996-05-08,1.3475,1.3475,1.3354,1.3354,7600,-0.0121,-0.9
1996-05-09,1.3112,1.3112,1.3112,1.3112,14800,-0.0242,-1.81
1996-05-10,1.3112,1.3475,1.3112,1.3112,665600,0.0,0.0
1996-05-13,1.3112,1.3112,1.3112,1.3112,14000,0.0,0.0
1996-05-14,1.3112,1.3475,1.3112,1.3112,18400,0.0,0.0
1996-05-15,1.3313,1.3354,1.3313,1.3354,36000,0.0243,1.85
1996-05-16,1.3112,1.3878,1.3112,1.3878,76800,0.0525,3.93
1996-05-17,1.3394,1.4241,1.3354,1.4241,1014800,0.0364,2.62
1996-05-20,1.4403,1.5371,1.4362,1.5371,167200,0.1129,7.93
1996-05-21,1.5411,1.5895,1.5129,1.5774,427200,0.0403,2.62
1996-05-22,1.6137,1.6137,1.5371,1.5371,315600,-0.0404,-2.56
1996-05-23,1.5371,1.5371,1.5371,1.5371,38800,0.0,0.0
1996-05-24,1.5411,1.6137,1.5371,1.6137,23200,0.0767,4.99
1996-05-28,1.6137,1.6137,1.5371,1.5371,45600,-0.0767,-4.75
1996-05-29,1.5411,1.6137,1.5371,1.5371,893600,0.0,0.0
1996-05-30,1.5371,1.5371,1.5371,1.5371,4400,0.0,0.0
1996-05-31,1.5371,1.5371,1.5371,1.5371,1600,0.0,0.0
1996-06-03,1.6137,1.6137,1.6137,1.6137,2000,0.0767,4.99
1996-06-04,1.5371,1.5371,1.5371,1.5371,13600,-0.0767,-4.75
