日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2010-04-16,11.6683,11.893,11.6049,11.8124,2368392,0.0,0.0
2010-04-19,11.9276,11.9276,11.6107,11.6395,247563,-0.1725,-1.46
2010-04-20,11.6395,11.7202,11.5243,11.5243,150910,-0.1152,-0.99
2010-04-21,11.5243,11.5473,11.2362,11.4321,233740,-0.0922,-0.8
2010-04-22,11.409,11.5416,11.2304,11.5127,55799,0.0812,0.71
2010-04-23,11.7029,11.7029,11.3687,11.3687,56025,-0.1439,-1.25
2010-04-26,11.3111,11.5588,11.2938,11.5185,90164,0.1501,1.32
2010-04-27,11.5289,11.6798,11.4263,11.4897,46650,-0.0288,-0.25
2010-04-28,11.6683,11.6683,11.4955,11.4955,30012,0.0057,0.05
2010-04-29,11.5531,11.6107,11.4148,11.53,23024,0.0345,0.3
2010-04-30,11.5185,11.5243,11.2131,11.4378,55900,-0.0922,-0.8
2010-05-03,11.4263,11.4897,11.2995,11.3514,27207,-0.0869,-0.76
2010-05-04,11.3226,11.5243,11.3226,11.4609,57182,0.109,0.96
2010-05-05,11.4205,11.5646,11.3168,11.5127,46444,0.0516,0.45
2010-05-06,11.5646,11.5646,11.2131,11.3226,6000,-0.19,-1.65
2010-05-07,11.1958,11.3802,11.1958,11.3399,42235,0.017,0.15
2010-05-10,11.5243,11.8585,11.5012,11.5243,15900,0.1848,1.63
2010-05-11,11.4205,11.6395,11.3572,11.4378,13100,-0.0864,-0.75
2010-05-12,11.3802,11.7317,11.1152,11.5243,19150,0.0869,0.76
2010-05-13,11.5819,11.6337,11.5243,11.5588,8300,0.0346,0.3
2010-05-14,11.4955,11.6337,11.4666,11.4666,5500,-0.0925,-0.8
2010-05-17,11.5243,11.5416,11.1203,11.2016,23370,-0.2649,-2.31
2010-05-18,11.2938,11.2938,10.6023,10.9077,113026,-0.2935,-2.62
2010-05-19,10.9769,11.1728,10.8674,10.8674,13799,-0.0404,-0.37
2010-05-20,10.7176,10.7867,10.3891,10.4813,83600,-0.3858,-3.55
2010-05-21,10.4698,10.5706,10.1183,10.1702,66438,-0.3113,-2.97
2010-05-24,10.2278,10.5389,10.2278,10.2796,26800,0.1098,1.08
2010-05-25,10.0722,10.3085,10.0664,10.1471,41611,-0.1326,-1.29
2010-05-26,10.3661,10.4813,10.0837,10.4122,196516,0.2648,2.61
2010-05-27,10.4006,10.4179,10.1471,10.3488,48135,-0.0635,-0.61
2010-05-28,10.3718,10.3718,10.3257,10.3718,20688,0.0228,0.22
2010-06-01,10.2854,10.4179,10.1414,10.343,23300,-0.029,-0.28
2010-06-02,10.3142,10.4179,10.3142,10.4179,3600,0.0745,0.72
2010-06-03,10.3257,10.4594,10.3257,10.4006,12012,-0.0177,-0.17
2010-06-04,10.3718,10.4064,10.3315,10.343,15832,-0.0572,-0.55
2010-06-07,10.3718,10.4352,10.3546,10.4006,18100,0.0579,0.56
