日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2020-12-31,10.0,10.0,8.37,9.01,249770,-1.81,-16.73
2021-01-04,9.0501,9.25,7.2,7.57,143869,-1.44,-15.98
2021-01-05,7.5,7.96,7.2,7.35,71964,-0.22,-2.9062
2021-01-06,7.5,7.6,6.4,6.71,95454,-0.64,-8.71
2021-01-07,6.72,7.5,6.4,7.07,76286,0.36,5.37
2021-01-08,7.47,7.47,6.6,6.9344,55393,-0.136,-1.92
2021-01-11,7.14,7.45,6.93,7.35,50012,0.416,6.0
2021-01-12,7.35,7.82,7.16,7.5,32896,0.15,2.04
2021-01-13,7.5,7.82,6.78,7.1,87260,-0.4,-5.33
2021-01-14,7.09,7.46,6.5,6.93,80428,-0.17,-2.39
2021-01-15,6.85,7.04,6.48,6.65,91672,-0.28,-4.04
2021-01-19,6.95,6.95,6.55,6.8,82411,0.15,2.26
2021-01-20,6.7,7.05,6.6001,7.04,72337,0.24,3.5294
2021-01-21,6.9,6.9,6.585,6.62,86990,-0.42,-5.97
2021-01-22,6.53,6.9,6.3,6.89,55607,0.27,4.0785
2021-01-25,6.89,7.0,6.8,7.0,58654,0.11,1.6
2021-01-26,7.0,7.0,6.6,6.76,86868,-0.24,-3.43
2021-01-27,6.6,6.76,6.4,6.55,113601,-0.21,-3.11
2021-01-28,6.4,6.69,6.355,6.49,43512,-0.06,-0.92
2021-01-29,6.65,6.65,6.3,6.39,93434,-0.1,-1.54
2021-02-01,6.5,6.65,6.23,6.55,67262,0.16,2.5
2021-02-02,6.59,6.6,6.38,6.54,74773,-0.01,-0.15
2021-02-03,7.75,13.68,7.75,13.21,6134125,6.67,101.9878
2021-02-04,13.05,13.1,10.32,10.94,950232,-2.27,-17.18
2021-02-05,11.0,11.29,10.38,10.73,211825,-0.21,-1.92
2021-02-08,10.75,11.45,10.5,11.37,182670,0.64,5.96
2021-02-09,11.13,11.2749,10.6,10.9,210469,-0.47,-4.13
2021-02-10,10.1,10.95,9.95,10.79,176108,-0.11,-1.01
2021-02-11,10.86,11.05,10.73,10.79,150158,0.0,0.0
2021-02-12,10.86,12.49,10.3968,12.49,236195,1.7,15.76
2021-02-16,12.56,16.5,12.56,16.3,462182,3.81,30.5
2021-02-17,15.66,15.85,13.4,14.44,329731,-1.86,-11.41
2021-02-18,14.4,14.43,13.35,13.9,116539,-0.54,-3.74
2021-02-19,13.95,14.39,13.3,13.61,91685,-0.29,-2.0863
2021-02-22,14.0,14.6,13.6001,13.79,104390,0.18,1.32
2021-02-23,13.61,13.61,12.5601,13.12,80592,-0.67,-4.86
2021-02-24,13.54,14.69,13.1832,14.54,268359,1.42,10.82
2021-02-25,14.59,14.69,12.6296,13.03,204524,-1.51,-10.39
2021-02-26,12.7,13.46,12.61,12.84,59676,-0.19,-1.46
2021-03-01,13.15,13.975,12.94,13.58,102508,0.74,5.76
2021-03-02,13.66,14.58,13.5949,13.76,143887,0.18,1.33
2021-03-03,13.64,14.075,13.21,13.51,54569,-0.25,-1.82
2021-03-04,13.38,13.38,10.83,11.11,115547,-2.4,-17.76
2021-03-05,11.2,11.49,10.0,10.81,133907,-0.3,-2.7003
2021-03-08,10.96,12.44,10.75,11.67,100143,0.86,7.96
2021-03-09,11.84,13.59,11.8,13.11,124611,1.44,12.34
2021-03-10,12.99,14.03,12.74,13.76,161284,0.65,4.96
2021-03-11,13.92,14.5,13.81,14.35,148563,0.59,4.29
2021-03-12,14.23,14.35,14.0,14.25,85092,-0.1,-0.6969
2021-03-15,14.32,14.7,14.15,14.4,130697,0.15,1.05
2021-03-16,14.46,14.5,13.31,13.41,152820,-0.99,-6.88
2021-03-17,13.49,14.0,13.23,13.59,289755,0.18,1.34
2021-03-18,13.49,14.5,13.3874,14.22,289558,0.63,4.64
2021-03-19,14.31,14.31,13.29,13.48,1175686,-0.74,-5.2
2021-03-22,13.74,14.02,13.5,13.98,258006,0.5,3.71
2021-03-23,13.67,13.89,12.76,13.29,188166,-0.69,-4.94
2021-03-24,13.29,13.5455,12.92,13.0,76569,-0.29,-2.1821
2021-03-25,13.0,14.0,12.85,13.87,80143,0.87,6.69
2021-03-26,14.03,14.03,13.24,13.88,90186,0.01,0.07
2021-03-29,13.53,13.88,13.38,13.8,54989,-0.08,-0.5764
2021-03-30,13.77,14.02,13.42,13.89,54471,0.09,0.65
2021-03-31,13.93,14.0,12.77,12.78,161962,-1.11,-7.99
2021-04-01,12.78,13.31,12.56,13.0,54554,0.22,1.7214
2021-04-05,13.0,13.38,12.97,13.11,44137,0.11,0.8462
2021-04-06,13.02,13.42,12.94,13.33,66180,0.22,1.68
2021-04-07,13.29,13.29,12.92,12.99,75738,-0.34,-2.55
2021-04-08,13.07,13.08,12.7,12.84,32710,-0.15,-1.1547
2021-04-09,12.84,12.85,12.37,12.58,28612,-0.26,-2.0249
2021-04-12,12.58,12.65,12.2,12.64,22823,0.06,0.4769
2021-04-13,12.6,12.76,12.32,12.39,24834,-0.25,-1.98
2021-04-14,12.38,13.15,12.31,12.89,114390,0.5,4.0355
2021-04-15,13.11,13.23,12.36,12.48,48947,-0.41,-3.18
2021-04-16,12.52,12.52,11.38,11.71,50979,-0.77,-6.1699
2021-04-19,11.68,11.77,10.83,10.84,91555,-0.87,-7.4295
2021-04-20,10.9,11.9597,10.5,10.89,90380,0.05,0.4613
2021-04-21,10.96,11.27,10.87,10.87,82882,-0.02,-0.18
2021-04-22,11.0,11.1,10.25,10.25,72202,-0.62,-5.7
2021-04-23,10.37,10.64,9.45,9.45,877877,-0.8,-7.8
2021-04-26,9.925,10.15,9.42,9.42,83592,-0.03,-0.32
2021-04-27,9.33,9.98,9.33,9.49,64790,0.07,0.7431
2021-04-28,9.49,10.0,9.49,9.74,27877,0.25,2.6344
2021-04-29,9.76,9.87,9.16,9.36,43148,-0.38,-3.9
2021-04-30,9.24,9.4599,8.91,9.0,41440,-0.36,-3.85
2021-05-03,9.29,10.09,9.28,9.66,106292,0.66,7.33
2021-05-04,9.66,10.265,8.64,8.9,89435,-0.76,-7.87
2021-05-05,8.87,9.31,8.7001,8.84,58936,-0.06,-0.6742
2021-05-06,8.84,9.16,7.8,7.97,96128,-0.87,-9.84
2021-05-07,8.65,11.0,8.01,9.19,380794,1.22,15.31
2021-05-10,9.45,10.18,8.03,8.26,125444,-0.93,-10.12
2021-05-11,7.73,7.7301,6.75,7.29,186759,-0.97,-11.74
2021-05-12,7.62,7.705,7.3,7.4,94372,0.11,1.51
2021-05-13,7.38,7.38,6.81,6.98,113927,-0.42,-5.68
2021-05-14,7.07,7.47,7.0001,7.3,43844,0.32,4.58
2021-05-17,7.29,8.9799,7.29,8.59,109440,1.29,17.67
2021-05-18,8.6,9.63,8.51,9.1,70208,0.51,5.9371
2021-05-19,9.0,9.14,8.6712,8.95,41685,-0.15,-1.65
2021-05-20,9.29,9.49,8.95,9.39,84612,0.44,4.92
2021-05-21,9.29,9.74,9.1,9.63,78529,0.24,2.5559
2021-05-24,9.9598,9.9598,8.64,8.91,96066,-0.72,-7.48
2021-05-25,9.71,9.92,9.145,9.52,107858,0.61,6.85
2021-05-26,9.46,10.43,9.46,10.43,249699,0.91,9.56
2021-05-27,10.51,10.9493,10.16,10.6,143288,0.17,1.63
2021-05-28,10.89,11.77,10.87,11.4,241169,0.8,7.5472
2021-06-01,11.5,11.94,10.5767,10.78,154763,-0.62,-5.4386
2021-06-02,11.07,11.15,10.53,10.76,86567,-0.02,-0.19
2021-06-03,10.54,10.805,10.3101,10.55,87635,-0.21,-1.9517
2021-06-04,10.64,10.77,10.38,10.56,55114,0.01,0.0948
2021-06-07,10.61,11.5,10.56,11.18,176798,0.62,5.87
2021-06-08,11.57,11.83,11.4,11.6,150060,0.42,3.76
2021-06-09,11.7,12.28,11.47,12.01,161020,0.41,3.53
2021-06-10,12.0,12.0,11.25,11.85,180677,-0.16,-1.3322
2021-06-11,11.84,11.84,11.0,11.14,100108,-0.71,-5.99
2021-06-14,11.14,11.84,11.07,11.36,159401,0.22,1.97
2021-06-15,11.29,11.655,10.92,11.22,114309,-0.14,-1.23
2021-06-16,11.25,11.499,10.9035,11.24,137363,0.02,0.18
2021-06-17,11.31,11.6,11.08,11.59,161224,0.35,3.11
2021-06-18,11.61,12.07,11.1,11.88,278909,0.29,2.5
2021-06-21,11.85,11.85,11.28,11.31,142755,-0.57,-4.8
