日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2020-02-12,5.2799,5.61,5.2273,5.61,59513,0.475,9.25
2020-02-13,5.6,6.3294,5.31,6.1,299237,0.49,8.73
2020-02-14,6.1,6.1,5.6,5.84,146474,-0.26,-4.26
2020-02-18,5.99,5.99,5.5,5.86,114464,0.02,0.34
2020-02-19,5.52,5.8699,5.52,5.8,55321,-0.06,-1.02
2020-02-20,5.6233,5.7423,5.1901,5.5,120684,-0.3,-5.17
2020-02-21,5.35,5.61,5.3004,5.52,38990,0.02,0.36
2020-02-24,5.41,5.5,5.3,5.45,36001,-0.07,-1.27
2020-02-25,5.46,5.475,5.3101,5.32,31841,-0.13,-2.39
2020-02-26,5.26,5.36,5.2,5.2017,76102,-0.1183,-2.22
2020-02-27,5.14,5.15,4.92,5.12,75417,-0.0817,-1.57
2020-02-28,5.0,5.0,4.8,4.92,65795,-0.2,-3.91
2020-03-02,4.86,5.19,4.86,5.1,27202,0.18,3.66
2020-03-03,5.13,5.15,4.82,5.06,22413,-0.04,-0.78
2020-03-04,5.1,5.15,4.84,4.98,44957,-0.08,-1.58
2020-03-05,4.96,5.01,4.65,4.77,56605,-0.21,-4.22
2020-03-06,4.57,4.88,4.57,4.8,25602,0.03,0.63
2020-03-09,4.63,4.74,4.22,4.33,46342,-0.47,-9.79
2020-03-10,4.5,4.6999,4.3,4.56,37547,0.23,5.31
2020-03-11,4.55,4.7371,4.3788,4.38,46774,-0.18,-3.95
2020-03-12,4.02,4.3962,3.9415,4.03,87452,-0.35,-7.99
2020-03-13,4.15,4.49,4.15,4.3,35607,0.27,6.7
2020-03-16,4.2,4.235,3.71,3.99,46155,-0.31,-7.21
2020-03-17,4.1,4.111,3.52,3.69,75520,-0.3,-7.52
2020-03-18,3.6281,3.96,3.15,3.3716,62499,-0.3184,-8.63
2020-03-19,3.25,3.68,3.25,3.5648,34055,0.1932,5.73
2020-03-20,3.67,3.7577,3.29,3.33,44320,-0.2348,-6.59
2020-03-23,3.05,3.43,2.8601,3.39,64473,0.06,1.8
2020-03-24,3.4,3.64,3.21,3.47,54214,0.08,2.36
2020-03-25,3.38,3.59,3.0,3.42,48029,-0.05,-1.44
2020-03-26,3.52,3.99,3.52,3.86,50244,0.44,12.87
2020-03-27,3.9,3.9975,3.49,3.66,40169,-0.2,-5.18
2020-03-30,3.4517,3.65,3.18,3.46,35487,-0.2,-5.46
2020-03-31,3.8281,3.88,3.49,3.58,14243,0.12,3.47
2020-04-01,3.7639,3.7639,3.0973,3.18,45726,-0.4,-11.17
2020-04-02,3.1,3.5149,3.1,3.32,64640,0.14,4.4
2020-04-03,3.3479,3.45,3.17,3.28,29326,-0.04,-1.2
2020-04-06,3.28,3.71,3.2717,3.43,10899,0.15,4.57
2020-04-07,3.53,3.53,3.26,3.48,17409,0.05,1.46
