日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1997-01-02,2.2868,2.2868,2.2255,2.2868,7000,0.0,0.0
1997-01-03,2.4104,2.4104,2.2255,2.3491,10400,0.0691,3.03
1997-01-06,2.4727,2.4727,2.3491,2.4104,7200,0.0592,2.52
1997-01-07,2.4727,2.4727,2.4727,2.4727,2500,0.0594,2.46
1997-01-08,2.4727,2.5964,2.4727,2.5964,2000,0.1283,5.2
1997-01-09,2.4727,2.5964,2.4727,2.5341,10800,-0.0692,-2.66
1997-01-10,2.4104,2.6577,2.4104,2.5964,8800,0.069,2.73
1997-01-13,2.5964,2.5964,2.5964,2.5964,600,0.0,0.0
1997-01-14,2.5341,2.5964,2.5341,2.5341,4900,-0.0692,-2.66
1997-01-15,2.5341,2.5964,2.4727,2.5964,8800,0.069,2.73
1997-01-16,2.4727,2.5341,2.4727,2.5341,12000,-0.0692,-2.66
1997-01-17,2.4727,2.5341,2.4727,2.4727,10100,-0.0592,-2.34
1997-01-20,2.8436,3.0909,2.8436,3.0909,60100,0.6221,25.2
1997-01-21,3.2146,3.2146,2.9673,2.9673,30600,-0.1285,-4.15
1997-01-22,2.9673,3.0286,2.72,2.8436,20100,-0.1185,-4.0
1997-01-23,2.9673,2.9673,2.7813,2.905,5400,0.0592,2.08
1997-01-24,2.8436,2.905,2.8436,2.8436,4600,-0.0592,-2.04
1997-01-27,2.8436,2.8436,2.8436,2.8436,5400,0.0,0.0
1997-01-28,2.8436,2.8436,2.7813,2.7813,7600,-0.0693,-2.43
1997-01-29,2.72,2.8436,2.72,2.72,17400,-0.0595,-2.14
1997-01-30,2.72,2.8436,2.72,2.7813,8400,0.0593,2.18
1997-01-31,2.8436,2.8436,2.7813,2.7813,11800,0.0,0.0
1997-02-03,2.72,2.9673,2.72,2.8436,11600,0.0691,2.49
1997-02-04,2.8436,2.9673,2.8436,2.8436,9000,0.0,0.0
1997-02-05,2.72,2.905,2.72,2.905,2000,0.0592,2.08
1997-02-06,2.9673,2.9673,2.8436,2.905,10900,0.0,0.0
1997-02-07,2.9673,2.9673,2.905,2.905,7000,0.0,0.0
1997-02-10,2.9673,2.9673,2.905,2.905,7800,0.0,0.0
1997-02-11,2.8436,2.9673,2.7813,2.9673,9600,0.0593,2.04
1997-02-12,2.905,2.905,2.905,2.905,3100,-0.0593,-2.0
1997-02-13,2.9673,2.9673,2.8436,2.9673,14600,0.0593,2.04
1997-02-14,2.9673,2.9673,2.8436,2.905,10800,-0.0593,-2.0
1997-02-18,2.8436,2.905,2.8436,2.8436,6500,-0.0592,-2.04
1997-02-19,2.72,2.72,2.6577,2.72,16500,-0.1285,-4.51
1997-02-20,2.6577,2.72,2.5964,2.5964,18900,-0.1184,-4.36
1997-02-21,2.5341,2.5964,2.4727,2.5964,16100,0.0,0.0
1997-02-24,2.5341,2.5964,2.5341,2.5964,4100,,
1997-02-25,2.5341,2.72,2.5341,2.72,9000,,
1997-02-26,2.72,2.72,2.5341,2.72,18800,0.1186,4.56
1997-02-27,2.6577,2.7813,2.6577,2.7813,21500,0.0593,2.18
1997-02-28,2.7813,2.7813,2.72,2.7813,9900,0.0,0.0
1997-03-03,2.7813,2.7813,2.72,2.72,9900,-0.0595,-2.14
