日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2014-09-25,28.5,30.4,26.8,30.4,14251380,8.4,38.18
2014-09-26,29.71,29.9,29.12,29.52,936359,-0.88,-2.89
2014-09-29,28.99,29.25,28.72,28.72,417239,-0.8,-2.71
2014-09-30,28.75,28.79,27.99,28.1,719842,-0.62,-2.16
2014-10-01,28.1,29.4,28.1,28.94,300123,0.84,2.99
2014-10-02,28.71,28.94,27.5,28.62,282759,-0.32,-1.11
2014-10-03,28.75,28.75,27.73,28.0,87467,-0.62,-2.17
2014-10-06,27.99,28.5,27.8,28.04,87921,0.04,0.14
2014-10-07,27.99,28.37,27.82,28.1,165537,0.06,0.21
2014-10-08,27.92,28.174,27.75,27.92,242608,-0.18,-0.64
2014-10-09,27.72,28.08,27.5,27.62,126770,-0.3,-1.07
2014-10-10,27.5,27.94,26.52,26.97,419561,-0.65,-2.35
2014-10-13,26.84,26.84,25.757,26.11,325667,-0.86,-3.19
2014-10-14,26.1,26.49,25.5,25.87,283679,-0.24,-0.92
2014-10-15,25.87,26.0,24.546,25.93,215574,0.06,0.23
2014-10-16,25.5,27.66,25.0,26.95,130661,1.02,3.93
2014-10-17,27.34,27.479,26.0,27.03,108266,0.08,0.3
2014-10-20,26.88,27.7,26.0,27.59,134483,0.56,2.07
2014-10-21,27.69,29.23,27.69,28.66,122554,1.07,3.88
2014-10-22,28.84,29.95,28.393,28.4,280726,-0.26,-0.91
2014-10-23,28.69,29.24,28.25,28.54,208549,0.14,0.49
2014-10-24,28.74,28.949,28.02,28.4,98007,-0.14,-0.49
2014-10-27,28.18,28.75,27.16,28.37,154697,-0.03,-0.11
2014-10-28,28.66,29.46,28.05,29.08,135139,0.71,2.5
2014-10-29,29.17,29.27,28.3,29.26,116295,0.18,0.62
2014-10-30,28.7,30.25,28.46,30.0,73465,0.74,2.53
2014-10-31,30.49,30.5,29.591,30.26,155863,0.26,0.87
2014-11-03,30.16,31.73,29.99,31.05,101016,0.79,2.61
2014-11-04,30.8,31.028,29.16,29.86,111099,-1.19,-3.83
2014-11-05,29.67,30.939,29.5,30.18,104870,0.32,1.07
2014-11-06,30.02,30.4,29.72,30.4,42184,0.22,0.73
2014-11-07,30.45,32.4,29.76,30.36,227307,-0.04,-0.13
2014-11-10,30.31,31.67,29.58,29.64,48993,-0.72,-2.37
2014-11-11,29.6,30.415,29.6,30.36,55094,0.72,2.43
2014-11-12,30.31,30.64,30.0,30.5,31967,0.14,0.46
2014-11-13,30.93,31.618,30.51,30.8,104370,0.3,0.98
2014-11-14,30.99,31.3,29.81,29.83,31571,-0.97,-3.15
2014-11-17,29.97,30.38,29.73,30.22,156585,0.39,1.31
2014-11-18,30.13,30.5,29.76,29.97,68002,-0.25,-0.83
2014-11-19,29.87,30.0,28.5,29.91,80618,-0.06,-0.2
2014-11-20,29.71,29.94,29.11,29.94,55427,0.03,0.1
2014-11-21,29.99,29.99,29.0,29.51,107943,-0.43,-1.44
2014-11-24,29.39,29.58,28.0,28.38,191367,-1.13,-3.83
2014-11-25,28.38,29.75,27.56,28.47,130233,0.09,0.32
2014-11-26,28.57,28.74,27.76,28.11,44645,-0.36,-1.26
2014-11-28,28.39,28.39,26.11,27.46,85019,-0.65,-2.31
2014-12-01,27.31,27.46,25.46,26.5,388030,-0.96,-3.5
2014-12-02,26.59,27.58,26.0,26.72,115905,0.22,0.83
2014-12-03,26.87,28.98,26.7,28.0,148812,1.28,4.79
2014-12-04,27.98,28.95,26.5,26.5,77174,-1.5,-5.36
2014-12-05,26.72,27.181,26.6,26.91,103762,0.41,1.55
2014-12-08,26.66,26.97,24.75,25.53,169119,-1.38,-5.13
2014-12-09,25.5,26.19,25.17,25.56,281781,0.03,0.12
2014-12-10,25.56,26.01,23.08,24.31,378963,-1.25,-4.89
2014-12-11,24.5,26.9,24.5,25.22,199492,0.91,3.74
2014-12-12,25.076,25.97,24.36,25.64,55039,0.42,1.67
2014-12-15,25.72,26.5,24.005,25.84,86252,0.2,0.78
2014-12-16,25.5,26.434,24.1,24.67,211237,-1.17,-4.53
2014-12-17,24.75,25.65,23.64,24.75,191631,0.08,0.32
2014-12-18,25.01,25.5,24.0,24.63,62279,-0.12,-0.48
2014-12-19,24.74,24.74,23.86,23.91,82119,-0.72,-2.92
2014-12-22,23.85,24.3,22.2,24.06,204531,0.15,0.63
2014-12-23,24.18,24.19,22.729,23.97,134272,-0.09,-0.37
2014-12-24,23.88,23.88,23.35,23.56,85107,-0.41,-1.71
2014-12-26,23.38,23.38,23.07,23.23,136100,-0.33,-1.4
2014-12-29,23.18,24.0,22.5,23.16,192375,-0.07,-0.3
2014-12-30,23.33,25.02,23.15,24.43,82410,1.27,5.48
2014-12-31,24.34,25.98,23.88,24.12,454595,-0.31,-1.27
2015-01-02,24.32,25.89,23.8,25.41,44216,1.29,5.35
2015-01-05,25.34,25.34,23.15,23.15,100850,-2.26,-8.89
2015-01-06,23.07,23.42,22.55,22.69,149149,-0.46,-1.99
2015-01-07,22.43,23.01,21.58,22.89,415871,0.2,0.88
2015-01-08,22.93,23.31,21.99,22.31,56038,-0.58,-2.53
2015-01-09,22.25,22.459,21.715,22.23,87748,-0.08,-0.36
2015-01-12,22.0,22.139,21.155,21.37,87425,-0.86,-3.87
2015-01-13,21.36,22.12,20.44,21.0,131698,-0.37,-1.73
2015-01-14,20.51,20.875,19.22,20.33,250932,-0.67,-3.19
2015-01-15,20.49,21.08,19.525,20.05,380849,-0.28,-1.38
2015-01-16,19.84,20.4,19.78,19.98,105649,-0.07,-0.35
2015-01-20,19.83,20.27,19.06,19.34,176699,-0.64,-3.2
2015-01-21,19.24,20.57,18.9,19.69,342507,0.35,1.81
2015-01-22,19.75,20.396,19.46,20.01,83540,0.32,1.63
2015-01-23,19.95,20.43,19.61,20.23,148237,0.22,1.1
2015-01-26,20.15,21.7,19.38,19.97,137355,-0.26,-1.29
2015-01-27,19.79,21.8,19.79,21.23,113663,1.26,6.31
2015-01-28,21.0,21.69,20.58,20.68,57847,-0.55,-2.59
2015-01-29,20.75,21.35,20.2,20.61,60593,-0.07,-0.34
2015-01-30,20.53,21.28,20.06,20.87,45413,0.26,1.26
2015-02-02,20.6,21.57,20.2,21.26,91718,0.61,2.93
2015-02-03,21.2,21.89,21.1,21.5,83541,0.24,1.13
2015-02-04,21.4,21.99,20.72,20.8,64110,-0.7,-3.26
2015-02-05,20.84,21.22,20.32,20.51,76446,-0.29,-1.39
2015-02-06,20.58,21.92,20.55,21.77,106371,1.26,6.14
2015-02-09,21.53,22.5,21.063,22.32,98220,0.55,2.53
2015-02-10,22.36,22.64,21.7,22.55,37576,0.23,1.03
2015-02-11,22.64,22.64,21.9,21.9,27018,-0.65,-2.88
2015-02-12,21.95,22.3,21.55,21.86,29575,-0.04,-0.18
2015-02-13,21.79,23.0,21.79,22.91,53363,1.05,4.8
2015-02-17,23.09,24.1,22.78,24.04,37169,1.13,4.93
2015-02-18,24.21,24.34,23.62,24.06,137527,0.02,0.08
2015-02-19,24.05,24.12,23.5,23.85,65002,-0.21,-0.87
2015-02-20,23.93,24.27,23.62,24.05,40997,0.2,0.84
2015-02-23,23.69,25.48,23.58,24.04,80206,-0.01,-0.04
2015-02-24,24.21,24.21,23.5,24.01,38515,-0.03,-0.12
2015-02-25,23.96,24.14,23.21,23.21,57053,-0.8,-3.33
2015-02-26,26.02,26.02,22.55,22.91,63831,-0.3,-1.29
2015-02-27,22.5,22.726,21.25,21.87,360653,-1.04,-4.54
2015-03-02,21.53,22.05,21.0,21.94,102007,0.07,0.32
2015-03-03,21.76,22.24,21.34,21.6,131828,-0.34,-1.55
2015-03-04,21.61,22.22,21.109,21.75,111341,0.15,0.69
2015-03-05,21.71,22.1,21.3,21.58,61227,-0.17,-0.78
2015-03-06,21.95,22.1,20.049,20.34,121380,-1.24,-5.75
2015-03-09,20.509,20.509,19.8,20.18,179674,-0.16,-0.79
2015-03-10,20.02,20.16,19.27,19.58,52614,-0.6,-2.97
2015-03-11,19.48,20.12,19.48,19.85,58961,0.27,1.38
2015-03-12,19.956,19.956,19.01,19.05,80400,-0.8,-4.03
2015-03-13,19.06,19.177,18.36,18.82,96778,-0.23,-1.21
2015-03-16,18.73,19.175,17.87,17.92,115827,-0.9,-4.78
2015-03-17,17.83,18.0,17.25,17.95,99934,0.03,0.17
2015-03-18,17.72,18.67,17.72,18.31,134792,0.36,2.01
2015-03-19,18.31,19.1,18.3,18.35,30608,0.04,0.22
2015-03-20,18.38,18.71,18.32,18.5,22702,0.15,0.82
2015-03-23,18.47,18.84,18.29,18.67,37826,0.17,0.92
2015-03-24,18.75,19.115,18.56,18.85,16026,0.18,0.96
2015-03-25,18.94,19.08,18.315,18.56,57042,-0.29,-1.54
2015-03-26,18.53,18.64,17.71,17.97,27677,-0.59,-3.18
2015-03-27,17.75,18.34,17.6,18.23,47119,0.26,1.45
2015-03-30,18.36,18.57,17.3,17.47,50620,-0.76,-4.17
2015-03-31,17.38,17.72,17.25,17.41,39235,-0.06,-0.34
2015-04-01,17.38,18.29,17.33,18.27,19125,0.86,4.94
2015-04-02,18.02,18.32,17.37,18.16,42702,-0.11,-0.6
2015-04-06,18.22,18.79,18.22,18.44,24181,0.28,1.54
2015-04-07,18.47,18.89,18.28,18.32,56091,-0.12,-0.65
2015-04-08,18.4,18.75,18.13,18.13,11117,-0.19,-1.04
2015-04-09,18.11,18.35,17.56,17.75,36726,-0.38,-2.1
2015-04-10,17.81,18.0,17.55,17.55,16884,-0.2,-1.13
2015-04-13,17.68,17.85,17.26,17.28,84765,-0.27,-1.54
2015-04-14,17.25,17.75,17.25,17.52,639800,0.24,1.39
2015-04-15,17.61,17.8,17.3,17.39,165363,-0.13,-0.74
2015-04-16,17.41,17.71,17.33,17.54,74741,0.15,0.86
2015-04-17,17.33,17.54,17.33,17.36,51437,-0.18,-1.03
2015-04-20,17.42,17.68,17.42,17.54,33700,0.18,1.04
2015-04-21,17.53,17.58,17.15,17.15,58483,-0.39,-2.22
2015-04-22,17.25,17.565,17.1,17.28,77991,0.13,0.76
2015-04-23,17.14,17.484,17.11,17.2,80217,-0.08,-0.46
2015-04-24,17.15,17.4,17.15,17.16,42099,-0.04,-0.23
2015-04-27,17.2,17.67,17.05,17.13,341252,-0.03,-0.17
2015-04-28,17.23,17.255,17.08,17.12,206321,-0.01,-0.06
2015-04-29,17.12,17.34,17.1,17.28,172287,0.16,0.93
2015-04-30,17.34,18.15,17.16,18.05,157035,0.77,4.46
2015-05-01,17.96,18.57,17.86,18.37,170804,0.53,2.99
2015-05-04,18.37,18.97,18.12,18.82,75621,0.45,2.45
2015-05-05,18.358,18.51,18.09,18.15,202124,-0.67,-3.56
2015-05-06,18.17,18.678,17.8,18.0,108201,-0.15,-0.83
2015-05-07,18.09,18.09,17.65,17.95,793707,-0.05,-0.28
2015-05-08,18.0,18.03,17.65,17.75,77892,-0.2,-1.11
2015-05-11,17.76,18.61,17.76,18.05,334189,0.3,1.69
2015-05-12,18.05,18.81,17.97,18.55,507775,0.5,2.77
2015-05-13,19.0,20.59,18.75,19.85,568452,1.3,7.01
2015-05-14,20.02,20.96,19.85,20.49,392389,0.64,3.22
2015-05-15,20.4,20.56,20.24,20.4,162475,-0.09,-0.44
2015-05-18,20.86,20.99,20.41,20.45,198901,0.05,0.25
2015-05-19,20.39,20.62,20.39,20.41,132107,-0.04,-0.2
2015-05-20,20.56,20.59,20.4,20.41,42056,0.0,0.0
2015-05-21,20.48,20.78,20.42,20.59,115803,0.18,0.88
2015-05-22,20.82,20.899,20.444,20.5,80725,-0.09,-0.44
2015-05-26,20.63,20.81,20.11,20.17,158570,-0.33,-1.61
2015-05-27,20.13,20.24,19.61,19.75,112764,-0.42,-2.08
2015-05-28,19.61,20.07,19.61,19.68,114694,-0.07,-0.35
2015-05-29,19.75,19.859,19.38,19.51,64419,-0.17,-0.86
2015-06-01,19.62,20.01,19.51,19.59,68892,0.08,0.41
2015-06-02,19.5,20.22,19.5,20.22,321055,0.63,3.22
2015-06-03,20.06,20.215,19.451,19.79,89487,-0.43,-2.13
2015-06-04,19.9,20.139,19.798,20.04,236691,0.25,1.26
2015-06-05,20.04,20.19,19.6,19.68,97017,-0.36,-1.8
2015-06-08,19.75,19.99,19.35,19.35,74688,-0.33,-1.68
2015-06-09,19.42,19.73,19.0,19.22,72589,-0.13,-0.67
2015-06-10,19.22,19.99,19.1,19.52,174162,0.3,1.56
2015-06-11,19.5,19.755,19.15,19.26,93710,-0.26,-1.33
2015-06-12,19.31,19.51,18.85,18.87,121719,-0.39,-2.02
2015-06-15,18.86,19.01,18.62,18.84,109772,-0.03,-0.16
2015-06-16,18.98,18.98,18.71,18.89,105793,0.05,0.27
2015-06-17,19.115,19.231,18.81,18.97,84094,0.08,0.42
2015-06-18,19.26,19.26,18.73,19.21,47921,0.24,1.27
2015-06-19,19.23,19.23,18.88,18.91,35217,-0.3,-1.56
2015-06-22,18.92,18.92,18.51,18.55,46782,-0.36,-1.9
2015-06-23,18.66,19.01,18.62,18.69,22698,0.14,0.75
2015-06-24,18.8,18.93,18.25,18.4,67813,-0.29,-1.55
2015-06-25,18.44,18.77,18.34,18.35,38340,-0.05,-0.27
2015-06-26,18.316,18.54,17.72,17.97,79829,-0.38,-2.07
2015-06-29,18.06,18.32,17.75,17.89,74018,-0.08,-0.45
2015-06-30,17.9,18.34,17.61,17.7,162242,-0.19,-1.06
2015-07-01,17.75,18.145,17.19,17.36,55264,-0.34,-1.92
2015-07-02,17.5,17.61,17.17,17.43,44037,0.07,0.4
2015-07-06,17.35,17.58,17.24,17.52,39962,0.09,0.52
2015-07-07,17.93,17.98,17.18,17.5,96852,-0.02,-0.11
2015-07-08,17.47,17.75,17.33,17.51,65804,0.01,0.06
2015-07-09,17.83,17.98,17.2,17.42,140829,-0.09,-0.51
2015-07-10,17.56,17.84,17.394,17.68,77579,0.26,1.49
2015-07-13,17.87,17.939,17.28,17.53,62279,-0.15,-0.85
2015-07-14,17.61,17.82,17.51,17.52,101447,-0.01,-0.06
2015-07-15,17.59,17.67,17.24,17.56,46484,0.04,0.23
2015-07-16,17.56,17.57,17.15,17.2,51682,-0.36,-2.05
2015-07-17,17.44,17.45,17.06,17.14,160018,-0.06,-0.35
2015-07-20,17.15,17.18,15.84,16.44,80512,-0.7,-4.08
2015-07-21,16.29,16.67,15.78,15.78,100548,-0.66,-4.01
2015-07-22,15.71,15.859,14.95,15.18,299504,-0.6,-3.8
2015-07-23,15.18,15.35,14.36,14.49,248249,-0.69,-4.55
2015-07-24,14.56,14.88,14.25,14.73,54448,0.24,1.66
2015-07-27,14.66,15.405,14.53,15.405,35748,0.68,4.58
2015-07-28,15.42,15.44,14.5,15.2,60073,-0.21,-1.33
2015-07-29,15.31,15.81,15.063,15.68,55807,0.48,3.16
2015-07-30,15.66,16.195,15.24,16.17,68953,0.49,3.13
2015-07-31,16.31,16.31,15.8,15.99,48481,-0.18,-1.11
2015-08-03,15.82,15.82,15.25,15.5,76851,-0.27,-1.71
2015-08-04,15.5,15.75,14.69,14.99,61908,-0.51,-3.29
2015-08-05,14.77,15.24,13.5,13.59,79245,-1.4,-9.34
2015-08-06,13.54,14.3,13.05,14.19,133496,0.6,4.42
2015-08-07,14.19,14.19,13.69,13.84,74863,-0.35,-2.47
2015-08-10,13.79,13.89,13.0,13.46,311508,-0.38,-2.75
2015-08-11,13.01,13.62,12.95,13.6,119112,0.14,1.04
2015-08-12,13.62,14.1,13.23,13.98,132301,0.38,2.79
2015-08-13,13.89,14.3,13.17,13.515,43449,-0.47,-3.33
2015-08-14,13.61,13.65,12.89,12.98,89585,-0.54,-3.96
2015-08-17,13.05,13.25,12.75,13.0,103770,0.02,0.15
2015-08-18,13.0,13.0,12.81,12.86,64575,-0.14,-1.08
