日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2000-08-04,2.1829,2.1968,2.1642,2.1922,7700,0.0059,0.27
2000-08-07,2.1829,2.1829,2.1269,2.1315,3900,-0.0596,-2.72
2000-08-08,2.1968,2.2388,2.1782,2.1968,6800,0.0656,3.08
2000-08-09,2.1875,2.2388,2.1875,2.2202,14300,0.0239,1.09
2000-08-10,2.2575,2.2575,2.2435,2.2575,5600,0.0358,1.61
2000-08-11,2.2575,2.2808,2.2575,2.2808,1500,0.0239,1.06
2000-08-14,2.2948,2.3135,2.2948,2.3041,14500,0.0239,1.05
2000-08-15,2.3368,2.3415,2.2901,2.2901,3200,-0.012,-0.52
2000-08-16,2.2855,2.3461,2.2855,2.3415,6200,0.0477,2.08
2000-08-17,2.3647,2.4021,2.3647,2.3927,6700,0.0538,2.3
2000-08-18,2.3974,2.3974,2.3601,2.3741,5800,-0.0179,-0.75
2000-08-21,2.3834,2.3834,2.3647,2.3694,2800,-0.0059,-0.25
2000-08-22,2.3694,2.3694,2.3415,2.3554,3400,-0.0118,-0.5
2000-08-23,2.3647,2.4254,2.3647,2.4254,27300,0.0656,2.78
2000-08-24,2.4161,2.4161,2.3974,2.3974,8200,-0.024,-0.99
2000-08-25,2.4207,2.4394,2.4114,2.4347,2400,0.0357,1.49
2000-08-28,2.4347,2.4814,2.43,2.4814,12700,0.0477,1.96
2000-08-29,2.486,2.5233,2.4161,2.4161,8200,-0.0655,-2.64
2000-08-30,2.4021,2.4114,2.4021,2.4021,1700,-0.0179,-0.74
2000-08-31,2.4207,2.4441,2.4207,2.4254,1900,0.024,1.0
2000-09-01,2.4254,2.4254,2.3881,2.3881,6500,-0.0359,-1.48
2000-09-05,2.4114,2.4347,2.3974,2.4347,4000,0.0477,2.0
2000-09-06,2.4254,2.5094,2.4161,2.5,6100,0.0657,2.7
2000-09-07,2.5094,2.5374,2.5,2.5233,7200,0.0237,0.95
2000-09-08,2.4953,2.4953,2.4907,2.4907,2100,-0.0359,-1.42
2000-09-11,2.5047,2.5374,2.5047,2.5187,4000,0.0299,1.2
2000-09-12,2.556,2.6306,2.5374,2.6306,7900,0.1133,4.5
2000-09-13,2.6493,2.6773,2.6353,2.668,11700,0.0358,1.36
2000-09-14,2.668,2.6773,2.64,2.64,7400,-0.0299,-1.12
2000-09-15,2.6539,2.7799,2.6539,2.7799,11000,0.1432,5.43
2000-09-18,2.7799,2.8265,2.6959,2.7519,14100,-0.0298,-1.07
2000-09-19,2.7752,2.7752,2.7192,2.7286,8600,-0.0239,-0.87
2000-09-20,2.8032,2.8032,2.6866,2.6866,6900,-0.0417,-1.53
2000-09-21,2.5933,2.612,2.584,2.5933,3800,-0.0957,-3.56
2000-09-22,2.5233,2.5933,2.4814,2.5,11200,-0.0896,-3.46
2000-09-25,2.458,2.458,2.4021,2.458,15900,-0.0417,-1.67
2000-09-26,2.5094,2.5094,2.5047,2.5047,800,0.0477,1.94
2000-09-27,2.5374,2.5374,2.5047,2.5094,1700,0.0,0.0
2000-09-28,2.4674,2.4953,2.4674,2.486,65600,-0.0238,-0.95
2000-09-29,2.4721,2.5,2.4627,2.5,3000,0.0179,0.72
2000-10-02,2.5374,2.5653,2.5,2.556,3800,0.0538,2.15
2000-10-03,2.556,2.5793,2.5233,2.5233,2000,-0.0299,-1.17
2000-10-04,2.556,2.5606,2.528,2.5513,6700,0.024,0.95
2000-10-05,2.5047,2.5047,2.4534,2.4534,1900,-0.0956,-3.75
2000-10-06,2.4441,2.4441,2.4021,2.4021,6800,-0.0538,-2.19
2000-10-09,2.4207,2.4207,2.4161,2.4161,800,0.018,0.75
2000-10-10,2.4394,2.4907,2.4394,2.4487,9500,0.0298,1.23
2000-10-11,2.4674,2.4814,2.4627,2.4627,3000,0.0178,0.73
2000-10-12,2.4441,2.542,2.4441,2.5047,10400,0.0416,1.69
2000-10-13,2.5,2.5,2.4207,2.4347,2200,-0.0717,-2.86
2000-10-16,2.3881,2.3881,2.3228,2.3228,1900,-0.1135,-4.66
2000-10-17,2.3321,2.3415,2.2994,2.3135,7500,-0.006,-0.26
2000-10-18,2.3135,2.3135,2.2435,2.2855,8100,-0.0299,-1.29
2000-10-19,2.2948,2.3135,2.2948,2.3135,2500,0.0299,1.31
2000-10-20,2.2621,2.3228,2.2621,2.3228,4800,0.006,0.26
2000-10-23,2.3274,2.3274,2.2948,2.3135,3200,-0.006,-0.26
2000-10-24,2.3041,2.3041,2.2528,2.2528,3700,-0.0658,-2.84
2000-10-25,2.2668,2.2762,2.2528,2.2528,800,0.0,0.0
2000-10-26,2.2855,2.3041,2.2715,2.2715,1000,0.0238,1.06
2000-10-27,2.2528,2.2528,2.1735,2.1735,10800,-0.1015,-4.46
2000-10-30,2.1735,2.1735,2.1315,2.1315,5000,-0.0417,-1.92
2000-10-31,2.1409,2.1968,2.1409,2.1922,1400,0.0597,2.8
2000-11-01,2.2109,2.2295,2.1922,2.2109,4600,0.018,0.82
2000-11-02,2.1782,2.1922,2.1642,2.1642,2900,-0.0417,-1.89
2000-11-03,2.1688,2.1688,2.1315,2.1315,3800,-0.0358,-1.65
2000-11-06,2.1549,2.1549,2.1082,2.1456,4700,0.0119,0.56
2000-11-07,2.1362,2.1688,2.1362,2.1688,1400,0.0238,1.11
2000-11-08,2.2062,2.2062,2.1549,2.1549,2600,-0.0119,-0.55
2000-11-09,2.1829,2.2062,2.1549,2.1549,12200,0.0,0.0
2000-11-10,2.1642,2.1688,2.1315,2.1362,9700,-0.0179,-0.83
2000-11-13,2.1362,2.1642,2.0709,2.0709,11500,-0.0656,-3.07
2000-11-14,2.1035,2.1176,2.0709,2.1015,14400,0.0298,1.44
2000-11-15,2.0896,2.1315,2.0896,2.1035,8200,0.0,0.0
2000-11-16,2.1176,2.1269,2.1082,2.1129,17100,0.012,0.57
2000-11-17,2.1269,2.1269,2.0896,2.0989,15700,-0.0118,-0.56
2000-11-20,2.0989,2.1082,2.0709,2.0709,13800,-0.0298,-1.42
2000-11-21,2.0523,2.0523,1.9683,2.0243,61300,-0.0479,-2.31
2000-11-22,2.0196,2.0196,1.945,1.9683,11800,-0.0536,-2.65
2000-11-24,2.0382,2.0662,2.0382,2.0662,3900,0.0956,4.85
2000-11-27,2.0476,2.0756,2.0382,2.0616,8600,-0.006,-0.29
2000-11-28,2.0523,2.1409,2.0523,2.1082,11500,0.0478,2.32
2000-11-29,2.1362,2.1362,2.0756,2.0756,17300,-0.0299,-1.42
2000-11-30,2.0803,2.0896,2.0243,2.0616,8600,-0.0179,-0.86
2000-12-01,2.0662,2.0942,2.0476,2.0476,2000,-0.0119,-0.58
2000-12-04,2.0662,2.2202,2.0662,2.2202,29300,0.173,8.45
2000-12-05,2.2062,2.2341,2.0849,2.0942,12700,-0.1254,-5.65
2000-12-06,2.0942,2.1642,2.0942,2.1595,4600,0.0655,3.13
2000-12-07,2.1688,2.2155,2.1688,2.2015,6700,0.0417,1.93
2000-12-08,2.2015,2.2062,2.1502,2.1595,7400,-0.0418,-1.9
2000-12-11,2.1782,2.1977,2.1456,2.1829,11500,0.0238,1.1
2000-12-12,2.1688,2.1829,2.1595,2.1595,6200,-0.0238,-1.09
2000-12-13,2.1735,2.1735,2.1456,2.1502,2900,-0.0119,-0.55
2000-12-14,2.1502,2.1502,2.0382,2.0429,11200,-0.1075,-5.0
2000-12-15,2.0476,2.0523,2.0289,2.0523,3700,0.0118,0.58
2000-12-18,2.0523,2.1035,2.0523,2.0896,9600,0.0357,1.74
2000-12-19,2.0756,2.0756,2.0056,2.0056,8000,-0.0836,-4.0
2000-12-20,2.0056,2.0056,1.9123,1.917,10700,-0.0895,-4.46
2000-12-21,1.9217,1.9217,1.847,1.861,32600,-0.0536,-2.8
2000-12-22,1.8657,1.903,1.8564,1.8564,14800,-0.006,-0.32
2000-12-26,1.8657,1.9403,1.8657,1.9403,1900,0.0836,4.5
2000-12-27,1.903,1.9683,1.903,1.9636,11000,0.0239,1.23
2000-12-28,1.9636,2.0429,1.9636,2.0243,20700,0.0597,3.04
2000-12-29,2.0336,2.0523,1.987,2.0523,23400,0.0297,1.47
2001-01-02,2.0709,2.1176,2.0709,2.0942,44500,0.0417,2.03
2001-01-03,2.0896,2.0896,2.0056,2.0243,11600,-0.0057,-0.28
2001-01-04,2.0289,2.0336,1.9683,1.9916,8800,-0.0954,-4.57
2001-01-05,1.9776,2.0476,1.9776,2.0382,13900,0.0419,2.1
2001-01-08,2.0616,2.0662,2.0103,2.0103,33700,-0.0238,-1.17
2001-01-09,2.015,2.0523,1.9963,2.0429,6600,0.0416,2.08
2001-01-10,2.0243,2.0756,2.015,2.0756,6900,0.0238,1.16
2001-01-11,2.0476,2.0989,2.0476,2.0616,11900,0.0234,1.15
2001-01-12,2.0662,2.0803,2.0429,2.0662,9500,-0.0357,-1.7
2001-01-16,2.0756,2.1315,2.0756,2.1222,25400,0.0596,2.89
2001-01-17,2.1222,2.1642,2.0989,2.1222,15600,0.041,1.97
2001-01-18,2.1035,2.1035,2.0709,2.0709,21600,-0.0647,-3.03
2001-01-19,2.0616,2.0662,2.0336,2.0523,2700,-0.0477,-2.27
2001-01-22,2.0803,2.1082,2.0803,2.1082,23800,0.0538,2.62
2001-01-23,2.1082,2.1549,2.0896,2.1456,14000,0.0359,1.7
2001-01-24,2.1595,2.1595,2.0989,2.1362,8900,0.0178,0.84
2001-01-25,2.1362,2.1502,2.1315,2.1502,1500,-0.0119,-0.55
2001-01-26,2.1456,2.2062,2.1409,2.1829,17000,0.0359,1.67
2001-01-29,2.2,2.2082,2.1888,2.1888,11100,0.0236,1.09
2001-01-30,2.1739,2.1829,2.1485,2.1829,6400,-0.0238,-1.08
2001-01-31,2.1844,2.1866,2.1806,2.1806,2600,-0.0059,-0.27
2001-02-01,2.1799,2.2373,2.1799,2.2373,7100,0.0597,2.74
2001-02-02,2.2553,2.265,2.2388,2.2485,11600,0.0119,0.53
2001-02-05,2.2373,2.2373,2.2105,2.2127,4800,-0.0358,-1.59
2001-02-06,2.209,2.209,2.1747,2.1747,9900,-0.0419,-1.89
2001-02-07,2.1791,2.1821,2.1642,2.1776,11100,0.0059,0.27
2001-02-08,2.1806,2.212,2.1806,2.212,8100,0.0357,1.64
2001-02-09,2.2082,2.25,2.2082,2.2418,17000,0.0299,1.35
2001-02-12,2.2478,2.2762,2.2351,2.2635,20600,0.0297,1.33
2001-02-13,2.2687,2.2784,2.2612,2.2762,7200,0.0059,0.26
2001-02-14,2.2687,2.3239,2.2687,2.3142,12000,0.0416,1.83
2001-02-15,2.3142,2.3142,2.2239,2.2239,45600,-0.0953,-4.11
2001-02-16,2.2291,2.3247,2.2291,2.3127,27700,0.0836,3.75
2001-02-20,2.3657,2.3732,2.2762,2.2762,18100,-0.0358,-1.55
2001-02-21,2.2538,2.2538,2.1866,2.1918,29300,-0.0175,-0.79
2001-02-22,2.1918,2.2336,2.1903,2.2239,15400,-0.0297,-1.32
