日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2016-06-10,78.0,83.36,75.36,75.92,1573940,-0.0836,-0.11
2016-06-13,75.36,85.04,72.24,85.04,185071,9.1182,12.01
2016-06-14,83.52,87.2,80.0,87.0,175607,1.956,2.3
2016-06-15,84.4,89.08,84.16,86.2,79208,-0.8004,-0.92
2016-06-16,84.2,85.36,80.0,80.0,94594,-6.1976,-7.19
2016-06-17,80.6,83.16,80.08,81.04,26383,1.04,1.3
2016-06-20,85.0,85.0,81.04,82.0,50720,0.9563,1.18
2016-06-21,83.56,96.48,82.16,93.2,92462,11.2011,13.66
2016-06-22,94.0,96.0,90.36,92.48,101315,-0.7176,-0.77
2016-06-23,93.8,95.2,90.0,91.36,68553,-1.119,-1.21
2016-06-24,90.0,90.0,80.0,83.68,87711,-7.6837,-8.41
2016-06-27,81.2,83.004,77.28,77.92,67530,-5.757,-6.88
2016-06-28,80.2,81.84,78.04,80.4,84676,2.4779,3.18
2016-06-29,79.92,80.96,77.0,79.6,37751,-0.804,-1.0
2016-06-30,79.84,80.24,78.48,79.32,15966,-0.2786,-0.35
2016-07-01,78.8,82.076,78.8,81.36,10533,2.0386,2.57
2016-07-05,81.68,83.64,79.0,79.88,13014,-1.4808,-1.82
2016-07-06,80.0,81.04,78.08,79.0,25676,-0.8787,-1.1
2016-07-07,79.4,79.72,78.12,78.72,13126,-0.2765,-0.35
2016-07-08,78.92,80.0,78.28,78.64,12701,-0.0787,-0.1
2016-07-11,79.88,82.968,79.28,80.18,22963,1.5413,1.96
2016-07-12,79.04,83.28,78.6,81.64,34892,1.4593,1.82
2016-07-13,81.2,81.76,78.0,79.44,33405,-2.196,-2.69
2016-07-14,79.44,81.16,78.52,79.36,10337,-0.0794,-0.1
2016-07-15,78.8,81.0,78.64,80.0,18096,0.6428,0.81
2016-07-18,79.88,81.196,78.76,79.08,24156,-0.92,-1.15
2016-07-19,79.76,79.76,76.0,77.48,26406,-1.5974,-2.02
2016-07-20,77.4,79.2,76.0,78.88,30983,1.4023,1.81
2016-07-21,78.0,80.6,77.24,79.96,12679,1.0806,1.37
