日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2012-02-08,6.4568,6.4568,5.5136,6.221,4765218,0.0,0.0
2012-02-09,6.2547,6.2603,6.1368,6.2322,172037,0.0112,0.18
2012-02-10,6.1592,6.2884,6.1592,6.1761,97305,-0.0561,-0.9
2012-02-13,6.2996,6.4568,6.1705,6.4568,373688,0.281,4.55
2012-02-14,6.4793,6.541,6.4007,6.513,89879,0.0562,0.87
2012-02-15,6.5074,6.513,6.3277,6.4568,192145,-0.056,-0.86
2012-02-16,6.4287,6.513,6.3501,6.4568,18350,0.0,0.0
2012-02-17,6.4568,6.4624,6.3333,6.4568,176087,0.0,0.0
2012-02-20,6.4568,6.4568,6.4568,6.4568,0,0.0,0.0
2012-02-21,6.4568,6.5074,6.4287,6.4512,24681,-0.0058,-0.09
2012-02-22,6.4287,6.4568,6.4287,6.4568,71800,0.0058,0.09
2012-02-23,6.4961,6.5691,6.3221,6.513,109956,0.0562,0.87
2012-02-24,6.6983,6.6983,6.4737,6.513,39970,0.0,0.0
2012-02-27,6.513,6.513,6.4681,6.513,13718,0.0,0.0
2012-02-28,6.513,6.5298,6.4905,6.4905,30269,-0.0221,-0.34
2012-02-29,6.5579,6.5579,6.4568,6.4568,167500,-0.0338,-0.52
2012-03-01,6.4568,6.5467,6.4568,6.4849,14859,0.0278,0.43
2012-03-02,6.4849,6.4905,6.4568,6.4624,40714,-0.0227,-0.35
2012-03-05,6.4849,6.4849,6.4737,6.4737,50100,0.011,0.17
2012-03-06,6.4287,6.4456,6.3221,6.3726,1640,-0.101,-1.56
2012-03-07,6.4456,6.5972,6.4456,6.513,87589,0.1402,2.2
2012-03-08,6.5242,6.5747,6.4231,6.5747,32740,0.0619,0.95
2012-03-09,6.5691,6.5691,6.5691,6.5691,820,-0.0059,-0.09
2012-03-12,6.6028,6.6028,6.4231,6.4681,2400,-0.1012,-1.54
2012-03-13,6.541,6.541,6.3782,6.541,1100,0.0731,1.13
2012-03-14,6.513,6.513,6.4512,6.4681,32400,-0.0733,-1.12
2012-03-15,6.4568,6.4568,6.3782,6.4568,2100,-0.011,-0.17
2012-03-16,6.4849,6.4961,6.3726,6.4961,27299,0.0394,0.61
2012-03-19,6.5691,6.5691,6.4119,6.4119,27044,-0.0845,-1.3
2012-03-20,6.3726,6.5916,6.3726,6.4568,47134,0.0449,0.7
2012-03-21,6.5242,6.5242,6.399,6.4568,1720,0.0,0.0
2012-03-22,6.4119,6.4568,6.4007,6.4287,40246,-0.0278,-0.43
2012-03-23,6.4568,6.4624,6.1031,6.4568,39801,0.0283,0.44
2012-03-26,6.4849,6.4849,6.4007,6.4568,25419,0.0,0.0
2012-03-27,6.4512,6.4737,6.2042,6.4737,19474,0.0168,0.26
2012-03-28,6.4585,6.4849,6.4007,6.4456,33977,-0.0278,-0.43
2012-03-29,6.4231,6.4624,6.3951,6.4007,71016,-0.0451,-0.7
2012-03-30,6.4456,6.4568,6.3894,6.4287,19700,0.0282,0.44
2012-04-02,6.5074,6.8498,6.5074,6.7207,32006,0.2919,4.54
2012-04-03,6.6533,6.7819,6.5467,6.7819,151351,0.0618,0.92
2012-04-04,6.7151,6.8386,6.7151,6.8162,5800,0.0339,0.5
2012-04-05,6.7488,6.8218,6.5972,6.8218,6600,0.0055,0.08
2012-04-06,6.8218,6.8218,6.8218,6.8218,0,0.0,0.0
2012-04-09,6.7544,6.8105,6.7544,6.7937,2807,-0.028,-0.41
2012-04-10,6.7937,6.8779,6.6702,6.8779,12040,0.0842,1.24
2012-04-11,6.9397,7.0071,6.9341,6.9341,361,0.0564,0.82
2012-04-12,6.9116,6.9846,6.6365,6.9678,45897,0.034,0.49
2012-04-13,6.9172,6.9678,6.7319,6.8105,8100,-0.1575,-2.26
2012-04-16,6.8386,6.9228,6.7376,6.9228,161500,0.1124,1.65
2012-04-17,6.8442,6.9678,6.76,6.9228,7300,0.0,0.0
2012-04-18,6.8891,6.9565,6.7656,6.9565,5471,0.0339,0.49
2012-04-19,6.9509,6.9509,6.9172,6.9341,45702,-0.0223,-0.32
2012-04-20,6.9565,7.1699,6.9397,7.1699,41635,0.2358,3.4
2012-04-23,7.0407,7.0464,6.9902,7.0464,31044,-0.1233,-1.72
2012-04-24,7.0071,7.1306,6.9341,7.125,1864,0.0789,1.12
2012-04-25,7.0744,7.1193,6.9902,7.0071,1930,-0.1176,-1.65
2012-04-26,6.9678,7.0969,6.8386,6.9846,2534,-0.0224,-0.32
2012-04-27,7.052,7.1199,6.9341,6.9902,2080,0.0056,0.08
2012-04-30,6.979,6.9964,6.8274,6.8667,35820,-0.1237,-1.77
2012-05-01,6.8723,6.9004,6.8723,6.9004,200,0.0336,0.49
2012-05-02,6.8498,6.8498,6.8498,6.8498,100,-0.0504,-0.73
2012-05-03,6.7937,6.8498,6.7376,6.7376,66966,-0.1123,-1.64
2012-05-04,6.7937,7.0407,6.737,6.7656,53113,0.0283,0.42
2012-05-07,6.7712,6.8667,6.7263,6.8667,84500,0.1008,1.49
2012-05-08,6.8162,6.8162,6.4063,6.6393,179283,-0.2244,-3.27
2012-05-09,6.5972,6.6421,6.4287,6.4568,99917,-0.1853,-2.79
2012-05-10,6.4568,6.6253,6.3445,6.6253,29738,0.1685,2.61
2012-05-11,6.5635,6.6421,6.4512,6.4624,24688,-0.163,-2.46
2012-05-14,6.4737,6.6028,6.3333,6.4287,3740,-0.0336,-0.52
2012-05-15,6.148,6.4456,6.0133,6.4007,57500,-0.0283,-0.44
2012-05-16,6.3894,6.4933,6.3445,6.3951,110133,-0.0058,-0.09
2012-05-17,6.4287,6.5467,6.2042,6.221,109039,-0.1739,-2.72
2012-05-18,6.1985,6.4007,6.1929,6.2884,18071,0.0672,1.08
2012-05-21,6.3165,6.4007,6.3165,6.4007,2352,0.1126,1.79
2012-05-22,6.3838,6.3838,6.0975,6.2884,23686,-0.112,-1.75
2012-05-23,6.2435,6.2828,6.0582,6.2042,15207,-0.0843,-1.34
2012-05-24,6.1368,6.1985,6.1199,6.1985,1132,-0.0056,-0.09
2012-05-25,6.2042,6.2547,5.9852,6.221,17278,0.0223,0.36
2012-05-28,6.221,6.221,6.221,6.221,0,0.0,0.0
2012-05-29,6.2322,6.2322,6.0806,6.2154,1700,-0.0056,-0.09
2012-05-30,6.1873,6.3277,6.0301,6.2379,212377,0.0224,0.36
2012-05-31,6.3165,6.3165,6.1143,6.3165,10392,0.0786,1.26
2012-06-01,6.2715,6.3277,6.0475,6.2154,20328,-0.1011,-1.6
2012-06-04,6.1705,6.2322,6.0413,6.2266,10635,0.0112,0.18
2012-06-05,6.1873,6.1873,6.1256,6.1817,4300,-0.0448,-0.72
2012-06-06,6.2603,6.3193,6.1761,6.2042,157428,0.0223,0.36
2012-06-07,6.2659,6.2659,6.0245,6.1761,17410,-0.0279,-0.45
2012-06-08,6.1761,6.1761,6.0806,6.1424,2320,-0.034,-0.55
2012-06-11,6.4175,6.4287,6.0694,6.0694,1835,-0.0731,-1.19
2012-06-12,6.1536,6.294,6.0133,6.1592,4367,0.0898,1.48
2012-06-13,6.1199,6.1199,6.0694,6.0694,200,-0.0899,-1.46
2012-06-14,6.075,6.0919,6.0638,6.0638,1424,-0.0055,-0.09
2012-06-15,6.1143,6.1761,6.0582,6.1761,33589,0.1122,1.85
2012-06-18,6.1312,6.1929,6.102,6.1424,16004,-0.034,-0.55
2012-06-19,6.1536,6.2154,5.8392,5.8954,45054,-0.2469,-4.02
2012-06-20,5.9515,6.1143,5.8954,5.9796,6500,0.0843,1.43
2012-06-21,5.9796,6.0413,5.979,5.9796,65916,0.0,0.0
2012-06-22,5.9442,5.9442,5.9442,5.9442,326,-0.0335,-0.56
2012-06-25,5.8954,5.9571,5.8111,5.8111,26404,-0.135,-2.27
2012-06-26,5.8617,5.8617,5.6034,5.6146,365159,-0.1964,-3.38
2012-06-27,5.609,5.7831,5.5866,5.6034,10094,-0.0112,-0.2
2012-06-28,5.6539,5.6539,5.6146,5.6146,102000,0.0112,0.2
2012-06-29,5.682,5.7325,5.6483,5.7325,900,0.1179,2.1
2012-07-02,5.6708,5.8055,5.6146,5.7325,254435,0.0,0.0
2012-07-03,5.7662,5.9066,5.7662,5.8561,25606,0.1233,2.15
2012-07-04,5.8561,5.8561,5.8561,5.8561,0,0.0,0.0
2012-07-05,5.8448,5.9122,5.7999,5.8392,3474,-0.017,-0.29
2012-07-06,5.8504,5.8504,5.8392,5.8392,200,0.0,0.0
2012-07-09,5.8336,5.8336,5.7831,5.8336,758,-0.0058,-0.1
2012-07-10,5.8336,5.8392,5.828,5.8392,5700,0.0058,0.1
2012-07-11,5.8673,5.9571,5.828,5.8392,34163,0.0,0.0
