日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2013-12-13,17.9485,18.0309,17.399,17.6005,12534816,0.0,0.0
2013-12-16,17.3624,17.6463,17.3624,17.4814,536981,-0.1197,-0.68
2013-12-17,17.4814,17.6829,17.4814,17.6738,743227,0.1923,1.1
2013-12-18,17.6738,17.8111,17.5364,17.7653,1377289,0.0919,0.52
2013-12-19,17.7653,17.7653,17.399,17.4906,444047,-0.2754,-1.55
2013-12-20,17.4906,17.5309,16.6939,17.4906,466334,0.0,0.0
2013-12-23,17.5181,17.5913,17.5181,17.5456,144404,0.0542,0.31
2013-12-24,17.5456,17.7104,17.5456,17.628,91647,0.0825,0.47
2013-12-25,17.628,17.628,17.628,17.628,0,0.0,0.0
2013-12-26,17.5181,17.6692,17.399,17.399,65492,-0.2292,-1.3
2013-12-27,17.4082,17.4448,17.1701,17.1701,998954,-0.2297,-1.32
2013-12-30,17.2067,17.3899,16.9412,17.1426,1415192,-0.0275,-0.16
2013-12-31,17.1426,17.3899,17.1426,17.1701,825011,0.0274,0.16
2014-01-01,17.1701,17.1701,17.1701,17.1701,0,0.0,0.0
2014-01-02,17.3349,17.399,16.9595,16.9778,186965,-0.1923,-1.12
2014-01-03,16.9961,17.1142,16.9412,16.9961,204865,0.0187,0.11
2014-01-06,16.9595,17.0511,16.8038,16.932,559891,-0.0646,-0.38
2014-01-07,17.3624,17.628,17.0785,17.3532,993209,0.4216,2.49
2014-01-08,17.2617,17.4961,17.2617,17.28,526639,-0.0729,-0.42
2014-01-09,17.399,17.399,17.1701,17.2067,360306,-0.0726,-0.42
2014-01-10,17.2159,17.3532,16.9595,17.2159,1973870,0.0086,0.05
2014-01-13,17.1701,17.2617,17.0694,17.0785,766705,-0.1377,-0.8
2014-01-14,17.0236,17.1243,16.9412,17.0419,1068607,-0.0359,-0.21
2014-01-15,17.0327,17.1243,16.7122,17.0419,547862,0.0,0.0
2014-01-16,16.9412,17.1335,16.9045,17.1335,438131,0.092,0.54
2014-01-17,17.1152,17.1152,16.7214,17.0419,498951,-0.0908,-0.53
2014-01-20,17.0419,17.0419,17.0419,17.0419,0,0.0,0.0
2014-01-21,17.1793,17.5822,17.0327,17.4906,1299487,0.4482,2.63
2014-01-22,17.573,17.7928,17.4906,17.6316,249572,0.1382,0.79
2014-01-23,17.628,17.7562,17.4082,17.6005,380185,-0.0282,-0.16
2014-01-24,17.628,17.7424,17.1884,17.3532,293973,-0.2464,-1.4
2014-01-27,17.399,17.4173,17.0327,17.2159,126283,-0.1371,-0.79
2014-01-28,17.1701,17.454,17.1701,17.3807,119713,0.1653,0.96
2014-01-29,17.3075,17.6738,16.9412,17.0968,643129,-0.2833,-1.63
2014-01-30,17.1793,17.3899,17.1793,17.2891,533775,0.1915,1.12
2014-01-31,17.1426,17.3349,16.9137,17.1243,245669,-0.1642,-0.95
2014-02-03,17.1243,17.1545,16.3093,16.6298,303271,-0.4949,-2.89
2014-02-04,16.7946,16.9595,16.5657,16.8038,97920,0.1746,1.05
2014-02-05,16.7122,16.9412,16.5657,16.8587,189654,0.0555,0.33
2014-02-06,16.7855,16.9778,16.7122,16.9137,267679,0.0556,0.33
2014-02-07,16.8679,16.9869,16.8038,16.8221,917215,-0.0913,-0.54
2014-02-10,16.8313,17.4164,16.7397,16.932,333238,0.1093,0.65
2014-02-11,16.8771,17.0144,16.7214,16.813,496757,-0.1185,-0.7
2014-02-12,16.7397,17.399,16.497,17.399,764961,0.5867,3.49
2014-02-13,17.225,17.7653,17.1243,17.5364,655041,0.1375,0.79
2014-02-14,17.6554,17.9302,17.399,17.7379,467046,0.2017,1.15
2014-02-17,17.7379,17.7379,17.7379,17.7379,0,0.0,0.0
2014-02-18,17.802,18.04,17.6188,17.7928,530334,0.055,0.31
2014-02-19,17.7351,17.9367,17.6434,17.6984,243050,-0.1104,-0.62
2014-02-20,17.7901,18.0467,17.6434,17.7534,313733,0.0549,0.31
2014-02-21,17.9184,17.9184,17.6434,17.845,94613,0.0923,0.52
2014-02-24,17.8725,18.0558,17.7855,17.9092,449744,0.0642,0.36
2014-02-25,17.8817,17.955,17.8725,17.8725,22055,-0.0358,-0.2
2014-02-26,17.9184,18.1842,17.7809,18.1842,207266,0.311,1.74
2014-02-27,18.23,18.23,17.8909,18.0284,306999,-0.1564,-0.86
2014-02-28,17.9367,18.23,17.9367,18.1017,239389,0.0739,0.41
2014-03-03,18.1017,18.1292,17.9642,18.0833,212751,-0.0181,-0.1
2014-03-04,18.1933,18.2575,18.01,18.1475,322885,0.0633,0.35
2014-03-05,18.1108,18.8624,18.1017,18.4683,1130715,0.3212,1.77
2014-03-06,18.5966,19.0365,18.5141,19.0182,1134384,0.5503,2.98
2014-03-07,19.0457,20.2922,19.0457,19.9164,1213641,0.8977,4.72
2014-03-10,19.8798,20.0924,19.2473,19.339,506294,-0.5776,-2.9
2014-03-11,19.4215,19.8339,19.2638,19.4765,155893,0.1373,0.71
2014-03-12,19.4765,19.614,19.4123,19.4856,129074,0.0097,0.05
2014-03-13,19.4765,19.5223,18.9816,19.1099,287233,-0.3761,-1.93
2014-03-14,19.0549,19.4856,18.6149,19.2473,559619,0.1376,0.72
2014-03-17,19.1282,19.3207,19.0732,19.2932,498421,0.0462,0.24
2014-03-18,19.2657,19.3298,19.1557,19.2473,224731,-0.0463,-0.24
2014-03-19,19.2199,19.3207,19.1511,19.1832,114302,-0.0635,-0.33
2014-03-20,19.1832,19.2932,19.0182,19.1832,120515,0.0,0.0
2014-03-21,19.3298,19.339,18.9999,18.9999,95642,-0.1842,-0.96
2014-03-24,19.2473,19.3298,18.8807,19.0274,153537,0.0266,0.14
2014-03-25,19.1832,19.1832,18.5966,18.9724,355396,-0.0552,-0.29
2014-03-26,18.9266,19.3757,18.7982,19.1374,157979,0.1651,0.87
2014-03-27,19.064,19.2107,18.8835,19.0182,129564,-0.0095,-0.05
2014-03-28,18.9541,19.7056,18.9476,19.4398,296996,0.4222,2.22
2014-03-31,19.5223,20.0823,19.2473,19.7881,170149,0.348,1.79
2014-04-01,19.7514,20.0172,19.3757,19.7881,323146,0.0,0.0
2014-04-02,19.8156,20.2665,19.8156,20.0264,406944,0.2375,1.2
2014-04-03,19.9531,20.613,19.5223,20.4847,351295,0.4586,2.29
2014-04-04,20.5855,20.9704,20.1731,20.283,562663,-0.2007,-0.98
2014-04-07,20.4938,20.9979,20.1731,20.5305,960078,0.2475,1.22
2014-04-08,20.5947,20.9796,20.4114,20.7321,337738,0.2012,0.98
2014-04-09,20.7413,21.1904,20.6955,20.7138,118936,-0.0187,-0.09
2014-04-10,20.613,20.8385,20.3472,20.3472,175625,-0.3666,-1.77
2014-04-11,20.2097,20.613,20.1639,20.4022,67554,0.0914,0.45
2014-04-14,20.5122,20.9521,20.4389,20.7963,53930,0.3938,1.93
2014-04-15,21.4379,21.9805,20.6955,20.7413,258037,-0.0541,-0.26
2014-04-16,20.9338,21.1629,20.8055,21.1446,166394,0.4024,1.94
2014-04-17,21.1446,21.5387,21.0758,21.0804,160018,-0.0634,-0.3
2014-04-21,21.2454,21.2912,20.9888,21.0896,155664,0.0084,0.04
2014-04-22,20.9979,21.492,20.9979,21.0988,111854,-0.0084,-0.04
2014-04-23,21.0346,21.2179,20.9888,21.0804,136321,-0.019,-0.09
2014-04-24,21.0804,21.1712,20.9979,21.1171,85957,0.0358,0.17
2014-04-25,21.0804,21.2454,20.7138,20.8605,78542,-0.2576,-1.22
2014-04-28,20.8971,21.0346,20.6405,20.6955,53671,-0.1648,-0.79
2014-04-29,20.6222,20.9613,20.5855,20.6038,281571,-0.0911,-0.44
2014-04-30,20.5855,21.0804,20.0264,20.1639,408524,-0.4409,-2.14
2014-05-01,20.1547,20.6588,19.9714,20.4938,420175,0.3307,1.64
2014-05-02,20.8971,21.0346,20.4297,20.723,567054,0.2295,1.12
2014-05-05,20.6405,20.8421,20.4938,20.6588,364393,-0.0642,-0.31
2014-05-06,20.9338,21.1721,20.7138,20.9246,390249,0.2665,1.29
2014-05-07,20.8971,21.0328,20.8421,20.9613,119073,0.0377,0.18
2014-05-08,20.8605,21.0887,20.7596,20.8146,162600,-0.1467,-0.7
2014-05-09,20.7505,20.9063,20.5213,20.5672,127709,-0.2477,-1.19
2014-05-12,20.7321,20.8513,20.613,20.7138,116714,0.146,0.71
2014-05-13,20.8055,20.9704,20.6772,20.8146,214254,0.1015,0.49
2014-05-14,20.9613,21.3829,20.8238,21.3829,105588,0.5682,2.73
2014-05-15,21.3096,21.6579,21.0529,21.6304,121455,0.248,1.16
2014-05-16,21.4012,21.9328,21.3279,21.4012,604716,-0.2293,-1.06
2014-05-19,21.3187,21.5662,21.1904,21.2821,201092,-0.1199,-0.56
2014-05-20,21.0896,21.557,21.0896,21.502,116753,0.2192,1.03
2014-05-21,21.5562,21.6112,21.2626,21.4553,204844,-0.0473,-0.22
2014-05-22,21.5562,21.602,21.4277,21.4553,74588,0.0,0.0
2014-05-23,21.5378,21.7396,21.4131,21.6938,279916,0.2382,1.11
2014-05-27,21.8956,21.8956,21.336,21.4094,392320,-0.2842,-1.31
2014-05-28,21.4094,21.547,21.1892,21.1892,176698,-0.2205,-1.03
2014-05-29,21.3177,22.0607,21.0929,22.0148,221693,0.8263,3.9
2014-05-30,22.1616,24.9042,22.1432,24.5465,2138203,2.5317,11.5
2014-06-02,24.5924,24.5924,23.8769,24.097,326324,-0.4492,-1.83
2014-06-03,24.0328,24.5006,23.3265,23.3999,255001,-0.6964,-2.89
2014-06-04,23.6017,23.8494,23.0972,23.1798,276519,-0.22,-0.94
2014-06-05,23.1339,23.4458,22.8037,22.8312,287007,-0.3477,-1.5
