日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2003-10-24,10.326,10.7467,10.0469,10.5836,4516300,0.0,0.0
2003-10-27,10.6265,11.3349,10.6093,11.0773,700100,0.4892,4.62
2003-10-28,11.2491,12.1507,11.2491,12.1507,739200,1.0734,9.69
2003-10-29,12.2366,12.8377,11.6784,11.9403,390400,-0.2065,-1.7
2003-10-30,12.0477,12.3225,11.5496,11.6999,222600,-0.24,-2.01
2003-10-31,11.7214,12.0219,11.1203,12.0219,436300,0.3172,2.71
2003-11-03,12.0219,12.3568,11.9232,12.1851,140512,0.1635,1.36
2003-11-04,12.228,12.4169,12.1507,12.2752,102859,0.095,0.78
2003-11-05,12.2581,12.3182,12.1507,12.3182,32300,0.043,0.35
2003-11-06,12.3611,12.3869,12.2795,12.3225,73400,0.0,0.0
2003-11-07,12.3869,12.4255,12.2967,12.3053,174000,-0.0173,-0.14
2003-11-10,12.2581,12.2967,12.1937,12.2581,200800,-0.0431,-0.35
2003-11-11,12.2366,12.2538,12.1937,12.1937,142200,-0.0687,-0.56
2003-11-12,12.1979,12.623,12.1979,12.4083,126700,0.2146,1.76
2003-11-13,12.4083,12.4083,12.1937,12.3439,150500,-0.0595,-0.48
2003-11-14,12.3439,12.3439,12.1937,12.1937,86600,-0.1544,-1.25
2003-11-17,12.1937,12.1937,11.8716,11.936,72400,-0.2573,-2.11
2003-11-18,11.936,12.0004,11.3135,11.3349,147600,-0.6016,-5.04
2003-11-19,11.2276,11.2276,10.6265,10.7768,289700,-0.5577,-4.92
2003-11-20,10.5192,10.7983,10.2186,10.6222,324700,-0.1541,-1.43
2003-11-21,10.6222,11.0258,10.5621,11.0086,324400,0.3866,3.64
2003-11-24,11.1632,12.2838,11.0473,11.9876,344000,0.9787,8.89
2003-11-25,11.9876,12.0219,11.4638,11.7643,95000,-0.223,-1.86
2003-11-26,11.7643,11.7815,11.4423,11.6226,82700,-0.1376,-1.17
2003-11-28,11.5969,11.6784,11.5926,11.6698,35500,0.043,0.37
2003-12-01,11.7214,11.979,11.657,11.9146,119200,0.2485,2.13
2003-12-02,11.8716,12.1078,11.8072,11.979,97500,0.1875,1.59
2003-12-03,12.0219,12.2366,11.292,11.3349,263700,-0.7724,-6.38
2003-12-04,11.3993,11.5926,10.9271,11.1632,259100,-0.1723,-1.52
2003-12-05,10.9485,11.0988,10.9485,10.97,140200,-0.1886,-1.69
2003-12-08,10.7338,10.8627,10.4505,10.4762,232300,-0.4982,-4.54
2003-12-09,10.5192,10.7124,10.5192,10.5621,226200,0.0859,0.82
2003-12-10,10.5836,10.9915,10.5621,10.8369,212900,0.2746,2.6
2003-12-11,10.8412,10.9271,10.8412,10.8584,128000,0.026,0.24
2003-12-12,10.8197,10.8197,10.5621,10.648,170600,-0.2151,-1.98
2003-12-15,10.6909,10.7338,10.6308,10.648,49200,0.0856,0.81
2003-12-16,10.648,10.7338,10.6394,10.7296,75400,0.0,0.0
2003-12-17,10.7338,10.9056,10.7296,10.7768,110400,0.1697,1.6
2003-12-18,10.7983,10.97,10.7768,10.8841,101200,-0.0174,-0.16
2003-12-19,10.9485,10.9485,10.8841,10.8841,9400,0.0,0.0
2003-12-22,10.7768,10.9142,10.7768,10.8412,59200,-0.0424,-0.39
2003-12-23,10.8412,10.9442,10.8412,10.9056,35300,0.0597,0.55
2003-12-24,10.9271,10.97,10.9056,10.9228,19200,0.0174,0.16
2003-12-26,10.9657,11.1203,10.9485,11.1203,10600,0.1977,1.81
2003-12-29,11.1203,11.1632,11.0988,11.1331,41500,0.0167,0.15
2003-12-30,11.1374,11.2061,11.0988,11.1203,80700,-0.0167,-0.15
2003-12-31,11.1203,11.1203,10.9271,10.9271,29500,-0.189,-1.7
2004-01-02,10.9314,11.0559,10.7553,10.794,33900,0.1259,1.18
2004-01-05,10.8154,10.8841,10.7553,10.8798,56800,-0.1803,-1.63
2004-01-06,10.8841,11.0129,10.8798,10.97,49800,0.0946,0.87
2004-01-07,10.9485,11.2491,10.9485,11.2491,73800,0.2744,2.5
2004-01-08,11.2491,11.3135,11.189,11.2705,38000,0.0259,0.23
2004-01-09,11.2577,11.2577,10.8197,10.8841,100700,-0.3866,-3.43
2004-01-12,10.8627,10.8627,10.7338,10.7338,39700,-0.1546,-1.42
2004-01-13,10.7338,10.8627,10.6952,10.8627,55400,0.1288,1.2
