日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2014-05-29,4.7089,4.7089,4.7089,4.7089,100,,
2014-05-30,4.7789,5.6539,4.7789,5.6539,2100,,
2014-06-02,5.6539,5.9232,5.6539,5.8155,145693,,
2014-06-03,5.767,6.0161,5.5085,5.5624,3110935,,
2014-06-04,5.4009,5.5597,4.5985,4.6793,869035,,
2014-06-05,4.6685,4.9782,4.5366,4.8732,190814,0.1937,4.14
2014-06-06,4.9216,4.9779,4.7035,4.7574,177207,-0.116,-2.38
2014-06-09,4.7574,4.8193,4.6443,4.6632,186174,-0.0942,-1.98
2014-06-10,4.6174,4.6443,4.5366,4.577,240534,-0.0863,-1.85
2014-06-11,4.577,4.7278,4.5097,4.5393,123879,-0.0375,-0.82
2014-06-12,4.507,4.5501,4.3939,4.4935,240082,-0.0458,-1.01
2014-06-13,4.5339,4.7116,4.4262,4.6443,80279,0.151,3.36
2014-06-16,4.6443,4.8118,4.5151,4.7358,85020,0.0915,1.97
2014-06-17,4.7601,4.9135,4.5931,4.8462,116458,0.1103,2.33
2014-06-18,4.8355,4.9243,4.6578,4.9001,76040,0.0538,1.11
2014-06-19,4.9432,4.9835,4.8516,4.9189,179073,0.0186,0.38
2014-06-20,4.9647,5.1801,4.9162,5.1478,348470,0.2287,4.65
2014-06-23,5.2016,5.2743,5.0347,5.0778,121117,-0.07,-1.36
2014-06-24,5.0966,5.1666,5.0508,5.0643,156874,0.0402,0.8
2014-06-25,5.0455,5.1699,4.9189,5.1585,89347,0.0942,1.86
2014-06-26,5.137,5.172,4.9916,5.1208,57615,-0.0377,-0.73
2014-06-27,5.0832,5.1935,5.0132,5.1855,238074,0.0645,1.26
2014-06-30,5.1909,5.3497,5.1182,5.3309,167269,0.1452,2.8
2014-07-01,5.3766,5.4385,5.3255,5.3362,294872,0.0053,0.1
2014-07-02,5.3362,5.4385,5.2689,5.3335,154915,-0.0027,-0.05
2014-07-03,5.3551,5.4251,5.2097,5.3578,32572,0.024,0.45
2014-07-07,5.347,5.4264,5.2084,5.2582,134125,-0.0997,-1.86
2014-07-08,5.2635,5.3685,5.0078,5.1478,118328,-0.1104,-2.1
2014-07-09,5.1532,5.1962,5.0132,5.1155,67512,-0.0324,-0.63
2014-07-10,5.0185,5.1155,4.8516,4.9889,123026,-0.1263,-2.47
2014-07-11,4.9701,4.9808,4.8624,4.9001,93344,-0.0888,-1.78
2014-07-14,4.9539,4.9916,4.8543,4.9055,120601,0.0054,0.11
2014-07-15,4.8812,4.9808,4.7116,4.7358,75305,-0.1697,-3.46
2014-07-16,4.7708,4.9663,4.6281,4.7601,102901,0.0242,0.51
2014-07-17,4.7224,4.7805,4.6039,4.7008,109043,-0.059,-1.24
2014-07-18,4.6551,4.9297,4.6551,4.8489,98714,0.1481,3.15
2014-07-21,4.7924,4.8947,4.7116,4.7762,76803,-0.0727,-1.5
2014-07-22,4.8328,4.8462,4.7358,4.8085,75849,0.0325,0.68
2014-07-23,4.8032,4.8408,4.7251,4.7655,59085,-0.0433,-0.9
2014-07-24,4.7762,4.8462,4.7251,4.7358,59373,-0.0295,-0.62
2014-07-25,4.7116,4.7708,4.7116,4.7601,103928,0.0242,0.51
2014-07-28,4.7466,4.8435,4.7412,4.7951,80000,0.0352,0.74
2014-07-29,4.7924,4.8355,4.6847,4.7089,223845,-0.0863,-1.8
2014-07-30,4.7251,4.8139,4.6578,4.6658,58054,-0.0428,-0.91
2014-07-31,4.6578,4.8005,4.5824,4.5931,118568,-0.0728,-1.56
2014-08-01,4.6066,4.6591,4.4155,4.4828,105211,-0.1102,-2.4
2014-08-04,4.5178,4.6524,4.3347,4.3912,119936,-0.0914,-2.04
2014-08-05,4.3697,4.4855,4.0574,4.1624,157683,,
2014-08-06,4.1328,4.2423,4.0439,4.0897,48338,-0.0728,-1.75
2014-08-07,4.1193,4.1516,3.9497,4.1004,112326,0.0106,0.26
2014-08-08,4.0978,4.1489,3.9335,4.1166,62556,0.016,0.39
2014-08-11,4.1274,4.2378,4.0224,4.1004,79744,-0.0161,-0.39
2014-08-12,4.0924,4.1947,4.0439,4.1543,61694,0.0537,1.31
2014-08-13,4.087,4.2889,4.087,4.2216,60483,0.0673,1.62
2014-08-14,4.3078,4.5175,4.2997,4.3508,91379,0.1292,3.06
2014-08-15,4.4289,4.5581,4.3616,4.5474,104222,0.1967,4.52
2014-08-18,4.6066,4.7116,4.5258,4.6712,79181,0.1237,2.72
2014-08-19,4.6632,4.7789,4.6632,4.7412,229889,0.0701,1.5
2014-08-20,4.717,4.8193,4.7143,4.7466,39391,0.0052,0.11
2014-08-21,4.7332,4.8193,4.6847,4.7116,73016,-0.0351,-0.74
2014-08-22,4.6901,4.8032,4.6793,4.7332,71619,0.0217,0.46
2014-08-25,4.7708,4.7708,4.6443,4.7116,53764,-0.0218,-0.46
2014-08-26,4.7008,4.7789,4.6712,4.717,57267,0.0052,0.11
2014-08-27,4.6605,4.7466,4.6605,4.7143,76701,-0.0028,-0.06
2014-08-28,4.6928,4.7762,4.6874,4.7412,83277,0.0269,0.57
2014-08-29,4.7682,4.7762,4.7008,4.7035,74491,-0.0379,-0.8
2014-09-02,4.7251,4.7682,4.6605,4.7035,113088,0.0,0.0
2014-09-03,4.7116,4.7762,4.6308,4.6632,65313,-0.0405,-0.86
