日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2012-04-03,25.3,25.45,25.15,25.218,1247012,,
2012-04-04,25.2,25.2,25.1,25.12,757258,,
2012-04-05,25.13,25.17,25.0,25.13,309924,,
2012-04-09,25.15,25.2,25.01,25.1,158238,,
2012-04-10,25.14,25.24,25.1,25.15,581089,,
2012-04-11,25.18,25.24,25.15,25.18,207122,,
2012-04-12,25.18,25.28,25.17,25.27,202839,,
2012-04-13,25.27,25.3,25.2,25.21,145092,,
2012-04-16,25.28,25.33,25.25,25.29,224683,,
2012-04-17,25.36,25.36,25.23,25.23,240657,,
2012-04-18,25.27,25.37,25.26,25.27,424258,,
2012-04-19,25.28,25.4,25.27,25.33,176703,,
2012-04-20,25.39,25.49,25.33,25.44,151482,,
2012-04-23,25.28,25.55,25.28,25.4,216609,,
2012-04-24,25.46,25.46,25.284,25.34,211356,,
2012-04-25,25.35,25.45,25.14,25.3,318701,,
2012-04-26,25.31,25.35,25.2,25.25,169326,,
2012-04-27,25.31,25.45,25.27,25.39,158194,,
2012-04-30,25.4,25.5,25.32,25.42,326073,,
2012-05-01,25.54,25.64,25.45,25.52,112962,,
2012-05-02,25.5,25.69,25.5,25.57,197660,,
2012-05-03,25.62,25.63,25.51,25.56,91551,,
2012-05-04,25.51,25.56,25.42,25.49,161324,,
2012-05-07,25.43,25.6,25.43,25.58,69063,,
2012-05-08,25.59,25.59,25.48,25.54,86844,,
2012-05-09,25.53,25.59,25.42,25.56,104631,,
2012-05-10,25.59,25.75,25.52,25.66,92300,,
2012-05-11,25.67,25.739,25.55,25.67,49445,,
2012-05-14,25.66,25.7,25.51,25.62,62157,,
2012-05-15,25.54,25.7,25.25,25.33,162271,,
2012-05-16,25.3,25.38,25.16,25.37,130940,,
2012-05-17,25.39,25.39,25.12,25.15,72465,,
2012-05-18,25.35,25.35,24.81,24.93,115672,,
2012-05-21,25.23,25.38,25.02,25.35,84479,,
2012-05-22,25.43,25.56,25.27,25.44,98076,,
2012-05-23,25.3,25.59,25.3,25.41,144887,,
2012-05-24,25.44,25.51,25.34,25.48,138687,,
2012-05-25,25.63,25.64,25.43,25.549,67949,,
2012-05-29,25.59,25.64,25.35,25.5,151010,,
2012-05-30,25.55,25.66,25.4,25.54,206314,,
2012-05-31,25.65,25.74,25.54,25.64,171211,,
2012-06-01,25.64,25.68,25.371,25.48,153216,,
2012-06-04,25.54,25.558,25.4,25.529,69260,,
2012-06-05,25.58,25.76,25.55,25.71,100516,,
2012-06-06,25.71,25.835,25.64,25.69,104880,,
2012-06-07,25.82,25.82,25.58,25.69,93840,,
2012-06-08,25.7,25.79,25.62,25.7,60481,,
2012-06-11,25.84,25.84,25.68,25.7,79731,,
2012-06-12,25.72,25.96,25.72,25.86,55854,,
