日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-01-03,1.1832,1.1832,1.1787,1.1787,4800,-0.0089,-0.75
1995-01-04,1.1787,1.1832,1.1743,1.1743,18000,-0.0045,-0.38
1995-01-05,1.1787,1.1787,1.1698,1.1743,6000,0.0,0.0
1995-01-06,1.1787,1.1832,1.1743,1.1787,20800,0.0045,0.38
1995-01-09,1.1787,1.1787,1.1698,1.1698,12800,-0.009,-0.76
1995-01-10,1.1743,1.1787,1.1639,1.1743,47200,0.0044,0.38
1995-01-11,1.1787,1.1787,1.1743,1.1787,10800,0.0045,0.38
1995-01-12,1.1743,1.1743,1.1639,1.1639,7200,-0.0149,-1.26
1995-01-13,1.1609,1.1743,1.1594,1.1743,10800,0.0104,0.89
1995-01-16,1.1698,1.1743,1.1698,1.1743,4800,0.0,0.0
1995-01-17,1.1698,1.1743,1.1594,1.1698,28400,-0.0045,-0.38
1995-01-18,1.1654,1.1743,1.155,1.1743,37200,0.0044,0.38
1995-01-19,1.1698,1.1743,1.1639,1.1639,15600,-0.0103,-0.88
1995-01-20,1.1609,1.1639,1.1594,1.1594,4400,-0.0044,-0.38
1995-01-23,1.1565,1.1639,1.155,1.1639,6400,0.0044,0.38
1995-01-24,1.1654,1.1698,1.1461,1.1461,35200,-0.0178,-1.53
1995-01-25,1.1461,1.1461,1.1268,1.1268,10800,-0.0193,-1.68
1995-01-26,1.1283,1.1461,1.1268,1.1461,38000,0.0193,1.71
1995-01-27,1.1416,1.1698,1.1416,1.1639,21600,0.0178,1.55
1995-01-30,1.1698,1.1743,1.1639,1.1698,9600,0.0059,0.51
1995-01-31,1.1461,1.1505,1.1461,1.1461,6800,-0.0237,-2.03
1995-02-01,1.1416,1.1416,1.1327,1.1327,6800,-0.0134,-1.17
1995-02-02,1.1223,1.1223,1.1179,1.1179,17600,-0.0148,-1.31
1995-02-03,1.1238,1.1268,1.1223,1.1223,15200,0.0045,0.4
1995-02-06,1.1238,1.1268,1.1134,1.1179,62000,-0.0045,-0.4
1995-02-07,1.1223,1.1223,1.109,1.1134,18400,-0.0045,-0.4
1995-02-08,1.1194,1.1327,1.1179,1.1327,31600,0.0193,1.73
1995-02-09,1.1283,1.1416,1.1268,1.1327,31200,0.0,0.0
1995-02-10,1.1283,1.1372,1.1223,1.1223,25200,-0.0104,-0.92
1995-02-13,1.1268,1.1268,1.1179,1.1268,12000,0.0045,0.4
1995-02-14,1.1283,1.1461,1.1223,1.1461,13200,0.0193,1.71
1995-02-15,1.1416,1.1639,1.1416,1.1639,16400,0.0178,1.55
1995-02-16,1.1743,1.1876,1.1698,1.1832,26000,0.0193,1.66
1995-02-17,1.1876,1.1966,1.1876,1.1876,24800,0.0045,0.38
1995-02-21,1.1936,1.1966,1.1876,1.1921,19600,0.0044,0.37
1995-02-22,1.1936,1.1966,1.1876,1.1876,4400,-0.0044,-0.37
1995-02-23,1.1921,1.1921,1.1876,1.1921,4800,0.0044,0.37
1995-02-24,1.198,1.201,1.1921,1.1921,39600,0.0,0.0
1995-02-27,1.1832,1.1832,1.1787,1.1832,8400,-0.0089,-0.75
1995-02-28,1.1787,1.1876,1.1787,1.1876,7600,0.0045,0.38
1995-03-01,1.1832,1.1876,1.1787,1.1787,10000,-0.0089,-0.75
1995-03-02,1.1832,1.1876,1.1787,1.1787,28400,0.0,0.0
1995-03-03,1.1832,1.1876,1.1787,1.1832,12000,0.0045,0.38
1995-03-06,1.1921,1.1921,1.1787,1.1787,94400,-0.0045,-0.38
1995-03-07,1.1787,1.1787,1.1698,1.1787,14400,0.0,0.0
1995-03-08,1.1787,1.1787,1.1698,1.1743,10800,-0.0045,-0.38
1995-03-09,1.1743,1.1832,1.1743,1.1787,33200,0.0045,0.38
1995-03-10,1.1832,1.1832,1.1743,1.1832,8800,0.0045,0.38
1995-03-12,1.1787,1.1832,1.1743,1.1743,4800,-0.0089,-0.75
1995-03-13,1.1832,1.1876,1.1698,1.1698,16000,-0.0045,-0.38
1995-03-14,1.1698,1.1787,1.1698,1.1743,11600,0.0044,0.38
1995-03-15,1.1698,1.1698,1.1461,1.1594,26000,-0.0148,-1.26
1995-03-16,1.1505,1.1505,1.1416,1.1416,19200,-0.0179,-1.54
1995-03-19,1.1416,1.1416,1.1327,1.1372,18000,-0.0045,-0.39
1995-03-20,1.1372,1.1372,1.1223,1.1223,9200,-0.0149,-1.31
1995-03-21,1.1134,1.1179,1.1134,1.1134,18000,-0.0089,-0.79
1995-03-22,1.1134,1.1134,1.109,1.109,12400,-0.0045,-0.4
1995-03-23,1.1134,1.1134,1.109,1.109,45600,0.0,0.0
1995-03-26,1.109,1.1134,1.109,1.1134,11200,0.0044,0.4
1995-03-27,1.1134,1.1134,1.1001,1.109,42000,-0.0045,-0.4
1995-03-28,1.1134,1.1134,1.1045,1.1045,17200,-0.0044,-0.4
1995-03-29,1.1045,1.1045,1.1001,1.1045,9200,0.0,0.0
1995-03-30,1.1045,1.109,1.1001,1.109,21200,0.0044,0.4
1995-04-03,1.109,1.109,1.1045,1.109,15600,0.0,0.0
1995-04-04,1.109,1.1223,1.109,1.1223,17600,0.0133,1.2
1995-04-05,1.1238,1.1327,1.1134,1.1268,33200,0.0045,0.4
1995-04-06,1.1238,1.1461,1.1223,1.1461,24800,0.0193,1.71
1995-04-07,1.1461,1.1594,1.1461,1.155,11600,0.0089,0.78
1995-04-10,1.1565,1.1639,1.155,1.1594,14400,0.0045,0.39
1995-04-11,1.1594,1.1594,1.155,1.155,15200,-0.0044,-0.38
1995-04-12,1.1654,1.1698,1.1594,1.1594,28400,0.0045,0.39
1995-04-13,1.1654,1.1698,1.1639,1.1698,7600,0.0104,0.9
1995-04-17,1.1698,1.1698,1.1594,1.1698,17200,0.0,0.0
1995-04-18,1.1654,1.1698,1.155,1.155,14400,-0.0149,-1.27
1995-04-19,1.1565,1.1698,1.155,1.1669,11600,0.0119,1.03
1995-04-20,1.1743,1.1876,1.1698,1.1876,20400,0.0208,1.78
1995-04-21,1.1787,1.1921,1.1787,1.1921,15200,0.0044,0.37
1995-04-24,1.1936,1.1966,1.1921,1.1921,8400,0.0,0.0
1995-04-25,1.1743,1.1743,1.1639,1.1698,32800,-0.0223,-1.87
