日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2018-04-18,2.6812,2.8301,2.6812,2.8301,5345,0.0994,3.64
2018-04-19,2.8301,2.8301,2.2939,2.4825,4886,-0.3475,-12.28
2018-04-20,2.5322,2.5322,2.5322,2.5322,500,0.0497,2.0
2018-04-23,2.7805,2.8301,2.5322,2.5322,4000,0.0,0.0
2018-04-24,2.5819,2.6017,2.4825,2.4825,34820,-0.0496,-1.96
2018-05-04,2.5819,2.5819,2.5819,2.5819,23,0.0993,4.0
2018-05-07,2.4825,2.4825,2.4825,2.4825,1000,0.0,0.0
2018-05-08,2.5819,2.5819,2.5819,2.5819,1100,0.0,0.0
2018-05-10,2.5819,2.5819,2.5819,2.5819,100,0.0,0.0
2018-05-14,2.8301,2.8301,2.8301,2.8301,300,0.2484,9.62
2018-05-15,2.8798,2.8798,2.8798,2.8798,1260,0.0495,1.75
2018-05-16,2.5819,2.5819,2.5819,2.5819,2800,-0.2978,-10.34
2018-05-17,2.5819,2.7805,2.5819,2.5819,2838,0.0,0.0
2018-05-18,2.8301,2.8301,2.8301,2.8301,1000,0.0498,1.79
2018-05-21,2.8301,2.8301,2.8202,2.8202,5205,-0.0099,-0.35
2018-05-22,2.7904,2.8301,2.7904,2.8301,350,0.0099,0.35
2018-05-23,2.8301,2.8301,2.8301,2.8301,100,0.0,0.0
2018-05-24,2.7308,2.7308,2.5819,2.5819,200,-0.2482,-8.77
2018-05-25,2.84,2.8798,2.84,2.8798,1000,0.2979,11.54
2018-05-29,2.8798,2.8798,2.8798,2.8798,1152,0.0,0.0
2018-05-30,2.8301,2.8301,2.8301,2.8301,1500,-0.0495,-1.72
2018-05-31,2.7805,2.7805,2.7805,2.7805,200,-0.0495,-1.75
2018-06-01,2.8301,2.8301,2.5819,2.5819,2870,-0.1985,-7.14
2018-06-04,2.8301,2.8301,2.5819,2.5918,2870,-0.1888,-6.79
2018-06-05,2.7904,2.84,2.7904,2.84,2870,0.2582,10.0
2018-06-06,2.8301,2.8301,2.8301,2.8301,2870,-0.0099,-0.35
2018-06-08,2.7308,2.7308,2.6414,2.6414,2870,-0.1888,-6.67
2018-06-11,2.8202,2.8301,2.8202,2.8301,2870,0.1886,7.14
2018-06-13,2.8102,2.8301,2.6812,2.6812,2870,-0.1489,-5.26
2018-06-14,2.84,2.84,2.7308,2.7308,2870,0.0496,1.85
2018-06-15,2.7606,2.84,2.7308,2.7308,2870,0.0,0.0
2018-06-19,2.8301,2.8301,2.6315,2.6315,2870,-0.0994,-3.64
2018-06-20,2.7308,2.7308,2.7308,2.7308,240,0.0992,3.77
2018-06-25,2.6812,2.6812,2.6812,2.6812,200,-0.0497,-1.82
2018-06-26,2.6315,2.6315,2.6315,2.6315,1000,-0.0496,-1.85
2018-06-27,2.6315,2.6315,2.6315,2.6315,4500,0.0,0.0
2018-06-28,2.6315,2.6514,2.6315,2.6514,2100,0.0197,0.75
2018-06-29,2.5918,2.5918,2.5819,2.5819,500,-0.0695,-2.62
2018-07-09,2.7159,2.7159,2.7159,2.7159,10,0.134,5.19
2018-07-10,2.6017,2.6017,2.6017,2.6017,150,0.0199,0.77
2018-07-12,2.7109,2.7109,2.7109,2.7109,4,0.1093,4.2
