日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-08-13,3.95,4.14,3.31,3.42,5543620,-0.73,-17.5904
2021-08-16,3.7,4.05,3.51,3.78,3287456,0.36,10.53
2021-08-17,3.73,4.03,3.58,3.86,1947788,0.08,2.12
2021-08-18,3.8669,4.3,3.65,4.04,2668276,0.18,4.6632
2021-08-19,4.05,5.36,3.83,4.92,16912355,0.88,21.78
2021-08-20,5.06,6.3,4.52,6.2,7906797,1.28,26.02
2021-08-23,5.9664,7.22,5.8,6.97,11775904,0.77,12.4194
2021-08-24,6.91,7.91,6.02,6.08,10513187,-0.89,-12.77
2021-08-25,6.08,6.77,5.96,6.52,2182902,0.44,7.24
2021-08-26,6.51,7.24,6.45,6.84,2316966,0.32,4.91
2021-08-27,6.9,8.67,6.82,8.5,6503285,1.66,24.269
2021-08-30,8.5459,8.58,7.04,7.37,3277757,-1.13,-13.29
2021-08-31,7.63,8.1,7.3807,7.62,1969059,0.25,3.39
2021-09-01,7.65,7.74,7.1,7.39,1865705,-0.23,-3.02
2021-09-02,7.5,8.18,7.25,8.08,3794565,0.69,9.34
2021-09-03,8.06,8.8,7.63,7.75,4615583,-0.33,-4.08
2021-09-07,7.8,7.85,6.43,7.16,3045171,-0.59,-7.61
2021-09-08,7.06,7.12,6.56,6.91,1614562,-0.25,-3.49
2021-09-09,6.66,6.96,6.61,6.76,875460,-0.15,-2.17
2021-09-10,6.69,6.85,6.16,6.31,1766491,-0.45,-6.6568
2021-09-13,6.3,6.8,6.01,6.54,2220074,0.23,3.645
2021-09-14,7.09,8.3599,6.9,7.4,18172084,0.86,13.1498
2021-09-15,7.19,7.37,6.83,7.17,2438139,-0.23,-3.11
2021-09-16,7.04,7.7,6.8,7.68,3596665,0.51,7.11
2021-09-17,8.09,9.13,7.35,7.35,16531451,-0.33,-4.3
2021-09-20,7.1,8.07,7.0,7.54,5259342,0.19,2.59
2021-09-21,7.62,8.05,7.35,7.8,3368958,0.26,3.4483
2021-09-22,7.86,8.93,7.85,8.55,11615271,0.75,9.62
2021-09-23,8.31,10.39,7.88,10.29,19234087,1.74,20.35
2021-09-24,9.98,12.19,9.68,10.99,22569663,0.7,6.8
2021-09-27,10.7,12.43,10.6062,11.53,11621319,0.54,4.9136
2021-09-28,11.35,14.64,10.71,14.61,28911392,3.08,26.71
2021-09-29,14.17,18.5,12.4227,12.93,53669804,-1.68,-11.5
2021-09-30,14.33,14.79,12.92,13.65,18243818,0.72,5.57
2021-10-01,13.6,13.67,10.92,11.93,8886871,-1.72,-12.6
2021-10-04,12.0,12.9,11.3,11.69,6074904,-0.24,-2.01
2021-10-05,11.8224,12.08,7.38,8.9,27974794,-2.79,-23.87
2021-10-06,8.08,8.45,7.14,7.36,11199963,-1.54,-17.3
2021-10-07,8.07,8.95,7.87,8.04,15318029,0.68,9.24
2021-10-08,8.82,11.91,8.22,11.72,66661024,3.68,45.77
2021-10-11,11.54,13.55,10.65,12.6,58059723,0.88,7.51
2021-10-12,12.25,15.09,12.06,15.01,51911800,2.41,19.127
2021-10-13,16.83,17.29,10.93,11.0,87323348,-4.01,-26.72
2021-10-14,10.2174,12.5,9.32,11.99,79915197,0.99,9.0
2021-10-15,11.861,12.27,10.7,10.82,20165531,-1.17,-9.76
2021-10-18,10.27,10.59,9.56,9.67,8585895,-1.15,-10.63
2021-10-19,9.17,9.9,8.82,9.47,8887514,-0.2,-2.07
2021-10-20,9.34,9.79,9.01,9.12,4450287,-0.35,-3.6959
2021-10-21,9.0,9.8,8.78,8.84,8757635,-0.28,-3.07
2021-10-22,9.42,13.4,8.86,9.04,27519154,0.2,2.26
2021-10-25,8.88,9.55,8.14,9.07,11144547,0.03,0.33
2021-10-26,8.75,9.0,8.17,8.3,5351497,-0.77,-8.49
2021-10-27,8.3,8.32,7.4,7.52,5861758,-0.78,-9.4
2021-10-28,8.95,9.45,7.81,7.94,23518723,0.42,5.59
2021-10-29,7.75,8.18,7.58,7.96,2986578,0.02,0.25
2021-11-01,7.95,8.3798,7.7344,8.32,3533117,0.36,4.52
2021-11-02,8.06,8.49,7.88,8.17,2715541,-0.15,-1.8029
2021-11-03,8.04,8.14,7.875,7.93,1551244,-0.24,-2.94
2021-11-04,7.98,8.06,7.43,7.61,3408004,-0.32,-4.04
2021-11-05,7.61,7.9,7.41,7.76,2021344,0.15,1.9711
2021-11-08,7.7,7.8,7.51,7.66,1379679,-0.1,-1.29
2021-11-09,7.55,7.8,7.21,7.52,1430818,-0.14,-1.83
2021-11-10,7.27,7.3472,6.58,6.71,2935282,-0.81,-10.77
2021-11-11,6.69,6.91,6.55,6.73,1155390,0.02,0.3
2021-11-12,6.91,7.0981,6.7501,6.81,1660917,0.08,1.19
2021-11-15,6.73,6.94,6.28,6.46,1907999,-0.35,-5.1395
2021-11-16,6.36,6.4,6.1,6.26,2052391,-0.2,-3.096
2021-11-17,6.13,6.3966,5.89,5.98,3087502,-0.28,-4.4728
2021-11-18,5.9,5.99,5.33,5.34,2702060,-0.64,-10.7
2021-11-19,5.36,5.91,5.12,5.39,2930666,0.05,0.94
2021-11-22,5.3,5.341,4.3,4.59,3630140,-0.8,-14.84
2021-11-23,4.57,4.57,4.1,4.23,2107332,-0.36,-7.8431
2021-11-24,4.2,4.72,4.02,4.44,2207918,0.21,4.96
2021-11-26,4.17,4.19,4.03,4.14,960239,-0.3,-6.76
2021-11-29,4.23,4.28,3.96,4.14,1802456,0.0,0.0
2021-11-30,4.06,4.2,3.7,3.81,2339665,-0.33,-7.97
2021-12-01,3.9,4.29,3.63,3.67,4450821,-0.14,-3.67
2021-12-02,3.54,3.79,3.36,3.74,2723280,0.07,1.91
2021-12-03,3.71,3.74,3.27,3.28,2205511,-0.46,-12.3
2021-12-06,3.23,3.57,2.95,3.44,3210343,0.16,4.88
2021-12-07,3.55,3.95,3.44,3.74,1589831,0.3,8.72
2021-12-08,3.63,4.08,3.51,3.81,2519693,0.07,1.87
2021-12-09,3.8,3.8185,3.4698,3.48,1053082,-0.33,-8.66
2021-12-10,3.48,3.59,3.27,3.31,1103692,-0.17,-4.89
2021-12-13,3.21,3.36,3.0701,3.15,994668,-0.16,-4.83
2021-12-14,3.01,3.22,2.94,3.06,717768,-0.09,-2.86
2021-12-15,3.02,3.48,2.75,3.3,3160391,0.24,7.84
2021-12-16,3.25,3.32,2.93,3.01,2170534,-0.29,-8.79
2021-12-17,2.9514,3.4399,2.88,3.3,1864918,0.29,9.63
2021-12-20,3.23,3.24,2.96,2.99,1705437,-0.31,-9.39
2021-12-21,3.02,3.29,3.01,3.18,1642466,0.19,6.35
2021-12-22,3.13,3.45,3.0933,3.38,1539096,0.2,6.2893
2021-12-23,3.39,3.54,3.22,3.39,900240,0.01,0.3
2021-12-27,3.37,3.65,3.33,3.42,1061241,0.03,0.885
2021-12-28,3.43,3.43,3.09,3.09,953191,-0.33,-9.65
2021-12-29,3.06,3.09,2.82,2.91,1213257,-0.18,-5.83
2021-12-30,2.94,3.17,2.92,3.13,1413923,0.22,7.56
2021-12-31,3.1,3.24,3.01,3.03,1432320,-0.1,-3.19
2022-01-03,3.16,3.36,3.05,3.33,1576020,0.3,9.901
2022-01-04,3.34,3.34,3.03,3.19,990259,-0.14,-4.2
2022-01-05,3.1,3.2199,2.85,2.85,1014704,-0.34,-10.6583
2022-01-06,2.82,2.92,2.6,2.8,1709241,-0.05,-1.7544
2022-01-07,2.79,2.8632,2.63,2.7,665846,-0.1,-3.57
2022-01-10,2.55,2.639,2.35,2.57,1753592,-0.13,-4.81
2022-01-11,2.52,2.81,2.51,2.74,813846,0.17,6.61
2022-01-12,2.72,3.12,2.62,2.69,5183859,-0.05,-1.8248
2022-01-13,2.62,2.65,2.42,2.44,1431265,-0.25,-9.2937
2022-01-14,2.3999,2.4884,2.28,2.4,938055,-0.04,-1.6393
2022-01-18,2.46,3.82,2.4,3.33,28046373,0.93,38.75
2022-01-19,3.16,3.21,2.88,2.99,6787475,-0.34,-10.2102
2022-01-20,3.43,4.14,3.28,3.33,106322503,0.34,11.3712
2022-01-21,3.0,3.12,2.52,2.62,8381219,-0.71,-21.32
2022-01-24,2.38,2.65,2.22,2.65,2969318,0.03,1.15
2022-01-25,2.53,2.65,2.39,2.43,1696452,-0.22,-8.3
2022-01-26,2.54,2.59,2.27,2.33,1564203,-0.1,-4.12
2022-01-27,2.38,2.38,2.05,2.09,1636422,-0.24,-10.3
2022-01-28,2.13,2.32,2.0801,2.2,1513277,0.11,5.26
2022-01-31,2.17,2.37,2.15,2.37,1051462,0.17,7.73
2022-02-01,2.3395,2.5,2.2499,2.38,1876900,0.01,0.42
2022-02-02,2.43,2.4465,2.1897,2.2,1077375,-0.18,-7.56
2022-02-03,2.15,2.28,2.1,2.12,1033105,-0.08,-3.64
2022-02-04,2.11,2.31,2.11,2.22,666905,0.1,4.72
2022-02-07,2.24,2.35,2.18,2.19,1574934,-0.03,-1.35
2022-02-08,2.19,2.2771,2.15,2.23,630841,0.04,1.83
2022-02-09,2.25,2.51,2.23,2.4,862694,0.17,7.62
2022-02-10,2.34,2.5891,2.34,2.48,1301362,0.08,3.33
2022-02-11,2.51,2.59,2.25,2.32,624348,-0.16,-6.45
2022-02-14,2.28,2.39,2.2,2.21,437315,-0.11,-4.74
2022-02-15,2.26,2.3085,2.2191,2.3,581404,0.09,4.07
2022-02-16,2.22,2.4299,2.14,2.19,2562056,-0.11,-4.7826
2022-02-17,2.18,2.2599,2.13,2.18,604884,-0.01,-0.4566
2022-02-18,2.14,2.1908,2.07,2.11,522199,-0.07,-3.21
2022-02-22,2.05,2.09,1.92,1.97,892997,-0.14,-6.6351
2022-02-23,1.97,2.17,1.97,2.05,879013,0.08,4.0609
2022-02-24,1.84,2.07,1.8,2.04,820860,-0.01,-0.49
2022-02-25,2.02,2.1,1.95,1.98,343717,-0.06,-2.94
2022-02-28,1.98,2.18,1.93,2.17,868973,0.19,9.6
2022-03-01,2.12,2.2,2.04,2.06,413127,-0.11,-5.07
2022-03-02,2.06,2.088,1.98,2.02,347384,-0.04,-1.94
2022-03-03,2.07,2.1,1.86,1.87,366684,-0.15,-7.43
2022-03-04,1.87,1.8899,1.75,1.79,505597,-0.08,-4.28
2022-03-07,1.76,1.8095,1.51,1.52,1077532,-0.27,-15.08
2022-03-08,1.51,1.57,1.43,1.53,749042,0.01,0.66
2022-03-09,1.55,1.7394,1.55,1.69,658729,0.16,10.46
2022-03-10,1.67,1.68,1.58,1.6,348733,-0.09,-5.33
2022-03-11,1.66,1.66,1.45,1.47,679485,-0.13,-8.13
2022-03-14,1.5,1.5161,1.39,1.4,375931,-0.07,-4.76
2022-03-15,1.39,1.49,1.39,1.46,277294,0.06,4.29
2022-03-16,1.5,1.6,1.49,1.55,314974,0.09,6.16
2022-03-17,1.57,1.6601,1.56,1.61,517007,0.06,3.87
2022-03-18,1.6,1.74,1.6,1.71,1041842,0.1,6.21
2022-03-21,1.71,1.7398,1.62,1.67,400380,-0.04,-2.34
2022-03-22,1.71,1.8,1.6805,1.75,484605,0.08,4.7904
2022-03-23,1.75,1.86,1.75,1.8,428120,0.05,2.86
2022-03-24,1.83,1.8363,1.74,1.76,348543,-0.04,-2.22
2022-03-25,1.73,1.7431,1.655,1.66,280051,-0.1,-5.68
2022-03-28,2.07,3.23,2.06,2.68,189389180,1.02,61.45
2022-03-29,2.43,2.64,2.32,2.52,15281335,-0.16,-5.97
2022-03-30,2.77,3.01,2.335,2.46,15250002,-0.06,-2.38
2022-03-31,2.41,2.7,2.3392,2.62,2725029,0.16,6.5
2022-04-01,2.62,2.84,2.47,2.74,6697288,0.12,4.58
2022-04-04,2.74,2.96,2.4801,2.67,7205246,-0.07,-2.55
2022-04-05,2.6199,2.685,2.3901,2.45,2948209,-0.22,-8.24
2022-04-06,2.4,2.4,2.19,2.26,1532272,-0.19,-7.76
2022-04-07,2.22,2.29,2.015,2.06,1327893,-0.2,-8.85
2022-04-08,2.1,2.1,1.82,1.83,1254479,-0.23,-11.17
2022-04-11,1.85,1.9591,1.795,1.85,763783,0.02,1.09
2022-04-12,1.86,1.9,1.62,1.67,1627095,-0.18,-9.73
2022-04-13,1.75,1.82,1.66,1.8,1115517,0.13,7.78
2022-04-14,1.78,1.8,1.69,1.72,494627,-0.08,-4.44
2022-04-18,1.73,1.75,1.65,1.72,390143,0.0,0.0
2022-04-19,1.71,1.88,1.68,1.86,650905,0.14,8.14
2022-04-20,1.84,1.85,1.74,1.75,349019,-0.11,-5.91
2022-04-21,1.74,1.78,1.64,1.64,388729,-0.11,-6.29
2022-04-22,1.64,1.73,1.63,1.72,287461,0.08,4.878
2022-04-25,1.67,2.03,1.67,1.99,1353401,0.27,15.7
2022-04-26,1.95,1.957,1.77,1.83,813563,-0.16,-8.04
2022-04-27,1.88,1.8899,1.7193,1.75,397528,-0.08,-4.37
2022-04-28,1.74,1.7792,1.68,1.77,440794,0.02,1.14
2022-04-29,1.7,1.85,1.68,1.75,872595,-0.02,-1.13
2022-05-02,1.7,1.73,1.655,1.72,463729,-0.03,-1.71
2022-05-03,1.71,1.74,1.65,1.69,353181,-0.03,-1.74
2022-05-04,1.67,1.6999,1.575,1.69,572447,0.0,0.0
2022-05-05,1.63,1.6761,1.5698,1.59,354828,-0.1,-5.92
2022-05-06,1.59,1.59,1.46,1.54,429355,-0.05,-3.14
2022-05-09,1.45,1.4754,1.38,1.38,397505,-0.16,-10.39
2022-05-10,1.4,1.43,1.32,1.37,226150,-0.01,-0.72
2022-05-11,1.31,1.3699,1.2,1.2,550077,-0.17,-12.41
2022-05-12,1.15,1.32,1.15,1.22,489304,0.02,1.6667
2022-05-13,1.25,1.37,1.2309,1.3,523480,0.08,6.5574
2022-05-16,1.34,1.34,1.26,1.28,245052,-0.02,-1.5385
2022-05-17,1.3,1.36,1.28,1.33,307889,0.05,3.91
2022-05-18,1.34,1.34,1.26,1.27,172928,-0.06,-4.51
2022-05-19,1.27,1.34,1.25,1.31,241690,0.04,3.15
2022-05-20,1.31,1.3308,1.19,1.23,257674,-0.08,-6.1069
2022-05-23,1.21,1.27,1.17,1.26,225732,0.03,2.44
2022-05-24,1.23,1.2306,1.16,1.185,213258,-0.075,-5.95
2022-05-25,1.18,1.2405,1.18,1.21,175034,0.025,2.1097
2022-05-26,1.25,1.32,1.25,1.32,195625,0.11,9.09
2022-05-27,1.28,1.35,1.27,1.32,228613,0.0,0.0
2022-05-31,1.28,1.3001,1.24,1.26,200365,-0.06,-4.55
2022-06-01,1.26,1.34,1.2505,1.26,159870,0.0,0.0
2022-06-02,1.27,1.4,1.26,1.34,322055,0.08,6.35
2022-06-03,1.32,1.325,1.27,1.32,134390,-0.02,-1.49
2022-06-06,1.33,1.33,1.26,1.29,140441,-0.03,-2.27
2022-06-07,1.25,1.34,1.25,1.3,130391,0.01,0.78
2022-06-08,1.28,1.4,1.28,1.32,302495,0.02,1.54
2022-06-09,1.31,1.31,1.26,1.27,114246,-0.05,-3.79
2022-06-10,1.24,1.27,1.2005,1.21,165375,-0.06,-4.7244
2022-06-13,1.18,1.185,1.11,1.13,245938,-0.08,-6.61
2022-06-14,1.13,1.17,1.09,1.12,122486,-0.01,-0.88
2022-06-15,1.13,1.19,1.1101,1.15,148101,0.03,2.68
2022-06-16,1.09,1.13,1.0304,1.08,198887,-0.07,-6.09
2022-06-17,1.07,1.15,1.07,1.12,113634,0.04,3.7037
2022-06-21,1.11,1.15,1.1,1.13,161198,0.01,0.89
2022-06-22,1.1,1.15,1.1,1.13,164499,0.0,0.0
2022-06-23,1.11,1.22,1.11,1.17,256062,0.04,3.54
2022-06-24,1.15,1.21,1.1,1.11,211271,-0.06,-5.13
2022-06-27,1.12,1.13,1.08,1.09,104577,-0.02,-1.8
2022-06-28,1.08,1.32,1.08,1.16,1124656,0.07,6.42
2022-06-29,1.12,1.131,1.05,1.09,215516,-0.07,-6.03
2022-06-30,1.06,1.1,1.03,1.09,106090,0.0,0.0
2022-07-01,1.06,1.08,1.0511,1.07,49245,-0.02,-1.83
2022-07-05,1.07,1.19,1.05,1.15,212859,0.08,7.48
2022-07-06,1.16,1.18,1.0801,1.09,256290,-0.06,-5.22
2022-07-07,1.11,1.17,1.11,1.14,101125,0.05,4.59
2022-07-08,1.14,1.23,1.13,1.19,248754,0.05,4.386
2022-07-11,1.19,1.2127,1.12,1.13,156998,-0.06,-5.04
2022-07-12,1.12,1.1485,1.0901,1.12,53433,-0.01,-0.88
2022-07-13,1.1,1.14,1.08,1.13,75428,0.01,0.89
2022-07-14,1.102,1.13,1.09,1.105,44702,-0.025,-2.21
2022-07-15,1.08,1.13,1.08,1.12,78266,0.015,1.36
2022-07-18,1.13,1.2,1.12,1.13,295705,0.01,0.8929
2022-07-19,1.12,1.15,1.11,1.13,143152,0.0,0.0
2022-07-20,1.09,1.24,1.09,1.21,234605,0.08,7.08
2022-07-21,1.17,1.23,1.16,1.23,153594,0.02,1.6529
2022-07-22,1.17,1.25,1.16,1.16,148732,-0.07,-5.69
2022-07-25,1.16,1.24,1.1325,1.17,138673,0.01,0.86
2022-07-26,1.16,1.26,1.13,1.24,287717,0.07,5.98
2022-07-27,1.2,1.26,1.2,1.21,126254,-0.03,-2.42
2022-07-28,1.2,1.21,1.1501,1.16,177500,-0.05,-4.13
2022-07-29,1.16,1.16,1.09,1.13,288207,-0.03,-2.59
2022-08-01,1.1,1.16,1.1,1.12,147968,-0.01,-0.88
2022-08-02,1.11,1.17,1.09,1.12,255024,0.0,0.0
2022-08-03,1.11,1.22,1.1,1.17,576839,0.05,4.46
2022-08-04,1.2,1.2199,1.13,1.18,425310,0.01,0.85
2022-08-05,1.15,1.26,1.14,1.21,434983,0.03,2.54
2022-08-08,1.18,1.3,1.18,1.26,374589,0.05,4.13
2022-08-09,1.24,1.245,1.16,1.17,186140,-0.09,-7.1429
2022-08-10,1.19,1.24,1.18,1.22,162633,0.05,4.27
2022-08-11,1.18,1.29,1.18,1.22,526700,0.0,0.0
2022-08-12,1.24,1.31,1.24,1.26,203905,0.04,3.28
2022-08-15,1.3,1.3,1.24,1.25,115785,-0.01,-0.79
2022-08-16,1.25,1.54,1.2449,1.39,1394835,0.14,11.2
2022-08-17,1.37,1.4087,1.28,1.35,439993,-0.04,-2.88
2022-08-18,1.33,1.3499,1.26,1.26,432111,-0.09,-6.67
2022-08-19,1.25,1.27,1.21,1.21,167651,-0.05,-3.97
2022-08-22,1.28,1.33,1.16,1.18,488495,-0.03,-2.48
2022-08-23,1.21,1.21,1.11,1.13,318614,-0.05,-4.24
2022-08-24,1.15,1.1509,1.1,1.12,195482,-0.01,-0.88
2022-08-25,1.1,1.2,1.1,1.19,200775,0.07,6.25
2022-08-26,1.16,1.19,1.12,1.12,123206,-0.07,-5.88
2022-08-29,1.12,1.1279,1.03,1.06,303469,-0.06,-5.36
2022-08-30,1.08,1.1,0.9803,1.01,352471,-0.05,-4.72
2022-08-31,1.01,1.04,1.0,1.01,122955,0.0,0.0
2022-09-01,0.9602,1.0,0.9,0.94,325357,-0.07,-6.93
2022-09-02,0.9605,0.9692,0.9002,0.9431,128080,0.003,0.32
2022-09-06,0.9432,0.96,0.9085,0.937,133182,-0.006,-0.64
2022-09-07,0.91,0.945,0.91,0.9449,127034,0.008,0.85
2022-09-08,0.9267,0.993,0.9267,0.9927,100817,0.048,5.08
2022-09-09,1.0,1.0,0.9435,0.97,205499,-0.023,-2.32
2022-09-12,0.9557,0.99,0.9369,0.9594,157304,-0.011,-1.13
2022-09-13,0.9589,0.9589,0.88,0.9036,182412,-0.056,-5.84
2022-09-14,0.89,0.975,0.8842,0.91,258018,0.006,0.66
2022-09-15,0.913999,0.93,0.86,0.8616,129299,-0.048,-5.27
2022-09-16,0.84,0.8607,0.702,0.702,439969,-0.16,-18.57
2022-09-19,0.74,0.7568,0.7025,0.7134,128133,0.0114,1.6239
2022-09-20,0.706,0.7375,0.706,0.71,88123,-0.003,-0.42
2022-09-21,0.701,0.7102,0.66,0.6771,204385,-0.033,-4.65
2022-09-22,0.66,0.7102,0.6515,0.6911,141723,0.014,2.07
2022-09-23,0.7074,0.7074,0.62,0.627,315529,-0.064,-9.26
2022-09-26,0.6045,0.68,0.6,0.64,204376,0.013,2.07
2022-09-27,0.645,0.6682,0.64,0.6605,108024,0.0205,3.2031
2022-09-28,0.6764,0.73,0.6672,0.705,133010,0.044,6.66
2022-09-29,0.72,0.735,0.69,0.69,34460,-0.015,-2.13
