日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2019-07-25,9.8,9.8,9.8,9.8,100,0.0,0.0
2019-08-07,9.76,9.76,9.76,9.76,150000,-0.04,-0.41
2019-08-13,9.77,9.78,9.77,9.78,320000,0.02,0.2
2019-08-20,9.84,9.85,9.84,9.85,1001,0.07,0.72
2019-08-27,9.85,9.85,9.85,9.85,99099,0.0,0.0
2019-08-28,9.85,9.85,9.85,9.85,97388,0.0,0.0
2019-09-18,9.85,9.92,9.85,9.9,88755,0.05,0.51
2019-09-20,9.84,9.85,9.84,9.85,290000,-0.05,-0.51
2019-09-24,9.85,9.85,9.85,9.85,26503,0.0,0.0
2019-09-26,9.85,9.85,9.85,9.85,25000,0.0,0.0
2019-10-01,9.906,9.92,9.906,9.92,2500,0.07,0.71
2019-10-03,9.89,9.89,9.89,9.89,100000,-0.03,-0.3
2019-10-04,9.92,9.92,9.8955,9.92,900,0.03,0.3
2019-10-09,9.92,9.92,9.92,9.92,35800,0.0,0.0
2019-10-15,9.85,9.95,9.85,9.95,6161,0.03,0.3
2019-10-16,9.85,9.95,9.85,9.926,706298,-0.024,-0.24
2019-10-17,9.9,9.95,9.9,9.95,151000,0.024,0.24
2019-10-18,9.95,9.95,9.9,9.95,10400,0.0,0.0
2019-10-21,9.95,9.95,9.9,9.9239,32700,-0.0261,-0.26
2019-10-22,9.9001,9.9001,9.87,9.87,279900,-0.0539,-0.54
2019-10-25,9.85,9.85,9.85,9.85,100000,-0.02,-0.2
2019-10-29,9.93,9.93,9.93,9.93,17500,0.08,0.81
2019-10-30,9.9,9.9121,9.8501,9.8809,8930,-0.0491,-0.49
2019-10-31,10.15,10.15,10.07,10.08,1698182,0.1991,2.01
2019-11-01,10.1,10.132,10.08,10.08,32827,0.0,0.0
2019-11-04,10.09,10.09,10.06,10.09,246502,0.01,0.1
2019-11-05,10.07,10.09,10.06,10.09,10142,0.0,0.0
2019-11-06,10.0701,10.1,10.05,10.05,137693,-0.04,-0.4
2019-11-07,10.07,10.1,10.04,10.08,18457,0.03,0.3
2019-11-08,10.075,10.1,10.07,10.1,1610,0.02,0.2
2019-11-11,10.0888,10.0888,10.0864,10.0864,605,-0.0136,-0.13
2019-11-14,10.05,10.1,10.04,10.09,2011320,0.0036,0.04
2019-11-18,10.05,10.09,10.04,10.04,16903,-0.05,-0.5
2019-11-20,10.0427,10.0427,10.0427,10.0427,102,0.0027,0.03
2019-11-25,10.09,10.09,10.04,10.04,255327,-0.0027,-0.03
2019-11-26,10.09,10.09,10.04,10.04,96847,0.0,0.0
2019-11-27,10.04,10.0618,10.04,10.05,168582,0.01,0.1
2019-12-02,10.08,10.08,10.075,10.075,250,0.025,0.25
2019-12-05,10.06,10.06,10.06,10.06,100015,-0.015,-0.15
2019-12-06,10.06,10.0652,10.06,10.0652,2000,0.0052,0.05
2019-12-09,10.0839,10.0839,10.06,10.06,7789,-0.0052,-0.05
2019-12-10,10.09,10.09,10.09,10.09,10000,0.03,0.3
2019-12-11,10.0835,10.0835,10.08,10.08,2003,-0.01,-0.1
2019-12-12,10.0744,10.0744,10.0744,10.0744,999,-0.0056,-0.06
2019-12-13,10.09,10.09,10.09,10.09,125019,0.0156,0.15
2019-12-16,10.08,10.09,10.08,10.08,24400,-0.01,-0.1
2019-12-17,10.1,10.1,10.0864,10.09,22180,0.01,0.1
2019-12-18,10.1,10.15,10.09,10.14,225565,0.05,0.5
2019-12-19,10.15,10.3073,10.15,10.18,292045,0.04,0.39
2019-12-20,10.19,10.19,10.17,10.17,8206,-0.01,-0.1
2019-12-23,10.8,10.85,10.66,10.84,9818686,0.67,6.59
2019-12-24,11.0,11.04,10.82,10.84,2934406,0.0,0.0
2019-12-26,10.95,10.95,10.72,10.74,1304599,-0.1,-0.92
2019-12-27,10.75,10.8,10.6,10.68,544920,-0.06,-0.56
2019-12-30,10.7,10.7,10.61,10.64,832164,-0.04,-0.37
2019-12-31,10.69,10.8,10.59,10.7,564841,0.06,0.56
2020-01-02,10.79,10.8,10.65,10.68,1194114,-0.02,-0.19
2020-01-03,10.66,10.75,10.61,10.68,467593,0.0,0.0
2020-01-06,10.75,10.9,10.6917,10.8,2184115,0.12,1.12
2020-01-07,10.89,10.95,10.87,10.9,1986202,0.1,0.93
2020-01-08,10.94,11.35,10.8844,11.26,2955924,0.36,3.3
2020-01-09,11.43,12.39,11.34,12.25,8280190,0.99,8.79
2020-01-10,12.41,12.63,11.9823,12.39,2374859,0.14,1.14
2020-01-13,12.61,12.64,11.55,12.0,1674051,-0.39,-3.15
